open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1602720000000,51.43000000,59.00000000,42.74700000,42.99900000,98648.87000000,1602806399999,4650960.75441800,19170,51212.94500000,2418096.05925600,0,2020-10-15,2020-10-15 23:59:59.999
1602806400000,43.01700000,43.80000000,39.09200000,39.46100000,90836.41200000,1602892799999,3794719.23260200,14644,40523.13400000,1690831.61599800,0,2020-10-16,2020-10-16 23:59:59.999
1602892800000,39.37100000,43.23500000,38.20600000,41.36500000,41971.14300000,1602979199999,1722978.88680600,10050,21967.79000000,902329.18263400,0,2020-10-17,2020-10-17 23:59:59.999
1602979200000,41.35900000,41.42500000,39.42800000,40.75000000,30917.95300000,1603065599999,1244573.67270800,6070,14637.55900000,589618.30398400,0,2020-10-18,2020-10-18 23:59:59.999
1603065600000,40.82000000,41.00000000,35.91200000,35.98000000,86475.93600000,1603151999999,3302379.65073900,13310,31405.95300000,1205258.99241600,0,2020-10-19,2020-10-19 23:59:59.999
1603152000000,36.00000000,36.40300000,32.00000000,32.16000000,202653.50400000,1603238399999,6919378.57318600,32163,90475.50900000,3086026.26613600,0,2020-10-20,2020-10-20 23:59:59.999
1603238400000,32.18600000,37.14500000,32.00000000,35.07300000,145648.76800000,1603324799999,5081015.90755200,21362,74444.37000000,2597675.33306700,0,2020-10-21,2020-10-21 23:59:59.999
1603324800000,35.03300000,40.37900000,33.26600000,37.83600000,154369.97800000,1603411199999,5695875.05315900,24642,82375.76800000,3058996.05007500,0,2020-10-22,2020-10-22 23:59:59.999
1603411200000,37.91100000,42.65800000,36.99800000,41.68100000,190627.95100000,1603497599999,7641039.83095100,32341,98996.31500000,3975770.34531000,0,2020-10-23,2020-10-23 23:59:59.999
1603497600000,41.68100000,42.63000000,38.50200000,39.43700000,102431.60800000,1603583999999,4139709.31896400,17248,47966.20200000,1941352.23500200,0,2020-10-24,2020-10-24 23:59:59.999
1603584000000,39.43800000,41.00000000,37.20000000,37.89500000,74622.93300000,1603670399999,2922907.24968900,14200,33785.67000000,1327217.86110500,0,2020-10-25,2020-10-25 23:59:59.999
1603670400000,37.89300000,39.19200000,34.85500000,35.95000000,95472.30900000,1603756799999,3536029.83638300,17671,46402.34000000,1722973.96115100,0,2020-10-26,2020-10-26 23:59:59.999
1603756800000,35.96800000,39.00100000,34.37300000,34.86900000,178571.48600000,1603843199999,6514725.35383200,22827,103759.01100000,3785127.99960800,0,2020-10-27,2020-10-27 23:59:59.999
1603843200000,34.93500000,35.67000000,32.00000000,32.42200000,144227.57400000,1603929599999,4812189.67853600,17857,65290.72200000,2186780.82594200,0,2020-10-28,2020-10-28 23:59:59.999
1603929600000,32.42700000,33.23000000,28.12400000,29.24400000,175965.90800000,1604015999999,5337447.29123200,19201,70057.84300000,2121156.62132800,0,2020-10-29,2020-10-29 23:59:59.999
1604016000000,29.17800000,32.00000000,27.73000000,31.08700000,180251.71900000,1604102399999,5372756.17527700,20892,81791.54700000,2441715.95574300,0,2020-10-30,2020-10-30 23:59:59.999
1604102400000,31.08700000,32.93800000,29.51500000,29.70000000,113411.55900000,1604188799999,3505948.51030700,13636,60900.65000000,1883548.05234700,0,2020-10-31,2020-10-31 23:59:59.999
1604188800000,29.73700000,31.12400000,28.20000000,30.75700000,83150.52000000,1604275199999,2457681.03652300,10018,39481.12500000,1166990.76021100,0,2020-11-01,2020-11-01 23:59:59.999
1604275200000,30.70300000,34.48500000,29.13000000,29.72400000,179642.32500000,1604361599999,5645704.42956900,23320,95080.64000000,2990304.35910800,0,2020-11-02,2020-11-02 23:59:59.999
1604361600000,29.72300000,30.07500000,27.42400000,28.12200000,84414.77000000,1604447999999,2391137.18039400,10202,39143.01600000,1109194.97620400,0,2020-11-03,2020-11-03 23:59:59.999
1604448000000,28.14200000,28.44400000,26.06500000,27.68600000,81620.58900000,1604534399999,2243516.70479900,9037,39185.18100000,1076673.73157000,0,2020-11-04,2020-11-04 23:59:59.999
1604534400000,27.75200000,33.00000000,25.93900000,30.99500000,222270.50900000,1604620799999,6569133.25185200,26818,110929.08000000,3297748.04708600,0,2020-11-05,2020-11-05 23:59:59.999
1604620800000,30.99700000,41.00000000,30.84300000,38.65000000,375996.38100000,1604707199999,13692252.46022200,52828,202388.07300000,7381276.17801800,0,2020-11-06,2020-11-06 23:59:59.999
