open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1594857600000,8.64000000,9.12000000,7.63000000,8.51000000,13324.44000000,1594943999999,112165.50310000,361,6888.78000000,58439.15330000,0,2020-07-16,2020-07-16 23:59:59.999
1594944000000,8.54000000,8.59000000,7.83000000,7.88000000,12751.03000000,1595030399999,104134.79430000,334,5832.72000000,47917.44610000,0,2020-07-17,2020-07-17 23:59:59.999
1595030400000,7.87000000,8.10000000,7.27000000,7.85000000,25751.94000000,1595116799999,194851.82810000,417,13706.52000000,103551.97830000,0,2020-07-18,2020-07-18 23:59:59.999
1595116800000,7.84000000,8.18000000,7.65000000,8.08000000,10625.06000000,1595203199999,83868.59820000,249,7390.45000000,58360.39830000,0,2020-07-19,2020-07-19 23:59:59.999
1595203200000,8.06000000,8.07000000,6.49000000,6.98000000,26421.56000000,1595289599999,191963.21920000,479,13088.65000000,94699.68530000,0,2020-07-20,2020-07-20 23:59:59.999
1595289600000,6.97000000,8.22000000,6.80000000,7.93000000,25220.93000000,1595375999999,195870.81470000,503,12959.79000000,100160.83260000,0,2020-07-21,2020-07-21 23:59:59.999
1595376000000,8.01000000,8.27000000,7.56000000,8.12000000,22003.31000000,1595462399999,173307.79210000,334,11687.60000000,92883.66270000,0,2020-07-22,2020-07-22 23:59:59.999
1595462400000,8.12000000,9.28000000,8.12000000,9.03000000,40290.41000000,1595548799999,346715.16270000,563,22434.39000000,193479.50870000,0,2020-07-23,2020-07-23 23:59:59.999
1595548800000,9.07000000,9.07000000,8.46000000,8.62000000,23175.14000000,1595635199999,204456.18890000,374,11749.76000000,103706.91770000,0,2020-07-24,2020-07-24 23:59:59.999
1595635200000,8.69000000,12.92000000,8.69000000,12.29000000,142061.27000000,1595721599999,1541190.15120000,2322,72840.18000000,790546.29540000,0,2020-07-25,2020-07-25 23:59:59.999
