open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1597276800000,4.80000000,43.00000000,4.80000000,6.65540000,4401320.43000000,1597363199999,34731305.81237400,79120,2060524.36000000,16422554.62589600,0,2020-08-13,2020-08-13 23:59:59.999
1597363200000,6.67550000,7.18660000,5.99990000,6.17230000,1092018.81000000,1597449599999,7252506.57797400,29668,451018.26000000,2994045.12485900,0,2020-08-14,2020-08-14 23:59:59.999
1597449600000,6.17170000,6.49940000,5.61610000,5.99500000,820325.20000000,1597535999999,4895877.50547400,21446,385461.40000000,2303415.89486000,0,2020-08-15,2020-08-15 23:59:59.999
1597536000000,5.99500000,6.40000000,5.90000000,6.11290000,337278.41000000,1597622399999,2067932.47497500,9434,161221.02000000,990772.24830200,0,2020-08-16,2020-08-16 23:59:59.999
1597622400000,6.11290000,6.18330000,5.70140000,6.15700000,489352.23000000,1597708799999,2910162.28709200,10222,235333.22000000,1400592.93012700,0,2020-08-17,2020-08-17 23:59:59.999
1597708800000,6.12170000,6.66400000,5.63180000,5.73000000,767187.74000000,1597795199999,4706725.83205000,16684,383230.12000000,2353654.35872900,0,2020-08-18,2020-08-18 23:59:59.999
1597795200000,5.75360000,5.92710000,5.07140000,5.25410000,503913.22000000,1597881599999,2711237.73126800,11400,230270.98000000,1239203.96054000,0,2020-08-19,2020-08-19 23:59:59.999
1597881600000,5.25410000,5.54450000,4.96080000,5.36270000,452362.14000000,1597967999999,2384573.50119000,9419,216800.41000000,1143615.80768000,0,2020-08-20,2020-08-20 23:59:59.999
1597968000000,5.34300000,5.34810000,4.78020000,4.90370000,461136.39000000,1598054399999,2356566.60159200,8598,215040.29000000,1100204.97257700,0,2020-08-21,2020-08-21 23:59:59.999
1598054400000,4.93180000,5.55000000,4.58000000,5.35370000,769000.52000000,1598140799999,3915893.27939300,13762,354297.08000000,1800693.86293100,0,2020-08-22,2020-08-22 23:59:59.999
1598140800000,5.35080000,6.36720000,5.14730000,6.15250000,1206057.83000000,1598227199999,7001733.93967900,19260,581852.18000000,3374510.33950600,0,2020-08-23,2020-08-23 23:59:59.999
1598227200000,6.15250000,7.35950000,6.15250000,6.87230000,1761648.06000000,1598313599999,12097890.95031900,33072,854855.76000000,5857581.96165000,0,2020-08-24,2020-08-24 23:59:59.999
1598313600000,6.87960000,7.60640000,6.45010000,7.27540000,1487728.97000000,1598399999999,10499503.86403100,30267,730644.90000000,5140805.98618700,0,2020-08-25,2020-08-25 23:59:59.999
1598400000000,7.25990000,10.88880000,7.13610000,9.61500000,3238367.16000000,1598486399999,28938871.60078300,66000,1539277.89000000,13802579.04654500,0,2020-08-26,2020-08-26 23:59:59.999
1598486400000,9.61500000,10.38000000,7.21010000,8.33660000,2369819.02000000,1598572799999,20961093.56963000,53659,1125889.95000000,9971617.42920400,0,2020-08-27,2020-08-27 23:59:59.999
1598572800000,8.33000000,8.38360000,7.39000000,7.94200000,894923.80000000,1598659199999,6972536.24440000,21445,454978.00000000,3543657.37991800,0,2020-08-28,2020-08-28 23:59:59.999
1598659200000,7.94200000,7.94200000,7.21430000,7.36950000,850168.72000000,1598745599999,6419238.41791500,18789,442803.63000000,3340000.75921900,0,2020-08-29,2020-08-29 23:59:59.999
1598745600000,7.35800000,9.16280000,7.23370000,8.94140000,1332900.20000000,1598831999999,11128359.10408400,36565,651441.58000000,5416238.89170600,0,2020-08-30,2020-08-30 23:59:59.999
1598832000000,8.93400000,8.95700000,7.80000000,8.18000000,1026924.55000000,1598918399999,8427703.46051100,27371,480140.29000000,3936849.66629000,0,2020-08-31,2020-08-31 23:59:59.999
1598918400000,8.17520000,8.50000000,7.31450000,7.41760000,630139.63000000,1599004799999,5008800.69901400,17205,320361.00000000,2545924.04815000,0,2020-09-01,2020-09-01 23:59:59.999
1599004800000,7.41710000,7.53780000,5.77770000,6.34600000,1037862.12000000,1599091199999,6902196.45637000,25258,480708.44000000,3193742.94054500,0,2020-09-02,2020-09-02 23:59:59.999
1599091200000,6.32920000,6.37690000,4.82750000,4.82750000,951356.59000000,1599177599999,5490045.75761500,20901,454502.01000000,2628830.56471900,0,2020-09-03,2020-09-03 23:59:59.999
1599177600000,4.83310000,5.89770000,4.65000000,5.52760000,802123.50000000,1599263999999,4146892.39793100,16319,382869.87000000,1975302.74377500,0,2020-09-04,2020-09-04 23:59:59.999
1599264000000,5.52750000,5.60990000,4.00000000,4.33150000,674124.81000000,1599350399999,3168095.70130300,12303,334382.18000000,1570037.67060300,0,2020-09-05,2020-09-05 23:59:59.999
1599350400000,4.26960000,5.32790000,3.76820000,4.74150000,654329.05000000,1599436799999,2870121.99518500,9994,327344.56000000,1436837.08630600,0,2020-09-06,2020-09-06 23:59:59.999
1599436800000,4.72960000,4.92500000,4.01000000,4.53070000,346788.37000000,1599523199999,1536481.76770000,5823,163219.45000000,723899.94812000,0,2020-09-07,2020-09-07 23:59:59.999
1599523200000,4.53500000,4.55570000,3.90060000,4.02950000,293976.57000000,1599609599999,1241249.79223300,5602,138332.99000000,586204.98596400,0,2020-09-08,2020-09-08 23:59:59.999
1599609600000,4.02950000,4.64350000,3.90540000,4.61430000,537347.20000000,1599695999999,2280504.09646300,9127,265174.62000000,1124263.08376200,0,2020-09-09,2020-09-09 23:59:59.999
1599696000000,4.60500000,4.74980000,4.34950000,4.61610000,673474.69000000,1599782399999,3071532.35537000,11536,307320.75000000,1401774.15411800,0,2020-09-10,2020-09-10 23:59:59.999
1599782400000,4.61420000,4.62900000,4.08260000,4.43730000,516931.72000000,1599868799999,2239579.00547700,9634,254221.89000000,1101831.58140700,0,2020-09-11,2020-09-11 23:59:59.999
1599868800000,4.43730000,4.88290000,4.27610000,4.78600000,484229.40000000,1599955199999,2183891.39842700,9449,234971.81000000,1059998.68530000,0,2020-09-12,2020-09-12 23:59:59.999
1599955200000,4.79700000,5.27190000,4.60750000,4.95130000,1403711.22000000,1600041599999,7002959.31032900,22319,647952.72000000,3232636.69439500,0,2020-09-13,2020-09-13 23:59:59.999
1600041600000,4.94970000,5.99460000,4.83520000,5.52630000,1399803.14000000,1600127999999,7514510.13510200,22528,645528.49000000,3458057.04904400,0,2020-09-14,2020-09-14 23:59:59.999
1600128000000,5.52090000,5.81950000,4.31100000,4.33750000,1284827.85000000,1600214399999,6431850.61906600,21282,624388.67000000,3111741.52002800,0,2020-09-15,2020-09-15 23:59:59.999
1600214400000,4.33690000,4.56330000,4.13610000,4.39900000,541684.61000000,1600300799999,2363554.17402000,9904,264268.54000000,1152481.10643100,0,2020-09-16,2020-09-16 23:59:59.999
1600300800000,4.39080000,4.78000000,4.16190000,4.29630000,632442.13000000,1600387199999,2735657.36668400,11999,292833.43000000,1268582.43348600,0,2020-09-17,2020-09-17 23:59:59.999
1600387200000,4.29880000,4.55000000,4.24350000,4.30640000,462469.63000000,1600473599999,2002593.33136800,9480,220514.68000000,955557.80886800,0,2020-09-18,2020-09-18 23:59:59.999
1600473600000,4.31250000,4.34090000,4.04000000,4.22040000,594503.58000000,1600559999999,2491632.23111200,10575,267243.09000000,1118836.22879900,0,2020-09-19,2020-09-19 23:59:59.999
1600560000000,4.21370000,4.25070000,3.70010000,3.75980000,642279.93000000,1600646399999,2550576.09363800,11679,291823.25000000,1158214.07616800,0,2020-09-20,2020-09-20 23:59:59.999
1600646400000,3.75820000,3.89870000,2.93640000,3.16950000,1545577.13000000,1600732799999,5068061.41208000,24871,742227.39000000,2430258.91292400,0,2020-09-21,2020-09-21 23:59:59.999
1600732800000,3.17470000,3.30770000,2.97840000,3.28980000,1261983.41000000,1600819199999,4044892.40129300,19853,650556.54000000,2084312.26032700,0,2020-09-22,2020-09-22 23:59:59.999
1600819200000,3.28900000,3.30780000,3.01100000,3.11100000,866429.29000000,1600905599999,2741399.13836000,15031,433398.70000000,1370673.61606100,0,2020-09-23,2020-09-23 23:59:59.999
1600905600000,3.11470000,3.38660000,3.01430000,3.34860000,684904.69000000,1600991999999,2195215.68957800,11820,348536.06000000,1118206.86482100,0,2020-09-24,2020-09-24 23:59:59.999
1600992000000,3.34990000,3.83890000,3.30000000,3.77340000,733126.07000000,1601078399999,2590932.45762600,12696,376852.00000000,1332347.60583000,0,2020-09-25,2020-09-25 23:59:59.999
1601078400000,3.77660000,3.78910000,3.50010000,3.60920000,485350.57000000,1601164799999,1752631.66888200,9371,237783.08000000,858215.36394900,0,2020-09-26,2020-09-26 23:59:59.999
1601164800000,3.60280000,3.65910000,3.19980000,3.34980000,768845.31000000,1601251199999,2576251.25210600,11802,407972.09000000,1365748.53028100,0,2020-09-27,2020-09-27 23:59:59.999
1601251200000,3.35370000,3.54310000,3.30000000,3.37600000,597169.72000000,1601337599999,2049879.17977300,10221,289982.23000000,995398.16430700,0,2020-09-28,2020-09-28 23:59:59.999
1601337600000,3.37110000,3.82990000,3.32620000,3.68900000,886541.47000000,1601423999999,3203507.28519900,15423,455433.95000000,1648103.00769300,0,2020-09-29,2020-09-29 23:59:59.999
