open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1596758400000,0.71555000,0.98999000,0.71033000,0.71065000,559766.29456985,1596844799999,400609.56112300,1034,162969.79310687,116600.79754548,0,2020-08-07,2020-08-07 23:59:59.999
1596844800000,0.71097000,0.71226000,0.71043000,0.71118000,321412.40000000,1596931199999,228709.41576000,365,81953.10000000,58330.27502000,0,2020-08-08,2020-08-08 23:59:59.999
1596931200000,0.71119000,0.71226000,0.71025000,0.71120000,354880.80000000,1597017599999,252390.17141600,471,236987.40000000,168564.03686100,0,2020-08-09,2020-08-09 23:59:59.999
1597017600000,0.71142000,0.71357000,0.70869000,0.71139000,294192.00000000,1597103999999,209081.73747700,394,99341.40000000,70651.14853500,0,2020-08-10,2020-08-10 23:59:59.999
1597104000000,0.71134000,0.71452000,0.70578000,0.70700000,390656.10000000,1597190399999,277057.25224500,690,121029.80000000,85906.90112100,0,2020-08-11,2020-08-11 23:59:59.999
1597190400000,0.70700000,0.70992000,0.70316000,0.70828000,273558.20000000,1597276799999,193185.80581200,388,47809.00000000,33781.63985500,0,2020-08-12,2020-08-12 23:59:59.999
1597276800000,0.70864000,0.71142000,0.69847000,0.70000000,356234.90000000,1597363199999,250707.48343800,868,103930.90000000,73542.47097500,0,2020-08-13,2020-08-13 23:59:59.999
1597363200000,0.69886000,0.71114000,0.69784000,0.70999000,463364.20000000,1597449599999,327773.81810000,887,71501.00000000,50659.49878100,0,2020-08-14,2020-08-14 23:59:59.999
1597449600000,0.71000000,0.71154000,0.70955000,0.71154000,314855.00000000,1597535999999,223651.90275200,452,76849.10000000,54601.01483200,0,2020-08-15,2020-08-15 23:59:59.999
1597536000000,0.71062000,0.71189000,0.70972000,0.71126000,243555.40000000,1597622399999,173129.45460000,460,49905.20000000,35498.56650100,0,2020-08-16,2020-08-16 23:59:59.999
1597622400000,0.71189000,0.71611000,0.71066000,0.71449000,590664.70000000,1597708799999,421531.95169300,847,150925.20000000,107727.82147000,0,2020-08-17,2020-08-17 23:59:59.999
1597708800000,0.71449000,0.71970000,0.71430000,0.71863000,422190.80000000,1597795199999,302673.12793800,678,63474.60000000,45516.75976000,0,2020-08-18,2020-08-18 23:59:59.999
