open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1606176000000,0.80500000,1.05000000,0.80500000,0.91310000,345406.31000000,1606262399999,313373.35562700,2893,187645.84000000,170612.49840800,0,2020-11-24,2020-11-24 23:59:59.999
1606262400000,0.91740000,1.04050000,0.85000000,0.88040000,646577.47000000,1606348799999,613218.23717300,5218,322019.01000000,305647.35778700,0,2020-11-25,2020-11-25 23:59:59.999
1606348800000,0.88030000,0.89670000,0.71700000,0.78270000,441442.13000000,1606435199999,350777.99045000,4352,188529.78000000,150695.75043900,0,2020-11-26,2020-11-26 23:59:59.999
1606435200000,0.78110000,0.85000000,0.75900000,0.80390000,196309.83000000,1606521599999,159835.05821300,2097,99474.99000000,81131.92175500,0,2020-11-27,2020-11-27 23:59:59.999
1606521600000,0.80410000,0.90010000,0.80400000,0.88920000,222373.59000000,1606607999999,192440.58846200,1707,103824.05000000,90273.25220900,0,2020-11-28,2020-11-28 23:59:59.999
1606608000000,0.89150000,0.90000000,0.83110000,0.87140000,181981.22000000,1606694399999,159260.17876000,1674,103772.68000000,90903.36861200,0,2020-11-29,2020-11-29 23:59:59.999
1606694400000,0.87350000,0.89550000,0.82480000,0.87400000,258077.42000000,1606780799999,221378.49211100,2827,131544.82000000,113367.08034900,0,2020-11-30,2020-11-30 23:59:59.999
1606780800000,0.87330000,0.87850000,0.77440000,0.80870000,330409.73000000,1606867199999,272739.92006200,3316,133870.78000000,110290.79866200,0,2020-12-01,2020-12-01 23:59:59.999
1606867200000,0.80360000,0.84260000,0.78130000,0.80750000,186788.15000000,1606953599999,152256.44967500,1891,83351.42000000,67809.53041600,0,2020-12-02,2020-12-02 23:59:59.999
1606953600000,0.80810000,0.83730000,0.79670000,0.80580000,182088.34000000,1607039999999,148869.29280500,1419,91219.89000000,74587.52791300,0,2020-12-03,2020-12-03 23:59:59.999
1607040000000,0.80540000,0.81370000,0.77300000,0.77350000,243163.66000000,1607126399999,192752.08014300,1864,108894.69000000,86556.77903900,0,2020-12-04,2020-12-04 23:59:59.999
1607126400000,0.77340000,0.78970000,0.75000000,0.77530000,154181.14000000,1607212799999,118897.34243200,1427,59702.78000000,46100.87861300,0,2020-12-05,2020-12-05 23:59:59.999
1607212800000,0.78120000,0.80260000,0.75340000,0.77290000,207352.75000000,1607299199999,160221.43726800,1833,90016.17000000,69956.08939800,0,2020-12-06,2020-12-06 23:59:59.999
1607299200000,0.77290000,0.80600000,0.74890000,0.76540000,219629.82000000,1607385599999,170703.41836700,1878,99450.41000000,77348.86827700,0,2020-12-07,2020-12-07 23:59:59.999
1607385600000,0.76540000,0.80490000,0.72100000,0.72250000,276873.69000000,1607471999999,209150.06540600,2374,127609.06000000,96203.15051200,0,2020-12-08,2020-12-08 23:59:59.999
1607472000000,0.72250000,0.77800000,0.69360000,0.75750000,491599.30000000,1607558399999,357902.55650500,3387,270816.60000000,196388.00843500,0,2020-12-09,2020-12-09 23:59:59.999
