open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1600128000000,0.75000000,19.00000000,0.75000000,6.20730000,16571857.38000000,1600214399999,125385307.97466200,293958,8465809.65000000,63832935.89856800,0,2020-09-15,2020-09-15 23:59:59.999
1600214400000,6.21830000,6.24970000,4.05000000,4.56970000,7895368.80000000,1600300799999,38497686.15660800,116759,3730396.12000000,18199902.73525600,0,2020-09-16,2020-09-16 23:59:59.999
1600300800000,4.56980000,4.91980000,3.01030000,3.03050000,4440524.87000000,1600387199999,15864211.41842300,54005,1884619.83000000,6707335.02708000,0,2020-09-17,2020-09-17 23:59:59.999
1600387200000,3.01530000,3.88040000,2.84110000,3.01520000,3325817.27000000,1600473599999,10663717.58551200,42697,1445749.49000000,4673252.56159200,0,2020-09-18,2020-09-18 23:59:59.999
1600473600000,3.01710000,5.62430000,2.97000000,4.61530000,10116217.94000000,1600559999999,46551211.39224900,153836,4985710.95000000,22962226.12888700,0,2020-09-19,2020-09-19 23:59:59.999
1600560000000,4.61730000,5.07040000,3.46000000,3.69790000,3765632.21000000,1600646399999,15462823.28356200,56281,1758769.85000000,7225706.22885200,0,2020-09-20,2020-09-20 23:59:59.999
1600646400000,3.69790000,3.88980000,2.95000000,3.00280000,2625063.47000000,1600732799999,8559025.76377100,37597,1126774.91000000,3679954.29799000,0,2020-09-21,2020-09-21 23:59:59.999
1600732800000,3.02680000,3.20830000,2.45680000,2.63100000,1874115.48000000,1600819199999,5142887.76775300,25016,804120.36000000,2194191.04727000,0,2020-09-22,2020-09-22 23:59:59.999
1600819200000,2.63170000,2.86930000,2.30200000,2.41500000,2264529.36000000,1600905599999,5798338.25467100,28773,957369.04000000,2470800.51959800,0,2020-09-23,2020-09-23 23:59:59.999
1600905600000,2.41480000,2.67250000,2.30500000,2.58350000,1850478.32000000,1600991999999,4594930.48277100,23318,848980.87000000,2113120.59704400,0,2020-09-24,2020-09-24 23:59:59.999
1600992000000,2.57800000,2.69020000,2.35000000,2.47120000,1505629.10000000,1601078399999,3798562.67324400,21183,674068.40000000,1709535.03974200,0,2020-09-25,2020-09-25 23:59:59.999
1601078400000,2.47170000,2.51000000,2.30000000,2.32850000,1009328.61000000,1601164799999,2417204.82637300,17574,363653.96000000,873322.07838100,0,2020-09-26,2020-09-26 23:59:59.999
1601164800000,2.32790000,2.35000000,1.91570000,2.03130000,1976950.12000000,1601251199999,4142418.30492100,24423,796262.78000000,1665774.27749500,0,2020-09-27,2020-09-27 23:59:59.999
1601251200000,2.03110000,2.09820000,1.57110000,1.60390000,2070001.08000000,1601337599999,3784078.82040700,22372,877110.94000000,1610035.93478500,0,2020-09-28,2020-09-28 23:59:59.999
1601337600000,1.59570000,1.67100000,1.30000000,1.37500000,2727615.47000000,1601423999999,4064691.99368400,25448,1161417.72000000,1726194.27060800,0,2020-09-29,2020-09-29 23:59:59.999
1601424000000,1.37860000,1.58000000,1.27840000,1.42740000,2722507.06000000,1601510399999,3785095.47424600,23195,1385038.38000000,1919386.26092500,0,2020-09-30,2020-09-30 23:59:59.999
1601510400000,1.42840000,1.53130000,1.26000000,1.31030000,3421941.10000000,1601596799999,4720132.42142700,19416,1595919.01000000,2213238.78963900,0,2020-10-01,2020-10-01 23:59:59.999
1601596800000,1.31320000,1.50000000,1.19850000,1.48800000,3402849.39000000,1601683199999,4539974.88987300,20309,1706686.82000000,2289432.10955100,0,2020-10-02,2020-10-02 23:59:59.999
1601683200000,1.49220000,1.66420000,1.32410000,1.39000000,7332708.95000000,1601769599999,11087027.20439300,46059,3567366.13000000,5407038.29255400,0,2020-10-03,2020-10-03 23:59:59.999
1601769600000,1.39490000,1.43600000,1.20500000,1.23930000,2299243.66000000,1601855999999,2964582.67173900,17433,994160.26000000,1280623.48567100,0,2020-10-04,2020-10-04 23:59:59.999
1601856000000,1.24490000,1.25720000,1.05030000,1.08410000,2121342.43000000,1601942399999,2369284.87652100,15255,945182.81000000,1054465.10896700,0,2020-10-05,2020-10-05 23:59:59.999
1601942400000,1.08960000,1.28790000,1.03960000,1.07160000,3233024.78000000,1602028799999,3743423.34139300,23261,1522449.75000000,1770695.83455200,0,2020-10-06,2020-10-06 23:59:59.999
1602028800000,1.07180000,1.08410000,1.00870000,1.05640000,1022876.03000000,1602115199999,1064052.45006300,8650,376919.80000000,394623.02551300,0,2020-10-07,2020-10-07 23:59:59.999
1602115200000,1.05630000,1.15490000,1.00610000,1.13000000,1512068.15000000,1602201599999,1633834.54645800,10790,748161.09000000,812382.03372300,0,2020-10-08,2020-10-08 23:59:59.999
1602201600000,1.13000000,1.25000000,1.08780000,1.17600000,1786054.97000000,1602287999999,2101662.94346200,12736,830266.06000000,975590.99193100,0,2020-10-09,2020-10-09 23:59:59.999
1602288000000,1.17600000,1.23390000,1.03420000,1.03740000,1584324.11000000,1602374399999,1784352.91979700,11277,707368.83000000,800222.87356400,0,2020-10-10,2020-10-10 23:59:59.999
1602374400000,1.03690000,1.08950000,1.01660000,1.07200000,938351.80000000,1602460799999,992248.49705900,7063,467247.21000000,494842.04040300,0,2020-10-11,2020-10-11 23:59:59.999
1602460800000,1.07150000,1.13890000,1.04270000,1.04960000,1305634.33000000,1602547199999,1424049.94820100,8882,618752.27000000,675881.88913300,0,2020-10-12,2020-10-12 23:59:59.999
1602547200000,1.04900000,1.10760000,1.02800000,1.07820000,903745.51000000,1602633599999,959553.86330000,6789,466196.34000000,495552.31175800,0,2020-10-13,2020-10-13 23:59:59.999
1602633600000,1.07710000,1.10250000,1.00490000,1.02070000,1115991.19000000,1602719999999,1172752.92895300,7105,470522.86000000,495656.24310600,0,2020-10-14,2020-10-14 23:59:59.999
1602720000000,1.02070000,1.05000000,1.00140000,1.01380000,740967.81000000,1602806399999,755325.09483600,5622,304399.30000000,310938.78860900,0,2020-10-15,2020-10-15 23:59:59.999
1602806400000,1.01220000,1.01970000,0.91990000,0.92160000,1278959.06000000,1602892799999,1229674.18872200,6544,407356.12000000,391735.08014300,0,2020-10-16,2020-10-16 23:59:59.999
1602892800000,0.92170000,0.96990000,0.91690000,0.92890000,495267.27000000,1602979199999,464147.06058500,4292,230305.77000000,216209.45275400,0,2020-10-17,2020-10-17 23:59:59.999
1602979200000,0.92880000,0.98270000,0.92850000,0.95230000,412196.97000000,1603065599999,395247.93182100,4193,202851.16000000,194752.18253100,0,2020-10-18,2020-10-18 23:59:59.999
