open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1580947200000,0.28360000,1.00000000,0.28360000,0.29540000,224715.35000000,1581033599999,68375.72228900,663,81094.48000000,23872.08061400,0,2020-02-06,2020-02-06 23:59:59.999
1581033600000,0.29320000,0.31500000,0.28960000,0.31440000,223661.11000000,1581119999999,66806.78999300,716,91428.29000000,27355.13967200,0,2020-02-07,2020-02-07 23:59:59.999
1581120000000,0.31050000,0.32450000,0.30110000,0.30820000,237181.78000000,1581206399999,74322.16187000,761,89449.89000000,28037.49257100,0,2020-02-08,2020-02-08 23:59:59.999
1581206400000,0.30760000,0.32400000,0.30700000,0.31600000,155201.54000000,1581292799999,48462.95668700,372,81718.16000000,25549.64969500,0,2020-02-09,2020-02-09 23:59:59.999
1581292800000,0.31960000,0.32120000,0.30030000,0.31720000,148268.09000000,1581379199999,45949.67485300,550,58305.35000000,18070.79311900,0,2020-02-10,2020-02-10 23:59:59.999
1581379200000,0.31240000,0.33140000,0.31050000,0.32560000,65261.01000000,1581465599999,20965.76231000,305,36354.35000000,11740.73305100,0,2020-02-11,2020-02-11 23:59:59.999
1581465600000,0.32970000,0.37000000,0.32570000,0.35380000,188688.04000000,1581551999999,64796.69731300,903,104822.66000000,36031.26329500,0,2020-02-12,2020-02-12 23:59:59.999
1581552000000,0.35320000,0.36160000,0.32230000,0.34870000,232040.22000000,1581638399999,79216.80346200,1434,73704.32000000,25245.79900700,0,2020-02-13,2020-02-13 23:59:59.999
1581638400000,0.34580000,0.36360000,0.33730000,0.35420000,104543.94000000,1581724799999,36757.77847700,548,68434.17000000,24113.64600800,0,2020-02-14,2020-02-14 23:59:59.999
1581724800000,0.35280000,0.36420000,0.32130000,0.32220000,203745.41000000,1581811199999,69671.60355700,849,59135.17000000,20357.13235100,0,2020-02-15,2020-02-15 23:59:59.999
1581811200000,0.32230000,0.33530000,0.28720000,0.31620000,152074.92000000,1581897599999,48016.18387800,567,61881.08000000,19739.68937100,0,2020-02-16,2020-02-16 23:59:59.999
1581897600000,0.31740000,0.32280000,0.28930000,0.31930000,90758.88000000,1581983999999,27415.68482100,344,53379.81000000,16027.53523800,0,2020-02-17,2020-02-17 23:59:59.999
1581984000000,0.31740000,0.36180000,0.31370000,0.34150000,147016.92000000,1582070399999,48928.09356300,1012,62772.43000000,20832.72574200,0,2020-02-18,2020-02-18 23:59:59.999
1582070400000,0.34150000,0.37300000,0.30390000,0.32000000,195190.69000000,1582156799999,64834.83149700,653,45980.79000000,15390.12748500,0,2020-02-19,2020-02-19 23:59:59.999
1582156800000,0.32400000,0.33730000,0.31470000,0.33130000,80189.68000000,1582243199999,26144.60429300,595,25550.35000000,8369.50891400,0,2020-02-20,2020-02-20 23:59:59.999
1582243200000,0.33120000,0.35100000,0.32910000,0.33500000,76529.13000000,1582329599999,25793.50031200,461,31424.11000000,10594.37776500,0,2020-02-21,2020-02-21 23:59:59.999
1582329600000,0.33500000,0.33540000,0.32430000,0.32920000,43169.13000000,1582415999999,14231.01995300,238,18332.59000000,6053.96307300,0,2020-02-22,2020-02-22 23:59:59.999
1582416000000,0.33120000,0.34980000,0.32980000,0.34490000,51632.85000000,1582502399999,17615.78330600,338,28432.25000000,9723.19905900,0,2020-02-23,2020-02-23 23:59:59.999
1582502400000,0.34350000,0.34750000,0.31820000,0.33120000,43463.15000000,1582588799999,14482.15347200,382,15728.41000000,5243.40802200,0,2020-02-24,2020-02-24 23:59:59.999
1582588800000,0.32960000,0.32960000,0.29950000,0.30210000,28808.67000000,1582675199999,9010.61664800,199,10333.48000000,3254.17107300,0,2020-02-25,2020-02-25 23:59:59.999
1582675200000,0.30340000,0.31050000,0.25920000,0.27460000,98737.51000000,1582761599999,28585.01133700,523,43607.95000000,12742.85659600,0,2020-02-26,2020-02-26 23:59:59.999
1582761600000,0.27330000,0.28830000,0.25680000,0.27950000,54730.00000000,1582847999999,15138.98096800,500,23679.73000000,6620.85084300,0,2020-02-27,2020-02-27 23:59:59.999
1582848000000,0.28010000,0.29160000,0.26040000,0.27580000,82148.57000000,1582934399999,22253.62998500,600,45255.37000000,12309.61357000,0,2020-02-28,2020-02-28 23:59:59.999
1582934400000,0.27750000,0.28590000,0.26500000,0.26500000,78891.34000000,1583020799999,21510.68573200,640,41522.81000000,11360.49259600,0,2020-02-29,2020-02-29 23:59:59.999
1583020800000,0.26750000,0.27950000,0.26050000,0.26910000,60915.33000000,1583107199999,16557.43292600,420,23285.15000000,6392.03451000,0,2020-03-01,2020-03-01 23:59:59.999
