open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1589414400000,10.15000000,10.92000000,9.41000000,9.79000000,7767.94000000,1589500799999,77943.30730000,396,2966.08000000,29961.54290000,0,2020-05-14,2020-05-14 23:59:59.999
1589500800000,9.85000000,11.11000000,9.80000000,10.65000000,12910.60000000,1589587199999,136715.35580000,638,9890.78000000,104992.64070000,0,2020-05-15,2020-05-15 23:59:59.999
1589587200000,10.65000000,10.99000000,10.20000000,10.62000000,31347.33000000,1589673599999,331668.25630000,454,17790.45000000,188621.66330000,0,2020-05-16,2020-05-16 23:59:59.999
1589673600000,10.69000000,10.70000000,9.57000000,9.96000000,68080.72000000,1589759999999,679170.20240000,727,30874.93000000,306983.88410000,0,2020-05-17,2020-05-17 23:59:59.999
1589760000000,9.90000000,10.35000000,9.43000000,9.81000000,257225.85000000,1589846399999,2529305.63860000,663,148728.87000000,1471751.86220000,0,2020-05-18,2020-05-18 23:59:59.999
1589846400000,9.82000000,10.35000000,9.42000000,9.71000000,367722.60000000,1589932799999,3641590.31600000,1298,209332.20000000,2078911.52450000,0,2020-05-19,2020-05-19 23:59:59.999
1589932800000,9.73000000,10.69000000,9.58000000,10.25000000,218328.71000000,1590019199999,2185134.15030000,1107,125776.56000000,1262951.15100000,0,2020-05-20,2020-05-20 23:59:59.999
1590019200000,10.26000000,11.93000000,10.15000000,11.24000000,342802.80000000,1590105599999,3785757.45270000,1197,224014.16000000,2470104.58910000,0,2020-05-21,2020-05-21 23:59:59.999
1590105600000,11.30000000,11.57000000,10.76000000,11.01000000,195362.92000000,1590191999999,2169462.55320000,514,91189.80000000,1015539.62840000,0,2020-05-22,2020-05-22 23:59:59.999
1590192000000,10.90000000,11.13000000,10.64000000,10.91000000,110767.90000000,1590278399999,1208567.15010000,381,66356.70000000,723611.90600000,0,2020-05-23,2020-05-23 23:59:59.999
1590278400000,10.93000000,12.15000000,10.65000000,12.02000000,228947.88000000,1590364799999,2587234.91490000,1064,113164.97000000,1281937.09880000,0,2020-05-24,2020-05-24 23:59:59.999
1590364800000,12.10000000,12.27000000,11.47000000,11.71000000,138132.57000000,1590451199999,1639811.65700000,796,77624.65000000,923078.81710000,0,2020-05-25,2020-05-25 23:59:59.999
1590451200000,11.70000000,12.25000000,11.44000000,11.87000000,210333.04000000,1590537599999,2486668.18170000,764,130042.58000000,1539611.72420000,0,2020-05-26,2020-05-26 23:59:59.999
1590537600000,11.89000000,11.91000000,10.86000000,10.95000000,246511.44000000,1590623999999,2758119.70660000,1178,111572.50000000,1245955.64240000,0,2020-05-27,2020-05-27 23:59:59.999
1590624000000,10.93000000,11.14000000,9.96000000,10.07000000,448717.59000000,1590710399999,4682637.24090000,1911,214714.66000000,2236367.26980000,0,2020-05-28,2020-05-28 23:59:59.999
1590710400000,10.05000000,10.65000000,10.00000000,10.43000000,478549.95000000,1590796799999,4934848.56170000,1679,248111.44000000,2562669.33280000,0,2020-05-29,2020-05-29 23:59:59.999
1590796800000,10.42000000,10.61000000,9.65000000,9.83000000,504387.45000000,1590883199999,5098998.85830000,1648,260566.01000000,2631587.22930000,0,2020-05-30,2020-05-30 23:59:59.999
1590883200000,9.78000000,10.42000000,9.78000000,10.29000000,437972.69000000,1590969599999,4435886.22260000,1390,188601.67000000,1910179.67000000,0,2020-05-31,2020-05-31 23:59:59.999
1590969600000,10.31000000,10.36000000,8.25000000,8.66000000,1665757.52000000,1591055999999,15027695.38100000,3413,759138.51000000,6768728.02110000,0,2020-06-01,2020-06-01 23:59:59.999
1591056000000,8.67000000,10.65000000,8.62000000,10.16000000,1883236.53000000,1591142399999,18049919.79670000,4098,939166.28000000,8991971.03780000,0,2020-06-02,2020-06-02 23:59:59.999
1591142400000,10.14000000,10.39000000,9.77000000,9.85000000,503172.94000000,1591228799999,5061413.70540000,1539,262442.58000000,2640685.08100000,0,2020-06-03,2020-06-03 23:59:59.999
1591228800000,9.82000000,10.27000000,9.37000000,9.57000000,1120366.11000000,1591315199999,10900569.90290000,3213,570591.51000000,5552062.85110000,0,2020-06-04,2020-06-04 23:59:59.999
1591315200000,9.52000000,9.99000000,9.43000000,9.92000000,983274.11000000,1591401599999,9531482.00410000,2390,526024.24000000,5100028.76810000,0,2020-06-05,2020-06-05 23:59:59.999
1591401600000,9.92000000,10.09000000,9.68000000,9.82000000,389370.87000000,1591487999999,3857630.83070000,1330,215152.77000000,2130851.74440000,0,2020-06-06,2020-06-06 23:59:59.999
1591488000000,9.85000000,10.42000000,9.51000000,9.72000000,972863.85000000,1591574399999,9672769.58750000,2916,496151.28000000,4935479.57850000,0,2020-06-07,2020-06-07 23:59:59.999
1591574400000,9.69000000,9.92000000,9.59000000,9.65000000,362757.11000000,1591660799999,3536717.71070000,1026,188060.43000000,1834123.93650000,0,2020-06-08,2020-06-08 23:59:59.999
1591660800000,9.63000000,10.07000000,9.42000000,9.66000000,538478.63000000,1591747199999,5231787.61000000,1682,279333.66000000,2715625.77640000,0,2020-06-09,2020-06-09 23:59:59.999
1591747200000,9.66000000,9.78000000,9.17000000,9.43000000,435722.08000000,1591833599999,4152370.37960000,1319,211755.04000000,2015135.59660000,0,2020-06-10,2020-06-10 23:59:59.999
1591833600000,9.41000000,11.42000000,9.26000000,10.77000000,1610381.76000000,1591919999999,16382158.73360000,4788,944392.74000000,9644728.28980000,0,2020-06-11,2020-06-11 23:59:59.999
1591920000000,10.80000000,10.84000000,10.17000000,10.34000000,625338.89000000,1592006399999,6533888.90040000,3832,300126.21000000,3139068.61730000,0,2020-06-12,2020-06-12 23:59:59.999
1592006400000,10.35000000,10.60000000,10.26000000,10.32000000,175433.73000000,1592092799999,1831535.13610000,890,113385.20000000,1184227.11840000,0,2020-06-13,2020-06-13 23:59:59.999
1592092800000,10.32000000,10.84000000,10.32000000,10.62000000,99548.79000000,1592179199999,1053168.53670000,898,56331.27000000,596146.24650000,0,2020-06-14,2020-06-14 23:59:59.999
1592179200000,10.64000000,11.57000000,10.22000000,10.37000000,427219.54000000,1592265599999,4638491.61620000,3410,181760.87000000,1976988.00720000,0,2020-06-15,2020-06-15 23:59:59.999
1592265600000,10.37000000,10.48000000,9.99000000,10.16000000,247102.49000000,1592351999999,2515484.10990000,1852,108136.01000000,1102262.35210000,0,2020-06-16,2020-06-16 23:59:59.999
1592352000000,10.14000000,10.75000000,10.05000000,10.24000000,258397.59000000,1592438399999,2678610.08520000,1865,141150.38000000,1462616.32410000,0,2020-06-17,2020-06-17 23:59:59.999
1592438400000,10.24000000,10.67000000,10.19000000,10.40000000,160810.68000000,1592524799999,1673662.02930000,1015,80419.41000000,837993.93260000,0,2020-06-18,2020-06-18 23:59:59.999
1592524800000,10.41000000,10.72000000,10.25000000,10.57000000,129219.14000000,1592611199999,1360749.59820000,1217,59883.72000000,631330.51630000,0,2020-06-19,2020-06-19 23:59:59.999
1592611200000,10.58000000,10.86000000,10.37000000,10.47000000,70057.90000000,1592697599999,741828.98970000,1079,30574.63000000,325104.65350000,0,2020-06-20,2020-06-20 23:59:59.999
1592697600000,10.47000000,10.62000000,10.32000000,10.62000000,53221.31000000,1592783999999,557643.93910000,579,26333.04000000,276669.93680000,0,2020-06-21,2020-06-21 23:59:59.999
