open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1589414400000,10.36000000,11.20000000,9.50000000,10.28000000,10834.70000000,1589500799999,110475.81240000,665,5621.81000000,57247.29970000,0,2020-05-14,2020-05-14 23:59:59.999
1589500800000,10.18000000,10.40000000,8.86000000,9.03000000,14389.31000000,1589587199999,137255.83350000,1247,7065.27000000,67428.66870000,0,2020-05-15,2020-05-15 23:59:59.999
1589587200000,9.06000000,9.72000000,8.99000000,9.32000000,89590.02000000,1589673599999,833860.69290000,1118,25838.21000000,239885.68660000,0,2020-05-16,2020-05-16 23:59:59.999
1589673600000,9.26000000,10.31000000,9.20000000,9.83000000,106599.69000000,1589759999999,1053476.72340000,1129,45291.52000000,446386.97590000,0,2020-05-17,2020-05-17 23:59:59.999
1589760000000,9.88000000,10.40000000,9.40000000,9.94000000,286764.28000000,1589846399999,2847057.78440000,1006,122914.32000000,1219122.83790000,0,2020-05-18,2020-05-18 23:59:59.999
1589846400000,9.93000000,10.38000000,9.45000000,10.17000000,311143.25000000,1589932799999,3090711.12330000,1338,164355.68000000,1638395.26620000,0,2020-05-19,2020-05-19 23:59:59.999
1589932800000,10.18000000,10.29000000,9.36000000,9.63000000,183476.08000000,1590019199999,1808659.03680000,1576,90601.58000000,894157.35290000,0,2020-05-20,2020-05-20 23:59:59.999
1590019200000,9.62000000,9.74000000,8.26000000,8.73000000,643060.65000000,1590105599999,5733952.35470000,2531,312480.07000000,2790173.72910000,0,2020-05-21,2020-05-21 23:59:59.999
1590105600000,8.72000000,9.15000000,8.49000000,8.97000000,391173.02000000,1590191999999,3469072.14870000,1233,154572.22000000,1366979.50790000,0,2020-05-22,2020-05-22 23:59:59.999
1590192000000,8.99000000,9.24000000,8.82000000,8.99000000,158422.08000000,1590278399999,1428042.83310000,969,65744.00000000,593186.15300000,0,2020-05-23,2020-05-23 23:59:59.999
1590278400000,8.99000000,9.22000000,8.07000000,8.12000000,361213.99000000,1590364799999,3133172.96270000,1623,126982.11000000,1102921.03630000,0,2020-05-24,2020-05-24 23:59:59.999
1590364800000,8.12000000,8.61000000,7.96000000,8.48000000,370592.51000000,1590451199999,3065305.60180000,1724,198756.02000000,1644525.52920000,0,2020-05-25,2020-05-25 23:59:59.999
