open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1553472000000,0.03000000,0.04000000,0.02236000,0.02423000,3386556692.80000000,1553558399999,85504774.48374800,143292,1898404916.70000000,48164911.91754900,0,2019-03-25,2019-03-25 23:59:59.999
1553558400000,0.02420000,0.02479000,0.01761000,0.01814000,2153929585.20000000,1553644799999,47367704.71350400,62767,1442959672.20000000,32722259.32547000,0,2019-03-26,2019-03-26 23:59:59.999
1553644800000,0.01814000,0.02488000,0.01653000,0.02277000,1576808988.30000000,1553731199999,32372009.86617000,95953,760939400.10000000,15673210.62115700,0,2019-03-27,2019-03-27 23:59:59.999
1553731200000,0.02275000,0.02388000,0.02104000,0.02293000,754926790.10000000,1553817599999,17025929.87778400,60023,359224622.90000000,8118556.78352500,0,2019-03-28,2019-03-28 23:59:59.999
1553817600000,0.02292000,0.02471000,0.02069000,0.02095000,928831985.50000000,1553903999999,20959578.91662800,66552,555180633.90000000,12623046.27087500,0,2019-03-29,2019-03-29 23:59:59.999
1553904000000,0.02098000,0.02187000,0.01929000,0.02018000,378045855.80000000,1553990399999,7707150.97785500,35853,204968831.10000000,4184489.40022500,0,2019-03-30,2019-03-30 23:59:59.999
1553990400000,0.02019000,0.02108000,0.01949000,0.01967000,134442726.60000000,1554076799999,2726410.83217900,13985,67133398.20000000,1368123.62920900,0,2019-03-31,2019-03-31 23:59:59.999
1554076800000,0.01965000,0.02009000,0.01881000,0.01935000,184913764.40000000,1554163199999,3615897.35949800,23791,76064718.20000000,1489784.11631400,0,2019-04-01,2019-04-01 23:59:59.999
1554163200000,0.01933000,0.02260000,0.01901000,0.02007000,454816118.60000000,1554249599999,9401596.36903800,33772,217234781.90000000,4494961.82988100,0,2019-04-02,2019-04-02 23:59:59.999
1554249600000,0.02006000,0.02099000,0.01736000,0.01881000,307329249.00000000,1554335999999,6060802.81541800,21191,123524362.20000000,2441555.30892900,0,2019-04-03,2019-04-03 23:59:59.999
1554336000000,0.01881000,0.01979000,0.01800000,0.01883000,128659390.60000000,1554422399999,2409668.28371400,14497,66345053.50000000,1245189.16918300,0,2019-04-04,2019-04-04 23:59:59.999
1554422400000,0.01885000,0.01986000,0.01859000,0.01900000,86810288.90000000,1554508799999,1663296.87274800,8953,44766751.30000000,859122.13537400,0,2019-04-05,2019-04-05 23:59:59.999
1554508800000,0.01898000,0.01935000,0.01813000,0.01835000,217721772.40000000,1554595199999,4099589.12785600,9355,153356010.00000000,2896915.08966100,0,2019-04-06,2019-04-06 23:59:59.999
1554595200000,0.01835000,0.01895000,0.01806000,0.01857000,83665025.50000000,1554681599999,1552605.38593400,7537,41673316.40000000,773960.97520500,0,2019-04-07,2019-04-07 23:59:59.999
1554681600000,0.01855000,0.01885000,0.01693000,0.01754000,126850648.70000000,1554767999999,2268336.50450200,12094,56544111.10000000,1015971.31494200,0,2019-04-08,2019-04-08 23:59:59.999
1554768000000,0.01754000,0.02005000,0.01655000,0.01806000,389787109.60000000,1554854399999,7217795.78393900,35148,194187457.10000000,3598345.84546900,0,2019-04-09,2019-04-09 23:59:59.999
1554854400000,0.01805000,0.01955000,0.01708000,0.01796000,210663746.10000000,1554940799999,3847188.46279300,21343,94609731.10000000,1738996.50327100,0,2019-04-10,2019-04-10 23:59:59.999
1554940800000,0.01796000,0.01896000,0.01673000,0.01789000,229916276.00000000,1555027199999,4102090.03236800,20559,112039595.60000000,2007991.75765800,0,2019-04-11,2019-04-11 23:59:59.999
1555027200000,0.01789000,0.01910000,0.01738000,0.01815000,249665800.90000000,1555113599999,4604506.16393900,18548,106684065.70000000,1970752.30160300,0,2019-04-12,2019-04-12 23:59:59.999
1555113600000,0.01814000,0.01898000,0.01788000,0.01831000,87994090.60000000,1555199999999,1615829.96056900,7923,40599596.20000000,747794.17004300,0,2019-04-13,2019-04-13 23:59:59.999
1555200000000,0.01830000,0.01834000,0.01725000,0.01768000,90617494.30000000,1555286399999,1603507.94671000,6939,39331439.60000000,696920.79634700,0,2019-04-14,2019-04-14 23:59:59.999
1555286400000,0.01768000,0.01811000,0.01694000,0.01704000,104430561.60000000,1555372799999,1840266.78767400,8292,38145386.30000000,675432.63808900,0,2019-04-15,2019-04-15 23:59:59.999
1555372800000,0.01702000,0.01780000,0.01687000,0.01719000,58355019.80000000,1555459199999,998627.21550600,5293,28272273.70000000,485125.51782900,0,2019-04-16,2019-04-16 23:59:59.999
1555459200000,0.01719000,0.01900000,0.01711000,0.01800000,208995738.60000000,1555545599999,3777044.64527800,13889,117577718.90000000,2126804.63414700,0,2019-04-17,2019-04-17 23:59:59.999
1555545600000,0.01798000,0.01840000,0.01759000,0.01783000,106119652.80000000,1555631999999,1908365.39663700,8389,42195188.30000000,760176.83810000,0,2019-04-18,2019-04-18 23:59:59.999
1555632000000,0.01781000,0.01811000,0.01740000,0.01766000,74938167.40000000,1555718399999,1327255.85911900,6245,33886743.00000000,601301.50302400,0,2019-04-19,2019-04-19 23:59:59.999
1555718400000,0.01770000,0.01793000,0.01730000,0.01774000,46744133.20000000,1555804799999,823724.04039300,4332,20576240.20000000,363206.61723400,0,2019-04-20,2019-04-20 23:59:59.999
1555804800000,0.01773000,0.01863000,0.01680000,0.01747000,187977881.50000000,1555891199999,3339068.34216400,12636,98592504.50000000,1754874.21793900,0,2019-04-21,2019-04-21 23:59:59.999
1555891200000,0.01742000,0.01809000,0.01711000,0.01777000,98181800.50000000,1555977599999,1738351.78203900,8880,48433512.90000000,859759.99012200,0,2019-04-22,2019-04-22 23:59:59.999
1555977600000,0.01776000,0.01849000,0.01722000,0.01722000,116472785.80000000,1556063999999,2080686.33259700,9407,59973769.30000000,1075594.01576200,0,2019-04-23,2019-04-23 23:59:59.999
1556064000000,0.01723000,0.01742000,0.01341000,0.01427000,425913465.00000000,1556150399999,6316885.82512900,32399,172920906.30000000,2578001.75727000,0,2019-04-24,2019-04-24 23:59:59.999
1556150400000,0.01427000,0.01461000,0.01200000,0.01234000,283595912.00000000,1556236799999,3826999.75312300,14647,103358672.20000000,1401804.35306800,0,2019-04-25,2019-04-25 23:59:59.999
1556236800000,0.01230000,0.01259000,0.01098000,0.01148000,204555180.50000000,1556323199999,2403478.78563500,8619,85580542.80000000,1006699.95957200,0,2019-04-26,2019-04-26 23:59:59.999
1556323200000,0.01147000,0.01195000,0.01059000,0.01145000,121958998.20000000,1556409599999,1375663.01119900,5502,57640986.30000000,653072.54657800,0,2019-04-27,2019-04-27 23:59:59.999
1556409600000,0.01145000,0.01268000,0.01098000,0.01125000,319528412.50000000,1556495999999,3757112.24245700,10631,149172727.80000000,1761552.86489300,0,2019-04-28,2019-04-28 23:59:59.999
1556496000000,0.01125000,0.01144000,0.00918000,0.00925000,171181355.10000000,1556582399999,1773926.59453300,7952,66899669.30000000,697517.10104100,0,2019-04-29,2019-04-29 23:59:59.999
1556582400000,0.00925000,0.01051000,0.00921000,0.00994000,171938896.80000000,1556668799999,1685198.27534600,8075,82926025.90000000,814027.38231500,0,2019-04-30,2019-04-30 23:59:59.999
1556668800000,0.00992000,0.01028000,0.00951000,0.00984000,77174570.20000000,1556755199999,767927.08078200,3534,30456325.50000000,303807.73896000,0,2019-05-01,2019-05-01 23:59:59.999
1556755200000,0.00984000,0.01012000,0.00950000,0.00959000,83174583.60000000,1556841599999,810931.87007800,3014,33746937.00000000,330148.21560200,0,2019-05-02,2019-05-02 23:59:59.999
1556841600000,0.00959000,0.00967000,0.00923000,0.00949000,87228546.90000000,1556927999999,826460.51093000,3547,45591315.20000000,432668.62362900,0,2019-05-03,2019-05-03 23:59:59.999
1556928000000,0.00948000,0.00971000,0.00864000,0.00871000,90468291.90000000,1557014399999,819102.58215500,3773,44783600.10000000,405310.92961500,0,2019-05-04,2019-05-04 23:59:59.999
1557014400000,0.00871000,0.00944000,0.00864000,0.00918000,125049216.20000000,1557100799999,1130997.80183600,4302,67081196.60000000,608965.53095900,0,2019-05-05,2019-05-05 23:59:59.999
1557100800000,0.00917000,0.00948000,0.00879000,0.00896000,115148435.70000000,1557187199999,1045013.61574400,4195,48133336.60000000,437731.06731600,0,2019-05-06,2019-05-06 23:59:59.999
1557187200000,0.00903000,0.00928000,0.00835000,0.00842000,140174163.00000000,1557273599999,1238633.92530300,4759,56664959.90000000,502686.34226300,0,2019-05-07,2019-05-07 23:59:59.999
1557273600000,0.00841000,0.00848000,0.00789000,0.00814000,96967673.70000000,1557359999999,795453.09574300,3330,43693171.60000000,358607.96276200,0,2019-05-08,2019-05-08 23:59:59.999
1557360000000,0.00816000,0.00818000,0.00715000,0.00733000,105454686.60000000,1557446399999,796321.54193100,4514,41398343.00000000,315179.19982600,0,2019-05-09,2019-05-09 23:59:59.999
1557446400000,0.00732000,0.00810000,0.00725000,0.00790000,142142472.40000000,1557532799999,1098714.39181900,4519,65323497.60000000,506155.11331100,0,2019-05-10,2019-05-10 23:59:59.999
1557532800000,0.00790000,0.00885000,0.00776000,0.00827000,349201840.90000000,1557619199999,2875152.30718400,10732,192314296.40000000,1594719.88474300,0,2019-05-11,2019-05-11 23:59:59.999
1557619200000,0.00822000,0.01068000,0.00794000,0.00892000,1190797156.90000000,1557705599999,11262821.22582600,22171,786621037.30000000,7464029.15448400,0,2019-05-12,2019-05-12 23:59:59.999
1557705600000,0.00888000,0.00999000,0.00871000,0.00919000,552109570.00000000,1557791999999,5202348.12932500,14748,259016136.90000000,2452579.37366400,0,2019-05-13,2019-05-13 23:59:59.999
1557792000000,0.00916000,0.01259000,0.00910000,0.01216000,686353881.60000000,1557878399999,7226254.85680400,24199,356361167.30000000,3773627.88552800,0,2019-05-14,2019-05-14 23:59:59.999
1557878400000,0.01214000,0.01360000,0.01102000,0.01291000,427598313.40000000,1557964799999,5233818.40850700,18476,214777104.40000000,2641470.07253000,0,2019-05-15,2019-05-15 23:59:59.999
