open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1567728000000,0.00743000,0.01459800,0.00720000,0.00836100,286576059.00000000,1567814399999,3047587.80033500,9483,122223429.00000000,1305167.62949900,0,2019-09-06,2019-09-06 23:59:59.999
1567814400000,0.00836200,0.01223600,0.00815200,0.01092800,211928388.00000000,1567900799999,2245664.33319400,7753,91314882.00000000,965090.09636100,0,2019-09-07,2019-09-07 23:59:59.999
1567900800000,0.01094900,0.01160000,0.00955000,0.00984000,77348579.00000000,1567987199999,802607.16507000,3146,29548278.00000000,304972.35136600,0,2019-09-08,2019-09-08 23:59:59.999
1567987200000,0.00983700,0.00983700,0.00830000,0.00855000,70283508.00000000,1568073599999,621999.76499800,2984,22934272.00000000,204956.54436800,0,2019-09-09,2019-09-09 23:59:59.999
1568073600000,0.00854600,0.00874400,0.00754400,0.00786200,52521969.00000000,1568159999999,427828.88818900,2256,19098112.00000000,155822.18454200,0,2019-09-10,2019-09-10 23:59:59.999
1568160000000,0.00786200,0.00802500,0.00655500,0.00667200,45842609.00000000,1568246399999,329780.04522200,2131,19490136.00000000,139488.91413900,0,2019-09-11,2019-09-11 23:59:59.999
1568246400000,0.00658500,0.00683400,0.00580000,0.00583500,64466707.00000000,1568332799999,405294.84952700,2131,27332067.00000000,172709.17552200,0,2019-09-12,2019-09-12 23:59:59.999
1568332800000,0.00583600,0.00664800,0.00580000,0.00622800,39875617.00000000,1568419199999,247378.08359900,1769,19854990.00000000,122863.11920800,0,2019-09-13,2019-09-13 23:59:59.999
1568419200000,0.00610100,0.00636100,0.00581500,0.00614200,12567616.00000000,1568505599999,76321.69818900,814,4745913.00000000,28933.72608800,0,2019-09-14,2019-09-14 23:59:59.999
1568505600000,0.00614100,0.00725900,0.00609000,0.00720000,61371578.00000000,1568591999999,419236.63515300,2408,31284786.00000000,212931.51613900,0,2019-09-15,2019-09-15 23:59:59.999
1568592000000,0.00715300,0.00740000,0.00652400,0.00684200,49741341.00000000,1568678399999,342697.22394800,1921,17703803.00000000,121991.61049500,0,2019-09-16,2019-09-16 23:59:59.999
1568678400000,0.00683700,0.00785000,0.00630000,0.00690000,75660787.00000000,1568764799999,543911.95049600,2630,31591262.00000000,227816.62000600,0,2019-09-17,2019-09-17 23:59:59.999
1568764800000,0.00694300,0.00723200,0.00676300,0.00679000,36126443.00000000,1568851199999,252974.57321300,2535,18698584.00000000,131061.67773100,0,2019-09-18,2019-09-18 23:59:59.999
1568851200000,0.00678600,0.00681600,0.00635000,0.00647600,20953690.00000000,1568937599999,136810.37816600,1942,7884088.00000000,51584.19961000,0,2019-09-19,2019-09-19 23:59:59.999
1568937600000,0.00647800,0.00651900,0.00605000,0.00629900,25424621.00000000,1569023999999,159722.79005800,2090,8032585.00000000,50586.25882700,0,2019-09-20,2019-09-20 23:59:59.999
1569024000000,0.00628100,0.00647900,0.00614300,0.00619700,16236506.00000000,1569110399999,102213.71446900,1256,6148186.00000000,38728.33157500,0,2019-09-21,2019-09-21 23:59:59.999
1569110400000,0.00619900,0.00621700,0.00568200,0.00569900,26765961.00000000,1569196799999,156712.61297500,1657,10339737.00000000,60585.56091800,0,2019-09-22,2019-09-22 23:59:59.999
1569196800000,0.00568900,0.00587900,0.00532400,0.00536000,18329894.00000000,1569283199999,103918.10186000,1122,9176280.00000000,52062.17228300,0,2019-09-23,2019-09-23 23:59:59.999
1569283200000,0.00535900,0.00608200,0.00392100,0.00432300,31642337.00000000,1569369599999,154125.73123500,2158,13618622.00000000,68374.08632600,0,2019-09-24,2019-09-24 23:59:59.999
1569369600000,0.00435400,0.00453900,0.00391900,0.00437200,15895034.00000000,1569455999999,67313.42898400,1111,7649412.00000000,32316.18830700,0,2019-09-25,2019-09-25 23:59:59.999
1569456000000,0.00432200,0.00459700,0.00380000,0.00407800,28572742.00000000,1569542399999,120664.91888300,2204,14200217.00000000,60714.51014100,0,2019-09-26,2019-09-26 23:59:59.999
1569542400000,0.00407800,0.00429900,0.00391000,0.00407600,17474812.00000000,1569628799999,71690.32904100,812,8169053.00000000,33625.23272200,0,2019-09-27,2019-09-27 23:59:59.999
1569628800000,0.00407600,0.00435600,0.00406100,0.00422500,11882164.00000000,1569715199999,50047.62352200,835,6467353.00000000,27288.73703400,0,2019-09-28,2019-09-28 23:59:59.999
1569715200000,0.00422500,0.00437600,0.00400300,0.00411000,11304058.00000000,1569801599999,47261.52007500,645,4985807.00000000,21020.36270400,0,2019-09-29,2019-09-29 23:59:59.999
1569801600000,0.00414500,0.00427500,0.00398000,0.00423900,10391601.00000000,1569887999999,42731.81737900,595,4190632.00000000,17360.08521300,0,2019-09-30,2019-09-30 23:59:59.999
1569888000000,0.00424600,0.00476700,0.00422100,0.00462600,25724245.00000000,1569974399999,115889.63165400,1940,13452293.00000000,60674.82401900,0,2019-10-01,2019-10-01 23:59:59.999
1569974400000,0.00462100,0.00479000,0.00410000,0.00449000,54942713.00000000,1570060799999,245459.24001000,2084,24120340.00000000,107786.65820200,0,2019-10-02,2019-10-02 23:59:59.999
1570060800000,0.00449000,0.00465000,0.00417500,0.00436800,16048366.00000000,1570147199999,70720.92130200,1037,8258789.00000000,36517.01905800,0,2019-10-03,2019-10-03 23:59:59.999
1570147200000,0.00432200,0.00460000,0.00419000,0.00433600,20684052.00000000,1570233599999,90753.86637500,1647,12431404.00000000,54456.47042200,0,2019-10-04,2019-10-04 23:59:59.999
1570233600000,0.00430400,0.00454200,0.00424000,0.00440100,12894454.00000000,1570319999999,56547.59783600,1038,7286946.00000000,31969.74020500,0,2019-10-05,2019-10-05 23:59:59.999
1570320000000,0.00440900,0.00454000,0.00430000,0.00437600,8452158.00000000,1570406399999,37055.92733200,725,3731005.00000000,16467.91122300,0,2019-10-06,2019-10-06 23:59:59.999
1570406400000,0.00437400,0.00518900,0.00426600,0.00485500,22756403.00000000,1570492799999,107480.24486300,2141,12096390.00000000,56909.97654500,0,2019-10-07,2019-10-07 23:59:59.999
1570492800000,0.00485000,0.00511800,0.00462100,0.00503800,19155627.00000000,1570579199999,93086.58538300,1796,9717076.00000000,47453.06487700,0,2019-10-08,2019-10-08 23:59:59.999
1570579200000,0.00503900,0.00515000,0.00468900,0.00498500,24120648.00000000,1570665599999,119537.84577100,2146,13477626.00000000,66687.12274600,0,2019-10-09,2019-10-09 23:59:59.999
1570665600000,0.00499700,0.00523100,0.00480000,0.00490100,15614478.00000000,1570751999999,77553.12147700,1463,8680184.00000000,43138.55568500,0,2019-10-10,2019-10-10 23:59:59.999
1570752000000,0.00489000,0.00513800,0.00473100,0.00490100,9318278.00000000,1570838399999,45386.12502900,810,3576113.00000000,17504.50099700,0,2019-10-11,2019-10-11 23:59:59.999
1570838400000,0.00492100,0.00515800,0.00488700,0.00502400,7031923.00000000,1570924799999,35198.37310100,463,4689808.00000000,23491.28500300,0,2019-10-12,2019-10-12 23:59:59.999
1570924800000,0.00502400,0.00511800,0.00490100,0.00496900,8554044.00000000,1571011199999,42482.94974000,415,3629647.00000000,18086.41980400,0,2019-10-13,2019-10-13 23:59:59.999
1571011200000,0.00496100,0.00543900,0.00490100,0.00522000,7435433.00000000,1571097599999,38252.72459100,672,3385005.00000000,17380.99076400,0,2019-10-14,2019-10-14 23:59:59.999
1571097600000,0.00522000,0.00580000,0.00510000,0.00552100,20915055.00000000,1571183999999,115440.51858000,1529,9451363.00000000,52442.70955800,0,2019-10-15,2019-10-15 23:59:59.999
1571184000000,0.00550100,0.00689900,0.00542200,0.00655100,53573207.00000000,1571270399999,333705.81641100,3156,24329767.00000000,152538.61078500,0,2019-10-16,2019-10-16 23:59:59.999
1571270400000,0.00656400,0.00690000,0.00594100,0.00661200,44848880.00000000,1571356799999,289163.93731800,3279,20879149.00000000,134926.46006600,0,2019-10-17,2019-10-17 23:59:59.999
1571356800000,0.00661800,0.00925000,0.00659100,0.00854000,186083293.00000000,1571443199999,1513990.96555400,10264,90208860.00000000,734022.79541500,0,2019-10-18,2019-10-18 23:59:59.999
1571443200000,0.00854600,0.00950000,0.00751800,0.00757000,138423765.00000000,1571529599999,1189867.71781200,8234,67895616.00000000,584925.83326500,0,2019-10-19,2019-10-19 23:59:59.999
1571529600000,0.00756100,0.01045900,0.00751400,0.00986000,135892851.00000000,1571615999999,1257584.87176800,8416,65866229.00000000,608056.81803900,0,2019-10-20,2019-10-20 23:59:59.999
1571616000000,0.00987900,0.01080700,0.00910800,0.00944700,129373014.00000000,1571702399999,1267163.86554100,6017,55973656.00000000,548502.13543900,0,2019-10-21,2019-10-21 23:59:59.999
1571702400000,0.00944700,0.01013900,0.00935000,0.00937000,54583076.00000000,1571788799999,532045.91995600,3785,27581192.00000000,269030.59640300,0,2019-10-22,2019-10-22 23:59:59.999
1571788800000,0.00937000,0.00942900,0.00799500,0.00846800,65593209.00000000,1571875199999,577601.36340900,3471,24018408.00000000,211487.25915800,0,2019-10-23,2019-10-23 23:59:59.999
1571875200000,0.00847500,0.00857900,0.00785000,0.00829900,31493438.00000000,1571961599999,259132.42455300,1778,15818228.00000000,130267.34944200,0,2019-10-24,2019-10-24 23:59:59.999
1571961600000,0.00824100,0.01152800,0.00760400,0.01075100,205638703.00000000,1572047999999,2035633.03891200,10599,108613857.00000000,1078210.26190700,0,2019-10-25,2019-10-25 23:59:59.999
1572048000000,0.01075000,0.01200000,0.01000000,0.01053000,120965639.00000000,1572134399999,1322954.11061900,7101,56228233.00000000,617824.53977200,0,2019-10-26,2019-10-26 23:59:59.999
1572134400000,0.01059300,0.01099000,0.01000000,0.01018100,36035627.00000000,1572220799999,375232.92710600,3187,16394230.00000000,171973.06022300,0,2019-10-27,2019-10-27 23:59:59.999
1572220800000,0.01019900,0.01030000,0.00950000,0.00950000,48768773.00000000,1572307199999,481302.29631300,3341,21004324.00000000,207239.64070600,0,2019-10-28,2019-10-28 23:59:59.999
1572307200000,0.00948300,0.01115900,0.00948200,0.01095300,61756299.00000000,1572393599999,645924.63630300,4195,31239390.00000000,326720.59708100,0,2019-10-29,2019-10-29 23:59:59.999
1572393600000,0.01098400,0.01140000,0.01050000,0.01076100,46569723.00000000,1572479999999,508385.04622900,3494,19787378.00000000,216521.53322400,0,2019-10-30,2019-10-30 23:59:59.999
1572480000000,0.01076200,0.01145200,0.01044100,0.01072500,27181730.00000000,1572566399999,296564.97159200,2281,13567541.00000000,148581.65265800,0,2019-10-31,2019-10-31 23:59:59.999
1572566400000,0.01072500,0.01181500,0.01060000,0.01172100,36443917.00000000,1572652799999,412243.71771500,2496,16369555.00000000,185391.85148500,0,2019-11-01,2019-11-01 23:59:59.999
1572652800000,0.01172100,0.01462000,0.01172100,0.01397900,108698045.00000000,1572739199999,1447246.78337400,8304,49766630.00000000,662497.61500500,0,2019-11-02,2019-11-02 23:59:59.999
