open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1603756800000,0.77000000,4.80000000,0.77000000,1.36440000,16159838.29000000,1603843199999,26818328.83673000,98330,7937182.50000000,13242188.41004600,0,2020-10-27,2020-10-27 23:59:59.999
1603843200000,1.35820000,1.38760000,0.88000000,0.99650000,6727531.82000000,1603929599999,7157044.58807900,31776,2827576.41000000,3010429.86137200,0,2020-10-28,2020-10-28 23:59:59.999
1603929600000,0.99650000,1.18500000,0.78220000,0.99670000,7302733.98000000,1604015999999,6919945.96712300,47770,2511735.93000000,2357198.62924700,0,2020-10-29,2020-10-29 23:59:59.999
1604016000000,0.99680000,1.07090000,0.80000000,0.88180000,3805578.55000000,1604102399999,3445358.57104400,17572,1433618.68000000,1290630.63542800,0,2020-10-30,2020-10-30 23:59:59.999
1604102400000,0.88160000,0.93720000,0.83340000,0.86450000,1092528.51000000,1604188799999,962729.80830000,7264,463899.08000000,409920.56392600,0,2020-10-31,2020-10-31 23:59:59.999
1604188800000,0.86370000,0.88490000,0.77300000,0.82960000,1837288.18000000,1604275199999,1526480.65356500,9981,727666.89000000,602643.70848700,0,2020-11-01,2020-11-01 23:59:59.999
1604275200000,0.83080000,0.86000000,0.77010000,0.84700000,2962241.96000000,1604361599999,2405514.03952500,14266,1454516.94000000,1181981.27251900,0,2020-11-02,2020-11-02 23:59:59.999
1604361600000,0.84700000,0.90000000,0.69010000,0.74910000,8002521.32000000,1604447999999,6091437.66949900,32667,4010052.89000000,3003349.99866700,0,2020-11-03,2020-11-03 23:59:59.999
1604448000000,0.75760000,0.76320000,0.72070000,0.74700000,3143362.84000000,1604534399999,2337140.57961000,18919,1683086.80000000,1251910.29353200,0,2020-11-04,2020-11-04 23:59:59.999
1604534400000,0.75010000,0.77000000,0.70630000,0.76030000,2887717.71000000,1604620799999,2162630.10408100,8964,1363383.09000000,1022326.24703700,0,2020-11-05,2020-11-05 23:59:59.999
1604620800000,0.75720000,0.83980000,0.70010000,0.78000000,3805217.67000000,1604707199999,2909084.28354500,13543,1817251.93000000,1393103.27357200,0,2020-11-06,2020-11-06 23:59:59.999
1604707200000,0.78000000,0.86000000,0.74000000,0.79330000,4774610.65000000,1604793599999,3812987.98003400,23527,2312526.94000000,1838814.18708100,0,2020-11-07,2020-11-07 23:59:59.999
