open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1587600000000,0.01506000,0.09800000,0.01506000,0.05731000,530505208.40000000,1587686399999,35182998.58033000,109129,238177436.90000000,15843172.99411200,0,2020-04-23,2020-04-23 23:59:59.999
1587686400000,0.05731000,0.06388000,0.05064000,0.05171000,126658921.00000000,1587772799999,7278102.45876700,25675,52795810.90000000,3045084.73825400,0,2020-04-24,2020-04-24 23:59:59.999
1587772800000,0.05176000,0.05600000,0.05089000,0.05198000,60880303.80000000,1587859199999,3225266.65031700,11321,26717170.80000000,1423003.10413200,0,2020-04-25,2020-04-25 23:59:59.999
1587859200000,0.05198000,0.05436000,0.04510000,0.04636000,80267163.10000000,1587945599999,3992729.57734000,14124,31462882.40000000,1578048.99074400,0,2020-04-26,2020-04-26 23:59:59.999
1587945600000,0.04645000,0.04669000,0.03861000,0.04191000,90008813.90000000,1588031999999,3828270.86505900,15211,37837027.70000000,1613518.94961500,0,2020-04-27,2020-04-27 23:59:59.999
1588032000000,0.04191000,0.04980000,0.03904000,0.04101000,128555005.00000000,1588118399999,5677385.61719300,18106,61642667.80000000,2725851.12506200,0,2020-04-28,2020-04-28 23:59:59.999
1588118400000,0.04100000,0.04561000,0.03975000,0.04160000,77503703.10000000,1588204799999,3275279.10137700,13513,33051654.20000000,1400583.42881900,0,2020-04-29,2020-04-29 23:59:59.999
1588204800000,0.04160000,0.04411000,0.03868000,0.03960000,60379275.40000000,1588291199999,2473424.07094800,12595,22836218.90000000,944351.44098600,0,2020-04-30,2020-04-30 23:59:59.999
1588291200000,0.03947000,0.04170000,0.03702000,0.03920000,31746955.20000000,1588377599999,1249838.02959100,6220,14215947.50000000,561064.89143800,0,2020-05-01,2020-05-01 23:59:59.999
1588377600000,0.03918000,0.03969000,0.03656000,0.03755000,20869197.50000000,1588463999999,789579.68836700,5077,9466361.00000000,359068.28347000,0,2020-05-02,2020-05-02 23:59:59.999
1588464000000,0.03752000,0.03815000,0.03382000,0.03745000,31198843.60000000,1588550399999,1127217.03774600,6730,13512292.10000000,488306.78707600,0,2020-05-03,2020-05-03 23:59:59.999
1588550400000,0.03744000,0.04112000,0.03390000,0.03789000,59845238.70000000,1588636799999,2264386.37845900,10818,28256692.00000000,1074979.37970200,0,2020-05-04,2020-05-04 23:59:59.999
1588636800000,0.03789000,0.04111000,0.03629000,0.03731000,44610026.10000000,1588723199999,1716018.60563700,8624,19734200.20000000,763680.07114400,0,2020-05-05,2020-05-05 23:59:59.999
1588723200000,0.03731000,0.03942000,0.03457000,0.03457000,28419853.80000000,1588809599999,1052460.88763800,5604,12127673.50000000,452330.22493800,0,2020-05-06,2020-05-06 23:59:59.999
1588809600000,0.03457000,0.03560000,0.03101000,0.03223000,26032105.30000000,1588895999999,864793.10099100,5187,10658061.90000000,354397.91915200,0,2020-05-07,2020-05-07 23:59:59.999
1588896000000,0.03223000,0.03385000,0.03067000,0.03214000,19856403.70000000,1588982399999,637889.17419400,3956,8139506.00000000,262698.51984800,0,2020-05-08,2020-05-08 23:59:59.999
1588982400000,0.03190000,0.03446000,0.03154000,0.03219000,18005208.40000000,1589068799999,589212.99340100,2951,7160288.20000000,234391.75101300,0,2020-05-09,2020-05-09 23:59:59.999
1589068800000,0.03235000,0.03239000,0.02639000,0.02921000,24370566.70000000,1589155199999,702633.45752500,4804,10717027.60000000,306521.36395000,0,2020-05-10,2020-05-10 23:59:59.999
1589155200000,0.02921000,0.03125000,0.02713000,0.02751000,16118332.00000000,1589241599999,467206.43719100,3320,6822794.80000000,198368.44927700,0,2020-05-11,2020-05-11 23:59:59.999
1589241600000,0.02751000,0.03110000,0.02699000,0.02890000,17895866.00000000,1589327999999,521547.58617200,3425,8328690.40000000,243287.25205600,0,2020-05-12,2020-05-12 23:59:59.999
1589328000000,0.02900000,0.03016000,0.02843000,0.02978000,11061721.70000000,1589414399999,323722.55090800,2040,4952982.30000000,145416.71711800,0,2020-05-13,2020-05-13 23:59:59.999
1589414400000,0.02978000,0.03066000,0.02826000,0.02854000,12654325.60000000,1589500799999,368898.53337200,2450,5311986.20000000,155757.20503900,0,2020-05-14,2020-05-14 23:59:59.999
1589500800000,0.02864000,0.02944000,0.02777000,0.02793000,6969870.40000000,1589587199999,199848.45362800,1314,2599549.40000000,74696.75754200,0,2020-05-15,2020-05-15 23:59:59.999
1589587200000,0.02815000,0.02902000,0.02766000,0.02888000,6972997.90000000,1589673599999,199824.52698200,1268,3462434.10000000,99732.57659600,0,2020-05-16,2020-05-16 23:59:59.999
1589673600000,0.02898000,0.03989000,0.02891000,0.03710000,51217692.50000000,1589759999999,1722524.72556400,10065,28971582.10000000,973949.71319200,0,2020-05-17,2020-05-17 23:59:59.999
1589760000000,0.03710000,0.04200000,0.03540000,0.03601000,70954549.70000000,1589846399999,2745351.91611700,14444,33493475.80000000,1299416.13779200,0,2020-05-18,2020-05-18 23:59:59.999
1589846400000,0.03602000,0.03962000,0.03341000,0.03793000,53704827.10000000,1589932799999,1949749.36904500,9839,24218386.10000000,886936.91458000,0,2020-05-19,2020-05-19 23:59:59.999
1589932800000,0.03778000,0.04058000,0.03521000,0.03901000,47233419.70000000,1590019199999,1803404.24782100,10368,23653641.70000000,905230.54022500,0,2020-05-20,2020-05-20 23:59:59.999
1590019200000,0.03901000,0.04366000,0.03201000,0.03282000,57820058.10000000,1590105599999,2179068.75243100,12078,23215566.70000000,884821.08272400,0,2020-05-21,2020-05-21 23:59:59.999
1590105600000,0.03300000,0.03689000,0.03210000,0.03361000,33644934.90000000,1590191999999,1137260.92692500,6722,13329482.90000000,453373.07245100,0,2020-05-22,2020-05-22 23:59:59.999
1590192000000,0.03366000,0.03490000,0.03210000,0.03254000,12711586.50000000,1590278399999,423185.99013800,2635,5202661.50000000,173555.25643000,0,2020-05-23,2020-05-23 23:59:59.999
1590278400000,0.03255000,0.03400000,0.03040000,0.03068000,15559085.40000000,1590364799999,510994.14648500,3366,6310015.20000000,208476.88581000,0,2020-05-24,2020-05-24 23:59:59.999
1590364800000,0.03040000,0.03484000,0.02962000,0.03376000,25887493.10000000,1590451199999,834955.61839800,5201,12169059.40000000,395185.86735100,0,2020-05-25,2020-05-25 23:59:59.999
1590451200000,0.03387000,0.03676000,0.03181000,0.03242000,31828475.40000000,1590537599999,1095803.69055200,7298,13498954.10000000,465314.55302100,0,2020-05-26,2020-05-26 23:59:59.999
1590537600000,0.03240000,0.03314000,0.03100000,0.03123000,15985995.60000000,1590623999999,510814.73780000,3919,5702522.60000000,182734.41785900,0,2020-05-27,2020-05-27 23:59:59.999
1590624000000,0.03124000,0.03260000,0.03000000,0.03125000,14618964.50000000,1590710399999,458470.83196400,4632,5428001.40000000,171231.73823000,0,2020-05-28,2020-05-28 23:59:59.999
1590710400000,0.03121000,0.03797000,0.03090000,0.03589000,47464691.40000000,1590796799999,1625670.98318600,11550,24333723.90000000,834204.41079500,0,2020-05-29,2020-05-29 23:59:59.999
1590796800000,0.03606000,0.03720000,0.03325000,0.03444000,28277049.60000000,1590883199999,994693.81441500,7714,11649033.50000000,410997.93993100,0,2020-05-30,2020-05-30 23:59:59.999
