open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1566864000000,0.04800000,0.04998000,0.04512000,0.04608000,862063.00000000,1566950399999,40321.16455700,610,293913.40000000,13754.77711200,0,2019-08-27,2019-08-27 23:59:59.999
1566950400000,0.04608000,0.04875000,0.04010000,0.04063000,959452.60000000,1567036799999,41231.33479300,810,352119.90000000,15093.70884500,0,2019-08-28,2019-08-28 23:59:59.999
1567036800000,0.04078000,0.04347000,0.03781000,0.04125000,1102846.60000000,1567123199999,44368.06081900,1142,406845.50000000,16392.90601300,0,2019-08-29,2019-08-29 23:59:59.999
1567123200000,0.04125000,0.04790000,0.04000000,0.04220000,3979079.20000000,1567209599999,174733.63410000,2480,1640329.80000000,71862.19716100,0,2019-08-30,2019-08-30 23:59:59.999
1567209600000,0.04204000,0.04227000,0.03981000,0.04075000,566437.10000000,1567295999999,23102.21422700,573,312951.50000000,12726.22713500,0,2019-08-31,2019-08-31 23:59:59.999
1567296000000,0.04167000,0.04167000,0.03950000,0.04110000,236552.40000000,1567382399999,9524.41689900,300,60970.50000000,2470.19832800,0,2019-09-01,2019-09-01 23:59:59.999
1567382400000,0.04125000,0.04231000,0.03964000,0.04139000,1043043.10000000,1567468799999,42791.43735000,520,456944.90000000,18509.55134100,0,2019-09-02,2019-09-02 23:59:59.999
1567468800000,0.04139000,0.04199000,0.04075000,0.04194000,411062.80000000,1567555199999,17020.50030000,342,174551.50000000,7268.16390000,0,2019-09-03,2019-09-03 23:59:59.999
1567555200000,0.04135000,0.04806000,0.04121000,0.04210000,1082448.80000000,1567641599999,46427.98426500,751,472542.50000000,20226.03567700,0,2019-09-04,2019-09-04 23:59:59.999
1567641600000,0.04210000,0.04219000,0.03904000,0.04040000,678847.90000000,1567727999999,27559.21086000,572,216605.10000000,8929.32270000,0,2019-09-05,2019-09-05 23:59:59.999
1567728000000,0.04040000,0.04045000,0.03732000,0.03902000,581028.10000000,1567814399999,22601.00958100,379,326952.90000000,12762.66017500,0,2019-09-06,2019-09-06 23:59:59.999
