open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1596067200000,15.44600000,22.90000000,6.00200000,15.66500000,2899.77900000,1596153599999,46202.14947900,530,958.39300000,16393.64463200,0,2020-07-30,2020-07-30 23:59:59.999
1596153600000,15.66400000,15.80000000,15.13300000,15.29800000,4514.69800000,1596239999999,69681.68635900,583,2179.15800000,33696.71969500,0,2020-07-31,2020-07-31 23:59:59.999
1596240000000,15.29800000,17.57700000,15.19900000,17.17700000,5597.19600000,1596326399999,90098.46087500,1396,2823.16500000,45184.68322500,0,2020-08-01,2020-08-01 23:59:59.999
1596326400000,17.17800000,25.00000000,13.99800000,15.69200000,13649.93100000,1596412799999,232703.07683300,2566,7827.76500000,135925.51042100,0,2020-08-02,2020-08-02 23:59:59.999
1596412800000,15.57100000,17.17500000,15.50000000,16.75400000,10201.94100000,1596499199999,166703.32616900,1686,4846.33400000,79185.32077700,0,2020-08-03,2020-08-03 23:59:59.999
1596499200000,16.75300000,17.99000000,15.83300000,16.32500000,6714.77600000,1596585599999,110216.83486700,2137,2475.19600000,40993.60574600,0,2020-08-04,2020-08-04 23:59:59.999
1596585600000,16.30600000,17.04300000,15.90900000,16.75900000,8399.97100000,1596671999999,136164.08709600,965,4286.25500000,69375.42210300,0,2020-08-05,2020-08-05 23:59:59.999
1596672000000,16.49900000,16.79600000,16.26100000,16.61300000,2465.63200000,1596758399999,40786.74144300,494,1181.34900000,19602.73923300,0,2020-08-06,2020-08-06 23:59:59.999
1596758400000,16.48200000,16.60000000,15.42800000,16.02200000,6256.31700000,1596844799999,101871.59171000,903,3277.28200000,53517.27024000,0,2020-08-07,2020-08-07 23:59:59.999
1596844800000,16.12900000,16.54600000,15.92200000,16.24300000,3350.94300000,1596931199999,54314.33087500,482,591.03700000,9634.09208100,0,2020-08-08,2020-08-08 23:59:59.999
1596931200000,16.39800000,16.70300000,16.05100000,16.49100000,8195.97100000,1597017599999,134394.36524800,944,2796.33900000,45806.36332500,0,2020-08-09,2020-08-09 23:59:59.999
1597017600000,16.48300000,16.99900000,16.02600000,16.74500000,11718.08900000,1597103999999,192737.29080800,1188,4088.62100000,67623.75054800,0,2020-08-10,2020-08-10 23:59:59.999
1597104000000,16.66800000,16.86100000,15.46000000,15.99900000,11830.15900000,1597190399999,192551.80442900,1201,4471.21900000,72473.83039400,0,2020-08-11,2020-08-11 23:59:59.999
1597190400000,15.83400000,15.98500000,15.22000000,15.93200000,5919.97300000,1597276799999,92662.29823500,812,2130.32000000,33440.08972500,0,2020-08-12,2020-08-12 23:59:59.999
1597276800000,15.95000000,16.80000000,15.37700000,16.76200000,16046.06500000,1597363199999,259416.64782500,2119,6472.06300000,105280.21126800,0,2020-08-13,2020-08-13 23:59:59.999
1597363200000,16.76200000,21.97000000,16.29000000,17.05900000,25059.15100000,1597449599999,429941.78016100,3712,11871.91000000,207232.72198600,0,2020-08-14,2020-08-14 23:59:59.999
1597449600000,17.05700000,17.38400000,16.48500000,16.72400000,12296.33100000,1597535999999,207720.80398900,1740,5314.30200000,89845.22088700,0,2020-08-15,2020-08-15 23:59:59.999
1597536000000,16.71700000,18.00000000,16.66500000,17.50000000,11538.47100000,1597622399999,198452.80894300,2022,4399.90600000,75870.31153400,0,2020-08-16,2020-08-16 23:59:59.999
1597622400000,17.49900000,18.50000000,17.06100000,17.68400000,14278.27300000,1597708799999,251374.79144200,3030,5986.66400000,105655.49094100,0,2020-08-17,2020-08-17 23:59:59.999
1597708800000,17.76200000,18.16000000,16.71000000,16.99600000,13550.63000000,1597795199999,234497.83873200,1903,6512.26400000,112835.56721700,0,2020-08-18,2020-08-18 23:59:59.999
1597795200000,17.00100000,17.11100000,16.11100000,16.68700000,10817.52300000,1597881599999,178481.13431100,1108,3683.90100000,61126.42012900,0,2020-08-19,2020-08-19 23:59:59.999
1597881600000,16.71000000,17.29000000,16.43300000,17.22000000,5742.26500000,1597967999999,96713.87808700,834,2725.49800000,45949.15011300,0,2020-08-20,2020-08-20 23:59:59.999
1597968000000,17.20800000,19.25000000,16.36000000,17.82900000,35248.81100000,1598054399999,635436.85920000,4985,13701.35800000,247807.52756000,0,2020-08-21,2020-08-21 23:59:59.999
1598054400000,17.76500000,24.99000000,17.60100000,20.90100000,121704.24500000,1598140799999,2548225.49115500,14559,55212.04600000,1166460.57632200,0,2020-08-22,2020-08-22 23:59:59.999
1598140800000,20.91400000,21.74000000,19.21200000,19.69400000,22506.25700000,1598227199999,445511.98059200,3739,8652.22600000,172991.65713600,0,2020-08-23,2020-08-23 23:59:59.999
1598227200000,19.61500000,20.75000000,18.53500000,19.22200000,22363.21900000,1598313599999,423998.00031300,2898,9420.57300000,178317.18529100,0,2020-08-24,2020-08-24 23:59:59.999
1598313600000,19.22200000,19.57000000,16.55300000,17.51100000,20336.99800000,1598399999999,362740.19447300,2148,9007.51500000,159305.41057600,0,2020-08-25,2020-08-25 23:59:59.999
1598400000000,17.51100000,19.50000000,17.25300000,17.90300000,7736.11300000,1598486399999,138097.91852000,1170,4054.27100000,72733.38325600,0,2020-08-26,2020-08-26 23:59:59.999
1598486400000,17.99000000,17.99700000,16.32500000,16.77500000,10460.15000000,1598572799999,177369.90418600,1348,2519.48400000,42404.55262200,0,2020-08-27,2020-08-27 23:59:59.999
1598572800000,16.77400000,17.71300000,16.58900000,17.40600000,5931.80600000,1598659199999,102417.61975400,1229,2147.49500000,37114.82312800,0,2020-08-28,2020-08-28 23:59:59.999
1598659200000,17.46400000,17.67000000,17.00000000,17.12800000,16626.42800000,1598745599999,286135.16740800,1612,11480.06900000,197400.54840200,0,2020-08-29,2020-08-29 23:59:59.999
1598745600000,17.02000000,17.44700000,16.89300000,17.38000000,6664.26400000,1598831999999,114600.94973200,728,2160.33800000,37240.89030100,0,2020-08-30,2020-08-30 23:59:59.999
1598832000000,17.40500000,17.46300000,16.46000000,17.06200000,10079.28300000,1598918399999,170630.87075500,1510,5149.70100000,87417.01627100,0,2020-08-31,2020-08-31 23:59:59.999
1598918400000,17.06200000,17.46400000,16.64300000,16.79100000,14697.26200000,1599004799999,251810.21130000,1467,5906.98900000,101224.69302900,0,2020-09-01,2020-09-01 23:59:59.999
1599004800000,16.90700000,17.02100000,15.55000000,15.94400000,11682.27100000,1599091199999,188566.28499400,2018,4579.09400000,73818.17360100,0,2020-09-02,2020-09-02 23:59:59.999
