open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1599782400000,10.00000000,10.27200000,8.33600000,8.71000000,24204.00000000,1599868799999,222135.91226000,288,17566.35000000,159472.95764000,0,2020-09-11,2020-09-11 23:59:59.999
1599868800000,8.60000000,9.45900000,5.77500000,6.18800000,105542.94000000,1599955199999,772690.20548000,1139,52115.08000000,373284.08341000,0,2020-09-12,2020-09-12 23:59:59.999
1599955200000,6.24000000,7.11800000,5.32100000,5.54000000,199357.01000000,1600041599999,1237366.20254000,1614,115283.74000000,726276.00605000,0,2020-09-13,2020-09-13 23:59:59.999
1600041600000,5.68600000,6.17700000,4.80000000,5.37400000,130698.53000000,1600127999999,695499.60622000,1371,75892.32000000,403353.59622000,0,2020-09-14,2020-09-14 23:59:59.999
1600128000000,5.37800000,6.11600000,5.16600000,6.11600000,105221.77000000,1600214399999,590358.68585000,1333,61763.53000000,348332.70176000,0,2020-09-15,2020-09-15 23:59:59.999
1600214400000,6.11600000,6.33000000,5.38400000,6.06500000,62060.91000000,1600300799999,372085.97470000,672,37663.85000000,226420.44361000,0,2020-09-16,2020-09-16 23:59:59.999
1600300800000,6.15700000,6.15700000,4.90000000,5.22700000,63461.42000000,1600387199999,340838.69281000,569,28352.92000000,152168.79012000,0,2020-09-17,2020-09-17 23:59:59.999
1600387200000,5.22700000,6.00000000,4.82700000,5.53000000,70590.93000000,1600473599999,377470.08905000,563,38587.47000000,207942.48292000,0,2020-09-18,2020-09-18 23:59:59.999
1600473600000,5.55900000,6.97900000,5.53000000,6.63700000,64019.34000000,1600559999999,401598.35072000,574,39619.03000000,247973.43866000,0,2020-09-19,2020-09-19 23:59:59.999
1600560000000,6.60500000,8.47100000,6.48600000,7.51200000,109428.93000000,1600646399999,836125.68819000,1118,71959.88000000,549824.73692000,0,2020-09-20,2020-09-20 23:59:59.999
1600646400000,7.51200000,11.04200000,7.31200000,10.05700000,463706.52000000,1600732799999,4318894.14532000,3197,227758.29000000,2121840.34518000,0,2020-09-21,2020-09-21 23:59:59.999
1600732800000,9.95700000,11.18700000,8.96700000,9.24100000,180289.65000000,1600819199999,1789965.67015000,1988,77954.33000000,776438.31713000,0,2020-09-22,2020-09-22 23:59:59.999
1600819200000,9.29000000,10.75900000,8.20000000,10.18300000,240442.09000000,1600905599999,2292651.86240000,2283,119750.97000000,1147269.38557000,0,2020-09-23,2020-09-23 23:59:59.999
1600905600000,10.20000000,10.40000000,7.59900000,7.95100000,151687.29000000,1600991999999,1294208.94302000,1653,62537.94000000,534013.75072000,0,2020-09-24,2020-09-24 23:59:59.999
1600992000000,7.98000000,8.82500000,7.05500000,7.79100000,59701.19000000,1601078399999,484847.95469000,635,29245.72000000,239807.41929000,0,2020-09-25,2020-09-25 23:59:59.999
1601078400000,7.68600000,8.82500000,7.40000000,8.32100000,42111.15000000,1601164799999,344571.18469000,405,20468.97000000,168323.60705000,0,2020-09-26,2020-09-26 23:59:59.999
