open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1599782400000,10.00000000,11.34000000,9.67200000,10.82700000,16180.64000000,1599868799999,170264.63097000,306,11377.93000000,121847.71928000,0,2020-09-11,2020-09-11 23:59:59.999
1599868800000,11.02300000,14.17200000,10.34400000,13.46100000,70120.19000000,1599955199999,844790.25938000,1180,40182.11000000,475077.27439000,0,2020-09-12,2020-09-12 23:59:59.999
1599955200000,13.52500000,15.34200000,10.98900000,13.95500000,107715.21000000,1600041599999,1382608.09052000,1952,47800.98000000,621765.93553000,0,2020-09-13,2020-09-13 23:59:59.999
1600041600000,13.80300000,15.37400000,12.62400000,13.97800000,81206.60000000,1600127999999,1142463.05022000,1479,48618.64000000,688631.37552000,0,2020-09-14,2020-09-14 23:59:59.999
1600128000000,14.38900000,14.60000000,12.50100000,12.53900000,57900.20000000,1600214399999,780842.18280000,967,29409.44000000,395810.43840000,0,2020-09-15,2020-09-15 23:59:59.999
1600214400000,12.51000000,13.54500000,12.09100000,12.46300000,45903.26000000,1600300799999,577828.70330000,794,22780.21000000,288669.84993000,0,2020-09-16,2020-09-16 23:59:59.999
1600300800000,12.57100000,14.23900000,12.54800000,13.83300000,26914.12000000,1600387199999,363525.85558000,830,16961.80000000,228749.09480000,0,2020-09-17,2020-09-17 23:59:59.999
1600387200000,13.70000000,14.37200000,12.59000000,13.37400000,29145.52000000,1600473599999,385864.54814000,756,16404.13000000,217303.86760000,0,2020-09-18,2020-09-18 23:59:59.999
1600473600000,13.33900000,13.34000000,11.11000000,11.68300000,13144.66000000,1600559999999,160488.50001000,373,6330.89000000,76187.25410000,0,2020-09-19,2020-09-19 23:59:59.999
1600560000000,11.61100000,11.73900000,9.05700000,10.17000000,50666.86000000,1600646399999,506159.09648000,764,27677.53000000,276936.99571000,0,2020-09-20,2020-09-20 23:59:59.999
1600646400000,10.26100000,10.50000000,6.77800000,7.40000000,472084.12000000,1600732799999,3760986.13421000,2098,203247.69000000,1621494.15475000,0,2020-09-21,2020-09-21 23:59:59.999
1600732800000,7.45400000,8.01100000,6.80900000,7.81200000,116160.99000000,1600819199999,863017.51562000,919,57925.84000000,431053.51332000,0,2020-09-22,2020-09-22 23:59:59.999
1600819200000,7.87500000,8.50000000,6.90000000,7.20800000,104085.83000000,1600905599999,779557.11533000,897,45611.72000000,342459.88242000,0,2020-09-23,2020-09-23 23:59:59.999
1600905600000,7.19700000,9.14100000,7.05000000,8.81500000,127432.39000000,1600991999999,1044449.69769000,1366,65585.92000000,538867.37006000,0,2020-09-24,2020-09-24 23:59:59.999
1600992000000,8.78500000,9.43000000,8.13600000,8.83600000,61134.46000000,1601078399999,532913.95366000,890,28577.38000000,247388.37243000,0,2020-09-25,2020-09-25 23:59:59.999
1601078400000,8.89600000,9.19300000,8.03100000,8.45000000,43997.59000000,1601164799999,371380.93230000,580,17957.08000000,153720.11791000,0,2020-09-26,2020-09-26 23:59:59.999
1601164800000,8.49000000,8.62400000,7.61000000,8.46400000,33210.08000000,1601251199999,267168.81973000,554,16729.87000000,134746.56082000,0,2020-09-27,2020-09-27 23:59:59.999
1601251200000,8.34100000,9.55900000,8.15300000,8.91400000,103193.68000000,1601337599999,923659.59052000,958,48451.05000000,433925.72924000,0,2020-09-28,2020-09-28 23:59:59.999
1601337600000,8.92300000,9.67200000,8.58800000,9.10300000,77964.99000000,1601423999999,716703.09596000,1247,44017.35000000,404606.32914000,0,2020-09-29,2020-09-29 23:59:59.999
1601424000000,9.09400000,9.10700000,8.15100000,8.53300000,40316.66000000,1601510399999,348046.20783000,462,24382.38000000,210376.02538000,0,2020-09-30,2020-09-30 23:59:59.999
1601510400000,8.62000000,9.55000000,8.11100000,8.54000000,84054.26000000,1601596799999,738407.70407000,694,33043.31000000,294343.67127000,0,2020-10-01,2020-10-01 23:59:59.999
1601596800000,8.47800000,8.57300000,6.52400000,7.51200000,61873.40000000,1601683199999,454011.80063000,574,30984.66000000,230735.70255000,0,2020-10-02,2020-10-02 23:59:59.999
1601683200000,7.48800000,7.61200000,7.21600000,7.39100000,32229.30000000,1601769599999,240719.07213000,261,15618.41000000,117120.09709000,0,2020-10-03,2020-10-03 23:59:59.999
1601769600000,7.34100000,7.80000000,7.12200000,7.71700000,22847.25000000,1601855999999,173066.10796000,278,15199.18000000,115765.46278000,0,2020-10-04,2020-10-04 23:59:59.999
1601856000000,7.70200000,7.97300000,7.51000000,7.69000000,78682.02000000,1601942399999,612577.98355000,852,46335.18000000,360694.23074000,0,2020-10-05,2020-10-05 23:59:59.999
1601942400000,7.73800000,7.74800000,5.59700000,6.30000000,183157.90000000,1602028799999,1181141.18862000,982,85372.45000000,554101.83807000,0,2020-10-06,2020-10-06 23:59:59.999
1602028800000,6.24000000,6.98000000,5.57200000,6.79300000,111653.77000000,1602115199999,712621.51553000,1061,51728.76000000,328761.50680000,0,2020-10-07,2020-10-07 23:59:59.999
1602115200000,6.77000000,8.44000000,5.75000000,8.13800000,115254.22000000,1602201599999,811997.25653000,1322,56850.71000000,402037.35665000,0,2020-10-08,2020-10-08 23:59:59.999
1602201600000,8.01700000,9.44100000,7.61800000,8.95100000,78810.34000000,1602287999999,678648.05671000,1033,38189.84000000,330075.74241000,0,2020-10-09,2020-10-09 23:59:59.999
1602288000000,8.99200000,10.23500000,8.70100000,8.89500000,36915.95000000,1602374399999,346803.15372000,833,14661.83000000,139020.70944000,0,2020-10-10,2020-10-10 23:59:59.999
1602374400000,8.93200000,9.34400000,8.35000000,8.89500000,37164.34000000,1602460799999,330430.01935000,679,16027.01000000,144335.50428000,0,2020-10-11,2020-10-11 23:59:59.999
1602460800000,8.79900000,10.02000000,8.54100000,9.15000000,57438.37000000,1602547199999,535150.59998000,1218,33261.74000000,311867.90774000,0,2020-10-12,2020-10-12 23:59:59.999
1602547200000,9.15100000,9.36000000,8.11900000,8.76500000,38674.12000000,1602633599999,334844.09872000,861,14560.95000000,124830.61790000,0,2020-10-13,2020-10-13 23:59:59.999
1602633600000,8.76400000,9.57000000,7.83800000,8.43100000,58521.23000000,1602719999999,514543.75443000,1737,21172.08000000,187950.90497000,0,2020-10-14,2020-10-14 23:59:59.999
1602720000000,8.33000000,8.36500000,7.48600000,7.95200000,49981.47000000,1602806399999,402625.72037000,864,23989.48000000,194189.21199000,0,2020-10-15,2020-10-15 23:59:59.999
1602806400000,7.93400000,8.24000000,6.17300000,6.76000000,140453.92000000,1602892799999,959560.57063000,2106,73907.58000000,505875.33608000,0,2020-10-16,2020-10-16 23:59:59.999
1602892800000,6.71900000,7.06500000,6.48600000,7.00800000,36149.90000000,1602979199999,246807.53910000,971,18453.63000000,126489.39325000,0,2020-10-17,2020-10-17 23:59:59.999
1602979200000,6.95100000,7.70400000,6.95000000,7.63600000,61464.80000000,1603065599999,458219.63526000,1685,35056.84000000,260597.70403000,0,2020-10-18,2020-10-18 23:59:59.999
1603065600000,7.63200000,7.63200000,6.93300000,7.07900000,69968.60000000,1603151999999,510887.84929000,1467,28415.77000000,208353.56554000,0,2020-10-19,2020-10-19 23:59:59.999
1603152000000,7.07200000,7.77900000,6.50600000,6.69700000,92440.88000000,1603238399999,652565.26808000,1839,40320.57000000,289831.77523000,0,2020-10-20,2020-10-20 23:59:59.999
1603238400000,6.67400000,8.22900000,6.67400000,7.71500000,113109.84000000,1603324799999,852251.70389000,1873,60456.13000000,457946.74712000,0,2020-10-21,2020-10-21 23:59:59.999
1603324800000,7.73400000,8.54700000,7.64200000,8.29800000,122059.23000000,1603411199999,995101.20926000,1745,70750.10000000,575566.11669000,0,2020-10-22,2020-10-22 23:59:59.999
1603411200000,8.25900000,9.06600000,7.98500000,8.25200000,109726.77000000,1603497599999,926725.54339000,2060,49324.71000000,417320.78728000,0,2020-10-23,2020-10-23 23:59:59.999
1603497600000,8.24300000,8.93800000,8.15000000,8.62100000,75032.64000000,1603583999999,643045.93595000,1743,46573.83000000,398454.00722000,0,2020-10-24,2020-10-24 23:59:59.999
1603584000000,8.60200000,8.96700000,8.20100000,8.52800000,61177.76000000,1603670399999,522123.30476000,2033,38802.30000000,331390.05049000,0,2020-10-25,2020-10-25 23:59:59.999
1603670400000,8.51000000,10.10700000,8.36900000,9.88700000,150283.92000000,1603756799999,1398252.02452000,3315,82643.76000000,770478.63670000,0,2020-10-26,2020-10-26 23:59:59.999
1603756800000,9.92900000,10.80000000,9.22400000,9.47100000,186089.84000000,1603843199999,1842681.67693000,4276,94223.54000000,934065.84374000,0,2020-10-27,2020-10-27 23:59:59.999
1603843200000,9.34200000,10.09800000,6.79200000,7.19700000,211930.53000000,1603929599999,1651262.49581000,3833,111508.28000000,868609.05647000,0,2020-10-28,2020-10-28 23:59:59.999
1603929600000,7.19900000,7.39000000,5.54200000,6.16300000,282401.76000000,1604015999999,1798732.40077000,3681,141078.69000000,897562.17459000,0,2020-10-29,2020-10-29 23:59:59.999
1604016000000,6.24000000,6.49700000,5.82800000,6.28800000,260008.57000000,1604102399999,1610514.03002000,4087,131331.71000000,814766.30938000,0,2020-10-30,2020-10-30 23:59:59.999
1604102400000,6.25500000,6.86200000,6.21200000,6.55100000,183210.52000000,1604188799999,1206625.57313000,3248,100284.17000000,660723.71253000,0,2020-10-31,2020-10-31 23:59:59.999
1604188800000,6.49200000,6.67400000,6.21300000,6.65000000,68592.72000000,1604275199999,440743.04526000,1574,32490.79000000,209016.21474000,0,2020-11-01,2020-11-01 23:59:59.999
1604275200000,6.69000000,6.86100000,5.67500000,5.94500000,173436.25000000,1604361599999,1063387.49928000,2999,95671.42000000,585980.24342000,0,2020-11-02,2020-11-02 23:59:59.999
1604361600000,5.95100000,6.07100000,5.35100000,5.92300000,202992.38000000,1604447999999,1148748.18711000,1764,104284.11000000,590104.15805000,0,2020-11-03,2020-11-03 23:59:59.999
1604448000000,5.92100000,6.39500000,5.39700000,6.20700000,180563.47000000,1604534399999,1063487.14975000,1786,94362.21000000,557551.06990000,0,2020-11-04,2020-11-04 23:59:59.999
1604534400000,6.22300000,6.98400000,5.87200000,6.71000000,135576.25000000,1604620799999,883861.83772000,1378,77578.05000000,506817.26348000,0,2020-11-05,2020-11-05 23:59:59.999
1604620800000,6.71700000,8.39300000,6.62100000,8.13800000,57358.38000000,1604707199999,441226.74234000,953,28863.97000000,222310.57136000,0,2020-11-06,2020-11-06 23:59:59.999
1604707200000,8.16700000,9.30000000,5.90300000,6.52200000,270550.54000000,1604793599999,1871879.96822000,2528,130300.17000000,899719.99741000,0,2020-11-07,2020-11-07 23:59:59.999
1604793600000,6.54000000,7.30600000,6.12000000,7.05400000,96886.79000000,1604879999999,657014.62293000,1036,33183.78000000,225889.39243000,0,2020-11-08,2020-11-08 23:59:59.999
1604880000000,7.06200000,7.44000000,6.57800000,6.96800000,73603.10000000,1604966399999,520472.32058000,821,39203.59000000,277383.30122000,0,2020-11-09,2020-11-09 23:59:59.999
1604966400000,6.94200000,7.57400000,6.82500000,7.24100000,88341.93000000,1605052799999,637221.78096000,1295,55042.91000000,399372.42853000,0,2020-11-10,2020-11-10 23:59:59.999
1605052800000,7.34600000,8.09000000,7.24900000,7.42300000,125929.31000000,1605139199999,951371.05299000,1500,70903.54000000,534471.70272000,0,2020-11-11,2020-11-11 23:59:59.999
1605139200000,7.39200000,7.45700000,6.82400000,7.20000000,76175.50000000,1605225599999,539953.27893000,814,39446.19000000,279312.12793000,0,2020-11-12,2020-11-12 23:59:59.999
1605225600000,7.11800000,7.94600000,7.05700000,7.75200000,56573.56000000,1605311999999,423991.88406000,1165,33570.05000000,252121.90176000,0,2020-11-13,2020-11-13 23:59:59.999
1605312000000,7.78600000,7.78600000,6.98300000,7.41800000,112801.18000000,1605398399999,840409.14495000,1389,68426.32000000,510723.90947000,0,2020-11-14,2020-11-14 23:59:59.999
1605398400000,7.41800000,7.56600000,6.91300000,7.13000000,82836.46000000,1605484799999,604747.33751000,1206,41657.50000000,306425.92406000,0,2020-11-15,2020-11-15 23:59:59.999
1605484800000,7.07100000,7.85000000,7.00700000,7.49800000,65338.40000000,1605571199999,485322.70950000,1103,42664.39000000,317145.11742000,0,2020-11-16,2020-11-16 23:59:59.999
1605571200000,7.49900000,9.13800000,7.49400000,8.77500000,159026.41000000,1605657599999,1357615.62633000,2249,83399.97000000,711425.74853000,0,2020-11-17,2020-11-17 23:59:59.999
1605657600000,8.83900000,9.12300000,7.12800000,7.98200000,123967.98000000,1605743999999,1003484.58349000,2375,48849.18000000,397300.48624000,0,2020-11-18,2020-11-18 23:59:59.999
1605744000000,8.04000000,8.74400000,7.39500000,8.30500000,125231.25000000,1605830399999,1022294.20993000,2378,58814.77000000,483211.55919000,0,2020-11-19,2020-11-19 23:59:59.999
1605830400000,8.30500000,11.37200000,8.25000000,10.35400000,333462.38000000,1605916799999,3484384.10257000,5988,166066.82000000,1736724.71407000,0,2020-11-20,2020-11-20 23:59:59.999
1605916800000,10.34200000,12.79200000,9.96400000,12.73100000,156467.33000000,1606003199999,1797389.92227000,4277,88648.46000000,1018299.60801000,0,2020-11-21,2020-11-21 23:59:59.999
1606003200000,12.74600000,13.01200000,9.92700000,11.51300000,132547.84000000,1606089599999,1525330.17589000,3436,65897.95000000,768389.35040000,0,2020-11-22,2020-11-22 23:59:59.999
1606089600000,11.55100000,13.27900000,11.07600000,13.04600000,381376.64000000,1606175999999,4717336.75004000,5598,226172.95000000,2796351.03422000,0,2020-11-23,2020-11-23 23:59:59.999
1606176000000,13.04700000,14.11800000,10.86700000,11.70600000,225161.62000000,1606262399999,2837315.23983000,7139,109579.13000000,1389040.46732000,0,2020-11-24,2020-11-24 23:59:59.999
1606262400000,11.76000000,12.26300000,7.82000000,8.53600000,255473.42000000,1606348799999,2590721.64991000,7207,121568.53000000,1234984.17735000,0,2020-11-25,2020-11-25 23:59:59.999
1606348800000,8.47800000,8.75700000,5.76200000,7.06400000,603470.38000000,1606435199999,4356731.64150000,9889,263099.75000000,1868837.55207000,0,2020-11-26,2020-11-26 23:59:59.999
1606435200000,7.09900000,7.98900000,6.28800000,7.22000000,496158.05000000,1606521599999,3625229.78905000,4087,173062.43000000,1238770.07047000,0,2020-11-27,2020-11-27 23:59:59.999
1606521600000,7.25300000,7.79900000,6.74400000,7.47300000,306595.54000000,1606607999999,2252142.84393000,3463,243286.28000000,1791207.56843000,0,2020-11-28,2020-11-28 23:59:59.999
1606608000000,7.52000000,9.42400000,7.01600000,9.26800000,287436.22000000,1606694399999,2383692.21774000,5751,182535.33000000,1506511.11301000,0,2020-11-29,2020-11-29 23:59:59.999
1606694400000,9.31500000,10.90000000,9.10100000,10.24000000,338185.46000000,1606780799999,3388455.76395000,6520,208076.31000000,2084838.14208000,0,2020-11-30,2020-11-30 23:59:59.999
1606780800000,10.25400000,11.09800000,8.05300000,8.65400000,235387.53000000,1606867199999,2193128.67719000,7760,100185.10000000,947475.87663000,0,2020-12-01,2020-12-01 23:59:59.999
1606867200000,8.64800000,10.59900000,8.34300000,10.25000000,143889.10000000,1606953599999,1378591.84683000,5569,71874.02000000,696159.03593000,0,2020-12-02,2020-12-02 23:59:59.999
1606953600000,10.28500000,10.77200000,9.60000000,9.93800000,153861.75000000,1607039999999,1576491.50041000,4321,75812.83000000,779284.14777000,0,2020-12-03,2020-12-03 23:59:59.999
1607040000000,9.92500000,10.08200000,7.72200000,7.94100000,156945.06000000,1607126399999,1396754.62532000,6322,77123.91000000,688295.42429000,0,2020-12-04,2020-12-04 23:59:59.999
1607126400000,7.91100000,8.76800000,7.35000000,8.73900000,90493.98000000,1607212799999,746704.23713000,4754,52706.35000000,436140.36309000,0,2020-12-05,2020-12-05 23:59:59.999
