open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1594598400000,10.00000000,10.63000000,9.85000000,10.40000000,9025.85000000,1594684799999,91744.94820000,155,3641.51000000,36981.67070000,0,2020-07-13,2020-07-13 23:59:59.999
1594684800000,10.45000000,10.67000000,10.15000000,10.26000000,13621.63000000,1594771199999,142294.26590000,180,5627.29000000,58894.96560000,0,2020-07-14,2020-07-14 23:59:59.999
1594771200000,10.28000000,10.71000000,10.28000000,10.51000000,9067.50000000,1594857599999,95607.04440000,140,8179.90000000,86333.46590000,0,2020-07-15,2020-07-15 23:59:59.999
1594857600000,10.53000000,11.49000000,10.44000000,11.11000000,36847.45000000,1594943999999,406333.54460000,250,17048.45000000,188073.93700000,0,2020-07-16,2020-07-16 23:59:59.999
1594944000000,11.09000000,11.32000000,10.97000000,11.15000000,11436.67000000,1595030399999,127184.27620000,99,3540.52000000,39521.21210000,0,2020-07-17,2020-07-17 23:59:59.999
1595030400000,11.25000000,11.25000000,10.75000000,10.89000000,4111.77000000,1595116799999,44994.51460000,88,802.60000000,8809.48380000,0,2020-07-18,2020-07-18 23:59:59.999
1595116800000,10.85000000,11.13000000,10.38000000,10.49000000,4805.04000000,1595203199999,51817.31960000,126,1585.55000000,17343.48200000,0,2020-07-19,2020-07-19 23:59:59.999
1595203200000,10.47000000,11.03000000,10.40000000,10.79000000,13482.64000000,1595289599999,143854.95310000,220,8939.50000000,95633.22730000,0,2020-07-20,2020-07-20 23:59:59.999
1595289600000,10.90000000,10.90000000,9.58000000,9.76000000,25333.23000000,1595375999999,253897.69700000,351,10621.28000000,106189.68590000,0,2020-07-21,2020-07-21 23:59:59.999
1595376000000,9.79000000,10.04000000,7.73000000,8.05000000,227302.60000000,1595462399999,1888281.15550000,693,120450.88000000,996471.94440000,0,2020-07-22,2020-07-22 23:59:59.999
1595462400000,8.08000000,8.39000000,7.02000000,7.31000000,416041.99000000,1595548799999,3174263.67740000,2236,206195.51000000,1572672.07490000,0,2020-07-23,2020-07-23 23:59:59.999
1595548800000,7.32000000,7.75000000,6.61000000,7.03000000,340161.32000000,1595635199999,2446636.02280000,1706,173473.15000000,1246114.87960000,0,2020-07-24,2020-07-24 23:59:59.999
1595635200000,7.03000000,7.03000000,5.48000000,5.64000000,632592.16000000,1595721599999,3933701.52350000,2439,295779.49000000,1848318.33400000,0,2020-07-25,2020-07-25 23:59:59.999
1595721600000,5.64000000,5.85000000,5.01000000,5.38000000,905904.12000000,1595807999999,4933131.36290000,3266,469656.12000000,2561224.23500000,0,2020-07-26,2020-07-26 23:59:59.999
1595808000000,5.36000000,5.36000000,4.39000000,4.93000000,1437683.95000000,1595894399999,7052288.99930000,4436,740118.59000000,3630278.31480000,0,2020-07-27,2020-07-27 23:59:59.999
1595894400000,4.92000000,5.58000000,4.73000000,5.12000000,712456.47000000,1595980799999,3660951.63540000,2687,327873.34000000,1688394.32970000,0,2020-07-28,2020-07-28 23:59:59.999
1595980800000,5.06000000,5.27000000,4.82000000,5.10000000,431068.20000000,1596067199999,2157104.68530000,1556,215031.92000000,1076973.37510000,0,2020-07-29,2020-07-29 23:59:59.999
1596067200000,5.12000000,5.26000000,4.16000000,4.48000000,710754.08000000,1596153599999,3316017.91080000,2427,326929.13000000,1520989.45180000,0,2020-07-30,2020-07-30 23:59:59.999
1596153600000,4.47000000,4.68000000,4.01000000,4.10000000,1153164.34000000,1596239999999,4883022.32810000,3298,533557.86000000,2261920.95470000,0,2020-07-31,2020-07-31 23:59:59.999
1596240000000,4.10000000,4.18000000,3.05000000,3.18000000,1918100.47000000,1596326399999,6856282.62000000,5358,898980.31000000,3209175.96670000,0,2020-08-01,2020-08-01 23:59:59.999
1596326400000,3.20000000,4.26000000,2.60000000,3.20000000,3359714.13000000,1596412799999,10385676.42780000,9546,1619606.70000000,5038020.44180000,0,2020-08-02,2020-08-02 23:59:59.999
1596412800000,3.19000000,3.32000000,2.61000000,2.84000000,1448061.96000000,1596499199999,4064322.85130000,4640,659686.62000000,1852005.70740000,0,2020-08-03,2020-08-03 23:59:59.999
1596499200000,2.85000000,2.95000000,2.53000000,2.81000000,1133403.62000000,1596585599999,3135392.32390000,3910,558200.54000000,1551283.79210000,0,2020-08-04,2020-08-04 23:59:59.999
1596585600000,2.79000000,2.88000000,2.47000000,2.59000000,961506.94000000,1596671999999,2564435.20690000,3821,473163.34000000,1269299.96160000,0,2020-08-05,2020-08-05 23:59:59.999
1596672000000,2.59000000,2.72000000,2.52000000,2.67000000,779301.69000000,1596758399999,2064125.32700000,2804,353514.16000000,936830.63570000,0,2020-08-06,2020-08-06 23:59:59.999
1596758400000,2.68000000,3.33000000,2.62000000,3.00000000,1419585.34000000,1596844799999,4237537.50600000,4834,771396.23000000,2306686.61490000,0,2020-08-07,2020-08-07 23:59:59.999
1596844800000,3.02000000,3.07000000,2.64000000,2.67000000,868954.01000000,1596931199999,2488976.85390000,2909,392304.57000000,1128952.32680000,0,2020-08-08,2020-08-08 23:59:59.999
1596931200000,2.64000000,2.92000000,2.57000000,2.78000000,625120.77000000,1597017599999,1733013.61940000,2698,300995.08000000,837283.41180000,0,2020-08-09,2020-08-09 23:59:59.999
1597017600000,2.78000000,2.84000000,2.58000000,2.69000000,607235.17000000,1597103999999,1628292.10370000,1822,263319.61000000,708825.34140000,0,2020-08-10,2020-08-10 23:59:59.999
1597104000000,2.68000000,3.15000000,2.62000000,2.89000000,844465.38000000,1597190399999,2426128.36610000,3004,406080.25000000,1166135.47500000,0,2020-08-11,2020-08-11 23:59:59.999
1597190400000,2.95000000,3.19000000,2.73000000,2.75000000,570431.93000000,1597276799999,1670706.78230000,1960,259041.64000000,762797.59510000,0,2020-08-12,2020-08-12 23:59:59.999
1597276800000,2.75000000,2.98000000,1.99300000,2.11800000,1033075.19000000,1597363199999,2551587.39146000,2447,487321.53000000,1203071.10233000,0,2020-08-13,2020-08-13 23:59:59.999
1597363200000,2.08100000,2.20000000,1.82100000,1.94000000,870850.73000000,1597449599999,1736449.34070000,2150,385897.95000000,773938.43769000,0,2020-08-14,2020-08-14 23:59:59.999
1597449600000,1.92000000,2.08200000,1.86700000,2.03200000,531722.42000000,1597535999999,1045259.08708000,1411,284957.47000000,563061.00799000,0,2020-08-15,2020-08-15 23:59:59.999
