open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1551312000000,0.33000000,0.48900000,0.30100000,0.35540000,153340418.22000000,1551398399999,58257339.67040700,100546,70635427.88000000,27005086.77051500,0,2019-02-28,2019-02-28 23:59:59.999
1551398400000,0.35540000,0.47680000,0.35020000,0.44260000,122476704.43000000,1551484799999,52399979.76145700,115815,61332783.24000000,26267359.58883600,0,2019-03-01,2019-03-01 23:59:59.999
1551484800000,0.44300000,0.44310000,0.38010000,0.40260000,50660886.62000000,1551571199999,20309217.43138400,52610,22505018.94000000,9032592.40736600,0,2019-03-02,2019-03-02 23:59:59.999
1551571200000,0.40200000,0.42900000,0.35370000,0.36390000,41110679.59000000,1551657599999,16189125.56380500,45189,18442064.83000000,7324005.61123900,0,2019-03-03,2019-03-03 23:59:59.999
1551657600000,0.36390000,0.37820000,0.32260000,0.33090000,66614590.51000000,1551743999999,23244680.88681000,48163,32961625.27000000,11543977.09798500,0,2019-03-04,2019-03-04 23:59:59.999
1551744000000,0.33090000,0.34560000,0.30500000,0.31370000,61152467.51000000,1551830399999,19898966.53653800,58231,27160004.97000000,8833914.93874100,0,2019-03-05,2019-03-05 23:59:59.999
1551830400000,0.31360000,0.32990000,0.30610000,0.31000000,30721731.00000000,1551916799999,9713996.55779400,48360,14154713.55000000,4481050.65534000,0,2019-03-06,2019-03-06 23:59:59.999
1551916800000,0.31000000,0.36600000,0.30750000,0.34780000,73918772.24000000,1552003199999,24962259.66847800,68866,36064340.70000000,12180264.89829300,0,2019-03-07,2019-03-07 23:59:59.999
1552003200000,0.34760000,0.35040000,0.28000000,0.28750000,46682378.21000000,1552089599999,14863038.67488800,43305,18812707.95000000,5982813.07744600,0,2019-03-08,2019-03-08 23:59:59.999
1552089600000,0.28730000,0.29560000,0.26750000,0.26780000,37817821.70000000,1552175999999,10639010.15626300,32068,16272362.67000000,4581226.65484400,0,2019-03-09,2019-03-09 23:59:59.999
1552176000000,0.26780000,0.26790000,0.23800000,0.25500000,42782586.81000000,1552262399999,10788178.05563100,35875,19855065.35000000,5007144.21933500,0,2019-03-10,2019-03-10 23:59:59.999
1552262400000,0.25480000,0.27680000,0.21380000,0.21730000,42628057.43000000,1552348799999,10418188.60454300,34997,19655916.03000000,4804517.05481100,0,2019-03-11,2019-03-11 23:59:59.999
1552348800000,0.21730000,0.24140000,0.20870000,0.22020000,34036963.20000000,1552435199999,7620178.75895200,23287,14978463.52000000,3358771.34767100,0,2019-03-12,2019-03-12 23:59:59.999
1552435200000,0.22060000,0.25830000,0.22060000,0.24560000,49772747.64000000,1552521599999,11923680.43141000,37274,23399922.86000000,5603335.91261100,0,2019-03-13,2019-03-13 23:59:59.999
1552521600000,0.24540000,0.26800000,0.22400000,0.22930000,57242839.99000000,1552607999999,13832030.83485800,39249,30074912.81000000,7236095.67888400,0,2019-03-14,2019-03-14 23:59:59.999
1552608000000,0.22950000,0.24150000,0.22950000,0.23230000,19695949.18000000,1552694399999,4638241.99477500,21217,9450081.03000000,2226594.32326000,0,2019-03-15,2019-03-15 23:59:59.999
1552694400000,0.23290000,0.23600000,0.22110000,0.22830000,16714026.23000000,1552780799999,3837911.37453700,18138,7235651.23000000,1662144.52153700,0,2019-03-16,2019-03-16 23:59:59.999
1552780800000,0.22830000,0.23990000,0.22700000,0.23610000,16432052.55000000,1552867199999,3847195.82780900,18819,8636534.18000000,2024644.30492300,0,2019-03-17,2019-03-17 23:59:59.999
1552867200000,0.23600000,0.23920000,0.22530000,0.22780000,28554545.69000000,1552953599999,6536098.12233500,16502,14003672.69000000,3206075.37911200,0,2019-03-18,2019-03-18 23:59:59.999
1552953600000,0.22780000,0.23350000,0.21070000,0.21740000,51788431.46000000,1553039999999,11509551.78250000,24606,25799281.04000000,5743669.92672000,0,2019-03-19,2019-03-19 23:59:59.999
1553040000000,0.21750000,0.22330000,0.21270000,0.21990000,36760892.86000000,1553126399999,7964976.47941900,15994,19053311.03000000,4129946.73798000,0,2019-03-20,2019-03-20 23:59:59.999
1553126400000,0.22000000,0.22650000,0.19500000,0.20220000,64150250.00000000,1553212799999,13475146.67997400,19424,32075487.75000000,6739071.71869600,0,2019-03-21,2019-03-21 23:59:59.999
1553212800000,0.20210000,0.20860000,0.19960000,0.20540000,40212713.11000000,1553299199999,8238546.26543100,15310,20886337.93000000,4280590.25364900,0,2019-03-22,2019-03-22 23:59:59.999
1553299200000,0.20540000,0.20840000,0.19590000,0.20220000,38747348.04000000,1553385599999,7849693.30528200,17264,19942156.49000000,4041852.79474100,0,2019-03-23,2019-03-23 23:59:59.999
1553385600000,0.20220000,0.21870000,0.20140000,0.20840000,48190652.49000000,1553471999999,10106245.38749000,24512,24505447.02000000,5142559.16430500,0,2019-03-24,2019-03-24 23:59:59.999
1553472000000,0.20870000,0.21380000,0.19060000,0.19770000,49421470.30000000,1553558399999,9986852.36440000,28685,24515432.64000000,4957602.13243700,0,2019-03-25,2019-03-25 23:59:59.999
1553558400000,0.19760000,0.20100000,0.17770000,0.18190000,46719166.24000000,1553644799999,8765873.50683000,26464,23673750.49000000,4441296.69406900,0,2019-03-26,2019-03-26 23:59:59.999
1553644800000,0.18180000,0.19840000,0.18000000,0.19420000,62095512.42000000,1553731199999,11858514.05027800,23118,33950589.94000000,6490999.83037800,0,2019-03-27,2019-03-27 23:59:59.999
1553731200000,0.19420000,0.22390000,0.18810000,0.21990000,76218206.93000000,1553817599999,15853383.54430000,28271,41475161.50000000,8615960.27213700,0,2019-03-28,2019-03-28 23:59:59.999
1553817600000,0.21990000,0.22010000,0.20340000,0.20670000,63644370.74000000,1553903999999,13311618.08571700,19307,32131059.68000000,6716088.29380700,0,2019-03-29,2019-03-29 23:59:59.999
1553904000000,0.20670000,0.20720000,0.19600000,0.20520000,53398632.02000000,1553990399999,10759261.88398200,14098,27839952.98000000,5611299.23871400,0,2019-03-30,2019-03-30 23:59:59.999
1553990400000,0.20510000,0.20540000,0.19220000,0.19730000,41682675.44000000,1554076799999,8316755.56983400,12309,20914477.89000000,4171841.06341400,0,2019-03-31,2019-03-31 23:59:59.999
1554076800000,0.19710000,0.20300000,0.19400000,0.20150000,62557950.40000000,1554163199999,12468137.61544800,14559,33538772.89000000,6684975.31294000,0,2019-04-01,2019-04-01 23:59:59.999
1554163200000,0.20140000,0.20930000,0.19530000,0.20490000,78206197.24000000,1554249599999,15885199.45376900,30874,38812383.41000000,7889976.07366400,0,2019-04-02,2019-04-02 23:59:59.999
1554249600000,0.20450000,0.22310000,0.18800000,0.19240000,73783946.79000000,1554335999999,15299568.92034200,27782,36169049.48000000,7506538.51305400,0,2019-04-03,2019-04-03 23:59:59.999
1554336000000,0.19270000,0.20090000,0.18880000,0.19530000,56478444.37000000,1554422399999,11010967.74055700,16622,30799233.71000000,6006882.95375200,0,2019-04-04,2019-04-04 23:59:59.999
1554422400000,0.19520000,0.20250000,0.19350000,0.19730000,43657482.78000000,1554508799999,8634216.53960200,12254,23821070.53000000,4710583.22675900,0,2019-04-05,2019-04-05 23:59:59.999
1554508800000,0.19730000,0.20990000,0.19580000,0.19970000,46296680.86000000,1554595199999,9337233.28474200,15489,24132017.68000000,4870172.28369600,0,2019-04-06,2019-04-06 23:59:59.999
1554595200000,0.20010000,0.21000000,0.19820000,0.20270000,51759586.89000000,1554681599999,10551874.68597900,9697,28162820.26000000,5744837.28791100,0,2019-04-07,2019-04-07 23:59:59.999
1554681600000,0.20240000,0.21860000,0.19750000,0.21150000,61498802.64000000,1554767999999,12597223.74808700,13520,33920265.77000000,6965663.05727400,0,2019-04-08,2019-04-08 23:59:59.999
1554768000000,0.21160000,0.21270000,0.19880000,0.20500000,37173577.96000000,1554854399999,7600780.95462800,10196,18695160.02000000,3824735.49761400,0,2019-04-09,2019-04-09 23:59:59.999
1554854400000,0.20490000,0.20820000,0.20010000,0.20180000,38389629.56000000,1554940799999,7838827.83207100,7329,19621076.07000000,4006714.22996900,0,2019-04-10,2019-04-10 23:59:59.999
1554940800000,0.20180000,0.20330000,0.16990000,0.18100000,40867456.61000000,1555027199999,7545883.33815700,11713,19824392.09000000,3651300.81186900,0,2019-04-11,2019-04-11 23:59:59.999
1555027200000,0.18080000,0.19280000,0.17300000,0.18930000,35520308.48000000,1555113599999,6569802.53653100,8195,19487009.93000000,3607951.73220300,0,2019-04-12,2019-04-12 23:59:59.999
1555113600000,0.18930000,0.19470000,0.18350000,0.19200000,30017230.26000000,1555199999999,5674987.98722300,5957,16429817.98000000,3107213.65406900,0,2019-04-13,2019-04-13 23:59:59.999
1555200000000,0.19200000,0.19240000,0.18510000,0.19060000,25352798.15000000,1555286399999,4793469.03575000,4492,14585913.81000000,2758301.00705700,0,2019-04-14,2019-04-14 23:59:59.999
1555286400000,0.19050000,0.19730000,0.18010000,0.18300000,37893791.12000000,1555372799999,7176026.04194500,7310,21011269.57000000,3982602.84664700,0,2019-04-15,2019-04-15 23:59:59.999
1555372800000,0.18300000,0.18920000,0.17900000,0.18690000,29250696.81000000,1555459199999,5372997.27929300,5442,16201921.24000000,2976761.75433900,0,2019-04-16,2019-04-16 23:59:59.999
1555459200000,0.18710000,0.20090000,0.18680000,0.19700000,35592104.20000000,1555545599999,6926038.08484500,7780,20208349.69000000,3932940.49119400,0,2019-04-17,2019-04-17 23:59:59.999
