open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1603152000000,10.00000000,10.48600000,8.80000000,8.88200000,135467.10000000,1603238399999,1308041.86639000,2944,73537.19000000,710300.90026000,0,2020-10-20,2020-10-20 23:59:59.999
1603238400000,8.98500000,10.50000000,7.87600000,10.50000000,116610.63000000,1603324799999,1061812.78273000,3727,59378.99000000,545439.05998000,0,2020-10-21,2020-10-21 23:59:59.999
1603324800000,10.64800000,14.37800000,9.71000000,13.35000000,118363.88000000,1603411199999,1390892.95911000,3469,54239.95000000,657910.76677000,0,2020-10-22,2020-10-22 23:59:59.999
1603411200000,13.39900000,16.72100000,7.75000000,8.98000000,186886.40000000,1603497599999,2215627.62784000,4776,98523.58000000,1189289.77554000,0,2020-10-23,2020-10-23 23:59:59.999
1603497600000,9.07800000,10.26100000,6.65100000,7.44200000,348177.97000000,1603583999999,2871084.40064000,8553,195105.66000000,1603101.72947000,0,2020-10-24,2020-10-24 23:59:59.999
1603584000000,7.44200000,7.64900000,1.93000000,2.65800000,2758925.68000000,1603670399999,9271801.06420000,16875,1225342.89000000,4039304.30438000,0,2020-10-25,2020-10-25 23:59:59.999
1603670400000,2.64700000,3.54000000,2.35000000,3.16300000,2494233.77000000,1603756799999,7230368.04009000,14194,1262074.51000000,3677654.21108000,0,2020-10-26,2020-10-26 23:59:59.999
1603756800000,3.18100000,3.31800000,1.39000000,1.78600000,5552573.05000000,1603843199999,11972566.78033000,13300,2407181.18000000,5096324.82829000,0,2020-10-27,2020-10-27 23:59:59.999
1603843200000,1.78900000,2.02500000,1.65800000,1.84200000,1637353.12000000,1603929599999,3025174.88086000,7774,721537.10000000,1335545.84776000,0,2020-10-28,2020-10-28 23:59:59.999
1603929600000,1.84200000,2.02000000,1.75900000,1.90000000,1054870.10000000,1604015999999,1985494.49748000,4845,540804.13000000,1021329.42234000,0,2020-10-29,2020-10-29 23:59:59.999
1604016000000,1.92700000,2.34800000,1.92400000,2.26900000,1126890.79000000,1604102399999,2457133.74161000,7309,562805.98000000,1226439.36686000,0,2020-10-30,2020-10-30 23:59:59.999
1604102400000,2.26900000,2.38800000,1.78200000,1.95900000,868954.56000000,1604188799999,1788683.22440000,5494,387527.81000000,805654.97352000,0,2020-10-31,2020-10-31 23:59:59.999
1604188800000,1.95400000,2.03200000,1.85000000,1.87500000,692480.74000000,1604275199999,1351688.33791000,3875,359894.00000000,701529.62050000,0,2020-11-01,2020-11-01 23:59:59.999
1604275200000,1.87600000,2.16600000,1.81800000,2.13000000,829734.55000000,1604361599999,1701748.49587000,4797,412136.94000000,842049.25851000,0,2020-11-02,2020-11-02 23:59:59.999
1604361600000,2.13000000,2.33500000,2.10000000,2.18100000,871107.50000000,1604447999999,1951245.57419000,5476,422595.37000000,946463.35051000,0,2020-11-03,2020-11-03 23:59:59.999
1604448000000,2.18100000,2.30000000,2.07700000,2.16700000,898597.23000000,1604534399999,1986869.74981000,3436,410403.40000000,907019.41977000,0,2020-11-04,2020-11-04 23:59:59.999
1604534400000,2.16700000,2.24700000,1.91500000,2.06200000,687570.56000000,1604620799999,1451802.33014000,3482,409060.67000000,863467.86633000,0,2020-11-05,2020-11-05 23:59:59.999
1604620800000,2.08100000,2.09300000,1.47000000,1.65700000,719158.09000000,1604707199999,1291331.47206000,5002,326762.49000000,584697.60003000,0,2020-11-06,2020-11-06 23:59:59.999
1604707200000,1.65300000,1.95000000,1.46000000,1.86800000,881071.98000000,1604793599999,1557902.60099000,3282,506219.51000000,891594.64144000,0,2020-11-07,2020-11-07 23:59:59.999
1604793600000,1.86500000,1.90900000,1.68700000,1.74800000,677901.21000000,1604879999999,1185539.65219000,2344,283704.74000000,497540.26733000,0,2020-11-08,2020-11-08 23:59:59.999
1604880000000,1.75400000,1.79800000,1.55100000,1.67400000,407050.86000000,1604966399999,689271.58167000,1748,229575.17000000,390926.46045000,0,2020-11-09,2020-11-09 23:59:59.999
1604966400000,1.68000000,1.76700000,1.63200000,1.74600000,305388.60000000,1605052799999,518723.00100000,1365,145877.48000000,245538.69996000,0,2020-11-10,2020-11-10 23:59:59.999
1605052800000,1.70700000,1.82600000,1.66600000,1.79700000,270654.03000000,1605139199999,463902.66498000,1856,189927.79000000,324415.83255000,0,2020-11-11,2020-11-11 23:59:59.999
1605139200000,1.81300000,1.98900000,1.77400000,1.85100000,79575.23000000,1605225599999,149113.83563000,1627,49422.84000000,92847.60438000,0,2020-11-12,2020-11-12 23:59:59.999
1605225600000,1.86600000,1.90300000,1.77400000,1.89500000,100037.78000000,1605311999999,184327.07437000,723,57287.02000000,105930.20063000,0,2020-11-13,2020-11-13 23:59:59.999
1605312000000,1.89100000,1.99000000,1.83400000,1.84000000,138508.07000000,1605398399999,266448.01852000,1472,109157.82000000,209813.82836000,0,2020-11-14,2020-11-14 23:59:59.999
1605398400000,1.87400000,2.16000000,1.85400000,2.10800000,131322.79000000,1605484799999,265642.65631000,2338,73725.66000000,148865.59549000,0,2020-11-15,2020-11-15 23:59:59.999
1605484800000,2.10800000,2.20900000,2.03900000,2.14100000,172256.66000000,1605571199999,370908.55483000,1427,72720.75000000,155809.33186000,0,2020-11-16,2020-11-16 23:59:59.999
1605571200000,2.13600000,2.15200000,1.71200000,1.83700000,239217.86000000,1605657599999,456668.48524000,3075,171397.44000000,328095.26615000,0,2020-11-17,2020-11-17 23:59:59.999
1605657600000,1.80000000,2.10000000,1.72900000,1.87400000,111597.53000000,1605743999999,208205.72077000,1786,63853.09000000,118708.43069000,0,2020-11-18,2020-11-18 23:59:59.999
1605744000000,1.87900000,1.99000000,1.80500000,1.91300000,81890.42000000,1605830399999,153469.92198000,841,48427.08000000,90745.12848000,0,2020-11-19,2020-11-19 23:59:59.999
1605830400000,1.89400000,1.89800000,1.65300000,1.79200000,234756.72000000,1605916799999,416472.38961000,1589,113989.40000000,201987.16603000,0,2020-11-20,2020-11-20 23:59:59.999
1605916800000,1.79000000,1.81600000,1.52700000,1.68500000,177973.92000000,1606003199999,294213.76099000,1849,83756.20000000,138849.17043000,0,2020-11-21,2020-11-21 23:59:59.999
1606003200000,1.67700000,1.85600000,1.65000000,1.80300000,172744.70000000,1606089599999,306695.27534000,1352,84475.38000000,150348.27166000,0,2020-11-22,2020-11-22 23:59:59.999
1606089600000,1.80500000,1.83400000,1.73600000,1.77600000,59578.56000000,1606175999999,106700.38756000,658,28001.60000000,50281.07605000,0,2020-11-23,2020-11-23 23:59:59.999
