open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1601251200000,0.30000000,4.50000000,0.30000000,0.95300000,54779888.82000000,1601337599999,64762216.45079400,232197,23921303.90000000,28522345.30433800,0,2020-09-28,2020-09-28 23:59:59.999
1601337600000,0.95460000,0.98010000,0.57000000,0.64550000,39162289.42000000,1601423999999,28299514.57358600,146284,17741103.80000000,12820072.24662300,0,2020-09-29,2020-09-29 23:59:59.999
1601424000000,0.64550000,0.70000000,0.58500000,0.62950000,23449146.36000000,1601510399999,14754951.71776800,78762,10734075.09000000,6768280.34049500,0,2020-09-30,2020-09-30 23:59:59.999
1601510400000,0.63020000,0.68490000,0.55110000,0.56320000,18162834.79000000,1601596799999,11292752.62230300,39289,8305268.08000000,5163795.56959600,0,2020-10-01,2020-10-01 23:59:59.999
1601596800000,0.56250000,0.58100000,0.42710000,0.46730000,20402131.54000000,1601683199999,9673805.04044900,39433,9748944.89000000,4612293.63528500,0,2020-10-02,2020-10-02 23:59:59.999
1601683200000,0.46730000,0.49590000,0.40520000,0.41520000,19534215.44000000,1601769599999,8900771.75397000,35646,9504712.27000000,4331180.16027100,0,2020-10-03,2020-10-03 23:59:59.999
1601769600000,0.41540000,0.42000000,0.32000000,0.35970000,17075380.28000000,1601855999999,6434151.27434200,31301,7322429.29000000,2757922.73440300,0,2020-10-04,2020-10-04 23:59:59.999
1601856000000,0.35950000,0.41110000,0.30500000,0.37980000,31160193.78000000,1601942399999,11002221.72359800,52479,14603426.51000000,5154531.03505100,0,2020-10-05,2020-10-05 23:59:59.999
1601942400000,0.37820000,0.40890000,0.28880000,0.30090000,26750520.87000000,1602028799999,9167332.22913300,59478,11639568.21000000,3998258.19601100,0,2020-10-06,2020-10-06 23:59:59.999
1602028800000,0.30120000,0.30120000,0.25210000,0.26320000,19582935.71000000,1602115199999,5230964.74830600,27901,9215277.87000000,2467256.42015800,0,2020-10-07,2020-10-07 23:59:59.999
1602115200000,0.26290000,0.33000000,0.24520000,0.28250000,19023890.45000000,1602201599999,5172787.57246900,28377,9252684.48000000,2524664.71576500,0,2020-10-08,2020-10-08 23:59:59.999
1602201600000,0.28430000,0.30900000,0.26280000,0.29270000,17931919.20000000,1602287999999,5145725.50041600,25609,8414411.30000000,2417872.10728500,0,2020-10-09,2020-10-09 23:59:59.999
1602288000000,0.29280000,0.31000000,0.25690000,0.26620000,12461652.21000000,1602374399999,3574170.89451300,18869,5539490.55000000,1594754.46477500,0,2020-10-10,2020-10-10 23:59:59.999
1602374400000,0.26620000,0.28210000,0.24760000,0.27830000,13961839.31000000,1602460799999,3680408.60893100,20987,6762521.13000000,1787580.91284400,0,2020-10-11,2020-10-11 23:59:59.999
1602460800000,0.27810000,0.27930000,0.25420000,0.25950000,11171555.36000000,1602547199999,2976102.92199800,16983,5121171.64000000,1367507.16529600,0,2020-10-12,2020-10-12 23:59:59.999
