open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1589328000000,0.44850000,0.49900000,0.44850000,0.46330000,544886.66000000,1589414399999,252313.22412200,1477,329995.93000000,152696.24700300,0,2020-05-13,2020-05-13 23:59:59.999
1589414400000,0.46370000,0.49200000,0.45190000,0.48260000,317840.62000000,1589500799999,150935.91645700,2143,170875.83000000,81245.12495300,0,2020-05-14,2020-05-14 23:59:59.999
1589500800000,0.48270000,0.49360000,0.47040000,0.47460000,420339.42000000,1589587199999,202068.61880100,2292,180486.57000000,86693.47667000,0,2020-05-15,2020-05-15 23:59:59.999
1589587200000,0.47590000,0.48240000,0.47090000,0.47380000,244820.46000000,1589673599999,116526.86260500,1574,124277.32000000,59149.72751200,0,2020-05-16,2020-05-16 23:59:59.999
1589673600000,0.47360000,0.48230000,0.46800000,0.47440000,338968.53000000,1589759999999,160961.77490500,1773,191211.17000000,90735.04533300,0,2020-05-17,2020-05-17 23:59:59.999
1589760000000,0.47430000,0.48950000,0.47360000,0.48390000,212720.52000000,1589846399999,102658.58904700,1830,118563.52000000,57216.84514700,0,2020-05-18,2020-05-18 23:59:59.999
1589846400000,0.48360000,0.49400000,0.47100000,0.49120000,196084.57000000,1589932799999,94689.13759700,1683,107815.82000000,52118.21541000,0,2020-05-19,2020-05-19 23:59:59.999
1589932800000,0.49130000,0.49160000,0.47130000,0.48170000,226757.38000000,1590019199999,109842.57182300,1648,115825.88000000,56104.61620100,0,2020-05-20,2020-05-20 23:59:59.999
1590019200000,0.48170000,0.48330000,0.44420000,0.46080000,256815.90000000,1590105599999,118954.38621000,1916,126449.18000000,58602.97344600,0,2020-05-21,2020-05-21 23:59:59.999
1590105600000,0.46060000,0.50000000,0.44880000,0.48280000,329265.10000000,1590191999999,158295.29876800,2184,166726.54000000,79983.87770300,0,2020-05-22,2020-05-22 23:59:59.999
1590192000000,0.48280000,0.52540000,0.48250000,0.49030000,391566.01000000,1590278399999,195654.82674800,2296,209062.33000000,104464.44678500,0,2020-05-23,2020-05-23 23:59:59.999
1590278400000,0.49040000,0.49680000,0.46000000,0.46140000,304558.44000000,1590364799999,146619.00549600,1882,146447.59000000,70479.85842500,0,2020-05-24,2020-05-24 23:59:59.999
1590364800000,0.46010000,0.48100000,0.45730000,0.47550000,180152.25000000,1590451199999,84438.35786100,1479,93023.37000000,43565.99147400,0,2020-05-25,2020-05-25 23:59:59.999
1590451200000,0.47880000,0.48900000,0.46990000,0.48310000,233927.35000000,1590537599999,112476.83901900,1638,126196.14000000,60624.29816800,0,2020-05-26,2020-05-26 23:59:59.999
1590537600000,0.48290000,0.60000000,0.47510000,0.51570000,525775.12000000,1590623999999,268467.16993000,2909,274852.78000000,139576.27225400,0,2020-05-27,2020-05-27 23:59:59.999
1590624000000,0.51830000,0.53490000,0.49720000,0.50860000,312732.36000000,1590710399999,161143.96066300,1987,148014.89000000,76285.06968200,0,2020-05-28,2020-05-28 23:59:59.999
1590710400000,0.50880000,0.51900000,0.50110000,0.51050000,161072.85000000,1590796799999,82355.43158000,1337,70615.35000000,36192.90043200,0,2020-05-29,2020-05-29 23:59:59.999
1590796800000,0.51050000,0.59000000,0.50110000,0.53700000,646163.60000000,1590883199999,352700.61465500,3705,304208.57000000,165640.12795800,0,2020-05-30,2020-05-30 23:59:59.999
1590883200000,0.53700000,0.54450000,0.51490000,0.51740000,298011.09000000,1590969599999,158266.23626400,1922,141848.23000000,75368.99182900,0,2020-05-31,2020-05-31 23:59:59.999
1590969600000,0.51740000,0.54930000,0.51360000,0.53860000,175408.69000000,1591055999999,92728.68749500,1697,86788.71000000,45922.82650500,0,2020-06-01,2020-06-01 23:59:59.999
1591056000000,0.54180000,0.54360000,0.48910000,0.51080000,176963.76000000,1591142399999,93008.57446400,1689,85881.76000000,45184.68197300,0,2020-06-02,2020-06-02 23:59:59.999
1591142400000,0.51040000,0.53250000,0.50660000,0.53200000,183375.28000000,1591228799999,95057.24287500,1627,103200.90000000,53489.62569600,0,2020-06-03,2020-06-03 23:59:59.999
1591228800000,0.53320000,0.53890000,0.50790000,0.52140000,246943.24000000,1591315199999,130160.71223500,1876,107380.66000000,56530.19784200,0,2020-06-04,2020-06-04 23:59:59.999
1591315200000,0.52140000,0.52820000,0.38280000,0.52070000,195261.33000000,1591401599999,100888.41261200,1818,89757.88000000,46595.95608600,0,2020-06-05,2020-06-05 23:59:59.999
