open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1604620800000,0.85000000,6.00000000,0.55000000,0.84400000,11890311.64000000,1604707199999,13591358.98111700,74509,5430283.99000000,6159981.37332600,0,2020-11-06,2020-11-06 23:59:59.999
1604707200000,0.84540000,0.85940000,0.67440000,0.67800000,5013815.52000000,1604793599999,4042518.44207600,13003,3523097.89000000,2861065.02673600,0,2020-11-07,2020-11-07 23:59:59.999
1604793600000,0.67840000,0.74330000,0.65910000,0.68630000,1234515.02000000,1604879999999,860181.26555100,6750,572598.78000000,401348.10935200,0,2020-11-08,2020-11-08 23:59:59.999
1604880000000,0.68660000,0.69910000,0.56490000,0.57950000,13565069.88000000,1604966399999,8274003.01360200,16832,7355092.06000000,4441335.53842900,0,2020-11-09,2020-11-09 23:59:59.999
1604966400000,0.58060000,0.84020000,0.57250000,0.59870000,16233955.57000000,1605052799999,10999973.29384300,32423,11402452.78000000,7644490.35117400,0,2020-11-10,2020-11-10 23:59:59.999
1605052800000,0.59730000,0.64260000,0.50000000,0.50050000,14767007.84000000,1605139199999,8494658.83389000,19985,9294777.44000000,5292126.88528800,0,2020-11-11,2020-11-11 23:59:59.999
1605139200000,0.50060000,0.51000000,0.40000000,0.40800000,27832125.52000000,1605225599999,12297243.58279100,24887,20235073.78000000,9013226.33191200,0,2020-11-12,2020-11-12 23:59:59.999
1605225600000,0.40800000,0.45500000,0.40030000,0.43070000,16075023.81000000,1605311999999,6755721.72975800,21245,3572703.68000000,1497457.53431100,0,2020-11-13,2020-11-13 23:59:59.999
1605312000000,0.43070000,0.43500000,0.38110000,0.41080000,14138116.27000000,1605398399999,5715952.84793800,19386,5560811.08000000,2218423.66661600,0,2020-11-14,2020-11-14 23:59:59.999
1605398400000,0.41070000,0.54980000,0.40800000,0.44200000,19443543.87000000,1605484799999,9145193.02382900,40314,8463338.13000000,3948407.95704700,0,2020-11-15,2020-11-15 23:59:59.999
1605484800000,0.44200000,0.74990000,0.43470000,0.69200000,27887393.00000000,1605571199999,16282818.75910500,81428,13319518.27000000,7837275.47069900,0,2020-11-16,2020-11-16 23:59:59.999
1605571200000,0.69380000,0.74000000,0.55690000,0.62170000,21668897.02000000,1605657599999,14275929.38749100,64409,10371687.56000000,6847450.90431300,0,2020-11-17,2020-11-17 23:59:59.999
1605657600000,0.62150000,0.62200000,0.48040000,0.52190000,15443500.87000000,1605743999999,8178733.01168400,37347,7096423.26000000,3757387.30640400,0,2020-11-18,2020-11-18 23:59:59.999
1605744000000,0.52320000,0.60290000,0.48060000,0.49550000,11923264.54000000,1605830399999,6369487.94064000,27912,5456613.23000000,2915743.91825500,0,2020-11-19,2020-11-19 23:59:59.999
1605830400000,0.49550000,0.53000000,0.48110000,0.51340000,10118805.81000000,1605916799999,5114861.57226800,20345,5281192.38000000,2669702.96844400,0,2020-11-20,2020-11-20 23:59:59.999
1605916800000,0.51280000,0.59990000,0.49720000,0.51770000,9588950.69000000,1606003199999,5048019.19601600,21707,4594593.07000000,2426127.36599600,0,2020-11-21,2020-11-21 23:59:59.999
1606003200000,0.51860000,0.53450000,0.44180000,0.47120000,7732150.62000000,1606089599999,3748047.75070900,17525,3522796.83000000,1707950.94177900,0,2020-11-22,2020-11-22 23:59:59.999
1606089600000,0.47120000,0.52300000,0.47040000,0.49310000,7270858.46000000,1606175999999,3632010.03910400,18768,3685978.33000000,1843033.78971900,0,2020-11-23,2020-11-23 23:59:59.999
1606176000000,0.49320000,0.51200000,0.46030000,0.49970000,4732566.65000000,1606262399999,2309373.20886600,16793,2244671.27000000,1096671.85168300,0,2020-11-24,2020-11-24 23:59:59.999
1606262400000,0.50120000,0.50560000,0.46210000,0.47860000,5154902.17000000,1606348799999,2499124.72245200,24367,1988385.78000000,963912.19697300,0,2020-11-25,2020-11-25 23:59:59.999
1606348800000,0.47860000,0.50160000,0.38200000,0.42070000,6237628.68000000,1606435199999,2659803.31456700,27532,3104093.28000000,1321222.94702500,0,2020-11-26,2020-11-26 23:59:59.999
1606435200000,0.42100000,0.48650000,0.41500000,0.48650000,6083102.42000000,1606521599999,2670843.42894300,36588,2554735.01000000,1120958.68487400,0,2020-11-27,2020-11-27 23:59:59.999
1606521600000,0.48660000,0.54560000,0.45120000,0.51370000,8470608.49000000,1606607999999,4277670.15208700,46112,3872570.97000000,1962099.97833500,0,2020-11-28,2020-11-28 23:59:59.999
