open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1600905600000,1.86000000,8.00000000,1.86000000,2.29000000,11230104.68200000,1600991999999,33913166.30190500,107692,5339496.46400000,16251480.73134000,0,2020-09-24,2020-09-24 23:59:59.999
1600992000000,2.28800000,2.33800000,1.85000000,1.87200000,2100299.98200000,1601078399999,4388775.24389300,20927,947882.70900000,1982118.08022700,0,2020-09-25,2020-09-25 23:59:59.999
1601078400000,1.87200000,1.93600000,1.73800000,1.77200000,1138049.10600000,1601164799999,2095383.30744300,10041,494215.20400000,910328.52270900,0,2020-09-26,2020-09-26 23:59:59.999
1601164800000,1.77200000,1.79700000,1.51100000,1.52700000,559925.80000000,1601251199999,926772.61836100,6068,268846.08300000,445785.27901000,0,2020-09-27,2020-09-27 23:59:59.999
1601251200000,1.52500000,1.98500000,1.52500000,1.65300000,3572524.67300000,1601337599999,6362312.27827300,55351,1865287.92600000,3336493.99041100,0,2020-09-28,2020-09-28 23:59:59.999
1601337600000,1.65300000,1.72400000,1.50000000,1.63700000,757923.58300000,1601423999999,1223932.90874800,11622,357207.05800000,579548.59269500,0,2020-09-29,2020-09-29 23:59:59.999
1601424000000,1.63600000,1.64200000,1.52400000,1.56900000,379001.36000000,1601510399999,593642.04239900,5219,174336.54300000,273506.59695600,0,2020-09-30,2020-09-30 23:59:59.999
1601510400000,1.57100000,1.74400000,1.47100000,1.53900000,563906.02900000,1601596799999,904354.10599500,7778,279501.20600000,448647.61848500,0,2020-10-01,2020-10-01 23:59:59.999
1601596800000,1.53800000,1.57200000,1.45600000,1.53600000,372277.32400000,1601683199999,556186.13739600,7959,191615.87700000,286591.15650200,0,2020-10-02,2020-10-02 23:59:59.999
1601683200000,1.53600000,1.59900000,1.44500000,1.44900000,255323.02900000,1601769599999,392405.57285500,3297,104639.14500000,161514.55585300,0,2020-10-03,2020-10-03 23:59:59.999
1601769600000,1.44900000,1.46500000,1.32600000,1.35700000,243461.83800000,1601855999999,340207.76778900,3211,102577.21200000,142784.07119700,0,2020-10-04,2020-10-04 23:59:59.999
1601856000000,1.35700000,1.38100000,1.21300000,1.23900000,536297.55400000,1601942399999,674328.29106300,5386,283552.60800000,355980.55636500,0,2020-10-05,2020-10-05 23:59:59.999
1601942400000,1.24100000,1.29400000,0.96100000,0.97900000,758889.56000000,1602028799999,824501.47500700,10296,315788.36300000,347496.48618300,0,2020-10-06,2020-10-06 23:59:59.999
1602028800000,0.98900000,1.25600000,0.97600000,1.21200000,1050071.02300000,1602115199999,1213860.43657700,11324,658591.07700000,764167.00214600,0,2020-10-07,2020-10-07 23:59:59.999
1602115200000,1.21200000,1.31200000,1.08700000,1.30400000,828714.22600000,1602201599999,1007658.31134300,10875,443565.47300000,539842.34473800,0,2020-10-08,2020-10-08 23:59:59.999
1602201600000,1.30400000,1.44000000,1.25300000,1.28700000,364776.47300000,1602287999999,477053.30570500,5430,199145.85300000,260704.97551100,0,2020-10-09,2020-10-09 23:59:59.999
1602288000000,1.27900000,1.53800000,1.27900000,1.47200000,610824.45700000,1602374399999,866612.91312600,8753,300088.10500000,427433.79085600,0,2020-10-10,2020-10-10 23:59:59.999
1602374400000,1.47300000,1.47500000,1.34000000,1.37200000,353725.27300000,1602460799999,493648.08720500,5129,161783.66400000,225087.07240600,0,2020-10-11,2020-10-11 23:59:59.999
1602460800000,1.37200000,1.43000000,1.30200000,1.35900000,267392.40100000,1602547199999,368162.06491800,3193,132194.84600000,182207.17223100,0,2020-10-12,2020-10-12 23:59:59.999
1602547200000,1.36500000,1.37300000,1.28000000,1.33900000,191433.32400000,1602633599999,255243.83332900,2620,94141.42000000,125674.88814100,0,2020-10-13,2020-10-13 23:59:59.999
1602633600000,1.33900000,1.36200000,1.27100000,1.34100000,130165.46100000,1602719999999,171006.48489600,2794,64661.23400000,85249.20972900,0,2020-10-14,2020-10-14 23:59:59.999
1602720000000,1.34100000,1.37400000,1.30900000,1.32900000,169503.91600000,1602806399999,226106.68809500,2225,82861.63100000,110605.56044600,0,2020-10-15,2020-10-15 23:59:59.999
1602806400000,1.32700000,1.32700000,1.15100000,1.16600000,247978.63700000,1602892799999,305173.92062300,2847,103009.44300000,126731.90761600,0,2020-10-16,2020-10-16 23:59:59.999
1602892800000,1.17400000,1.21800000,1.14800000,1.18200000,180676.48200000,1602979199999,213865.31856100,1970,81592.85900000,96669.30977700,0,2020-10-17,2020-10-17 23:59:59.999
1602979200000,1.17800000,1.27000000,1.17800000,1.25000000,214832.86000000,1603065599999,260189.99977700,2036,115677.66400000,140456.55942900,0,2020-10-18,2020-10-18 23:59:59.999
1603065600000,1.24800000,1.25000000,1.15800000,1.15800000,147554.70300000,1603151999999,176409.04457200,1732,73428.18100000,88043.76782100,0,2020-10-19,2020-10-19 23:59:59.999
1603152000000,1.16100000,1.16500000,1.06500000,1.08100000,158201.93300000,1603238399999,174587.05802600,1701,81929.20400000,90674.16794500,0,2020-10-20,2020-10-20 23:59:59.999
1603238400000,1.08500000,1.15000000,1.08500000,1.10500000,130456.05700000,1603324799999,145824.02148100,1418,53143.64400000,59539.94294900,0,2020-10-21,2020-10-21 23:59:59.999
1603324800000,1.10600000,1.16500000,1.08600000,1.13000000,166740.00600000,1603411199999,188187.04715500,1726,63811.84600000,72301.48579300,0,2020-10-22,2020-10-22 23:59:59.999
