open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1553212800000,0.03000000,0.03000000,0.00854600,0.00855700,380008351.00000000,1553299199999,3360244.10554400,12076,202730766.00000000,1794827.06504400,0,2019-03-22,2019-03-22 23:59:59.999
1553299200000,0.00855700,0.00891300,0.00840000,0.00882900,862483605.00000000,1553385599999,7498309.06560900,27237,447286957.00000000,3887596.83273100,0,2019-03-23,2019-03-23 23:59:59.999
1553385600000,0.00883300,0.00884200,0.00836200,0.00856100,772263905.00000000,1553471999999,6673185.02765300,18890,430751250.00000000,3723448.13907200,0,2019-03-24,2019-03-24 23:59:59.999
1553472000000,0.00856000,0.00859100,0.00796700,0.00813800,391152943.00000000,1553558399999,3242048.13164800,17455,223134829.00000000,1850134.42248800,0,2019-03-25,2019-03-25 23:59:59.999
1553558400000,0.00813600,0.00849500,0.00787100,0.00825200,352720832.00000000,1553644799999,2887746.97749100,12240,231323496.00000000,1896286.05972300,0,2019-03-26,2019-03-26 23:59:59.999
1553644800000,0.00824300,0.00888400,0.00818100,0.00861700,1240701351.00000000,1553731199999,10725880.13637500,20044,425193848.00000000,3666435.35982000,0,2019-03-27,2019-03-27 23:59:59.999
1553731200000,0.00861700,0.00881300,0.00843500,0.00870600,71591763.00000000,1553817599999,614813.19682600,2422,40671420.00000000,349685.28014700,0,2019-03-28,2019-03-28 23:59:59.999
1553817600000,0.00869900,0.01050000,0.00869900,0.01035900,275623278.00000000,1553903999999,2661670.10970200,13094,139159248.00000000,1343196.84173800,0,2019-03-29,2019-03-29 23:59:59.999
1553904000000,0.01037400,0.01039500,0.00957200,0.00976000,153916494.00000000,1553990399999,1522413.02700600,7413,68069576.00000000,672807.11622800,0,2019-03-30,2019-03-30 23:59:59.999
1553990400000,0.00976100,0.01000500,0.00941200,0.00988700,79863881.00000000,1554076799999,771052.47340000,3847,39430924.00000000,380077.91583400,0,2019-03-31,2019-03-31 23:59:59.999
1554076800000,0.00989100,0.01170000,0.00980000,0.01140300,264704128.00000000,1554163199999,2922078.32027500,14617,129865661.00000000,1435077.11475500,0,2019-04-01,2019-04-01 23:59:59.999
1554163200000,0.01140400,0.01320200,0.01137500,0.01248200,353075471.00000000,1554249599999,4348795.33084900,18268,173101409.00000000,2128796.96468200,0,2019-04-02,2019-04-02 23:59:59.999
1554249600000,0.01248200,0.01490900,0.01179200,0.01343200,294645122.00000000,1554335999999,3901875.93327900,19163,130441217.00000000,1728705.54412800,0,2019-04-03,2019-04-03 23:59:59.999
1554336000000,0.01347000,0.01685600,0.01319500,0.01642100,508775535.00000000,1554422399999,7813787.45722000,33402,252605262.00000000,3873029.72761200,0,2019-04-04,2019-04-04 23:59:59.999
1554422400000,0.01642100,0.01860000,0.01581000,0.01802100,354457992.00000000,1554508799999,6074059.68425700,26607,168325641.00000000,2888559.63432600,0,2019-04-05,2019-04-05 23:59:59.999
1554508800000,0.01797900,0.01832200,0.01610300,0.01664000,302058354.00000000,1554595199999,5138402.60079200,20555,117950978.00000000,2016005.40391500,0,2019-04-06,2019-04-06 23:59:59.999
1554595200000,0.01654600,0.01705000,0.01562300,0.01624900,154661672.00000000,1554681599999,2527857.89980500,10794,69838186.00000000,1144955.88258800,0,2019-04-07,2019-04-07 23:59:59.999
1554681600000,0.01616800,0.01760000,0.01428100,0.01513600,427294825.00000000,1554767999999,6703918.41934100,22151,194520227.00000000,3053949.05154500,0,2019-04-08,2019-04-08 23:59:59.999
1554768000000,0.01517800,0.01541700,0.01425800,0.01503700,154957738.00000000,1554854399999,2288066.71475400,9640,63988909.00000000,949930.58598900,0,2019-04-09,2019-04-09 23:59:59.999
1554854400000,0.01507100,0.01602600,0.01429200,0.01516700,175969010.00000000,1554940799999,2723551.56688500,11306,79075553.00000000,1226120.62855400,0,2019-04-10,2019-04-10 23:59:59.999
1554940800000,0.01515400,0.01517000,0.01214100,0.01309000,340491429.00000000,1555027199999,4579983.75340400,18178,141417593.00000000,1906004.51737800,0,2019-04-11,2019-04-11 23:59:59.999
1555027200000,0.01305000,0.01355500,0.01210000,0.01317400,149735401.00000000,1555113599999,1928714.30841900,7803,75046994.00000000,966038.94282200,0,2019-04-12,2019-04-12 23:59:59.999
1555113600000,0.01316500,0.01414600,0.01303000,0.01355000,157909941.00000000,1555199999999,2144519.54376700,8399,77061073.00000000,1046582.20133500,0,2019-04-13,2019-04-13 23:59:59.999
1555200000000,0.01349900,0.01390000,0.01311000,0.01390000,80032586.00000000,1555286399999,1077714.20493300,5143,41556889.00000000,560515.37868000,0,2019-04-14,2019-04-14 23:59:59.999
1555286400000,0.01390000,0.01397400,0.01220400,0.01264000,117613811.00000000,1555372799999,1551815.13139100,7511,46219120.00000000,607109.10032100,0,2019-04-15,2019-04-15 23:59:59.999
1555372800000,0.01263000,0.01307500,0.01225800,0.01295400,82314073.00000000,1555459199999,1043482.11898800,5594,40667539.00000000,516360.92762200,0,2019-04-16,2019-04-16 23:59:59.999
1555459200000,0.01294300,0.01320000,0.01244300,0.01288700,66851328.00000000,1555545599999,859350.77041500,4481,30623975.00000000,394709.53938300,0,2019-04-17,2019-04-17 23:59:59.999
1555545600000,0.01285000,0.01322300,0.01259000,0.01281800,68671088.00000000,1555631999999,885129.84996200,4281,26820442.00000000,345602.24128800,0,2019-04-18,2019-04-18 23:59:59.999
1555632000000,0.01280400,0.01280400,0.01220400,0.01245200,72506636.00000000,1555718399999,902426.62379800,4650,30742281.00000000,383589.55799800,0,2019-04-19,2019-04-19 23:59:59.999
1555718400000,0.01247200,0.01392400,0.01230500,0.01365400,157734139.00000000,1555804799999,2085059.84834700,10270,81611836.00000000,1077109.80187200,0,2019-04-20,2019-04-20 23:59:59.999
1555804800000,0.01361500,0.01431800,0.01242000,0.01380000,175981862.00000000,1555891199999,2371467.39255100,11151,79283709.00000000,1065769.32753700,0,2019-04-21,2019-04-21 23:59:59.999
1555891200000,0.01380000,0.01389000,0.01304900,0.01337900,84829136.00000000,1555977599999,1144649.32127700,6036,36255561.00000000,490018.22449600,0,2019-04-22,2019-04-22 23:59:59.999
1555977600000,0.01340200,0.01365000,0.01195000,0.01202100,119714607.00000000,1556063999999,1537310.21877700,6938,55397625.00000000,709383.08459900,0,2019-04-23,2019-04-23 23:59:59.999
1556064000000,0.01200300,0.01217300,0.01036500,0.01146000,147064532.00000000,1556150399999,1662701.09255300,8601,68865457.00000000,778084.24297200,0,2019-04-24,2019-04-24 23:59:59.999
1556150400000,0.01138100,0.01160000,0.01010600,0.01025500,109650624.00000000,1556236799999,1194146.39071600,5620,52897325.00000000,575241.71254800,0,2019-04-25,2019-04-25 23:59:59.999
1556236800000,0.01025500,0.01109900,0.00981800,0.01072500,142659321.00000000,1556323199999,1481030.28472500,6654,64221784.00000000,668643.92627300,0,2019-04-26,2019-04-26 23:59:59.999
1556323200000,0.01071800,0.01183200,0.01062300,0.01170300,110701546.00000000,1556409599999,1242528.99388700,5631,62268164.00000000,698928.96240600,0,2019-04-27,2019-04-27 23:59:59.999
1556409600000,0.01171500,0.01203100,0.01060500,0.01086400,91221212.00000000,1556495999999,1025908.77775600,4996,35829705.00000000,404468.80338200,0,2019-04-28,2019-04-28 23:59:59.999
1556496000000,0.01084900,0.01136700,0.01011000,0.01097000,129744136.00000000,1556582399999,1403921.63273500,6035,58879566.00000000,636109.71302700,0,2019-04-29,2019-04-29 23:59:59.999
1556582400000,0.01098500,0.01142500,0.01058900,0.01133300,115894569.00000000,1556668799999,1270809.18778100,5288,56288353.00000000,618189.96690100,0,2019-04-30,2019-04-30 23:59:59.999
1556668800000,0.01132000,0.01153600,0.01121600,0.01133900,35032426.00000000,1556755199999,398632.47820600,2043,18901677.00000000,215291.92836700,0,2019-05-01,2019-05-01 23:59:59.999
1556755200000,0.01136100,0.01169400,0.01103700,0.01131300,40803595.00000000,1556841599999,464120.59074600,2513,18394288.00000000,209213.53279500,0,2019-05-02,2019-05-02 23:59:59.999
1556841600000,0.01131200,0.01192500,0.01116500,0.01159400,72721319.00000000,1556927999999,836354.89860000,3832,28825622.00000000,332452.29702700,0,2019-05-03,2019-05-03 23:59:59.999
1556928000000,0.01158900,0.01195000,0.01028200,0.01081500,120510011.00000000,1557014399999,1316230.21863100,5936,57603828.00000000,627658.76982100,0,2019-05-04,2019-05-04 23:59:59.999
1557014400000,0.01081400,0.01130100,0.01062400,0.01081300,67084697.00000000,1557100799999,733827.28190800,3410,35602364.00000000,390142.80425300,0,2019-05-05,2019-05-05 23:59:59.999
1557100800000,0.01080300,0.01118000,0.01040000,0.01092700,66948822.00000000,1557187199999,727035.71759500,3707,31857101.00000000,346146.54351100,0,2019-05-06,2019-05-06 23:59:59.999
1557187200000,0.01092600,0.01222000,0.01092600,0.01106400,161864686.00000000,1557273599999,1887568.98529000,8964,85994666.00000000,1003094.28829900,0,2019-05-07,2019-05-07 23:59:59.999
