open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1597104000000,0.07367000,0.09600000,0.06364000,0.06895000,239143597.80000000,1597190399999,17410584.47230600,53704,127731443.00000000,9248782.15044400,0,2020-08-11,2020-08-11 23:59:59.999
1597190400000,0.06916000,0.08498000,0.06780000,0.07666000,721527265.70000000,1597276799999,54382337.24367600,137873,454962035.10000000,34236774.39819100,0,2020-08-12,2020-08-12 23:59:59.999
1597276800000,0.07667000,0.07900000,0.06828000,0.06955000,288618639.00000000,1597363199999,21242425.19109900,78134,154835980.30000000,11432819.88060200,0,2020-08-13,2020-08-13 23:59:59.999
1597363200000,0.06980000,0.08700000,0.06887000,0.07166000,219080041.20000000,1597449599999,16247669.71806600,56528,106649569.60000000,7947304.62090200,0,2020-08-14,2020-08-14 23:59:59.999
1597449600000,0.07167000,0.07250000,0.06781000,0.07104000,131735843.60000000,1597535999999,9207777.50379200,36184,68707649.50000000,4807191.16366500,0,2020-08-15,2020-08-15 23:59:59.999
1597536000000,0.07095000,0.07529000,0.06901000,0.07374000,161679979.10000000,1597622399999,11572992.99855700,33624,83584773.30000000,5984516.08156600,0,2020-08-16,2020-08-16 23:59:59.999
1597622400000,0.07341000,0.08000000,0.07178000,0.07417000,213188098.30000000,1597708799999,16075822.95853500,49122,108675264.20000000,8196447.94431400,0,2020-08-17,2020-08-17 23:59:59.999
1597708800000,0.07436000,0.07483000,0.06612000,0.06750000,113143726.60000000,1597795199999,7981053.41690200,27130,53398716.80000000,3768624.71148700,0,2020-08-18,2020-08-18 23:59:59.999
1597795200000,0.06749000,0.06794000,0.05781000,0.06004000,106978180.60000000,1597881599999,6582439.02328200,26541,51603762.90000000,3165895.66048800,0,2020-08-19,2020-08-19 23:59:59.999
1597881600000,0.06002000,0.06232000,0.05895000,0.06098000,49985839.90000000,1597967999999,3036135.16895400,12653,26934988.60000000,1636401.25091200,0,2020-08-20,2020-08-20 23:59:59.999
1597968000000,0.06110000,0.06386000,0.04656000,0.04799000,124325526.00000000,1598054399999,6704386.18890200,27111,60957300.70000000,3296383.68718100,0,2020-08-21,2020-08-21 23:59:59.999
1598054400000,0.04800000,0.05160000,0.04313000,0.05000000,100168742.70000000,1598140799999,4756597.29485600,20815,47220398.60000000,2242797.63558800,0,2020-08-22,2020-08-22 23:59:59.999
1598140800000,0.04996000,0.05757000,0.04700000,0.05299000,98623237.00000000,1598227199999,5107935.79553300,19216,46221994.80000000,2390661.84138700,0,2020-08-23,2020-08-23 23:59:59.999
1598227200000,0.05294000,0.06410000,0.05131000,0.06400000,119871311.20000000,1598313599999,6955638.70261900,28174,60844481.50000000,3530034.09707600,0,2020-08-24,2020-08-24 23:59:59.999
1598313600000,0.06408000,0.06408000,0.05206000,0.05602000,99831652.60000000,1598399999999,5780918.97364600,30814,48355417.90000000,2795047.31631100,0,2020-08-25,2020-08-25 23:59:59.999
1598400000000,0.05606000,0.06060000,0.05405000,0.05930000,86228114.50000000,1598486399999,5037130.35437200,21299,40470445.30000000,2361460.22263800,0,2020-08-26,2020-08-26 23:59:59.999
1598486400000,0.05926000,0.05930000,0.05088000,0.05458000,63623295.70000000,1598572799999,3572341.70096700,13892,32016864.10000000,1796314.74037900,0,2020-08-27,2020-08-27 23:59:59.999
1598572800000,0.05463000,0.05850000,0.05340000,0.05683000,59546267.20000000,1598659199999,3362022.71066700,13039,29927165.00000000,1690173.81181100,0,2020-08-28,2020-08-28 23:59:59.999
1598659200000,0.05684000,0.05800000,0.05371000,0.05433000,53834901.90000000,1598745599999,3004328.64570200,11038,24544924.70000000,1369603.32106300,0,2020-08-29,2020-08-29 23:59:59.999
1598745600000,0.05433000,0.06465000,0.05384000,0.05970000,167217196.20000000,1598831999999,10159174.69906200,27607,74576540.30000000,4521958.24246600,0,2020-08-30,2020-08-30 23:59:59.999
1598832000000,0.05958000,0.06212000,0.05775000,0.05885000,128849409.30000000,1598918399999,7646192.86504200,24810,53406817.40000000,3170441.42096900,0,2020-08-31,2020-08-31 23:59:59.999
1598918400000,0.05900000,0.05941000,0.05482000,0.05767000,128008054.70000000,1599004799999,7363518.15076200,22756,62407617.70000000,3590187.50817900,0,2020-09-01,2020-09-01 23:59:59.999
1599004800000,0.05755000,0.06300000,0.05488000,0.06068000,295690888.80000000,1599091199999,17738539.70719200,46008,143188200.00000000,8580176.92405900,0,2020-09-02,2020-09-02 23:59:59.999
1599091200000,0.06071000,0.07273000,0.05505000,0.05638000,549638747.70000000,1599177599999,36008769.36187200,81584,282770424.10000000,18535703.91793000,0,2020-09-03,2020-09-03 23:59:59.999
1599177600000,0.05623000,0.05633000,0.04266000,0.04903000,294990471.30000000,1599263999999,15086748.90200400,44422,151353060.20000000,7726852.71251700,0,2020-09-04,2020-09-04 23:59:59.999
1599264000000,0.04908000,0.05019000,0.03602000,0.03783000,163572521.60000000,1599350399999,6945820.34875700,25314,85163609.20000000,3613538.06132800,0,2020-09-05,2020-09-05 23:59:59.999
1599350400000,0.03789000,0.04189000,0.03125000,0.04004000,160192672.50000000,1599436799999,5926741.45582700,41365,76927246.90000000,2846219.00781700,0,2020-09-06,2020-09-06 23:59:59.999
1599436800000,0.04008000,0.04100000,0.03432000,0.03955000,89142866.30000000,1599523199999,3360486.08801900,15860,46932562.40000000,1768966.93097600,0,2020-09-07,2020-09-07 23:59:59.999
1599523200000,0.03949000,0.04205000,0.03673000,0.03962000,86689340.40000000,1599609599999,3391987.72875700,14602,43539757.80000000,1701251.96894100,0,2020-09-08,2020-09-08 23:59:59.999
1599609600000,0.03959000,0.04212000,0.03804000,0.04103000,96821003.40000000,1599695999999,3895124.93343900,15032,49382393.50000000,1987729.17745900,0,2020-09-09,2020-09-09 23:59:59.999
1599696000000,0.04103000,0.04432000,0.04065000,0.04310000,146792798.60000000,1599782399999,6253749.34583200,23541,73016237.80000000,3110017.76532700,0,2020-09-10,2020-09-10 23:59:59.999
1599782400000,0.04310000,0.04330000,0.03983000,0.04217000,138810112.70000000,1599868799999,5778593.91904400,32987,66518370.50000000,2768256.66431900,0,2020-09-11,2020-09-11 23:59:59.999
1599868800000,0.04215000,0.04218000,0.03992000,0.04111000,116534278.30000000,1599955199999,4797073.78209300,27578,59546024.20000000,2450296.90970100,0,2020-09-12,2020-09-12 23:59:59.999
1599955200000,0.04114000,0.04195000,0.03736000,0.03897000,272334099.70000000,1600041599999,10837538.44744400,65673,139128873.40000000,5537601.33462400,0,2020-09-13,2020-09-13 23:59:59.999
1600041600000,0.03895000,0.04024000,0.03789000,0.03912000,143569093.50000000,1600127999999,5641502.44660300,46411,73137607.60000000,2873506.34172400,0,2020-09-14,2020-09-14 23:59:59.999
1600128000000,0.03912000,0.03968000,0.03728000,0.03754000,114038787.30000000,1600214399999,4381050.77609300,35750,57967732.70000000,2227326.14368400,0,2020-09-15,2020-09-15 23:59:59.999
1600214400000,0.03755000,0.04494000,0.03300000,0.04112000,397589520.90000000,1600300799999,15383287.51825000,97782,198607004.40000000,7671118.91599700,0,2020-09-16,2020-09-16 23:59:59.999
1600300800000,0.04111000,0.04379000,0.04012000,0.04338000,220311473.10000000,1600387199999,9164152.00725800,69055,112331959.80000000,4673601.40564600,0,2020-09-17,2020-09-17 23:59:59.999
1600387200000,0.04338000,0.04548000,0.04182000,0.04345000,118412463.20000000,1600473599999,5182416.62514600,23530,59496885.50000000,2602669.22077300,0,2020-09-18,2020-09-18 23:59:59.999
1600473600000,0.04339000,0.04539000,0.04300000,0.04340000,78495210.80000000,1600559999999,3438187.68933500,16950,40572348.70000000,1776135.46451800,0,2020-09-19,2020-09-19 23:59:59.999
1600560000000,0.04341000,0.04354000,0.04030000,0.04134000,62896086.50000000,1600646399999,2651836.12986200,13612,32632084.30000000,1376647.46082400,0,2020-09-20,2020-09-20 23:59:59.999
1600646400000,0.04136000,0.04198000,0.03681000,0.03809000,89228952.00000000,1600732799999,3482117.91629100,21252,44048271.80000000,1719301.52497900,0,2020-09-21,2020-09-21 23:59:59.999
1600732800000,0.03802000,0.03885000,0.03662000,0.03733000,69526909.70000000,1600819199999,2623601.29307800,16119,35927348.80000000,1356052.71738600,0,2020-09-22,2020-09-22 23:59:59.999
1600819200000,0.03734000,0.03829000,0.03576000,0.03618000,48732117.70000000,1600905599999,1803420.20290100,12024,25392446.50000000,940083.35796800,0,2020-09-23,2020-09-23 23:59:59.999
1600905600000,0.03619000,0.03876000,0.03592000,0.03875000,34502868.40000000,1600991999999,1289570.79806600,7994,17505532.40000000,654631.34570000,0,2020-09-24,2020-09-24 23:59:59.999
1600992000000,0.03878000,0.04041000,0.03790000,0.03950000,30924592.20000000,1601078399999,1197812.47002100,7290,15726116.80000000,609288.32256000,0,2020-09-25,2020-09-25 23:59:59.999
1601078400000,0.03959000,0.04169000,0.03875000,0.03940000,47596184.60000000,1601164799999,1900799.59857300,11005,25719956.50000000,1027220.61223200,0,2020-09-26,2020-09-26 23:59:59.999
1601164800000,0.03937000,0.03983000,0.03714000,0.03855000,50651958.40000000,1601251199999,1951388.41474800,12054,24818892.30000000,957160.71223500,0,2020-09-27,2020-09-27 23:59:59.999
1601251200000,0.03858000,0.03982000,0.03825000,0.03834000,39189109.40000000,1601337599999,1532999.74605000,10037,20185599.60000000,790282.86691400,0,2020-09-28,2020-09-28 23:59:59.999
1601337600000,0.03827000,0.03923000,0.03657000,0.03783000,38665543.00000000,1601423999999,1465571.79153100,9617,20471576.50000000,775957.64358300,0,2020-09-29,2020-09-29 23:59:59.999
1601424000000,0.03780000,0.03783000,0.03507000,0.03552000,58804835.00000000,1601510399999,2129548.46733900,14723,31634031.80000000,1145371.78316200,0,2020-09-30,2020-09-30 23:59:59.999
1601510400000,0.03555000,0.03618000,0.03414000,0.03463000,50042577.60000000,1601596799999,1775905.80149400,10942,27117596.60000000,962492.50612600,0,2020-10-01,2020-10-01 23:59:59.999
1601596800000,0.03459000,0.03492000,0.03216000,0.03363000,29194979.10000000,1601683199999,974571.65672400,7004,13777819.00000000,459606.37842400,0,2020-10-02,2020-10-02 23:59:59.999
1601683200000,0.03372000,0.03492000,0.03333000,0.03337000,31725753.40000000,1601769599999,1082982.61559200,7321,15788582.90000000,539245.99462900,0,2020-10-03,2020-10-03 23:59:59.999
1601769600000,0.03334000,0.03372000,0.03196000,0.03274000,40048434.80000000,1601855999999,1314600.59506100,9552,19769889.30000000,648291.87141900,0,2020-10-04,2020-10-04 23:59:59.999
1601856000000,0.03272000,0.03309000,0.03190000,0.03288000,29996790.70000000,1601942399999,975807.66437800,7052,15242028.70000000,495864.18460200,0,2020-10-05,2020-10-05 23:59:59.999
1601942400000,0.03289000,0.03300000,0.02923000,0.02923000,39158206.10000000,1602028799999,1224059.85816500,8630,19130550.90000000,598107.77863900,0,2020-10-06,2020-10-06 23:59:59.999
1602028800000,0.02923000,0.02926000,0.02633000,0.02788000,41332450.40000000,1602115199999,1134056.57252800,9120,20014609.40000000,549379.96688700,0,2020-10-07,2020-10-07 23:59:59.999
1602115200000,0.02783000,0.02920000,0.02707000,0.02886000,40406069.70000000,1602201599999,1143361.71578700,9313,19894059.00000000,562034.35648100,0,2020-10-08,2020-10-08 23:59:59.999
1602201600000,0.02887000,0.02996000,0.02817000,0.02984000,35734356.70000000,1602287999999,1045110.33678500,8658,19024310.50000000,557106.50140300,0,2020-10-09,2020-10-09 23:59:59.999
1602288000000,0.02983000,0.03046000,0.02931000,0.02963000,31923779.20000000,1602374399999,956871.65312300,6959,17078923.10000000,511818.32137400,0,2020-10-10,2020-10-10 23:59:59.999
1602374400000,0.02962000,0.02976000,0.02865000,0.02888000,15162946.20000000,1602460799999,443222.74278200,3376,7220011.20000000,210917.12439200,0,2020-10-11,2020-10-11 23:59:59.999
1602460800000,0.02890000,0.03032000,0.02846000,0.02946000,29907973.40000000,1602547199999,880478.62150700,7226,15752249.10000000,463622.58932000,0,2020-10-12,2020-10-12 23:59:59.999
