open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1566864000000,0.00180000,0.00182200,0.00159000,0.00163800,4300084.00000000,1566950399999,7146.10767400,131,1806833.00000000,3006.92100300,0,2019-08-27,2019-08-27 23:59:59.999
1566950400000,0.00159500,0.00168100,0.00145200,0.00149000,5465499.00000000,1567036799999,8591.77117200,157,3625832.00000000,5739.08433800,0,2019-08-28,2019-08-28 23:59:59.999
1567036800000,0.00147200,0.00156800,0.00137500,0.00142500,4362207.00000000,1567123199999,6188.45435100,242,1938775.00000000,2733.28896300,0,2019-08-29,2019-08-29 23:59:59.999
1567123200000,0.00147600,0.00147700,0.00139400,0.00146000,337686.00000000,1567209599999,482.81145200,42,221723.00000000,318.11663600,0,2019-08-30,2019-08-30 23:59:59.999
1567209600000,0.00140300,0.00155900,0.00139700,0.00144300,2185603.00000000,1567295999999,3121.16248700,85,560705.00000000,812.73709100,0,2019-08-31,2019-08-31 23:59:59.999
1567296000000,0.00142500,0.00146900,0.00140400,0.00146900,2990062.00000000,1567382399999,4299.67933500,66,1177106.00000000,1697.35466700,0,2019-09-01,2019-09-01 23:59:59.999
1567382400000,0.00143700,0.00149000,0.00139600,0.00142300,3369308.00000000,1567468799999,4842.16225800,111,1726974.00000000,2485.82265000,0,2019-09-02,2019-09-02 23:59:59.999
1567468800000,0.00145600,0.00149700,0.00139900,0.00141100,3157500.00000000,1567555199999,4524.74984800,164,1062918.00000000,1526.50377100,0,2019-09-03,2019-09-03 23:59:59.999
1567555200000,0.00142900,0.00148500,0.00137000,0.00139900,4144360.00000000,1567641599999,5841.57053900,238,1555307.00000000,2210.78200900,0,2019-09-04,2019-09-04 23:59:59.999
1567641600000,0.00139900,0.00148600,0.00135600,0.00140800,1855753.00000000,1567727999999,2581.31007800,120,563969.00000000,796.75077300,0,2019-09-05,2019-09-05 23:59:59.999
1567728000000,0.00140800,0.00143400,0.00130700,0.00140600,3316633.00000000,1567814399999,4550.61323500,176,971791.00000000,1348.13454500,0,2019-09-06,2019-09-06 23:59:59.999
1567814400000,0.00139800,0.00149300,0.00134200,0.00145000,1116789.00000000,1567900799999,1573.12993100,124,744768.00000000,1057.47930900,0,2019-09-07,2019-09-07 23:59:59.999
1567900800000,0.00145000,0.00145300,0.00136700,0.00143200,2382106.00000000,1567987199999,3355.59686600,135,736427.00000000,1049.33477400,0,2019-09-08,2019-09-08 23:59:59.999
1567987200000,0.00142900,0.00168000,0.00135100,0.00154700,19011869.00000000,1568073599999,28745.92935100,439,5311422.00000000,7897.22871000,0,2019-09-09,2019-09-09 23:59:59.999
1568073600000,0.00154600,0.00164900,0.00144500,0.00156900,10384169.00000000,1568159999999,15941.37786500,558,4339441.00000000,6759.52824100,0,2019-09-10,2019-09-10 23:59:59.999
