open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1597104000000,0.74080000,0.88170000,0.67600000,0.72930000,1105159.57000000,1597190399999,831933.91372500,4251,414464.29000000,313421.33304700,0,2020-08-11,2020-08-11 23:59:59.999
1597190400000,0.72520000,0.85000000,0.69380000,0.79950000,1011283.53000000,1597276799999,772240.86692100,3751,447335.67000000,340775.06065700,0,2020-08-12,2020-08-12 23:59:59.999
1597276800000,0.79960000,0.84960000,0.73010000,0.78670000,856108.58000000,1597363199999,666626.92189100,3435,320877.46000000,250088.22067800,0,2020-08-13,2020-08-13 23:59:59.999
1597363200000,0.78670000,0.84000000,0.78000000,0.79760000,1026031.53000000,1597449599999,827941.76006100,3104,494963.21000000,399346.47955800,0,2020-08-14,2020-08-14 23:59:59.999
1597449600000,0.80230000,0.81030000,0.75400000,0.77200000,438650.57000000,1597535999999,342148.16550900,1827,152050.05000000,118654.96328100,0,2020-08-15,2020-08-15 23:59:59.999
1597536000000,0.77200000,0.82180000,0.74000000,0.78970000,428226.03000000,1597622399999,331643.03440000,2062,223411.48000000,174248.46308200,0,2020-08-16,2020-08-16 23:59:59.999
1597622400000,0.79470000,0.81850000,0.75720000,0.77670000,565127.52000000,1597708799999,446843.66486900,2313,247557.12000000,196000.54153400,0,2020-08-17,2020-08-17 23:59:59.999
1597708800000,0.77670000,0.84520000,0.74110000,0.82500000,702889.75000000,1597795199999,558942.16453400,2989,375848.03000000,298926.05765800,0,2020-08-18,2020-08-18 23:59:59.999
1597795200000,0.82500000,0.88880000,0.75000000,0.81450000,2247666.06000000,1597881599999,1863326.42701800,8541,931322.19000000,775383.28207600,0,2020-08-19,2020-08-19 23:59:59.999
1597881600000,0.81450000,0.86640000,0.77510000,0.85930000,1036859.53000000,1597967999999,846289.70210200,3574,362565.83000000,293507.73121500,0,2020-08-20,2020-08-20 23:59:59.999
1597968000000,0.85930000,0.92070000,0.82510000,0.85310000,2150697.18000000,1598054399999,1884115.00301000,7735,1046727.76000000,915942.92564200,0,2020-08-21,2020-08-21 23:59:59.999
1598054400000,0.85990000,0.99950000,0.82520000,0.97990000,1568339.10000000,1598140799999,1463421.81848400,8210,753470.82000000,705365.55172200,0,2020-08-22,2020-08-22 23:59:59.999
1598140800000,0.97930000,0.98830000,0.87500000,0.90610000,731220.04000000,1598227199999,666586.20162400,3843,305969.01000000,278820.86316500,0,2020-08-23,2020-08-23 23:59:59.999
1598227200000,0.90610000,0.91400000,0.86080000,0.89950000,739695.51000000,1598313599999,652444.73097200,2723,369108.20000000,326165.17276500,0,2020-08-24,2020-08-24 23:59:59.999
1598313600000,0.89510000,0.89960000,0.76950000,0.81260000,963341.57000000,1598399999999,793677.74390500,4711,365498.42000000,300810.44036100,0,2020-08-25,2020-08-25 23:59:59.999
1598400000000,0.81330000,0.83500000,0.78000000,0.83500000,437680.61000000,1598486399999,355579.91165800,2310,204016.34000000,166024.14475100,0,2020-08-26,2020-08-26 23:59:59.999
1598486400000,0.83130000,0.83450000,0.71810000,0.75050000,683116.93000000,1598572799999,524926.01926100,3199,236087.05000000,181175.28990300,0,2020-08-27,2020-08-27 23:59:59.999
1598572800000,0.75050000,0.79000000,0.74390000,0.78490000,317788.19000000,1598659199999,244384.28487900,1578,133732.90000000,102903.35538900,0,2020-08-28,2020-08-28 23:59:59.999
1598659200000,0.78190000,0.81420000,0.77700000,0.79580000,404543.30000000,1598745599999,321085.69225900,1679,197209.02000000,156732.63116000,0,2020-08-29,2020-08-29 23:59:59.999
1598745600000,0.79600000,0.81590000,0.76950000,0.78120000,391804.15000000,1598831999999,308969.03603400,1723,166048.69000000,131263.18513000,0,2020-08-30,2020-08-30 23:59:59.999
1598832000000,0.77930000,0.82000000,0.76510000,0.80030000,424518.88000000,1598918399999,333662.28091900,1774,196533.64000000,154861.81531800,0,2020-08-31,2020-08-31 23:59:59.999
