open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1591920000000,0.09335000,0.17500000,0.09335000,0.10400000,3387621.00000000,1592006399999,342736.10234300,2164,1334040.00000000,135093.41953200,0,2020-06-12,2020-06-12 23:59:59.999
1592006400000,0.10403000,0.11540000,0.10041000,0.10227000,5595755.50000000,1592092799999,599529.12131000,4210,3183394.30000000,341008.29637700,0,2020-06-13,2020-06-13 23:59:59.999
1592092800000,0.10225000,0.10543000,0.09293000,0.09300000,3148213.50000000,1592179199999,306343.79055900,3396,1513429.10000000,147853.39688300,0,2020-06-14,2020-06-14 23:59:59.999
1592179200000,0.09284000,0.09661000,0.08179000,0.09194000,7099419.80000000,1592265599999,627438.07848200,4596,3360815.30000000,297369.20690300,0,2020-06-15,2020-06-15 23:59:59.999
1592265600000,0.09179000,0.09600000,0.08919000,0.09199000,4313615.00000000,1592351999999,397508.55914200,2713,1747109.10000000,161302.95940600,0,2020-06-16,2020-06-16 23:59:59.999
1592352000000,0.09206000,0.09260000,0.08757000,0.08951000,4485298.70000000,1592438399999,404725.78778400,2008,2134743.00000000,192732.80831900,0,2020-06-17,2020-06-17 23:59:59.999
1592438400000,0.08962000,0.09500000,0.08901000,0.09119000,3422795.20000000,1592524799999,315728.30518000,2302,1628422.80000000,150218.88297100,0,2020-06-18,2020-06-18 23:59:59.999
1592524800000,0.09119000,0.09500000,0.08802000,0.09378000,3532628.70000000,1592611199999,324404.61154400,1727,1430364.60000000,131972.91327300,0,2020-06-19,2020-06-19 23:59:59.999
1592611200000,0.09374000,0.09464000,0.08826000,0.09018000,5454382.40000000,1592697599999,497893.14102700,2378,2891392.50000000,263877.00981700,0,2020-06-20,2020-06-20 23:59:59.999
1592697600000,0.09018000,0.09162000,0.08948000,0.09080000,1572310.50000000,1592783999999,142178.83261900,1182,815494.80000000,73840.32305500,0,2020-06-21,2020-06-21 23:59:59.999
1592784000000,0.09075000,0.09185000,0.08286000,0.08749000,7474042.30000000,1592870399999,645803.37878700,3347,3857527.20000000,333459.08489200,0,2020-06-22,2020-06-22 23:59:59.999
1592870400000,0.08749000,0.08749000,0.08424000,0.08439000,3242025.90000000,1592956799999,277611.78690600,1699,1679813.90000000,143936.01401600,0,2020-06-23,2020-06-23 23:59:59.999
1592956800000,0.08488000,0.08520000,0.07862000,0.07994000,3951479.70000000,1593043199999,321647.61774200,1927,1516325.50000000,123896.55135900,0,2020-06-24,2020-06-24 23:59:59.999
1593043200000,0.08004000,0.08024000,0.07537000,0.07594000,3649203.70000000,1593129599999,282617.04593800,1804,1682999.30000000,130472.49728900,0,2020-06-25,2020-06-25 23:59:59.999
1593129600000,0.07582000,0.08850000,0.07582000,0.08632000,10792389.40000000,1593215999999,914284.38919400,4982,4882220.80000000,414019.51437300,0,2020-06-26,2020-06-26 23:59:59.999
1593216000000,0.08632000,0.08682000,0.07203000,0.07494000,6087793.50000000,1593302399999,484112.73038900,3200,2504974.60000000,197604.91596100,0,2020-06-27,2020-06-27 23:59:59.999
1593302400000,0.07449000,0.07845000,0.07325000,0.07528000,1817414.10000000,1593388799999,138140.24089700,1079,815472.40000000,62022.40152300,0,2020-06-28,2020-06-28 23:59:59.999
1593388800000,0.07576000,0.07703000,0.07100000,0.07474000,4074629.60000000,1593475199999,299209.01996800,1557,1779985.80000000,130872.34765000,0,2020-06-29,2020-06-29 23:59:59.999
1593475200000,0.07474000,0.07780000,0.07309000,0.07452000,3728237.40000000,1593561599999,281065.05577700,1978,1922573.20000000,145089.29291000,0,2020-06-30,2020-06-30 23:59:59.999
1593561600000,0.07432000,0.08071000,0.07326000,0.07944000,5192550.60000000,1593647999999,404430.28759100,2412,2496868.20000000,194384.64210000,0,2020-07-01,2020-07-01 23:59:59.999
