open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1582243200000,0.00481700,0.00600000,0.00291400,0.00322200,1035082083.00000000,1582329599999,3835240.88523700,16208,434122838.00000000,1613574.85199800,0,2020-02-21,2020-02-21 23:59:59.999
1582329600000,0.00322400,0.00325000,0.00244900,0.00261100,648799171.00000000,1582415999999,1788306.16500200,10723,264523679.00000000,725566.77185200,0,2020-02-22,2020-02-22 23:59:59.999
1582416000000,0.00261200,0.00272900,0.00255400,0.00257900,215816134.00000000,1582502399999,570206.41940700,4194,108960882.00000000,289243.60118500,0,2020-02-23,2020-02-23 23:59:59.999
1582502400000,0.00257900,0.00270100,0.00230000,0.00240000,306354865.00000000,1582588799999,764876.93901200,12496,154909924.00000000,388878.80434900,0,2020-02-24,2020-02-24 23:59:59.999
1582588800000,0.00240000,0.00241200,0.00210400,0.00215800,353940051.00000000,1582675199999,790389.04913100,12577,172554440.00000000,386505.03798700,0,2020-02-25,2020-02-25 23:59:59.999
1582675200000,0.00215300,0.00221600,0.00172300,0.00183400,320846250.00000000,1582761599999,625286.41070500,9833,149083804.00000000,290037.26605700,0,2020-02-26,2020-02-26 23:59:59.999
1582761600000,0.00183600,0.00215000,0.00170600,0.00205700,293351129.00000000,1582847999999,572110.65836100,9404,140078997.00000000,276351.66496800,0,2020-02-27,2020-02-27 23:59:59.999
1582848000000,0.00205700,0.00230900,0.00194900,0.00223900,357639365.00000000,1582934399999,772507.36770100,11802,191153145.00000000,414945.57409000,0,2020-02-28,2020-02-28 23:59:59.999
1582934400000,0.00224000,0.00226600,0.00204600,0.00212100,165992400.00000000,1583020799999,356556.97201100,8366,86647073.00000000,186177.25255300,0,2020-02-29,2020-02-29 23:59:59.999
1583020800000,0.00213400,0.00217800,0.00194100,0.00202600,138281859.00000000,1583107199999,287769.41421200,7093,66413957.00000000,138209.65758400,0,2020-03-01,2020-03-01 23:59:59.999
1583107200000,0.00202700,0.00215300,0.00193600,0.00212400,148458698.00000000,1583193599999,308223.23035800,6976,70118735.00000000,145621.85433300,0,2020-03-02,2020-03-02 23:59:59.999
1583193600000,0.00212400,0.00213500,0.00200700,0.00211800,186152351.00000000,1583279999999,386533.74887700,8168,94074994.00000000,195604.01470400,0,2020-03-03,2020-03-03 23:59:59.999
1583280000000,0.00211600,0.00217000,0.00200600,0.00207800,190628364.00000000,1583366399999,399489.02774000,6699,80427668.00000000,168654.51733800,0,2020-03-04,2020-03-04 23:59:59.999
1583366400000,0.00207600,0.00240100,0.00206400,0.00221900,400600051.00000000,1583452799999,898563.92834000,9692,159834342.00000000,358784.77652800,0,2020-03-05,2020-03-05 23:59:59.999
1583452800000,0.00221900,0.00238400,0.00215900,0.00228700,376294017.00000000,1583539199999,847201.21072900,9078,186895179.00000000,422951.66941800,0,2020-03-06,2020-03-06 23:59:59.999
1583539200000,0.00228800,0.00259600,0.00224200,0.00237200,846694605.00000000,1583625599999,2062367.82984300,14017,417696785.00000000,1016974.73450300,0,2020-03-07,2020-03-07 23:59:59.999
1583625600000,0.00236900,0.00237200,0.00178400,0.00182800,447715906.00000000,1583711999999,956005.44359600,10251,221736768.00000000,474065.96595800,0,2020-03-08,2020-03-08 23:59:59.999
1583712000000,0.00182800,0.00193100,0.00171200,0.00186200,303458296.00000000,1583798399999,554781.91569200,8313,145624851.00000000,265988.73947400,0,2020-03-09,2020-03-09 23:59:59.999
1583798400000,0.00186300,0.00200000,0.00183300,0.00191900,191274371.00000000,1583884799999,363288.63370200,7666,105276922.00000000,200100.86015700,0,2020-03-10,2020-03-10 23:59:59.999
1583884800000,0.00191800,0.00193300,0.00166400,0.00176800,217845459.00000000,1583971199999,391647.88166100,8156,84467930.00000000,152313.73151100,0,2020-03-11,2020-03-11 23:59:59.999
1583971200000,0.00176700,0.00177700,0.00090000,0.00097400,503611417.00000000,1584057599999,649747.57713600,17451,251450363.00000000,316797.61197100,0,2020-03-12,2020-03-12 23:59:59.999
1584057600000,0.00097200,0.00113100,0.00063500,0.00106500,405129263.00000000,1584143999999,380370.20337500,9694,219470465.00000000,206949.27054800,0,2020-03-13,2020-03-13 23:59:59.999
1584144000000,0.00106400,0.00128100,0.00103400,0.00111600,264250459.00000000,1584230399999,299565.61792300,8008,151828366.00000000,172407.49172800,0,2020-03-14,2020-03-14 23:59:59.999
1584230400000,0.00111500,0.00136900,0.00110600,0.00124700,245835657.00000000,1584316799999,305257.99393000,8164,126732390.00000000,156879.47920800,0,2020-03-15,2020-03-15 23:59:59.999
1584316800000,0.00124600,0.00125800,0.00095800,0.00107300,207239713.00000000,1584403199999,224422.65082900,7464,94422223.00000000,102095.61303500,0,2020-03-16,2020-03-16 23:59:59.999
1584403200000,0.00107300,0.00120000,0.00105600,0.00112300,193630652.00000000,1584489599999,216365.33341700,6582,96479348.00000000,107957.93289900,0,2020-03-17,2020-03-17 23:59:59.999
1584489600000,0.00112200,0.00126100,0.00106200,0.00112600,177617458.00000000,1584575999999,197237.26533700,6471,91292678.00000000,101417.22732300,0,2020-03-18,2020-03-18 23:59:59.999
1584576000000,0.00112600,0.00128000,0.00110700,0.00124800,252072374.00000000,1584662399999,302837.94280700,7287,124548141.00000000,149667.59654600,0,2020-03-19,2020-03-19 23:59:59.999
1584662400000,0.00124800,0.00136300,0.00112700,0.00121300,248801652.00000000,1584748799999,311958.43206800,7622,118471313.00000000,148872.28215000,0,2020-03-20,2020-03-20 23:59:59.999
1584748800000,0.00121300,0.00125100,0.00115500,0.00122200,175886383.00000000,1584835199999,211662.59931900,6253,83371278.00000000,100598.48131900,0,2020-03-21,2020-03-21 23:59:59.999
1584835200000,0.00122100,0.00128800,0.00116800,0.00121300,187638612.00000000,1584921599999,230309.89310100,7366,95174767.00000000,116749.94356000,0,2020-03-22,2020-03-22 23:59:59.999
1584921600000,0.00121200,0.00147000,0.00115300,0.00130100,430955005.00000000,1585007999999,557210.19692000,9323,184753397.00000000,237539.56722600,0,2020-03-23,2020-03-23 23:59:59.999
1585008000000,0.00130300,0.00133300,0.00121900,0.00127500,208791726.00000000,1585094399999,265717.84036100,6771,98767119.00000000,125720.41527000,0,2020-03-24,2020-03-24 23:59:59.999
1585094400000,0.00128100,0.00128900,0.00121300,0.00123900,148561688.00000000,1585180799999,185533.10467000,5955,67601113.00000000,84416.13805700,0,2020-03-25,2020-03-25 23:59:59.999
1585180800000,0.00123800,0.00129200,0.00120200,0.00124500,145211739.00000000,1585267199999,178403.87479000,5835,69219854.00000000,85111.60174400,0,2020-03-26,2020-03-26 23:59:59.999
1585267200000,0.00124500,0.00164500,0.00123000,0.00144200,808130057.00000000,1585353599999,1179657.72346700,13982,431073491.00000000,632593.34126000,0,2020-03-27,2020-03-27 23:59:59.999
1585353600000,0.00144100,0.00148600,0.00134000,0.00146500,339591838.00000000,1585439999999,481826.97794400,8966,169816420.00000000,241174.03417400,0,2020-03-28,2020-03-28 23:59:59.999
1585440000000,0.00146500,0.00150100,0.00135700,0.00137200,208691122.00000000,1585526399999,300130.75472700,7586,99234278.00000000,142926.27607900,0,2020-03-29,2020-03-29 23:59:59.999
1585526400000,0.00137200,0.00148600,0.00133200,0.00141600,253706423.00000000,1585612799999,360213.47915600,8253,112697542.00000000,159960.93085200,0,2020-03-30,2020-03-30 23:59:59.999
1585612800000,0.00141500,0.00146200,0.00138100,0.00139200,146959388.00000000,1585699199999,206688.29688700,6195,68824963.00000000,96826.84851400,0,2020-03-31,2020-03-31 23:59:59.999
1585699200000,0.00139200,0.00139800,0.00129100,0.00136400,173634990.00000000,1585785599999,232648.59985000,6259,75534604.00000000,101099.76893800,0,2020-04-01,2020-04-01 23:59:59.999
1585785600000,0.00136400,0.00140500,0.00132200,0.00135800,170977075.00000000,1585871999999,232590.33561000,6428,82300802.00000000,112059.98561300,0,2020-04-02,2020-04-02 23:59:59.999
1585872000000,0.00136100,0.00140300,0.00133400,0.00135300,156072548.00000000,1585958399999,213199.54444400,5886,70684475.00000000,96620.67875500,0,2020-04-03,2020-04-03 23:59:59.999
1585958400000,0.00135300,0.00142300,0.00135000,0.00139200,148450475.00000000,1586044799999,205043.64131000,6313,73086728.00000000,101012.27943300,0,2020-04-04,2020-04-04 23:59:59.999
1586044800000,0.00139200,0.00142000,0.00136400,0.00136900,137833636.00000000,1586131199999,192389.69916100,6107,62738451.00000000,87567.28586500,0,2020-04-05,2020-04-05 23:59:59.999
1586131200000,0.00136800,0.00144000,0.00136000,0.00142800,158351175.00000000,1586217599999,222577.26592400,6203,91482284.00000000,128612.92581400,0,2020-04-06,2020-04-06 23:59:59.999
1586217600000,0.00142700,0.00144100,0.00138000,0.00138300,201007240.00000000,1586303999999,284930.27868100,6059,82838554.00000000,117424.43967200,0,2020-04-07,2020-04-07 23:59:59.999
1586304000000,0.00138300,0.00143500,0.00137700,0.00139900,156928084.00000000,1586390399999,218959.98991200,5986,72313048.00000000,100985.94721300,0,2020-04-08,2020-04-08 23:59:59.999
1586390400000,0.00139900,0.00140900,0.00136300,0.00138900,134771128.00000000,1586476799999,187076.32879400,5854,70495187.00000000,97861.97589800,0,2020-04-09,2020-04-09 23:59:59.999
1586476800000,0.00138800,0.00139300,0.00126200,0.00129000,171065769.00000000,1586563199999,223269.61663700,6014,76910191.00000000,100411.94611300,0,2020-04-10,2020-04-10 23:59:59.999
1586563200000,0.00129000,0.00130500,0.00126500,0.00128100,162090419.00000000,1586649599999,208445.07071900,5983,65882721.00000000,84710.96348400,0,2020-04-11,2020-04-11 23:59:59.999
1586649600000,0.00128100,0.00130000,0.00125300,0.00127900,118136964.00000000,1586735999999,150864.34934600,5210,55222457.00000000,70520.28167900,0,2020-04-12,2020-04-12 23:59:59.999
1586736000000,0.00127900,0.00129000,0.00121000,0.00122900,155532734.00000000,1586822399999,191320.36757600,5854,73646663.00000000,90525.17961400,0,2020-04-13,2020-04-13 23:59:59.999
1586822400000,0.00122900,0.00126600,0.00121500,0.00123500,138898159.00000000,1586908799999,171818.06701100,5396,65326181.00000000,80848.57687600,0,2020-04-14,2020-04-14 23:59:59.999
1586908800000,0.00123800,0.00125000,0.00115400,0.00116200,118333882.00000000,1586995199999,144313.17510300,5495,54060224.00000000,65934.36605000,0,2020-04-15,2020-04-15 23:59:59.999
1586995200000,0.00116300,0.00133700,0.00114000,0.00121100,123202887.00000000,1587081599999,146870.29645100,4119,62360336.00000000,74513.25022800,0,2020-04-16,2020-04-16 23:59:59.999
1587081600000,0.00120900,0.00122500,0.00118400,0.00121200,122376909.00000000,1587167999999,147325.39182200,5102,58349201.00000000,70341.30580300,0,2020-04-17,2020-04-17 23:59:59.999
1587168000000,0.00121100,0.00125100,0.00120500,0.00124400,121920775.00000000,1587254399999,149928.49973200,5579,60392633.00000000,74292.96320900,0,2020-04-18,2020-04-18 23:59:59.999
1587254400000,0.00124400,0.00125100,0.00120900,0.00121500,119256911.00000000,1587340799999,145868.15649100,5173,57298533.00000000,70151.06036500,0,2020-04-19,2020-04-19 23:59:59.999
1587340800000,0.00121500,0.00123800,0.00114100,0.00115000,151159036.00000000,1587427199999,180026.27403600,5739,75505988.00000000,89869.32607600,0,2020-04-20,2020-04-20 23:59:59.999
1587427200000,0.00115000,0.00117800,0.00114100,0.00115900,110243918.00000000,1587513599999,127121.72551200,5354,52792276.00000000,60893.87691000,0,2020-04-21,2020-04-21 23:59:59.999
1587513600000,0.00115800,0.00120500,0.00114300,0.00119300,110019093.00000000,1587599999999,129802.10640200,5227,55098046.00000000,65073.64714600,0,2020-04-22,2020-04-22 23:59:59.999
1587600000000,0.00119300,0.00123400,0.00117200,0.00121600,134392111.00000000,1587686399999,161036.08949200,5451,64736083.00000000,77658.58573000,0,2020-04-23,2020-04-23 23:59:59.999
1587686400000,0.00121600,0.00130700,0.00120600,0.00124700,185739473.00000000,1587772799999,231592.78117100,6188,88073426.00000000,109764.74813900,0,2020-04-24,2020-04-24 23:59:59.999
1587772800000,0.00124700,0.00127300,0.00122700,0.00126500,126880202.00000000,1587859199999,159340.28171300,5118,61672128.00000000,77496.05180800,0,2020-04-25,2020-04-25 23:59:59.999
1587859200000,0.00126400,0.00138300,0.00126000,0.00137400,270473785.00000000,1587945599999,353626.13094100,6934,144023649.00000000,188817.43248100,0,2020-04-26,2020-04-26 23:59:59.999
1587945600000,0.00137800,0.00140600,0.00130000,0.00132500,237229169.00000000,1588031999999,319442.60410400,6327,113699716.00000000,153427.12197700,0,2020-04-27,2020-04-27 23:59:59.999
1588032000000,0.00132500,0.00133100,0.00126700,0.00128800,199882635.00000000,1588118399999,257874.78859800,5821,99155950.00000000,128007.95845600,0,2020-04-28,2020-04-28 23:59:59.999
1588118400000,0.00128800,0.00134100,0.00128800,0.00132600,170837498.00000000,1588204799999,224157.63588400,5837,84881948.00000000,111377.23018300,0,2020-04-29,2020-04-29 23:59:59.999
1588204800000,0.00132600,0.00135800,0.00126000,0.00127600,212013357.00000000,1588291199999,277176.40566800,6523,102748389.00000000,134569.65975900,0,2020-04-30,2020-04-30 23:59:59.999
1588291200000,0.00127600,0.00134300,0.00127300,0.00132200,179201865.00000000,1588377599999,235426.58808200,6523,93131805.00000000,122381.88903800,0,2020-05-01,2020-05-01 23:59:59.999
1588377600000,0.00132300,0.00134800,0.00131000,0.00133900,159490888.00000000,1588463999999,211852.55097800,6088,85466522.00000000,113572.61913400,0,2020-05-02,2020-05-02 23:59:59.999
1588464000000,0.00133900,0.00155800,0.00129300,0.00135100,414075220.00000000,1588550399999,563995.53893200,8908,189741275.00000000,257209.49651600,0,2020-05-03,2020-05-03 23:59:59.999
1588550400000,0.00134600,0.00136900,0.00123200,0.00131100,277135568.00000000,1588636799999,363044.84752600,6621,140689301.00000000,184607.15100400,0,2020-05-04,2020-05-04 23:59:59.999
1588636800000,0.00131000,0.00142000,0.00130100,0.00135900,459548841.00000000,1588723199999,617541.67452900,7403,239290971.00000000,322728.31385300,0,2020-05-05,2020-05-05 23:59:59.999
1588723200000,0.00135200,0.00137400,0.00132200,0.00132300,229535232.00000000,1588809599999,310625.51452200,6578,88522812.00000000,119848.22047000,0,2020-05-06,2020-05-06 23:59:59.999
1588809600000,0.00132300,0.00134800,0.00130200,0.00134500,303630259.00000000,1588895999999,400145.22308800,7301,115539627.00000000,152405.69244100,0,2020-05-07,2020-05-07 23:59:59.999
1588896000000,0.00134400,0.00134500,0.00129800,0.00133000,153123583.00000000,1588982399999,202402.14024100,6412,74278706.00000000,98239.23552600,0,2020-05-08,2020-05-08 23:59:59.999
1588982400000,0.00133000,0.00135000,0.00131000,0.00131700,149810851.00000000,1589068799999,199453.23106900,5621,74884161.00000000,99750.18822700,0,2020-05-09,2020-05-09 23:59:59.999
1589068800000,0.00131700,0.00132100,0.00114100,0.00116000,242095343.00000000,1589155199999,287890.29418000,6837,122238692.00000000,145248.38634500,0,2020-05-10,2020-05-10 23:59:59.999
1589155200000,0.00115900,0.00123400,0.00113200,0.00116500,182948283.00000000,1589241599999,215249.58743800,5852,93439715.00000000,109967.37862400,0,2020-05-11,2020-05-11 23:59:59.999
1589241600000,0.00116400,0.00121000,0.00116000,0.00120100,113796117.00000000,1589327999999,135341.28504000,4781,58781536.00000000,69986.57568500,0,2020-05-12,2020-05-12 23:59:59.999
1589328000000,0.00120100,0.00125700,0.00119600,0.00121300,150329473.00000000,1589414399999,183437.29598800,5325,73422935.00000000,89727.44113400,0,2020-05-13,2020-05-13 23:59:59.999
1589414400000,0.00121400,0.00125100,0.00116800,0.00120300,198556415.00000000,1589500799999,238056.88617700,5039,102950227.00000000,123608.44158600,0,2020-05-14,2020-05-14 23:59:59.999
1589500800000,0.00120200,0.00125200,0.00118100,0.00122400,156940122.00000000,1589587199999,192531.59695700,4988,78250921.00000000,96021.52690400,0,2020-05-15,2020-05-15 23:59:59.999
1589587200000,0.00122300,0.00157300,0.00117500,0.00142700,501633682.00000000,1589673599999,669653.34578200,9186,298057901.00000000,398511.11163000,0,2020-05-16,2020-05-16 23:59:59.999
1589673600000,0.00142800,0.00148700,0.00135500,0.00138100,437644213.00000000,1589759999999,612589.41202200,8095,227675472.00000000,319128.64767700,0,2020-05-17,2020-05-17 23:59:59.999
1589760000000,0.00138400,0.00145000,0.00115000,0.00137900,190113022.00000000,1589846399999,261929.39753500,3898,98977097.00000000,136959.16422000,0,2020-05-18,2020-05-18 23:59:59.999
1589846400000,0.00137900,0.00141100,0.00133800,0.00140900,107398428.00000000,1589932799999,146981.11996900,2521,58972711.00000000,80819.16250200,0,2020-05-19,2020-05-19 23:59:59.999
1589932800000,0.00140300,0.00145000,0.00133800,0.00136400,180448031.00000000,1590019199999,248839.64034500,4284,94317380.00000000,130420.12813600,0,2020-05-20,2020-05-20 23:59:59.999
1590019200000,0.00136700,0.00153800,0.00132400,0.00144900,439487156.00000000,1590105599999,624836.53351800,7959,213753051.00000000,303718.93659600,0,2020-05-21,2020-05-21 23:59:59.999
1590105600000,0.00143600,0.00180000,0.00139000,0.00160000,1017305667.00000000,1590191999999,1606242.30426700,17126,490394209.00000000,768857.33819000,0,2020-05-22,2020-05-22 23:59:59.999
1590192000000,0.00160000,0.00161000,0.00146300,0.00152100,404305814.00000000,1590278399999,613634.24960600,8976,200303203.00000000,303733.15170500,0,2020-05-23,2020-05-23 23:59:59.999
1590278400000,0.00152100,0.00161500,0.00146800,0.00147800,418357054.00000000,1590364799999,640778.67475800,9619,206341226.00000000,316649.80135500,0,2020-05-24,2020-05-24 23:59:59.999
1590364800000,0.00147000,0.00211200,0.00145200,0.00195000,1772172082.00000000,1590451199999,3178796.60829600,25606,750019734.00000000,1344782.82141600,0,2020-05-25,2020-05-25 23:59:59.999
1590451200000,0.00194400,0.00280000,0.00179600,0.00250200,3696317207.00000000,1590537599999,8292432.73672500,58641,1612173673.00000000,3624383.93859700,0,2020-05-26,2020-05-26 23:59:59.999
1590537600000,0.00250400,0.00290000,0.00186100,0.00204200,3823620830.00000000,1590623999999,8965604.42476100,52798,1774022486.00000000,4152699.22374800,0,2020-05-27,2020-05-27 23:59:59.999
1590624000000,0.00203000,0.00208500,0.00180100,0.00180500,909760672.00000000,1590710399999,1730633.10308800,17456,380188358.00000000,722653.00555900,0,2020-05-28,2020-05-28 23:59:59.999
1590710400000,0.00180300,0.00185000,0.00169300,0.00178800,630093957.00000000,1590796799999,1106657.75654800,10788,250049109.00000000,440015.66946600,0,2020-05-29,2020-05-29 23:59:59.999
1590796800000,0.00178600,0.00184000,0.00173000,0.00178500,380227687.00000000,1590883199999,679421.08487300,8333,206609954.00000000,369551.87452400,0,2020-05-30,2020-05-30 23:59:59.999
1590883200000,0.00178400,0.00182300,0.00164000,0.00166800,484764632.00000000,1590969599999,845365.90717800,9506,251725940.00000000,439188.10014000,0,2020-05-31,2020-05-31 23:59:59.999
1590969600000,0.00166700,0.00176300,0.00166600,0.00173900,312974224.00000000,1591055999999,536570.16418800,8054,152743925.00000000,262087.21562600,0,2020-06-01,2020-06-01 23:59:59.999
1591056000000,0.00174400,0.00176600,0.00158200,0.00166100,294679090.00000000,1591142399999,499207.71090200,7962,132633971.00000000,225457.25464700,0,2020-06-02,2020-06-02 23:59:59.999
1591142400000,0.00166200,0.00180300,0.00165000,0.00174900,379598595.00000000,1591228799999,654277.85257600,9200,170615669.00000000,293459.97788300,0,2020-06-03,2020-06-03 23:59:59.999
1591228800000,0.00174800,0.00181700,0.00172300,0.00179800,475670556.00000000,1591315199999,840601.03988300,9504,242921443.00000000,430019.07070200,0,2020-06-04,2020-06-04 23:59:59.999
1591315200000,0.00179700,0.00183100,0.00176200,0.00176800,292753999.00000000,1591401599999,522228.53542100,8530,158193708.00000000,282434.83658100,0,2020-06-05,2020-06-05 23:59:59.999
1591401600000,0.00176800,0.00198300,0.00173500,0.00192600,407996041.00000000,1591487999999,753909.75376200,10583,227862055.00000000,419924.86885100,0,2020-06-06,2020-06-06 23:59:59.999
1591488000000,0.00192600,0.00198000,0.00181700,0.00189500,544027396.00000000,1591574399999,1032176.09774600,11501,265858174.00000000,504687.79104900,0,2020-06-07,2020-06-07 23:59:59.999
1591574400000,0.00189500,0.00190700,0.00181300,0.00185100,393824936.00000000,1591660799999,730159.46696600,8430,168878868.00000000,313323.84315100,0,2020-06-08,2020-06-08 23:59:59.999
1591660800000,0.00185200,0.00186400,0.00177700,0.00183200,285684995.00000000,1591747199999,518264.79905300,7886,131270026.00000000,238297.30407900,0,2020-06-09,2020-06-09 23:59:59.999
1591747200000,0.00183100,0.00194300,0.00180200,0.00193000,343442876.00000000,1591833599999,638900.18202300,9197,166859640.00000000,311221.82890000,0,2020-06-10,2020-06-10 23:59:59.999
1591833600000,0.00192900,0.00195000,0.00149600,0.00165900,459225761.00000000,1591919999999,840740.27368700,10341,193770189.00000000,357597.96771400,0,2020-06-11,2020-06-11 23:59:59.999
1591920000000,0.00165900,0.00177600,0.00164600,0.00175600,310811495.00000000,1592006399999,536348.65518900,7735,155553266.00000000,268872.23732300,0,2020-06-12,2020-06-12 23:59:59.999
1592006400000,0.00175600,0.00195100,0.00174100,0.00185300,671167800.00000000,1592092799999,1241186.34501400,11355,288419151.00000000,532289.00876900,0,2020-06-13,2020-06-13 23:59:59.999
1592092800000,0.00185400,0.00186900,0.00175800,0.00178200,256562260.00000000,1592179199999,463710.67557500,7325,122151215.00000000,220805.55112600,0,2020-06-14,2020-06-14 23:59:59.999
1592179200000,0.00178000,0.00179000,0.00160200,0.00172400,327838383.00000000,1592265599999,553131.14704500,8813,147300759.00000000,249377.76374400,0,2020-06-15,2020-06-15 23:59:59.999
