open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1600646400000,0.01660000,0.02360000,0.01144000,0.01230000,349389927.50000000,1600732799999,5676307.48470400,27418,157368859.00000000,2608513.89767300,0,2020-09-21,2020-09-21 23:59:59.999
1600732800000,0.01235000,0.01438000,0.01000000,0.01056000,205524385.00000000,1600819199999,2342007.47722300,16326,93012741.30000000,1063825.98881100,0,2020-09-22,2020-09-22 23:59:59.999
1600819200000,0.01052000,0.01055000,0.00724000,0.00745000,172344542.20000000,1600905599999,1511290.44570100,11309,68869298.60000000,606363.44705000,0,2020-09-23,2020-09-23 23:59:59.999
1600905600000,0.00750000,0.00865000,0.00720000,0.00835000,115104724.00000000,1600991999999,896920.31022200,6614,53512996.10000000,417218.53087100,0,2020-09-24,2020-09-24 23:59:59.999
1600992000000,0.00836000,0.00943000,0.00790000,0.00871000,108922641.70000000,1601078399999,945102.85773100,7695,49877499.70000000,431456.76625600,0,2020-09-25,2020-09-25 23:59:59.999
1601078400000,0.00871000,0.00927000,0.00805000,0.00835000,73625139.60000000,1601164799999,629480.00805900,4610,38154824.60000000,327584.15762200,0,2020-09-26,2020-09-26 23:59:59.999
1601164800000,0.00826000,0.00835000,0.00765000,0.00765000,18952248.70000000,1601251199999,150859.88630000,1696,6029452.60000000,48114.77326300,0,2020-09-27,2020-09-27 23:59:59.999
1601251200000,0.00772000,0.00810000,0.00739000,0.00739000,31478403.60000000,1601337599999,243562.04050400,2882,15691959.20000000,121683.05531200,0,2020-09-28,2020-09-28 23:59:59.999
1601337600000,0.00739000,0.00753000,0.00670000,0.00700000,42510948.60000000,1601423999999,300708.32349000,3657,22998872.90000000,162994.86197800,0,2020-09-29,2020-09-29 23:59:59.999
1601424000000,0.00700000,0.00708000,0.00636000,0.00648000,25796637.70000000,1601510399999,170613.11770500,2390,10826944.40000000,71998.55420300,0,2020-09-30,2020-09-30 23:59:59.999
1601510400000,0.00648000,0.00800000,0.00606000,0.00753000,60339414.40000000,1601596799999,415473.28644600,4317,29226972.60000000,202021.47161800,0,2020-10-01,2020-10-01 23:59:59.999
1601596800000,0.00757000,0.01140000,0.00711000,0.00884000,512726779.10000000,1601683199999,4521416.58599600,30757,245997986.30000000,2173070.58061800,0,2020-10-02,2020-10-02 23:59:59.999
1601683200000,0.00879000,0.00884000,0.00752000,0.00777000,71965038.50000000,1601769599999,581992.92453900,5953,34176758.60000000,275865.35198200,0,2020-10-03,2020-10-03 23:59:59.999
1601769600000,0.00768000,0.00845000,0.00747000,0.00777000,26381533.30000000,1601855999999,208192.19950200,3220,13001693.70000000,102453.04229100,0,2020-10-04,2020-10-04 23:59:59.999
1601856000000,0.00777000,0.00798000,0.00716000,0.00727000,17043112.60000000,1601942399999,129859.73402300,2227,8849514.10000000,67781.65210600,0,2020-10-05,2020-10-05 23:59:59.999
1601942400000,0.00726000,0.00739000,0.00637000,0.00649000,21798419.80000000,1602028799999,150605.29732100,2171,10719321.20000000,74376.08196200,0,2020-10-06,2020-10-06 23:59:59.999
1602028800000,0.00645000,0.00666000,0.00591000,0.00653000,16500994.10000000,1602115199999,103711.44642200,2623,7672647.00000000,48190.41228500,0,2020-10-07,2020-10-07 23:59:59.999
1602115200000,0.00655000,0.01037000,0.00608000,0.00797000,124611473.70000000,1602201599999,1022529.77028500,12306,62871618.00000000,519056.74632100,0,2020-10-08,2020-10-08 23:59:59.999
1602201600000,0.00798000,0.00818000,0.00740000,0.00775000,66028385.90000000,1602287999999,510618.15323600,8000,32290127.30000000,249988.44344600,0,2020-10-09,2020-10-09 23:59:59.999
1602288000000,0.00776000,0.00788000,0.00693000,0.00697000,26787452.10000000,1602374399999,200353.78432600,2729,11268542.60000000,84390.88385300,0,2020-10-10,2020-10-10 23:59:59.999
1602374400000,0.00698000,0.00759000,0.00693000,0.00721000,13001525.80000000,1602460799999,93439.22289900,1374,5592721.50000000,40323.55564300,0,2020-10-11,2020-10-11 23:59:59.999
1602460800000,0.00717000,0.00817000,0.00691000,0.00698000,65052901.20000000,1602547199999,481051.04622200,3808,29200266.60000000,215982.29530700,0,2020-10-12,2020-10-12 23:59:59.999
1602547200000,0.00701000,0.00719000,0.00660000,0.00698000,36542734.60000000,1602633599999,248704.40655400,2550,16689316.70000000,114075.19140000,0,2020-10-13,2020-10-13 23:59:59.999
1602633600000,0.00698000,0.00699000,0.00651000,0.00664000,8775022.80000000,1602719999999,59038.17412800,911,4581857.50000000,30801.13403900,0,2020-10-14,2020-10-14 23:59:59.999
1602720000000,0.00664000,0.00667000,0.00629000,0.00643000,14379439.90000000,1602806399999,93297.05479600,1261,6431610.80000000,41849.46931900,0,2020-10-15,2020-10-15 23:59:59.999
1602806400000,0.00644000,0.00673000,0.00597000,0.00623000,16644119.40000000,1602892799999,104872.21081900,1609,8000363.10000000,50593.12586000,0,2020-10-16,2020-10-16 23:59:59.999
1602892800000,0.00626000,0.00727000,0.00619000,0.00644000,39550728.50000000,1602979199999,264363.37169300,2852,18385655.90000000,122830.86444900,0,2020-10-17,2020-10-17 23:59:59.999
1602979200000,0.00643000,0.00674000,0.00626000,0.00632000,18841686.20000000,1603065599999,120693.47063800,1425,10585345.10000000,67831.42786200,0,2020-10-18,2020-10-18 23:59:59.999
1603065600000,0.00631000,0.00653000,0.00619000,0.00631000,12163200.40000000,1603151999999,77395.88108000,844,3734353.20000000,23665.56975100,0,2020-10-19,2020-10-19 23:59:59.999
1603152000000,0.00630000,0.00663000,0.00574000,0.00606000,34753457.10000000,1603238399999,215103.08096700,3253,16625055.30000000,103522.76967100,0,2020-10-20,2020-10-20 23:59:59.999
1603238400000,0.00606000,0.00611000,0.00551000,0.00564000,34676456.80000000,1603324799999,201699.64458400,2188,15613359.70000000,90731.66292200,0,2020-10-21,2020-10-21 23:59:59.999
1603324800000,0.00567000,0.00700000,0.00549000,0.00578000,66324644.30000000,1603411199999,408065.65517400,3784,29615103.80000000,181510.86698600,0,2020-10-22,2020-10-22 23:59:59.999
1603411200000,0.00575000,0.00583000,0.00542000,0.00558000,20531209.30000000,1603497599999,115513.85418200,1167,10331424.60000000,58201.41123400,0,2020-10-23,2020-10-23 23:59:59.999
1603497600000,0.00557000,0.00583000,0.00543000,0.00568000,12214014.10000000,1603583999999,68221.13566300,804,7558179.00000000,42211.50426900,0,2020-10-24,2020-10-24 23:59:59.999
1603584000000,0.00568000,0.00594000,0.00488000,0.00535000,24674971.50000000,1603670399999,137715.24080400,1935,10532518.60000000,59279.57533300,0,2020-10-25,2020-10-25 23:59:59.999
1603670400000,0.00533000,0.00561000,0.00516000,0.00532000,16198863.40000000,1603756799999,87072.26447000,1285,7695569.80000000,41248.30552400,0,2020-10-26,2020-10-26 23:59:59.999
1603756800000,0.00533000,0.00535000,0.00484000,0.00501000,24886187.00000000,1603843199999,125406.22638100,2122,10087550.10000000,50767.13034300,0,2020-10-27,2020-10-27 23:59:59.999
1603843200000,0.00497000,0.00504000,0.00450000,0.00458000,19069428.80000000,1603929599999,90775.86446600,1577,8194522.40000000,39204.02140300,0,2020-10-28,2020-10-28 23:59:59.999
1603929600000,0.00457000,0.00467000,0.00404000,0.00409000,24791820.70000000,1604015999999,108155.48534900,1639,11480378.30000000,50122.93756800,0,2020-10-29,2020-10-29 23:59:59.999
1604016000000,0.00407000,0.00540000,0.00373000,0.00504000,103746219.40000000,1604102399999,478836.43343200,6560,53228173.40000000,245999.68044300,0,2020-10-30,2020-10-30 23:59:59.999
1604102400000,0.00502000,0.00599000,0.00470000,0.00496000,150886418.60000000,1604188799999,793238.60853400,10710,69752712.80000000,366258.08203700,0,2020-10-31,2020-10-31 23:59:59.999
1604188800000,0.00497000,0.00555000,0.00462000,0.00521000,62379513.30000000,1604275199999,317871.91531700,4375,28427097.30000000,144241.68874300,0,2020-11-01,2020-11-01 23:59:59.999
1604275200000,0.00523000,0.00539000,0.00473000,0.00490000,45356633.80000000,1604361599999,228091.23054600,2887,16864483.90000000,84567.08973500,0,2020-11-02,2020-11-02 23:59:59.999
1604361600000,0.00486000,0.00499000,0.00441000,0.00455000,21585676.00000000,1604447999999,99345.73205100,1868,11830388.60000000,54816.26976500,0,2020-11-03,2020-11-03 23:59:59.999
1604448000000,0.00454000,0.00479000,0.00444000,0.00456000,9728994.00000000,1604534399999,44788.04672000,1349,4454650.40000000,20598.41299400,0,2020-11-04,2020-11-04 23:59:59.999
1604534400000,0.00455000,0.00497000,0.00447000,0.00486000,15195136.80000000,1604620799999,71092.99478700,2028,7602517.30000000,35572.21437900,0,2020-11-05,2020-11-05 23:59:59.999
1604620800000,0.00483000,0.00542000,0.00478000,0.00528000,27473939.00000000,1604707199999,137792.93513300,2265,11744202.40000000,59039.09126600,0,2020-11-06,2020-11-06 23:59:59.999
1604707200000,0.00524000,0.00586000,0.00489000,0.00517000,37501200.50000000,1604793599999,199895.84483900,3895,18712762.50000000,100177.21816200,0,2020-11-07,2020-11-07 23:59:59.999
1604793600000,0.00518000,0.00610000,0.00517000,0.00564000,53745769.20000000,1604879999999,304734.52353800,3994,24514224.90000000,139250.63668200,0,2020-11-08,2020-11-08 23:59:59.999
1604880000000,0.00569000,0.00590000,0.00550000,0.00560000,21386133.40000000,1604966399999,121675.02066700,1641,9701102.70000000,55328.08803200,0,2020-11-09,2020-11-09 23:59:59.999
1604966400000,0.00560000,0.00638000,0.00557000,0.00626000,37963297.30000000,1605052799999,229708.71329000,2899,20087263.30000000,121580.14518100,0,2020-11-10,2020-11-10 23:59:59.999
1605052800000,0.00627000,0.00850000,0.00614000,0.00701000,70422803.90000000,1605139199999,498615.78491100,6373,35762819.50000000,255066.83015000,0,2020-11-11,2020-11-11 23:59:59.999
1605139200000,0.00706000,0.00827000,0.00661000,0.00676000,91710639.40000000,1605225599999,680361.47367400,8208,43717898.70000000,325783.69183200,0,2020-11-12,2020-11-12 23:59:59.999
1605225600000,0.00676000,0.00737000,0.00651000,0.00674000,23088352.60000000,1605311999999,159159.98622100,2655,11880755.60000000,82077.36678000,0,2020-11-13,2020-11-13 23:59:59.999
1605312000000,0.00672000,0.00700000,0.00639000,0.00639000,16868926.60000000,1605398399999,111927.98373100,1349,10222966.70000000,68148.34201700,0,2020-11-14,2020-11-14 23:59:59.999
1605398400000,0.00639000,0.00653000,0.00605000,0.00619000,17689126.30000000,1605484799999,110681.32352400,1675,7548294.80000000,47468.37676600,0,2020-11-15,2020-11-15 23:59:59.999
1605484800000,0.00614000,0.00624000,0.00576000,0.00614000,18546223.80000000,1605571199999,112000.32451900,1711,9300019.90000000,56373.99268800,0,2020-11-16,2020-11-16 23:59:59.999
1605571200000,0.00611000,0.00729000,0.00602000,0.00687000,42658013.90000000,1605657599999,288942.10500500,3559,20655547.50000000,140045.55417500,0,2020-11-17,2020-11-17 23:59:59.999
1605657600000,0.00688000,0.00701000,0.00631000,0.00666000,13946615.60000000,1605743999999,92455.80949500,1560,7373752.40000000,48982.75435100,0,2020-11-18,2020-11-18 23:59:59.999
1605744000000,0.00667000,0.00701000,0.00645000,0.00663000,18205114.40000000,1605830399999,122492.17837700,1631,8200228.70000000,55111.81197700,0,2020-11-19,2020-11-19 23:59:59.999
1605830400000,0.00665000,0.00693000,0.00649000,0.00672000,9904666.70000000,1605916799999,66636.26534000,1150,4852399.20000000,32701.29983900,0,2020-11-20,2020-11-20 23:59:59.999
1605916800000,0.00674000,0.00741000,0.00630000,0.00694000,49566492.10000000,1606003199999,338674.50908000,4448,19548997.40000000,133253.52441800,0,2020-11-21,2020-11-21 23:59:59.999
1606003200000,0.00693000,0.00697000,0.00617000,0.00645000,27040722.30000000,1606089599999,178064.49057800,2495,12131254.50000000,79984.42198500,0,2020-11-22,2020-11-22 23:59:59.999
1606089600000,0.00647000,0.00679000,0.00633000,0.00641000,28044711.30000000,1606175999999,182941.25546900,2618,13384182.00000000,87387.11263000,0,2020-11-23,2020-11-23 23:59:59.999
1606176000000,0.00640000,0.00678000,0.00621000,0.00637000,49488870.80000000,1606262399999,321050.77787800,4005,23324956.90000000,151238.24761700,0,2020-11-24,2020-11-24 23:59:59.999
1606262400000,0.00638000,0.00667000,0.00607000,0.00625000,15816667.00000000,1606348799999,101956.06025500,2294,6490971.10000000,42031.54673200,0,2020-11-25,2020-11-25 23:59:59.999
1606348800000,0.00626000,0.00639000,0.00469000,0.00539000,34215398.40000000,1606435199999,185303.94988100,3314,14374657.20000000,78093.58065700,0,2020-11-26,2020-11-26 23:59:59.999
1606435200000,0.00535000,0.00589000,0.00532000,0.00579000,29870186.10000000,1606521599999,169601.52741700,3218,11877066.00000000,67739.90395800,0,2020-11-27,2020-11-27 23:59:59.999
1606521600000,0.00581000,0.00632000,0.00559000,0.00600000,21879588.80000000,1606607999999,129660.14394100,2063,11504215.90000000,68123.48048200,0,2020-11-28,2020-11-28 23:59:59.999
1606608000000,0.00601000,0.00616000,0.00584000,0.00600000,10035890.00000000,1606694399999,60278.46223700,1212,4638804.20000000,27963.95249500,0,2020-11-29,2020-11-29 23:59:59.999
1606694400000,0.00603000,0.00606000,0.00570000,0.00595000,15368668.10000000,1606780799999,90505.46384900,1550,6337029.30000000,37404.88870600,0,2020-11-30,2020-11-30 23:59:59.999
1606780800000,0.00594000,0.00594000,0.00542000,0.00562000,25953205.70000000,1606867199999,148327.86111600,2342,10620400.90000000,60968.33584900,0,2020-12-01,2020-12-01 23:59:59.999
1606867200000,0.00562000,0.00610000,0.00542000,0.00560000,40701057.10000000,1606953599999,233489.98249500,2927,18119028.30000000,104241.70128000,0,2020-12-02,2020-12-02 23:59:59.999
1606953600000,0.00560000,0.00578000,0.00539000,0.00554000,26290644.30000000,1607039999999,147507.56385400,1535,14394988.40000000,80862.12620500,0,2020-12-03,2020-12-03 23:59:59.999
1607040000000,0.00555000,0.00566000,0.00518000,0.00524000,10646735.00000000,1607126399999,58046.09410400,1187,6327033.10000000,34608.07891200,0,2020-12-04,2020-12-04 23:59:59.999
1607126400000,0.00516000,0.00575000,0.00511000,0.00551000,10998760.90000000,1607212799999,60252.36201800,1312,5492547.50000000,30095.17994800,0,2020-12-05,2020-12-05 23:59:59.999
1607212800000,0.00549000,0.00566000,0.00529000,0.00542000,7387711.80000000,1607299199999,39997.82356000,862,3400357.00000000,18481.22021900,0,2020-12-06,2020-12-06 23:59:59.999
1607299200000,0.00547000,0.00579000,0.00527000,0.00560000,18613588.60000000,1607385599999,103718.32025200,1827,8818154.10000000,49193.49833000,0,2020-12-07,2020-12-07 23:59:59.999
1607385600000,0.00559000,0.00677000,0.00550000,0.00551000,103449823.50000000,1607471999999,615593.86285200,5946,61234827.20000000,362980.01861400,0,2020-12-08,2020-12-08 23:59:59.999
1607472000000,0.00551000,0.00572000,0.00534000,0.00563000,13507173.40000000,1607558399999,74223.78651900,1400,7572321.60000000,41606.88914600,0,2020-12-09,2020-12-09 23:59:59.999
