open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1602633600000,1.30000000,1.88000000,1.05000000,1.16850000,33930218.86000000,1602719999999,41481573.24398600,94666,16622491.93000000,20352243.74292100,0,2020-10-14,2020-10-14 23:59:59.999
1602720000000,1.16850000,1.25220000,1.07920000,1.12090000,11332956.19000000,1602806399999,13125074.45466700,50562,6010618.76000000,6969229.03939700,0,2020-10-15,2020-10-15 23:59:59.999
1602806400000,1.12220000,1.15240000,0.81200000,0.81710000,18486274.59000000,1602892799999,17374515.72730700,61270,8444071.40000000,7925260.05384300,0,2020-10-16,2020-10-16 23:59:59.999
1602892800000,0.81710000,0.86490000,0.72000000,0.80730000,11674014.53000000,1602979199999,9195278.38447600,41288,5634961.12000000,4448822.04239500,0,2020-10-17,2020-10-17 23:59:59.999
1602979200000,0.80740000,0.87530000,0.80070000,0.86920000,5960006.25000000,1603065599999,4953300.26056900,20094,3009038.21000000,2501663.35558500,0,2020-10-18,2020-10-18 23:59:59.999
1603065600000,0.87030000,0.87100000,0.76500000,0.79930000,5584352.53000000,1603151999999,4574068.94630800,19570,2370165.16000000,1942797.76917300,0,2020-10-19,2020-10-19 23:59:59.999
1603152000000,0.79930000,0.81000000,0.67000000,0.67570000,7513041.18000000,1603238399999,5480522.41939500,24941,3154908.33000000,2305691.01385700,0,2020-10-20,2020-10-20 23:59:59.999
1603238400000,0.67740000,0.74750000,0.67310000,0.70440000,7268329.25000000,1603324799999,5178823.68433500,24964,3562699.41000000,2538114.48866000,0,2020-10-21,2020-10-21 23:59:59.999
1603324800000,0.70450000,0.78810000,0.70420000,0.74840000,5704822.90000000,1603411199999,4294101.16457000,22932,2926364.45000000,2203363.53459400,0,2020-10-22,2020-10-22 23:59:59.999
1603411200000,0.74790000,0.75350000,0.68620000,0.72710000,3774042.75000000,1603497599999,2737399.39167800,14437,1662707.08000000,1207391.55768900,0,2020-10-23,2020-10-23 23:59:59.999
1603497600000,0.72630000,0.75850000,0.70520000,0.73910000,3236181.66000000,1603583999999,2361460.31027200,15464,1553574.51000000,1134086.35576200,0,2020-10-24,2020-10-24 23:59:59.999
1603584000000,0.73890000,0.85810000,0.72900000,0.84440000,11721841.25000000,1603670399999,9388049.63125300,37979,6123674.75000000,4909760.53546500,0,2020-10-25,2020-10-25 23:59:59.999
1603670400000,0.84560000,0.85670000,0.73960000,0.77840000,7675162.26000000,1603756799999,6068472.53445100,30725,3704744.26000000,2931931.16485000,0,2020-10-26,2020-10-26 23:59:59.999
1603756800000,0.78030000,0.80680000,0.74470000,0.75980000,4825820.98000000,1603843199999,3753670.20996300,22170,2323544.63000000,1810199.67924900,0,2020-10-27,2020-10-27 23:59:59.999
1603843200000,0.76090000,0.77850000,0.68100000,0.70000000,5748696.55000000,1603929599999,4153622.71254600,19862,2595778.09000000,1880161.22563200,0,2020-10-28,2020-10-28 23:59:59.999
1603929600000,0.70060000,0.72460000,0.67020000,0.68950000,5560173.67000000,1604015999999,3905474.75520500,13072,2728011.06000000,1918329.26291600,0,2020-10-29,2020-10-29 23:59:59.999
1604016000000,0.69000000,0.70420000,0.61270000,0.63060000,7402852.45000000,1604102399999,4770414.76441100,14446,3568563.51000000,2296405.10132500,0,2020-10-30,2020-10-30 23:59:59.999
1604102400000,0.63040000,0.65640000,0.61840000,0.63850000,4194888.74000000,1604188799999,2674466.73012200,9764,2132275.97000000,1358921.94436600,0,2020-10-31,2020-10-31 23:59:59.999
1604188800000,0.63860000,0.65680000,0.60000000,0.63500000,8584893.91000000,1604275199999,5405751.16062600,17799,4351553.63000000,2740822.64392500,0,2020-11-01,2020-11-01 23:59:59.999
1604275200000,0.63610000,0.65170000,0.59760000,0.60640000,16305764.58000000,1604361599999,10207170.21380500,24467,8163273.34000000,5112615.83628200,0,2020-11-02,2020-11-02 23:59:59.999
1604361600000,0.60590000,0.61230000,0.55730000,0.56210000,5823630.76000000,1604447999999,3378452.93262300,9604,2783622.17000000,1615924.43825900,0,2020-11-03,2020-11-03 23:59:59.999
