open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1597795200000,50.42000000,50.42000000,37.77000000,42.07900000,11838.17200000,1597881599999,505615.15685200,4880,4431.59300000,189946.02610500,0,2020-08-19,2020-08-19 23:59:59.999
1597881600000,42.28100000,53.88000000,39.54200000,46.93000000,62972.51400000,1597967999999,2925713.23234500,18560,26088.37900000,1226343.49584400,0,2020-08-20,2020-08-20 23:59:59.999
1597968000000,46.95200000,52.10000000,41.35200000,41.89600000,47528.20400000,1598054399999,2196731.57020300,19241,19556.20400000,906611.27973400,0,2020-08-21,2020-08-21 23:59:59.999
1598054400000,42.18100000,51.00000000,41.07200000,47.97800000,19932.14700000,1598140799999,875397.52433000,8238,9077.20100000,399321.41608500,0,2020-08-22,2020-08-22 23:59:59.999
1598140800000,48.04800000,48.05700000,42.82800000,43.59100000,17284.85500000,1598227199999,772475.35270200,6039,7490.48400000,334547.19770800,0,2020-08-23,2020-08-23 23:59:59.999
1598227200000,43.28300000,46.99900000,42.81500000,44.72900000,11956.42800000,1598313599999,534820.77030200,4196,4599.95100000,206201.05328800,0,2020-08-24,2020-08-24 23:59:59.999
1598313600000,44.72800000,45.15900000,40.10000000,42.23100000,13036.03600000,1598399999999,554119.27297700,3459,5348.69800000,227171.66486700,0,2020-08-25,2020-08-25 23:59:59.999
1598400000000,41.87800000,44.30700000,38.62200000,43.70800000,12766.28900000,1598486399999,535194.10919600,2885,5457.07400000,229131.92868100,0,2020-08-26,2020-08-26 23:59:59.999
1598486400000,43.70900000,67.50000000,38.69400000,52.43700000,77689.36400000,1598572799999,4059600.13973400,20006,35977.37000000,1874139.00105300,0,2020-08-27,2020-08-27 23:59:59.999
1598572800000,52.49700000,64.80000000,50.00000000,54.69000000,144901.11700000,1598659199999,8388247.32099300,45207,67808.39000000,3941399.01519200,0,2020-08-28,2020-08-28 23:59:59.999
1598659200000,54.69000000,55.95800000,51.00600000,52.45000000,40002.97000000,1598745599999,2129078.71351500,13469,18417.12400000,981601.84312100,0,2020-08-29,2020-08-29 23:59:59.999
1598745600000,52.45000000,53.50000000,47.94700000,51.35500000,46303.34200000,1598831999999,2346182.97523700,13355,18653.45300000,946728.03446100,0,2020-08-30,2020-08-30 23:59:59.999
1598832000000,51.32900000,59.59000000,49.83400000,55.24900000,56010.88900000,1598918399999,3046925.31211000,17023,24730.14600000,1348039.49391700,0,2020-08-31,2020-08-31 23:59:59.999
