open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1601424000000,2.40000000,4.20000000,2.40000000,2.86370000,2954124.09000000,1601510399999,9465553.63675300,43078,1494147.78000000,4809188.48442200,0,2020-09-30,2020-09-30 23:59:59.999
1601510400000,2.86430000,2.97000000,2.42200000,2.66030000,1401466.76000000,1601596799999,3781921.83053000,16487,715692.83000000,1930264.92811400,0,2020-10-01,2020-10-01 23:59:59.999
1601596800000,2.66010000,2.84900000,2.42010000,2.49470000,899090.75000000,1601683199999,2325608.25230900,8876,479561.93000000,1239690.29567100,0,2020-10-02,2020-10-02 23:59:59.999
1601683200000,2.49500000,2.62000000,2.36180000,2.39190000,467860.36000000,1601769599999,1156780.64096400,6918,236358.18000000,583090.45479200,0,2020-10-03,2020-10-03 23:59:59.999
1601769600000,2.39050000,2.41320000,2.06060000,2.23990000,340948.46000000,1601855999999,765449.10674200,5783,164701.55000000,369190.03430300,0,2020-10-04,2020-10-04 23:59:59.999
1601856000000,2.24020000,2.26000000,2.06400000,2.07540000,329408.80000000,1601942399999,707055.39337900,5360,178370.85000000,383044.99289300,0,2020-10-05,2020-10-05 23:59:59.999
1601942400000,2.07460000,2.08750000,1.62690000,1.79360000,427203.05000000,1602028799999,792168.48268200,8197,194838.19000000,361578.11065400,0,2020-10-06,2020-10-06 23:59:59.999
1602028800000,1.79390000,2.10000000,1.57620000,1.81820000,635445.76000000,1602115199999,1176979.62399900,11588,317233.89000000,589439.83736000,0,2020-10-07,2020-10-07 23:59:59.999
1602115200000,1.81830000,1.96260000,1.75870000,1.86620000,245713.19000000,1602201599999,452232.86535700,5452,141768.59000000,261084.86498000,0,2020-10-08,2020-10-08 23:59:59.999
1602201600000,1.86640000,1.91300000,1.76000000,1.79690000,304392.97000000,1602287999999,559376.00832600,5889,146048.87000000,268708.85964000,0,2020-10-09,2020-10-09 23:59:59.999
1602288000000,1.79270000,1.89890000,1.78320000,1.86280000,170742.70000000,1602374399999,312299.56392000,4406,82788.15000000,151812.72325100,0,2020-10-10,2020-10-10 23:59:59.999
1602374400000,1.86300000,1.87000000,1.75830000,1.77950000,126648.19000000,1602460799999,228908.07403200,4053,58954.45000000,106698.77538200,0,2020-10-11,2020-10-11 23:59:59.999
1602460800000,1.77990000,1.93000000,1.74220000,1.80680000,222326.69000000,1602547199999,406011.73741000,5270,122653.30000000,224357.33025500,0,2020-10-12,2020-10-12 23:59:59.999
1602547200000,1.80700000,2.28000000,1.80450000,1.98220000,623045.08000000,1602633599999,1268815.25608900,10728,349399.22000000,711600.30325100,0,2020-10-13,2020-10-13 23:59:59.999
1602633600000,1.97830000,1.99490000,1.80490000,1.86460000,214473.16000000,1602719999999,410111.38036700,5398,98016.09000000,187162.90585200,0,2020-10-14,2020-10-14 23:59:59.999
1602720000000,1.86430000,1.93430000,1.80030000,1.84540000,133097.30000000,1602806399999,248415.62659300,4999,63761.95000000,119043.44103600,0,2020-10-15,2020-10-15 23:59:59.999
1602806400000,1.84510000,1.93000000,1.58530000,1.69390000,577449.47000000,1602892799999,1002066.75838000,9917,249919.16000000,434924.30521600,0,2020-10-16,2020-10-16 23:59:59.999
1602892800000,1.69370000,1.72500000,1.66980000,1.72070000,143467.53000000,1602979199999,243726.23636600,3953,78051.35000000,132757.64715400,0,2020-10-17,2020-10-17 23:59:59.999
1602979200000,1.72060000,1.77290000,1.65000000,1.65880000,159335.03000000,1603065599999,271856.94398800,4399,73415.23000000,125252.88148900,0,2020-10-18,2020-10-18 23:59:59.999
1603065600000,1.65860000,1.80330000,1.56440000,1.57130000,300926.64000000,1603151999999,501628.00233600,5693,128421.68000000,215443.56540700,0,2020-10-19,2020-10-19 23:59:59.999
1603152000000,1.57120000,1.58550000,1.33400000,1.40370000,378073.88000000,1603238399999,545838.50093600,5295,167191.53000000,241126.60421800,0,2020-10-20,2020-10-20 23:59:59.999
1603238400000,1.39810000,1.69640000,1.35890000,1.59800000,370265.99000000,1603324799999,559841.96593800,3646,210750.18000000,319404.04115900,0,2020-10-21,2020-10-21 23:59:59.999
1603324800000,1.59520000,1.89490000,1.58500000,1.66650000,544461.36000000,1603411199999,954999.81510200,5781,282165.14000000,495522.57148300,0,2020-10-22,2020-10-22 23:59:59.999
1603411200000,1.65150000,1.74880000,1.63320000,1.69830000,159511.05000000,1603497599999,269244.62450000,1769,76839.36000000,130011.73027900,0,2020-10-23,2020-10-23 23:59:59.999
