open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1598572800000,1945.95000000,2049.69000000,1945.95000000,1977.99000000,105.40827100,1598659199999,208035.14989033,896,47.75919800,94195.12644781,0,2020-08-28,2020-08-28 23:59:59.999
1598659200000,1966.91000000,1989.91000000,1940.01000000,1964.34000000,191.83586900,1598745599999,377566.69673253,1080,122.00793500,240389.19821148,0,2020-08-29,2020-08-29 23:59:59.999
1598745600000,1972.16000000,1985.00000000,1946.75000000,1982.10000000,260.89203000,1598831999999,513756.16707478,1202,153.48195200,302026.25855693,0,2020-08-30,2020-08-30 23:59:59.999
1598832000000,1982.10000000,1983.65000000,1964.39000000,1971.48000000,131.65153700,1598918399999,259896.22764427,961,72.34393600,142873.47503902,0,2020-08-31,2020-08-31 23:59:59.999
1598918400000,1971.48000000,2007.50000000,1967.31000000,1981.25000000,200.68409800,1599004799999,399522.92543999,1553,99.76986800,198980.84352355,0,2020-09-01,2020-09-01 23:59:59.999
1599004800000,1982.84000000,1988.75000000,1929.06000000,1957.64000000,215.21981100,1599091199999,422023.27854328,1767,61.76394000,121271.33692762,0,2020-09-02,2020-09-02 23:59:59.999
1599091200000,1952.00000000,1964.87000000,1915.50000000,1925.00000000,204.66126800,1599177599999,397712.58129009,2361,108.79864200,211602.80814641,0,2020-09-03,2020-09-03 23:59:59.999
1599177600000,1931.25000000,1971.32000000,1900.91000000,1930.13000000,360.98148600,1599263999999,703600.82141744,5438,231.81841500,452663.51728316,0,2020-09-04,2020-09-04 23:59:59.999
1599264000000,1937.50000000,1965.00000000,1910.00000000,1938.00000000,188.16332200,1599350399999,365594.03322773,3150,110.05644500,214315.25519808,0,2020-09-05,2020-09-05 23:59:59.999
1599350400000,1938.00000000,1962.00000000,1922.19000000,1933.00000000,167.59621500,1599436799999,325202.34994292,2867,95.20518100,184965.27922518,0,2020-09-06,2020-09-06 23:59:59.999
1599436800000,1935.97000000,1942.21000000,1916.11000000,1939.45000000,149.70423100,1599523199999,289163.91363579,1980,99.11680200,191678.71976321,0,2020-09-07,2020-09-07 23:59:59.999
1599523200000,1936.98000000,1948.35000000,1902.96000000,1934.92000000,86.71909900,1599609599999,167506.33113869,1477,30.48905500,58958.51879550,0,2020-09-08,2020-09-08 23:59:59.999
1599609600000,1941.40000000,1958.59000000,1928.53000000,1954.08000000,60.04159000,1599695999999,116672.73781255,1100,28.60783000,55658.71881815,0,2020-09-09,2020-09-09 23:59:59.999
1599696000000,1954.08000000,1967.99000000,1939.01000000,1955.49000000,76.39533500,1599782399999,149140.84290650,1438,51.70331800,100990.25281012,0,2020-09-10,2020-09-10 23:59:59.999
1599782400000,1953.53000000,1958.00000000,1936.72000000,1947.69000000,47.47561400,1599868799999,92505.00648154,767,25.35711100,49437.55146355,0,2020-09-11,2020-09-11 23:59:59.999
1599868800000,1945.87000000,1958.00000000,1943.15000000,1950.00000000,99.84044900,1599955199999,194689.77510307,744,28.74788500,56079.74919197,0,2020-09-12,2020-09-12 23:59:59.999
1599955200000,1949.99000000,1969.00000000,1944.80000000,1948.20000000,104.39743300,1600041599999,204414.37116881,1246,81.05112900,158911.09798282,0,2020-09-13,2020-09-13 23:59:59.999
1600041600000,1945.00000000,1969.00000000,1945.00000000,1964.21000000,40.75702500,1600127999999,79744.50652507,808,28.08073900,55002.83026344,0,2020-09-14,2020-09-14 23:59:59.999
1600128000000,1964.21000000,1978.09000000,1945.65000000,1960.23000000,145.92522200,1600214399999,286756.54832062,2101,97.09687600,191150.69664721,0,2020-09-15,2020-09-15 23:59:59.999
1600214400000,1960.25000000,1989.60000000,1950.00000000,1968.97000000,74.71816200,1600300799999,147398.27390161,2137,40.80868000,80643.21129745,0,2020-09-16,2020-09-16 23:59:59.999
1600300800000,1968.98000000,1990.48000000,1949.00000000,1963.33000000,85.09054700,1600387199999,166898.24932641,1505,30.30754000,59508.30828308,0,2020-09-17,2020-09-17 23:59:59.999
1600387200000,1964.03000000,1967.85000000,1941.00000000,1959.12000000,118.04693800,1600473599999,230882.56395465,1204,80.99380100,158555.78914673,0,2020-09-18,2020-09-18 23:59:59.999
1600473600000,1959.12000000,1992.72000000,1949.99000000,1965.48000000,73.57347200,1600559999999,144246.43924691,1113,33.66244600,66212.66087287,0,2020-09-19,2020-09-19 23:59:59.999
1600560000000,1959.13000000,1974.44000000,1951.00000000,1962.00000000,47.86234900,1600646399999,93885.57855506,917,29.25808500,57480.34808716,0,2020-09-20,2020-09-20 23:59:59.999
1600646400000,1962.00000000,1971.46000000,1891.98000000,1920.28000000,132.01825900,1600732799999,254507.89459363,2340,54.09957900,104248.05172348,0,2020-09-21,2020-09-21 23:59:59.999
1600732800000,1920.28000000,1930.92000000,1900.90000000,1905.91000000,65.84116800,1600819199999,125945.04864116,1084,29.50814800,56561.42774980,0,2020-09-22,2020-09-22 23:59:59.999
1600819200000,1910.00000000,1917.24000000,1859.64000000,1870.71000000,125.59914800,1600905599999,237034.46273089,1130,31.20105500,58934.04084265,0,2020-09-23,2020-09-23 23:59:59.999
1600905600000,1862.78000000,1890.81000000,1858.03000000,1888.20000000,54.71184500,1600991999999,102588.09760173,934,25.06623700,47078.85675174,0,2020-09-24,2020-09-24 23:59:59.999
1600992000000,1888.32000000,1889.93000000,1860.00000000,1874.00000000,46.78709300,1601078399999,87593.39689082,753,17.56949500,32903.37861072,0,2020-09-25,2020-09-25 23:59:59.999
1601078400000,1873.26000000,1881.34000000,1866.79000000,1870.98000000,31.35101300,1601164799999,58698.02561924,525,20.55582700,38507.67780764,0,2020-09-26,2020-09-26 23:59:59.999
