open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1605744000000,0.03000000,0.12000000,0.03000000,0.03777000,713299610.30000000,1605830399999,32554614.32148300,92744,349444397.50000000,15920804.21687000,0,2020-11-19,2020-11-19 23:59:59.999
1605830400000,0.03776000,0.04600000,0.03350000,0.03573000,320411540.00000000,1605916799999,12357985.95778900,34618,150677919.20000000,5873576.13839600,0,2020-11-20,2020-11-20 23:59:59.999
1605916800000,0.03571000,0.04000000,0.03260000,0.03791000,282877391.00000000,1606003199999,9984390.47400700,28771,142941602.10000000,5079240.36343100,0,2020-11-21,2020-11-21 23:59:59.999
1606003200000,0.03790000,0.04220000,0.03519000,0.04162000,172188146.10000000,1606089599999,6589195.44589500,17232,85904389.40000000,3309065.48796400,0,2020-11-22,2020-11-22 23:59:59.999
1606089600000,0.04168000,0.05450000,0.03860000,0.04704000,334746436.40000000,1606175999999,15383479.40699500,39624,173141149.70000000,8005319.15729700,0,2020-11-23,2020-11-23 23:59:59.999
1606176000000,0.04703000,0.05300000,0.04000000,0.04191000,277218006.90000000,1606262399999,12259227.33195600,35670,127162093.70000000,5649026.20843100,0,2020-11-24,2020-11-24 23:59:59.999
1606262400000,0.04186000,0.04415000,0.03700000,0.03908000,245666641.30000000,1606348799999,9981925.21822800,24411,103772802.50000000,4242624.79154600,0,2020-11-25,2020-11-25 23:59:59.999
1606348800000,0.03917000,0.03945000,0.03174000,0.03574000,177512868.50000000,1606435199999,6154861.28391200,17688,73722015.00000000,2553841.76490200,0,2020-11-26,2020-11-26 23:59:59.999
1606435200000,0.03572000,0.03898000,0.03300000,0.03660000,155352694.80000000,1606521599999,5608549.60081000,16260,75464618.00000000,2728185.12408400,0,2020-11-27,2020-11-27 23:59:59.999
1606521600000,0.03671000,0.04052000,0.03667000,0.03763000,127006717.70000000,1606607999999,4879257.29692700,12355,60940617.00000000,2347078.74536000,0,2020-11-28,2020-11-28 23:59:59.999
1606608000000,0.03770000,0.03970000,0.03661000,0.03725000,66792092.10000000,1606694399999,2538618.61258600,6916,29419997.90000000,1121384.85685400,0,2020-11-29,2020-11-29 23:59:59.999
1606694400000,0.03720000,0.03906000,0.03585000,0.03710000,86199449.60000000,1606780799999,3203679.52999600,8703,38036915.50000000,1417898.42394300,0,2020-11-30,2020-11-30 23:59:59.999
1606780800000,0.03709000,0.03835000,0.03412000,0.03524000,103278479.00000000,1606867199999,3747908.75554300,11991,51649787.90000000,1876640.28661700,0,2020-12-01,2020-12-01 23:59:59.999
1606867200000,0.03525000,0.03715000,0.03422000,0.03612000,81251577.00000000,1606953599999,2905337.77082500,8974,38451970.90000000,1376686.66804700,0,2020-12-02,2020-12-02 23:59:59.999
1606953600000,0.03615000,0.04073000,0.03613000,0.03850000,112221387.90000000,1607039999999,4295946.97596900,11581,58177882.50000000,2229465.83872800,0,2020-12-03,2020-12-03 23:59:59.999
1607040000000,0.03850000,0.04356000,0.03748000,0.03953000,213765596.60000000,1607126399999,8621952.28931700,21433,115596861.80000000,4673811.72738900,0,2020-12-04,2020-12-04 23:59:59.999
1607126400000,0.03938000,0.04580000,0.03768000,0.04493000,180539214.70000000,1607212799999,7567578.27903700,22899,88999595.20000000,3756333.29455500,0,2020-12-05,2020-12-05 23:59:59.999
1607212800000,0.04508000,0.04900000,0.04232000,0.04250000,228326421.70000000,1607299199999,10427504.68937900,36482,108467900.30000000,4981805.83772800,0,2020-12-06,2020-12-06 23:59:59.999
1607299200000,0.04250000,0.05500000,0.04203000,0.05212000,295173476.30000000,1607385599999,14418388.65281200,44620,162395216.20000000,7998730.39813900,0,2020-12-07,2020-12-07 23:59:59.999
1607385600000,0.05209000,0.06250000,0.05027000,0.05348000,577481882.90000000,1607471999999,32333674.10569800,91676,297921374.60000000,16748525.76755900,0,2020-12-08,2020-12-08 23:59:59.999
1607472000000,0.05348000,0.05960000,0.04429000,0.05834000,270082197.50000000,1607558399999,13842920.42596200,37139,136018950.80000000,7036643.39506100,0,2020-12-09,2020-12-09 23:59:59.999
