open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1597363200000,0.00833300,0.09471000,0.00833300,0.06599700,989575855.00000000,1597449599999,70385140.50521900,137570,450971982.00000000,32241226.93729100,0,2020-08-14,2020-08-14 23:59:59.999
1597449600000,0.06581700,0.07086900,0.04900000,0.05110100,372663272.00000000,1597535999999,21688940.08303700,56168,158646924.00000000,9297103.87931400,0,2020-08-15,2020-08-15 23:59:59.999
1597536000000,0.05141300,0.07002700,0.04800000,0.06085200,295461524.00000000,1597622399999,17609335.11265700,49612,145104696.00000000,8687144.98627400,0,2020-08-16,2020-08-16 23:59:59.999
1597622400000,0.06085300,0.06519900,0.05234500,0.05381200,106548486.00000000,1597708799999,6088783.72219700,24542,43800814.00000000,2500281.23478300,0,2020-08-17,2020-08-17 23:59:59.999
1597708800000,0.05381300,0.06105200,0.05020500,0.05163100,80926224.00000000,1597795199999,4475934.67224600,18224,34326081.00000000,1914421.53310700,0,2020-08-18,2020-08-18 23:59:59.999
1597795200000,0.05141000,0.05710000,0.04800000,0.05194200,76398711.00000000,1597881599999,4043717.01660900,18062,35941565.00000000,1918925.60136200,0,2020-08-19,2020-08-19 23:59:59.999
1597881600000,0.05251900,0.05733200,0.05076000,0.05348300,67304708.00000000,1597967999999,3609228.42772600,15483,32864224.00000000,1763876.79891400,0,2020-08-20,2020-08-20 23:59:59.999
1597968000000,0.05387000,0.05387000,0.04400500,0.04425000,67549095.00000000,1598054399999,3395560.43026400,13328,26026542.00000000,1313551.54089800,0,2020-08-21,2020-08-21 23:59:59.999
1598054400000,0.04423100,0.04910000,0.04020200,0.04597300,55057194.00000000,1598140799999,2456605.05728300,11716,23651563.00000000,1058975.70376900,0,2020-08-22,2020-08-22 23:59:59.999
1598140800000,0.04597300,0.04832300,0.04179300,0.04361100,32322297.00000000,1598227199999,1448248.52085900,7971,13353509.00000000,597963.58148900,0,2020-08-23,2020-08-23 23:59:59.999
1598227200000,0.04365200,0.05374900,0.04206300,0.05073500,74190522.00000000,1598313599999,3658615.59475300,16732,36489705.00000000,1799708.05414500,0,2020-08-24,2020-08-24 23:59:59.999
1598313600000,0.05123200,0.05675000,0.04500000,0.04800200,74226864.00000000,1598399999999,3785059.23281900,16157,30532982.00000000,1559143.35287900,0,2020-08-25,2020-08-25 23:59:59.999
1598400000000,0.04805000,0.05868900,0.04689600,0.05857100,78970460.00000000,1598486399999,4216590.97158900,17519,41636601.00000000,2237051.88070800,0,2020-08-26,2020-08-26 23:59:59.999
