open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1597104000000,0.11000000,5.00000000,0.11000000,1.56290000,60097839.17000000,1597190399999,78655176.41774700,123107,28521156.15000000,37623804.13243200,0,2020-08-11,2020-08-11 23:59:59.999
1597190400000,1.56090000,1.98500000,1.55500000,1.66580000,68986888.28000000,1597276799999,124148723.53036000,169374,33570078.05000000,60486743.92493500,0,2020-08-12,2020-08-12 23:59:59.999
1597276800000,1.66090000,2.23000000,1.62000000,2.00680000,33962576.51000000,1597363199999,66494572.74564600,107458,16431426.49000000,32163834.75008100,0,2020-08-13,2020-08-13 23:59:59.999
1597363200000,2.00660000,2.14690000,1.80000000,1.85740000,14275597.59000000,1597449599999,28306570.83994000,56635,6667473.35000000,13261792.83233500,0,2020-08-14,2020-08-14 23:59:59.999
1597449600000,1.86000000,1.92870000,1.64000000,1.66510000,10974441.78000000,1597535999999,19466910.25597500,38151,5435569.27000000,9658507.06602600,0,2020-08-15,2020-08-15 23:59:59.999
1597536000000,1.66290000,1.85000000,1.51730000,1.73000000,10224160.88000000,1597622399999,17444587.62943100,36409,5151963.04000000,8790143.14274700,0,2020-08-16,2020-08-16 23:59:59.999
1597622400000,1.73130000,1.78690000,1.62500000,1.65030000,5436284.29000000,1597708799999,9259133.39066600,19846,2640756.10000000,4508047.83872300,0,2020-08-17,2020-08-17 23:59:59.999
1597708800000,1.65040000,1.79980000,1.52520000,1.67140000,6518368.37000000,1597795199999,10882240.00260700,22112,3138044.24000000,5255470.51387300,0,2020-08-18,2020-08-18 23:59:59.999
1597795200000,1.66690000,1.77000000,1.55000000,1.59930000,4227230.65000000,1597881599999,6929999.81435800,16693,1814795.51000000,2988803.71758400,0,2020-08-19,2020-08-19 23:59:59.999
1597881600000,1.59940000,1.78900000,1.59500000,1.77480000,3816748.60000000,1597967999999,6446699.83470100,14210,1916053.95000000,3244743.48219800,0,2020-08-20,2020-08-20 23:59:59.999
1597968000000,1.77110000,1.77400000,1.50000000,1.50980000,4208793.15000000,1598054399999,6835969.47753200,15292,1550382.54000000,2518914.93046900,0,2020-08-21,2020-08-21 23:59:59.999
1598054400000,1.50980000,1.56560000,1.41000000,1.54250000,2832406.14000000,1598140799999,4280374.42755100,9775,1241896.60000000,1879940.20551300,0,2020-08-22,2020-08-22 23:59:59.999
1598140800000,1.54450000,1.59610000,1.46570000,1.53070000,2298987.20000000,1598227199999,3497464.04650200,8185,1039822.36000000,1582595.91335900,0,2020-08-23,2020-08-23 23:59:59.999
1598227200000,1.53070000,1.84560000,1.50280000,1.83540000,10285232.94000000,1598313599999,17705549.95430600,34643,4517721.11000000,7763859.54709900,0,2020-08-24,2020-08-24 23:59:59.999
1598313600000,1.83540000,1.87790000,1.57100000,1.67210000,6069308.57000000,1598399999999,10293749.28321400,23739,2545833.26000000,4331111.67966100,0,2020-08-25,2020-08-25 23:59:59.999
1598400000000,1.67210000,2.10700000,1.64610000,2.07030000,13917619.50000000,1598486399999,26837327.77042900,57803,7157230.29000000,13785137.77666100,0,2020-08-26,2020-08-26 23:59:59.999
1598486400000,2.07020000,2.60000000,2.02050000,2.53950000,24969423.25000000,1598572799999,58800194.29227500,112245,11998544.60000000,28287659.92883100,0,2020-08-27,2020-08-27 23:59:59.999
1598572800000,2.53440000,2.80000000,2.32030000,2.41490000,19833979.34000000,1598659199999,50938106.41715100,104276,9513521.95000000,24462030.92587500,0,2020-08-28,2020-08-28 23:59:59.999
1598659200000,2.41320000,2.97000000,2.28000000,2.82300000,13782778.73000000,1598745599999,36384724.80268400,74558,6978947.92000000,18433150.01130400,0,2020-08-29,2020-08-29 23:59:59.999
1598745600000,2.82200000,2.97160000,2.64340000,2.88820000,11608996.43000000,1598831999999,32593863.39710100,72581,5677685.93000000,15978749.20140300,0,2020-08-30,2020-08-30 23:59:59.999
1598832000000,2.88480000,3.60000000,2.62900000,3.29050000,15548216.56000000,1598918399999,47807224.62605500,95596,7960656.07000000,24635141.29779500,0,2020-08-31,2020-08-31 23:59:59.999
1598918400000,3.29060000,3.79480000,3.11000000,3.12000000,14647470.50000000,1599004799999,50407901.53822200,115882,7142530.85000000,24637452.80814400,0,2020-09-01,2020-09-01 23:59:59.999
1599004800000,3.12000000,3.67000000,2.75000000,3.58720000,14742597.13000000,1599091199999,48649276.02872800,109172,7068962.41000000,23411983.36051200,0,2020-09-02,2020-09-02 23:59:59.999
1599091200000,3.58050000,3.61030000,2.84300000,2.88810000,12030576.36000000,1599177599999,39667283.59561300,84834,5589434.52000000,18472913.00339800,0,2020-09-03,2020-09-03 23:59:59.999
1599177600000,2.88830000,3.30000000,2.52310000,2.88900000,8931570.04000000,1599263999999,25929883.59725900,63607,4268112.01000000,12402037.41333600,0,2020-09-04,2020-09-04 23:59:59.999
1599264000000,2.89140000,3.14950000,1.96860000,2.20510000,13072954.94000000,1599350399999,31727988.25240400,101646,6237638.40000000,15147236.36836900,0,2020-09-05,2020-09-05 23:59:59.999
1599350400000,2.20510000,2.71200000,1.95660000,2.60240000,13415887.97000000,1599436799999,32241903.19423900,116538,6624730.13000000,15945333.57267600,0,2020-09-06,2020-09-06 23:59:59.999
1599436800000,2.60020000,2.70690000,2.03000000,2.43880000,9947428.63000000,1599523199999,23299810.23327100,87253,4680609.98000000,10969748.62318000,0,2020-09-07,2020-09-07 23:59:59.999
1599523200000,2.43470000,2.47300000,2.07000000,2.13150000,8092188.82000000,1599609599999,17937575.78961600,59916,3739734.20000000,8288809.06234100,0,2020-09-08,2020-09-08 23:59:59.999
1599609600000,2.13240000,2.59500000,2.06900000,2.45750000,10366012.64000000,1599695999999,24430418.70027100,80296,5102749.22000000,12016040.32831300,0,2020-09-09,2020-09-09 23:59:59.999
1599696000000,2.45800000,2.56970000,2.25920000,2.28640000,7100279.22000000,1599782399999,17296576.58328700,55960,3543541.55000000,8651159.96770000,0,2020-09-10,2020-09-10 23:59:59.999
1599782400000,2.28640000,2.40970000,2.18000000,2.38370000,4558417.97000000,1599868799999,10393787.19009700,34270,2094728.51000000,4781345.42411100,0,2020-09-11,2020-09-11 23:59:59.999
1599868800000,2.38400000,2.48460000,2.25000000,2.41240000,4664005.05000000,1599955199999,11014146.25004300,33082,2236065.05000000,5283668.43459500,0,2020-09-12,2020-09-12 23:59:59.999
1599955200000,2.41010000,2.64700000,2.20500000,2.38000000,12201452.29000000,1600041599999,29447721.52262200,89970,5809661.09000000,14048998.75865400,0,2020-09-13,2020-09-13 23:59:59.999
1600041600000,2.38000000,2.54820000,2.23550000,2.39840000,8791251.25000000,1600127999999,21126841.33667200,62028,4307497.32000000,10356662.19886900,0,2020-09-14,2020-09-14 23:59:59.999
1600128000000,2.39840000,2.52000000,2.00230000,2.03740000,9043188.69000000,1600214399999,20552046.81160400,64137,4172068.19000000,9495456.39539500,0,2020-09-15,2020-09-15 23:59:59.999
1600214400000,2.03740000,2.04100000,1.75050000,1.82340000,8597549.97000000,1600300799999,16409873.19742100,50770,3995394.91000000,7625959.11718100,0,2020-09-16,2020-09-16 23:59:59.999
1600300800000,1.82340000,1.98310000,1.80000000,1.93990000,6355698.63000000,1600387199999,12097933.94648300,39807,3060146.23000000,5830467.11493100,0,2020-09-17,2020-09-17 23:59:59.999
1600387200000,1.93780000,2.28000000,1.90000000,2.11000000,9861950.83000000,1600473599999,20499574.43461200,62367,4470955.16000000,9301421.56997300,0,2020-09-18,2020-09-18 23:59:59.999
1600473600000,2.10710000,2.14710000,1.95410000,2.01190000,3822540.49000000,1600559999999,7813590.02701400,25756,1732161.13000000,3542944.08551900,0,2020-09-19,2020-09-19 23:59:59.999
