open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1602720000000,10.00000000,10.60500000,9.40800000,10.18700000,17467.76000000,1602806399999,173784.60662000,273,11433.66000000,114272.49346000,0,2020-10-15,2020-10-15 23:59:59.999
1602806400000,10.18600000,10.92000000,9.67600000,10.54300000,6934.02000000,1602892799999,72215.63880000,218,4742.90000000,49340.48359000,0,2020-10-16,2020-10-16 23:59:59.999
1602892800000,10.80000000,10.81200000,9.67500000,10.25600000,2199.45000000,1602979199999,22102.49771000,100,517.26000000,5302.64010000,0,2020-10-17,2020-10-17 23:59:59.999
1602979200000,10.25200000,10.25300000,9.66100000,9.91900000,3673.37000000,1603065599999,36413.13861000,187,2494.75000000,24791.31376000,0,2020-10-18,2020-10-18 23:59:59.999
1603065600000,10.10700000,10.68800000,10.00000000,10.39200000,5264.78000000,1603151999999,54091.32103000,108,3372.09000000,34839.70964000,0,2020-10-19,2020-10-19 23:59:59.999
1603152000000,10.58100000,12.62800000,10.44800000,11.37300000,25652.07000000,1603238399999,298722.99682000,1569,17424.52000000,201830.26836000,0,2020-10-20,2020-10-20 23:59:59.999
1603238400000,11.05400000,12.51400000,9.05600000,10.41100000,46409.23000000,1603324799999,474536.36183000,1422,23615.62000000,237076.14198000,0,2020-10-21,2020-10-21 23:59:59.999
1603324800000,9.96900000,10.83800000,9.04400000,10.20200000,16734.86000000,1603411199999,164996.90224000,449,10080.36000000,99924.11189000,0,2020-10-22,2020-10-22 23:59:59.999
1603411200000,10.11800000,11.86200000,9.63300000,11.31100000,4994.57000000,1603497599999,55610.24461000,222,4328.89000000,48318.05624000,0,2020-10-23,2020-10-23 23:59:59.999
1603497600000,11.34600000,11.92200000,10.75500000,11.40400000,859.21000000,1603583999999,9705.22982000,172,310.10000000,3508.46660000,0,2020-10-24,2020-10-24 23:59:59.999
1603584000000,11.51300000,12.52300000,11.49200000,12.40300000,4008.75000000,1603670399999,48685.02791000,707,3085.30000000,37709.59558000,0,2020-10-25,2020-10-25 23:59:59.999
1603670400000,12.52000000,18.01500000,10.62400000,12.27800000,37414.04000000,1603756799999,546387.17884000,1283,27155.48000000,393453.96286000,0,2020-10-26,2020-10-26 23:59:59.999
1603756800000,12.62300000,14.10300000,9.55000000,10.59300000,42520.94000000,1603843199999,486433.00236000,768,18090.06000000,210313.64511000,0,2020-10-27,2020-10-27 23:59:59.999
1603843200000,10.68300000,15.13400000,10.64800000,14.26400000,33539.11000000,1603929599999,419414.23410000,932,16694.10000000,209977.65044000,0,2020-10-28,2020-10-28 23:59:59.999
1603929600000,14.26400000,16.86500000,11.31700000,12.05400000,195792.82000000,1604015999999,2589050.99106000,2605,98902.66000000,1314313.53583000,0,2020-10-29,2020-10-29 23:59:59.999
1604016000000,12.06800000,15.23000000,11.00000000,12.58700000,198313.22000000,1604102399999,2577689.41230000,6023,98061.12000000,1275508.05469000,0,2020-10-30,2020-10-30 23:59:59.999
1604102400000,12.60000000,13.19800000,11.06000000,12.93200000,63020.61000000,1604188799999,759061.80686000,2664,29275.02000000,352316.47755000,0,2020-10-31,2020-10-31 23:59:59.999
1604188800000,13.15000000,13.49700000,12.13200000,12.68700000,22263.13000000,1604275199999,285769.93866000,1323,11534.81000000,148217.80207000,0,2020-11-01,2020-11-01 23:59:59.999
1604275200000,12.63400000,13.22000000,10.51200000,12.98000000,126876.53000000,1604361599999,1501391.03335000,5926,67221.50000000,797503.97902000,0,2020-11-02,2020-11-02 23:59:59.999
1604361600000,13.08500000,17.45300000,11.85900000,12.97500000,131567.50000000,1604447999999,1874551.19173000,6918,68241.80000000,973091.83600000,0,2020-11-03,2020-11-03 23:59:59.999
1604448000000,13.02400000,14.71300000,12.30000000,13.07000000,92648.03000000,1604534399999,1250724.12791000,3707,45916.33000000,622617.74070000,0,2020-11-04,2020-11-04 23:59:59.999
1604534400000,13.06300000,13.16800000,9.93500000,11.40000000,207838.63000000,1604620799999,2354199.91915000,5570,101727.59000000,1156919.88071000,0,2020-11-05,2020-11-05 23:59:59.999
1604620800000,11.40000000,11.45100000,7.60000000,7.60000000,216219.50000000,1604707199999,1922738.96421000,4447,103538.08000000,919286.48612000,0,2020-11-06,2020-11-06 23:59:59.999
1604707200000,7.55400000,7.67900000,3.97100000,5.25000000,2135733.45000000,1604793599999,11802949.30344000,19509,1055905.67000000,5866815.88523000,0,2020-11-07,2020-11-07 23:59:59.999
1604793600000,5.22000000,5.92100000,4.31000000,5.29600000,1221952.13000000,1604879999999,6138366.06350000,11482,568521.61000000,2855656.73926000,0,2020-11-08,2020-11-08 23:59:59.999
