open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1579564800000,0.01301000,0.01740000,0.01155000,0.01200000,108765328.00000000,1579651199999,1533304.87696600,4914,50242757.00000000,716608.55250700,0,2020-01-21,2020-01-21 23:59:59.999
1579651200000,0.01205000,0.01260000,0.01110000,0.01144000,40233287.00000000,1579737599999,479611.10323400,2626,13325605.00000000,160483.18708900,0,2020-01-22,2020-01-22 23:59:59.999
1579737600000,0.01143500,0.01160000,0.00950000,0.00989000,30156264.00000000,1579823999999,313048.18882000,1717,10187397.00000000,105689.05916200,0,2020-01-23,2020-01-23 23:59:59.999
1579824000000,0.00973700,0.01003100,0.00910100,0.00966600,20897521.00000000,1579910399999,200040.72284200,1938,9176104.00000000,88120.26811500,0,2020-01-24,2020-01-24 23:59:59.999
1579910400000,0.00966800,0.01032300,0.00931800,0.00978000,18352827.00000000,1579996799999,179864.39009900,1574,8602133.00000000,84192.81733400,0,2020-01-25,2020-01-25 23:59:59.999
1579996800000,0.00973800,0.00983400,0.00919900,0.00939400,12009691.00000000,1580083199999,113981.26272000,995,4651166.00000000,44399.12682600,0,2020-01-26,2020-01-26 23:59:59.999
1580083200000,0.00939800,0.00941700,0.00882400,0.00882800,9702776.00000000,1580169599999,88451.34816900,825,2641136.00000000,24212.88506900,0,2020-01-27,2020-01-27 23:59:59.999
1580169600000,0.00899200,0.00901500,0.00820000,0.00841300,12120317.00000000,1580255999999,104557.66118000,1062,3574955.00000000,30954.25845800,0,2020-01-28,2020-01-28 23:59:59.999
1580256000000,0.00841300,0.00888000,0.00817900,0.00840000,11021665.00000000,1580342399999,94089.60188300,1106,4413938.00000000,37790.86539800,0,2020-01-29,2020-01-29 23:59:59.999
1580342400000,0.00840000,0.00880000,0.00787300,0.00822800,12650208.00000000,1580428799999,105465.78841900,1099,5182081.00000000,43264.56224700,0,2020-01-30,2020-01-30 23:59:59.999
1580428800000,0.00819300,0.00850000,0.00810000,0.00849900,5030881.00000000,1580515199999,41639.93649500,421,2229290.00000000,18511.48558500,0,2020-01-31,2020-01-31 23:59:59.999
1580515200000,0.00849900,0.00932900,0.00842000,0.00907000,7401777.00000000,1580601599999,64990.71065400,565,4314736.00000000,38173.99167500,0,2020-02-01,2020-02-01 23:59:59.999
1580601600000,0.00900000,0.00904500,0.00840000,0.00853600,5965016.00000000,1580687999999,52376.06996500,534,1742641.00000000,15361.50860500,0,2020-02-02,2020-02-02 23:59:59.999
1580688000000,0.00854100,0.00875000,0.00828700,0.00850100,4569847.00000000,1580774399999,38769.95982900,352,2312442.00000000,19586.49159300,0,2020-02-03,2020-02-03 23:59:59.999
1580774400000,0.00855500,0.00910000,0.00830000,0.00842900,12990709.00000000,1580860799999,112141.57453700,914,5671921.00000000,49099.48500900,0,2020-02-04,2020-02-04 23:59:59.999
1580860800000,0.00847700,0.00883000,0.00830000,0.00860000,10070586.00000000,1580947199999,86699.71136500,629,4430033.00000000,38328.16396000,0,2020-02-05,2020-02-05 23:59:59.999
1580947200000,0.00860000,0.01150000,0.00832900,0.01000000,47446656.00000000,1581033599999,471389.73501600,2909,25076946.00000000,250716.51812800,0,2020-02-06,2020-02-06 23:59:59.999
1581033600000,0.01008600,0.01250000,0.00980000,0.01030000,82852059.00000000,1581119999999,933251.33444700,5276,33085305.00000000,372974.56139200,0,2020-02-07,2020-02-07 23:59:59.999
