open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1566604800000,0.58000000,0.88880000,0.52070000,0.53900000,2986660.21000000,1566691199999,1934397.52413200,7449,1138604.98000000,731393.79910000,0,2019-08-24,2019-08-24 23:59:59.999
1566691200000,0.53900000,0.74100000,0.50170000,0.70490000,5369668.65000000,1566777599999,3505603.12211900,16627,2420462.12000000,1588426.43601900,0,2019-08-25,2019-08-25 23:59:59.999
1566777600000,0.70700000,0.76000000,0.60960000,0.62050000,3697824.32000000,1566863999999,2508918.67461400,11346,1578255.80000000,1075772.51736400,0,2019-08-26,2019-08-26 23:59:59.999
1566864000000,0.61300000,0.64690000,0.55550000,0.57050000,1113530.16000000,1566950399999,657984.91461100,4140,370938.42000000,220813.64541700,0,2019-08-27,2019-08-27 23:59:59.999
1566950400000,0.56900000,0.58930000,0.48290000,0.48990000,770194.91000000,1567036799999,412405.63209200,2606,230717.84000000,126526.23428000,0,2019-08-28,2019-08-28 23:59:59.999
1567036800000,0.48980000,0.51800000,0.45500000,0.47620000,537037.35000000,1567123199999,258394.60923200,2843,205451.10000000,99027.38603900,0,2019-08-29,2019-08-29 23:59:59.999
1567123200000,0.47620000,0.55000000,0.46280000,0.48000000,682338.10000000,1567209599999,349266.58758300,2784,259488.77000000,133340.89365700,0,2019-08-30,2019-08-30 23:59:59.999
1567209600000,0.48000000,0.49350000,0.46550000,0.47150000,176851.27000000,1567295999999,84536.71430900,1006,71735.85000000,34423.57037000,0,2019-08-31,2019-08-31 23:59:59.999
1567296000000,0.47610000,0.50990000,0.46600000,0.47500000,269560.70000000,1567382399999,130671.14922700,1104,101378.88000000,49172.98166800,0,2019-09-01,2019-09-01 23:59:59.999
1567382400000,0.47880000,0.48240000,0.45020000,0.46300000,295295.49000000,1567468799999,136762.32425000,1220,120877.26000000,56137.08063400,0,2019-09-02,2019-09-02 23:59:59.999
1567468800000,0.46430000,0.46650000,0.43700000,0.45800000,336137.89000000,1567555199999,151744.33167900,1490,131279.89000000,59509.22487500,0,2019-09-03,2019-09-03 23:59:59.999
1567555200000,0.45770000,0.48980000,0.43210000,0.44010000,320410.71000000,1567641599999,148678.95380000,1813,157977.85000000,73989.28736000,0,2019-09-04,2019-09-04 23:59:59.999
1567641600000,0.43730000,0.47750000,0.42850000,0.43970000,280982.90000000,1567727999999,126336.33315900,1266,133127.69000000,60219.67134400,0,2019-09-05,2019-09-05 23:59:59.999
1567728000000,0.43400000,0.44080000,0.39580000,0.40150000,208219.59000000,1567814399999,86770.79880100,1275,85100.95000000,35411.00863800,0,2019-09-06,2019-09-06 23:59:59.999
1567814400000,0.40150000,0.43930000,0.39220000,0.41070000,231830.08000000,1567900799999,95777.95599400,1040,118457.80000000,49128.47625600,0,2019-09-07,2019-09-07 23:59:59.999
1567900800000,0.41210000,0.45620000,0.41000000,0.43240000,201806.16000000,1567987199999,86459.84363600,923,86708.78000000,37477.67650200,0,2019-09-08,2019-09-08 23:59:59.999
1567987200000,0.43220000,0.44590000,0.40470000,0.40780000,292476.66000000,1568073599999,122770.67033300,1201,130012.41000000,54554.84100900,0,2019-09-09,2019-09-09 23:59:59.999
1568073600000,0.41120000,0.42110000,0.39800000,0.40480000,305004.73000000,1568159999999,125335.38931700,887,136529.65000000,56080.62830100,0,2019-09-10,2019-09-10 23:59:59.999
1568160000000,0.40720000,0.41160000,0.38220000,0.38870000,109277.34000000,1568246399999,43481.49031700,532,39666.28000000,15886.53227200,0,2019-09-11,2019-09-11 23:59:59.999
1568246400000,0.39180000,0.40160000,0.36050000,0.36110000,152717.34000000,1568332799999,56734.85317100,737,69057.65000000,25651.58373500,0,2019-09-12,2019-09-12 23:59:59.999
1568332800000,0.36160000,0.37490000,0.35460000,0.35810000,153844.60000000,1568419199999,55920.59712000,672,62226.75000000,22755.32672100,0,2019-09-13,2019-09-13 23:59:59.999
1568419200000,0.35730000,0.36860000,0.35000000,0.36460000,52799.84000000,1568505599999,19039.71950300,358,30104.65000000,10885.50536800,0,2019-09-14,2019-09-14 23:59:59.999
1568505600000,0.36780000,0.39400000,0.35910000,0.38200000,141924.87000000,1568591999999,53414.36342100,859,69958.27000000,26376.06610800,0,2019-09-15,2019-09-15 23:59:59.999
1568592000000,0.38060000,0.38100000,0.35070000,0.36700000,232347.84000000,1568678399999,85463.31835200,896,97813.63000000,35815.30066000,0,2019-09-16,2019-09-16 23:59:59.999
1568678400000,0.36700000,0.38050000,0.35800000,0.37900000,144062.52000000,1568764799999,53240.59415600,806,74875.67000000,27719.13618600,0,2019-09-17,2019-09-17 23:59:59.999
1568764800000,0.37570000,0.44700000,0.37000000,0.41320000,315890.66000000,1568851199999,124214.92776700,1468,172547.09000000,67904.84523000,0,2019-09-18,2019-09-18 23:59:59.999
1568851200000,0.41330000,0.41760000,0.37800000,0.39570000,187664.74000000,1568937599999,73983.42525500,1009,65813.32000000,25964.84643600,0,2019-09-19,2019-09-19 23:59:59.999
1568937600000,0.39830000,0.43440000,0.38890000,0.41640000,161821.29000000,1569023999999,66339.81425400,1050,72072.05000000,29624.32939500,0,2019-09-20,2019-09-20 23:59:59.999
1569024000000,0.41640000,0.42290000,0.39270000,0.39630000,113932.78000000,1569110399999,45777.07512200,660,34343.27000000,13852.63816100,0,2019-09-21,2019-09-21 23:59:59.999
1569110400000,0.39290000,0.39880000,0.36240000,0.36590000,194614.15000000,1569196799999,73918.99801600,797,118227.64000000,44967.70015300,0,2019-09-22,2019-09-22 23:59:59.999
1569196800000,0.36440000,0.36910000,0.34680000,0.35000000,192074.88000000,1569283199999,68577.78943500,784,81422.20000000,29042.92431400,0,2019-09-23,2019-09-23 23:59:59.999
1569283200000,0.35000000,0.36660000,0.26250000,0.29770000,286853.39000000,1569369599999,94374.03426600,1261,99100.60000000,31653.80847900,0,2019-09-24,2019-09-24 23:59:59.999
1569369600000,0.29770000,0.31790000,0.26980000,0.29810000,118993.09000000,1569455999999,34599.70986200,772,54126.14000000,15727.21896500,0,2019-09-25,2019-09-25 23:59:59.999
1569456000000,0.29490000,0.32940000,0.27330000,0.28580000,141270.74000000,1569542399999,42158.06626200,924,54158.02000000,16055.41408100,0,2019-09-26,2019-09-26 23:59:59.999
1569542400000,0.28910000,0.31370000,0.28290000,0.30960000,128795.98000000,1569628799999,37946.57394600,746,56422.85000000,16651.88044300,0,2019-09-27,2019-09-27 23:59:59.999
1569628800000,0.31370000,0.32020000,0.30390000,0.31530000,83806.56000000,1569715199999,26250.04147500,469,35399.98000000,11088.38700100,0,2019-09-28,2019-09-28 23:59:59.999
1569715200000,0.31540000,0.31540000,0.29000000,0.29770000,72816.26000000,1569801599999,21745.66038400,412,38982.29000000,11665.53102800,0,2019-09-29,2019-09-29 23:59:59.999
1569801600000,0.29770000,0.32210000,0.29530000,0.31050000,105406.51000000,1569887999999,32568.41443700,571,48257.08000000,14942.59243900,0,2019-09-30,2019-09-30 23:59:59.999
1569888000000,0.31110000,0.32090000,0.29890000,0.30200000,115209.97000000,1569974399999,35875.67455300,524,51569.33000000,16076.76072700,0,2019-10-01,2019-10-01 23:59:59.999
1569974400000,0.30200000,0.32350000,0.29980000,0.32130000,138029.34000000,1570060799999,43013.39913500,731,48413.05000000,15122.50022600,0,2019-10-02,2019-10-02 23:59:59.999
1570060800000,0.32100000,0.33250000,0.30910000,0.32010000,159082.44000000,1570147199999,51002.25242100,1047,70648.06000000,22615.80998900,0,2019-10-03,2019-10-03 23:59:59.999
