open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1599696000000,10.00000000,10.49100000,8.98600000,9.40100000,4737.20000000,1599782399999,46057.86732000,360,2229.66000000,21737.87683000,0,2020-09-10,2020-09-10 23:59:59.999
1599782400000,9.45600000,10.54100000,8.28900000,9.76400000,8355.38000000,1599868799999,75535.46952000,438,1712.24000000,16296.40385000,0,2020-09-11,2020-09-11 23:59:59.999
1599868800000,9.81500000,9.81500000,8.80900000,9.31000000,8136.42000000,1599955199999,75225.44510000,413,6033.43000000,55738.68216000,0,2020-09-12,2020-09-12 23:59:59.999
1599955200000,9.22400000,9.37500000,6.84800000,7.75700000,15787.82000000,1600041599999,128116.26132000,473,7735.70000000,61692.69499000,0,2020-09-13,2020-09-13 23:59:59.999
1600041600000,7.82800000,8.50000000,7.39000000,7.74900000,22784.84000000,1600127999999,181850.02070000,441,11485.84000000,91943.66967000,0,2020-09-14,2020-09-14 23:59:59.999
1600128000000,7.75800000,7.75800000,5.81000000,6.05800000,19241.86000000,1600214399999,131274.19335000,508,6828.77000000,47303.05199000,0,2020-09-15,2020-09-15 23:59:59.999
1600214400000,6.01000000,7.11200000,5.23800000,5.33900000,53262.29000000,1600300799999,311461.18603000,774,28602.80000000,170025.37462000,0,2020-09-16,2020-09-16 23:59:59.999
1600300800000,5.34000000,6.14100000,5.33000000,6.00100000,35750.05000000,1600387199999,202469.26021000,880,25585.79000000,145036.34718000,0,2020-09-17,2020-09-17 23:59:59.999
1600387200000,6.07100000,6.73300000,5.80200000,6.14100000,31753.77000000,1600473599999,197128.72089000,633,12016.70000000,75275.97028000,0,2020-09-18,2020-09-18 23:59:59.999
1600473600000,6.23600000,6.27000000,5.47400000,5.50800000,18533.47000000,1600559999999,105638.16442000,261,5157.92000000,29941.39122000,0,2020-09-19,2020-09-19 23:59:59.999
1600560000000,5.30000000,5.50100000,4.86500000,5.09100000,33524.89000000,1600646399999,170943.99802000,472,14028.93000000,71878.32915000,0,2020-09-20,2020-09-20 23:59:59.999
1600646400000,5.09300000,5.31300000,4.08000000,4.15400000,29962.05000000,1600732799999,136592.94307000,325,14141.76000000,65132.62619000,0,2020-09-21,2020-09-21 23:59:59.999
1600732800000,4.13200000,4.41500000,4.10300000,4.22200000,14010.47000000,1600819199999,59284.38162000,155,8047.66000000,34156.46714000,0,2020-09-22,2020-09-22 23:59:59.999
1600819200000,4.25700000,4.73200000,4.11000000,4.20900000,15917.17000000,1600905599999,69816.58733000,255,4651.04000000,20377.28838000,0,2020-09-23,2020-09-23 23:59:59.999
1600905600000,4.15000000,4.87100000,4.02500000,4.83500000,22367.97000000,1600991999999,101223.08863000,319,11481.32000000,51944.21366000,0,2020-09-24,2020-09-24 23:59:59.999
1600992000000,4.82800000,5.30500000,4.47900000,5.12600000,12896.60000000,1601078399999,63549.64351000,284,6270.96000000,30903.59052000,0,2020-09-25,2020-09-25 23:59:59.999
1601078400000,5.21100000,5.98000000,5.12000000,5.22900000,54055.79000000,1601164799999,307554.55503000,655,31378.25000000,179800.18041000,0,2020-09-26,2020-09-26 23:59:59.999
1601164800000,5.24000000,5.35900000,4.66500000,4.93000000,20970.39000000,1601251199999,102530.08162000,350,10346.05000000,50337.58068000,0,2020-09-27,2020-09-27 23:59:59.999
1601251200000,4.99600000,5.18400000,4.79000000,4.84000000,21401.06000000,1601337599999,107349.43163000,335,12283.60000000,61768.00595000,0,2020-09-28,2020-09-28 23:59:59.999
1601337600000,4.82300000,4.86000000,4.47100000,4.85200000,6920.40000000,1601423999999,32667.01056000,149,2194.97000000,10314.27224000,0,2020-09-29,2020-09-29 23:59:59.999
1601424000000,4.78000000,4.93000000,4.56400000,4.71500000,18759.83000000,1601510399999,89003.80278000,443,10496.34000000,49864.61678000,0,2020-09-30,2020-09-30 23:59:59.999
1601510400000,4.77500000,5.01900000,4.26200000,4.56900000,14113.88000000,1601596799999,65247.90140000,192,7618.30000000,35068.27382000,0,2020-10-01,2020-10-01 23:59:59.999
1601596800000,4.55800000,4.74900000,3.80000000,4.65500000,23682.41000000,1601683199999,103277.55413000,354,8614.43000000,37743.59382000,0,2020-10-02,2020-10-02 23:59:59.999
1601683200000,4.62800000,5.73700000,4.62700000,5.17600000,100961.68000000,1601769599999,527927.56288000,1101,46754.27000000,244247.52819000,0,2020-10-03,2020-10-03 23:59:59.999
1601769600000,5.16600000,5.29200000,4.63300000,4.82800000,33135.32000000,1601855999999,162142.80181000,477,8728.54000000,43380.16972000,0,2020-10-04,2020-10-04 23:59:59.999
1601856000000,4.99100000,5.04000000,4.65700000,4.86400000,10038.20000000,1601942399999,48240.01303000,247,5467.33000000,26289.05070000,0,2020-10-05,2020-10-05 23:59:59.999
1601942400000,4.89400000,4.91000000,4.39300000,4.48800000,8750.26000000,1602028799999,40589.35558000,137,1644.14000000,7816.22628000,0,2020-10-06,2020-10-06 23:59:59.999
