open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1605744000000,1.30000000,6.59000000,1.30000000,3.97610000,12063759.49000000,1605830399999,45918809.48561300,172521,6334132.76000000,24253337.68735500,0,2020-11-19,2020-11-19 23:59:59.999
1605830400000,3.97610000,4.27550000,3.46680000,3.63500000,2468955.93000000,1605916799999,9518845.06449800,43813,1187245.13000000,4592084.13680700,0,2020-11-20,2020-11-20 23:59:59.999
1605916800000,3.63500000,3.79370000,3.18690000,3.28620000,1216540.19000000,1606003199999,4146109.89937600,22154,551333.13000000,1880924.29866100,0,2020-11-21,2020-11-21 23:59:59.999
1606003200000,3.28600000,3.74480000,3.00000000,3.31640000,1479420.47000000,1606089599999,5002682.23747000,24119,731144.14000000,2474529.95855100,0,2020-11-22,2020-11-22 23:59:59.999
1606089600000,3.29840000,3.77130000,3.15000000,3.70570000,1295645.54000000,1606175999999,4570446.46571800,24673,633363.64000000,2237244.09576300,0,2020-11-23,2020-11-23 23:59:59.999
1606176000000,3.71500000,3.90530000,3.20320000,3.27340000,1034751.05000000,1606262399999,3617817.45522400,21864,458806.97000000,1612717.89767300,0,2020-11-24,2020-11-24 23:59:59.999
1606262400000,3.27870000,3.56780000,3.18300000,3.27810000,481830.01000000,1606348799999,1611179.91106400,11624,228226.92000000,765332.54966900,0,2020-11-25,2020-11-25 23:59:59.999
1606348800000,3.27050000,3.28170000,2.70000000,2.86090000,510273.30000000,1606435199999,1498414.45675600,12269,200826.37000000,589363.94940000,0,2020-11-26,2020-11-26 23:59:59.999
1606435200000,2.86100000,4.16000000,2.81180000,3.80990000,2059495.23000000,1606521599999,7570011.19265800,40131,1134679.98000000,4172219.67922000,0,2020-11-27,2020-11-27 23:59:59.999
1606521600000,3.82880000,5.57990000,3.71540000,4.95710000,3744699.65000000,1606607999999,18204926.07419300,69872,1951856.86000000,9492492.80148700,0,2020-11-28,2020-11-28 23:59:59.999
1606608000000,4.95710000,5.50000000,4.42110000,4.81740000,1573296.11000000,1606694399999,7631554.28525400,34465,788348.03000000,3849678.60824900,0,2020-11-29,2020-11-29 23:59:59.999
1606694400000,4.81010000,5.14000000,4.13820000,4.14560000,1105736.51000000,1606780799999,5112022.39248500,24127,501860.23000000,2331072.80695100,0,2020-11-30,2020-11-30 23:59:59.999
1606780800000,4.14440000,4.41000000,3.88550000,4.06000000,1112666.17000000,1606867199999,4650445.20154900,23689,527357.86000000,2212510.47278200,0,2020-12-01,2020-12-01 23:59:59.999
1606867200000,4.05990000,4.49600000,3.72840000,4.49590000,908009.11000000,1606953599999,3775968.32688600,19141,458333.44000000,1918692.63423000,0,2020-12-02,2020-12-02 23:59:59.999
1606953600000,4.49590000,5.45000000,4.40000000,5.18120000,1538559.12000000,1607039999999,7525247.38926000,39059,832955.82000000,4079632.59074600,0,2020-12-03,2020-12-03 23:59:59.999
1607040000000,5.17950000,6.27190000,4.97010000,5.18310000,1567937.42000000,1607126399999,8818572.25022200,35753,771537.72000000,4369981.18801100,0,2020-12-04,2020-12-04 23:59:59.999
1607126400000,5.18310000,5.98530000,5.01680000,5.84880000,675078.06000000,1607212799999,3728497.59381500,17562,351504.76000000,1942736.49378100,0,2020-12-05,2020-12-05 23:59:59.999
1607212800000,5.84810000,7.70000000,5.75300000,7.12250000,1978848.07000000,1607299199999,13596603.17885900,54956,1036995.90000000,7142775.47626100,0,2020-12-06,2020-12-06 23:59:59.999
1607299200000,7.15490000,9.86000000,6.94540000,9.79980000,3403837.98000000,1607385599999,29914805.19517200,111179,1793141.72000000,15786722.77496000,0,2020-12-07,2020-12-07 23:59:59.999
1607385600000,9.81480000,15.40000000,9.81480000,11.16400000,7145878.47000000,1607471999999,90881941.85517600,244901,3623556.34000000,45955300.30576700,0,2020-12-08,2020-12-08 23:59:59.999
1607472000000,11.16990000,11.74000000,9.53290000,11.30020000,1921953.88000000,1607558399999,20331391.97744500,61248,931353.48000000,9880612.18361100,0,2020-12-09,2020-12-09 23:59:59.999
