open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1601424000000,10.00000000,10.23900000,9.30000000,10.11600000,31338.30000000,1601510399999,309281.86567000,339,13148.35000000,130000.66605000,0,2020-09-30,2020-09-30 23:59:59.999
1601510400000,10.02000000,11.46500000,8.87000000,10.31500000,45381.24000000,1601596799999,466570.33899000,615,26308.95000000,269025.98005000,0,2020-10-01,2020-10-01 23:59:59.999
1601596800000,10.18100000,10.18100000,7.96800000,9.10700000,94533.15000000,1601683199999,866710.57210000,1424,46957.87000000,432216.77412000,0,2020-10-02,2020-10-02 23:59:59.999
1601683200000,8.99500000,9.99000000,8.81400000,9.03000000,29302.18000000,1601769599999,276653.28226000,369,16284.47000000,154352.33950000,0,2020-10-03,2020-10-03 23:59:59.999
1601769600000,9.07500000,9.19400000,7.88300000,8.33100000,32582.35000000,1601855999999,280115.17165000,669,19007.24000000,164188.78371000,0,2020-10-04,2020-10-04 23:59:59.999
1601856000000,8.43400000,8.57700000,6.00000000,6.62500000,131645.52000000,1601942399999,920973.80112000,2305,80839.45000000,561159.11454000,0,2020-10-05,2020-10-05 23:59:59.999
1601942400000,6.62300000,6.65300000,4.42000000,4.62400000,325744.69000000,1602028799999,1786846.40691000,2720,123480.87000000,674786.87832000,0,2020-10-06,2020-10-06 23:59:59.999
1602028800000,4.61900000,5.40800000,3.99700000,5.32000000,696802.14000000,1602115199999,3255760.17113000,3372,369282.69000000,1715399.72864000,0,2020-10-07,2020-10-07 23:59:59.999
1602115200000,5.32500000,6.94200000,4.48600000,6.50700000,586893.31000000,1602201599999,3371938.31130000,5614,278704.46000000,1626907.40395000,0,2020-10-08,2020-10-08 23:59:59.999
1602201600000,6.50000000,7.48300000,5.82200000,6.56600000,348666.58000000,1602287999999,2321532.71744000,4173,166493.22000000,1112026.34648000,0,2020-10-09,2020-10-09 23:59:59.999
1602288000000,6.62100000,7.60800000,6.12700000,6.17000000,190423.60000000,1602374399999,1300427.84083000,2376,88283.73000000,608147.29042000,0,2020-10-10,2020-10-10 23:59:59.999
1602374400000,6.17000000,6.81200000,5.80000000,6.45300000,181093.35000000,1602460799999,1139067.01599000,3122,103660.78000000,654148.28567000,0,2020-10-11,2020-10-11 23:59:59.999
1602460800000,6.42900000,7.45000000,6.19500000,6.85200000,281177.75000000,1602547199999,1902770.15218000,3049,168346.58000000,1135708.32365000,0,2020-10-12,2020-10-12 23:59:59.999
1602547200000,6.85200000,7.05000000,6.15500000,6.39500000,195760.37000000,1602633599999,1295296.40574000,1791,106079.69000000,704369.42253000,0,2020-10-13,2020-10-13 23:59:59.999
1602633600000,6.45000000,6.75700000,4.76800000,5.23700000,729213.83000000,1602719999999,3846553.38147000,5370,423538.33000000,2213759.33384000,0,2020-10-14,2020-10-14 23:59:59.999
1602720000000,5.18600000,5.38900000,4.67400000,5.07600000,585253.52000000,1602806399999,2932432.91888000,4732,312844.19000000,1564146.24797000,0,2020-10-15,2020-10-15 23:59:59.999
1602806400000,5.11300000,6.17300000,4.38200000,4.92700000,793891.85000000,1602892799999,4218264.63969000,3394,337408.87000000,1807486.40131000,0,2020-10-16,2020-10-16 23:59:59.999
1602892800000,5.00000000,5.20900000,4.76900000,5.03600000,159339.02000000,1602979199999,790382.36123000,1212,79140.59000000,393271.18187000,0,2020-10-17,2020-10-17 23:59:59.999
1602979200000,5.00300000,5.61200000,4.97800000,5.60000000,139397.41000000,1603065599999,734875.72664000,1852,85752.78000000,450903.58191000,0,2020-10-18,2020-10-18 23:59:59.999
1603065600000,5.60000000,5.60000000,5.17000000,5.33500000,107412.86000000,1603151999999,580639.63586000,1395,46357.83000000,250830.54554000,0,2020-10-19,2020-10-19 23:59:59.999
1603152000000,5.35600000,5.37700000,4.25300000,4.39700000,386216.91000000,1603238399999,1823863.63852000,1547,179717.01000000,858932.80075000,0,2020-10-20,2020-10-20 23:59:59.999
1603238400000,4.44300000,4.95000000,4.40000000,4.54400000,206565.53000000,1603324799999,972146.55111000,1444,115020.72000000,542140.18514000,0,2020-10-21,2020-10-21 23:59:59.999
