open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1593475200000,14369.00,14610.00,5400.00,14504.00,49275.41000000,1593561599999,708149793.44,268,24647.68000000,353674600.27,0,2020-06-30,2020-06-30 23:59:59.999
1593561600000,14539.00,14609.00,14300.00,14368.00,70821.57000000,1593647999999,1022797134.67,654,28724.15000000,414380183.20,0,2020-07-01,2020-07-01 23:59:59.999
1593648000000,14428.00,14570.00,14362.00,14505.00,40137.82000000,1593734399999,581173194.33,581,14555.30000000,210776363.66,0,2020-07-02,2020-07-02 23:59:59.999
1593734400000,14509.00,14614.00,14454.00,14612.00,75596.38000000,1593820799999,1101247995.38,137,69920.65000000,1018779574.60,0,2020-07-03,2020-07-03 23:59:59.999
1593820800000,14607.00,14641.00,14541.00,14629.00,18260.19000000,1593907199999,266705696.83,88,14599.85000000,213407253.57,0,2020-07-04,2020-07-04 23:59:59.999
1593907200000,14573.00,14641.00,14571.00,14571.00,21066.87000000,1593993599999,307822525.47,90,20349.57000000,297367090.21,0,2020-07-05,2020-07-05 23:59:59.999
1593993600000,14600.00,14620.00,14334.00,14410.00,56630.13000000,1594079999999,817246788.91,266,18603.83000000,269074786.90,0,2020-07-06,2020-07-06 23:59:59.999
1594080000000,14392.00,14510.00,14350.00,14399.00,43313.26000000,1594166399999,625643879.45,351,9944.54000000,143557189.39,0,2020-07-07,2020-07-07 23:59:59.999
1594166400000,14399.00,14449.00,14188.00,14314.00,98089.59000000,1594252799999,1405145840.99,325,36035.17000000,516814923.93,0,2020-07-08,2020-07-08 23:59:59.999
1594252800000,14233.00,14493.00,14197.00,14363.00,46094.30000000,1594339199999,663233217.63,223,29890.44000000,430592449.32,0,2020-07-09,2020-07-09 23:59:59.999
1594339200000,14417.00,14531.00,14289.00,14322.00,44537.61000000,1594425599999,642566699.15,209,21144.75000000,305391028.75,0,2020-07-10,2020-07-10 23:59:59.999
1594425600000,14411.00,14427.00,14296.00,14296.00,10723.13000000,1594511999999,154206768.09,105,3416.38000000,49123823.32,0,2020-07-11,2020-07-11 23:59:59.999
1594512000000,14357.00,14415.00,14311.00,14324.00,13967.26000000,1594598399999,200363285.16,311,4854.63000000,69723820.70,0,2020-07-12,2020-07-12 23:59:59.999
1594598400000,14357.00,14480.00,14251.00,14306.00,699439.66000000,1594684799999,10052401864.54,1348,605432.08000000,8703731666.16,0,2020-07-13,2020-07-13 23:59:59.999
1594684800000,14306.00,14480.00,14275.00,14425.00,55277.76000000,1594771199999,795700759.86,448,41572.99000000,598670250.82,0,2020-07-14,2020-07-14 23:59:59.999
1594771200000,14382.00,14512.00,14333.00,14503.00,44532.39000000,1594857599999,644487351.05,292,34094.00000000,493604013.42,0,2020-07-15,2020-07-15 23:59:59.999
1594857600000,14503.00,14755.00,14480.00,14634.00,101654.69000000,1594943999999,1487726958.94,458,53727.50000000,786516146.59,0,2020-07-16,2020-07-16 23:59:59.999
