open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1602547200000,5.53000000,5.59000000,5.31400000,5.56700000,67673.00000000,1602633599999,375180.69886000,593,57504.54000000,319623.07129000,0,2020-10-13,2020-10-13 23:59:59.999
1602633600000,5.57900000,5.64100000,5.53000000,5.61000000,86664.65000000,1602719999999,484684.40228000,695,77908.69000000,435607.89469000,0,2020-10-14,2020-10-14 23:59:59.999
1602720000000,5.62100000,5.68500000,5.61000000,5.68000000,86150.38000000,1602806399999,487817.03470000,475,57068.54000000,323288.23995000,0,2020-10-15,2020-10-15 23:59:59.999
1602806400000,5.68000000,5.72900000,5.66700000,5.71200000,102640.85000000,1602892799999,584780.86026000,585,76130.27000000,433836.28923000,0,2020-10-16,2020-10-16 23:59:59.999
1602892800000,5.71200000,5.71500000,5.70300000,5.71000000,18945.70000000,1602979199999,108177.12602000,178,12149.08000000,69392.96692000,0,2020-10-17,2020-10-17 23:59:59.999
1602979200000,5.70300000,5.71100000,5.67000000,5.70700000,42068.08000000,1603065599999,239932.94484000,136,5463.24000000,31194.91753000,0,2020-10-18,2020-10-18 23:59:59.999
1603065600000,5.70700000,5.71200000,5.63500000,5.68100000,180840.69000000,1603151999999,1025828.09675000,713,54030.08000000,306407.16470000,0,2020-10-19,2020-10-19 23:59:59.999
1603152000000,5.68100000,5.70000000,5.61300000,5.67700000,116425.18000000,1603238399999,658471.96029000,530,70310.52000000,397603.08938000,0,2020-10-20,2020-10-20 23:59:59.999
1603238400000,5.67700000,5.69500000,5.62700000,5.66000000,363251.30000000,1603324799999,2056636.59241000,1079,158859.46000000,899756.91911000,0,2020-10-21,2020-10-21 23:59:59.999
1603324800000,5.66900000,5.67300000,5.61800000,5.63000000,153382.76000000,1603411199999,865833.78270000,647,81860.79000000,462486.79333000,0,2020-10-22,2020-10-22 23:59:59.999
1603411200000,5.64100000,5.69500000,5.61500000,5.67500000,141188.51000000,1603497599999,798264.86047000,571,68622.66000000,388519.28521000,0,2020-10-23,2020-10-23 23:59:59.999
1603497600000,5.67400000,5.68800000,5.67100000,5.67400000,47061.95000000,1603583999999,267215.64591000,187,24648.85000000,140036.36040000,0,2020-10-24,2020-10-24 23:59:59.999
1603584000000,5.67200000,5.68200000,5.66900000,5.67600000,55085.09000000,1603670399999,312652.49588000,152,22712.19000000,128964.72923000,0,2020-10-25,2020-10-25 23:59:59.999
1603670400000,5.67600000,5.72800000,5.66500000,5.69500000,183872.09000000,1603756799999,1046846.85012000,701,86873.13000000,494368.01211000,0,2020-10-26,2020-10-26 23:59:59.999
1603756800000,5.69500000,5.77500000,5.66800000,5.77300000,154758.95000000,1603843199999,885459.50269000,751,78971.75000000,452562.01805000,0,2020-10-27,2020-10-27 23:59:59.999
1603843200000,5.76500000,5.84900000,5.75900000,5.82000000,227353.71000000,1603929599999,1317157.11735000,665,132568.81000000,766977.92005000,0,2020-10-28,2020-10-28 23:59:59.999
1603929600000,5.82000000,5.86000000,5.80600000,5.85100000,183292.27000000,1604015999999,1069585.56254000,669,93177.43000000,543645.33815000,0,2020-10-29,2020-10-29 23:59:59.999
