open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1587081600000,15603.00,16000.00,3121.00,15503.00,126846.09000000,1587167999999,1835147490.56,1761,71211.14000000,1053584396.70,0,2020-04-17,2020-04-17 23:59:59.999
1587168000000,15503.00,15690.00,15367.00,15367.00,13578.59000000,1587254399999,211480406.44,282,3602.26000000,56364070.66,0,2020-04-18,2020-04-18 23:59:59.999
1587254400000,15368.00,15698.00,15368.00,15415.00,7616.11000000,1587340799999,118448104.55,283,2320.38000000,36128033.26,0,2020-04-19,2020-04-19 23:59:59.999
1587340800000,15421.00,15899.00,15410.00,15485.00,14347.61000000,1587427199999,223115274.82,185,6124.87000000,95574365.19,0,2020-04-20,2020-04-20 23:59:59.999
1587427200000,15878.00,15993.00,15440.00,15911.00,9698.54000000,1587513599999,151745209.14,161,4798.16000000,75508408.63,0,2020-04-21,2020-04-21 23:59:59.999
1587513600000,15911.00,15921.00,15460.00,15749.00,14074.26000000,1587599999999,220429693.41,245,6187.34000000,96985771.70,0,2020-04-22,2020-04-22 23:59:59.999
1587600000000,15704.00,15735.00,15422.00,15720.00,8988.69000000,1587686399999,140038786.44,167,2158.09000000,33734253.34,0,2020-04-23,2020-04-23 23:59:59.999
1587686400000,15637.00,15637.00,15381.00,15458.00,35088.10000000,1587772799999,544478344.61,421,4210.19000000,65348190.22,0,2020-04-24,2020-04-24 23:59:59.999
1587772800000,15509.00,15600.00,15297.00,15511.00,22929.46000000,1587859199999,354524361.00,323,10352.79000000,160355355.64,0,2020-04-25,2020-04-25 23:59:59.999
1587859200000,15418.00,15450.00,15240.00,15276.00,5490.65000000,1587945599999,84347387.02,98,1780.85000000,27426020.17,0,2020-04-26,2020-04-26 23:59:59.999
1587945600000,15275.00,15536.00,15161.00,15500.00,38297.79000000,1588031999999,587952054.64,681,28978.68000000,445029647.31,0,2020-04-27,2020-04-27 23:59:59.999
1588032000000,15500.00,15675.00,15270.00,15438.00,13425.85000000,1588118399999,207791954.60,151,7690.68000000,119394923.85,0,2020-04-28,2020-04-28 23:59:59.999
1588118400000,15438.00,15438.00,15136.00,15218.00,18475.93000000,1588204799999,282683402.63,119,3213.24000000,49325371.85,0,2020-04-29,2020-04-29 23:59:59.999
1588204800000,15218.00,15345.00,14896.00,15071.00,23977.19000000,1588291199999,362415701.45,312,12852.70000000,194522794.39,0,2020-04-30,2020-04-30 23:59:59.999
1588291200000,15100.00,15284.00,14750.00,14750.00,57863.63000000,1588377599999,867421248.34,564,15237.92000000,228826398.44,0,2020-05-01,2020-05-01 23:59:59.999
1588377600000,14750.00,14912.00,14641.00,14777.00,11253.08000000,1588463999999,166380112.25,134,5847.87000000,86668663.46,0,2020-05-02,2020-05-02 23:59:59.999
1588464000000,14702.00,14853.00,14688.00,14800.00,17874.68000000,1588550399999,263344382.67,205,12483.90000000,184004606.85,0,2020-05-03,2020-05-03 23:59:59.999
1588550400000,14800.00,15246.00,14799.00,15177.00,11436.89000000,1588636799999,172454252.71,321,7279.40000000,109649156.24,0,2020-05-04,2020-05-04 23:59:59.999
1588636800000,15177.00,15285.00,14905.00,15220.00,9279.89000000,1588723199999,140573654.52,247,5201.50000000,78834853.22,0,2020-05-05,2020-05-05 23:59:59.999
1588723200000,15241.00,15257.00,14915.00,15066.00,10468.22000000,1588809599999,157881558.77,161,1939.06000000,29366572.53,0,2020-05-06,2020-05-06 23:59:59.999
1588809600000,15066.00,15438.00,14705.00,15150.00,25192.73000000,1588895999999,379705833.43,448,12404.66000000,188101231.71,0,2020-05-07,2020-05-07 23:59:59.999
1588896000000,15150.00,15195.00,14850.00,14850.00,13482.83000000,1588982399999,201855237.92,230,3624.88000000,54539627.37,0,2020-05-08,2020-05-08 23:59:59.999
1588982400000,14850.00,15075.00,14800.00,14874.00,8151.84000000,1589068799999,121501251.79,177,4207.78000000,62846575.22,0,2020-05-09,2020-05-09 23:59:59.999
1589068800000,14998.00,15286.00,14804.00,15117.00,22645.08000000,1589155199999,340644102.61,333,12628.62000000,190571905.58,0,2020-05-10,2020-05-10 23:59:59.999
1589155200000,14978.00,15330.00,14978.00,15127.00,12315.38000000,1589241599999,186199498.15,248,6410.86000000,97257305.15,0,2020-05-11,2020-05-11 23:59:59.999
1589241600000,15059.00,15249.00,14952.00,15008.00,6251.41000000,1589327999999,94272756.41,136,4098.19000000,61961135.36,0,2020-05-12,2020-05-12 23:59:59.999
1589328000000,15000.00,15135.00,14850.00,14850.00,6383.21000000,1589414399999,95701487.49,141,1275.88000000,19263320.16,0,2020-05-13,2020-05-13 23:59:59.999
1589414400000,14860.00,15018.00,14416.00,14806.00,19492.43000000,1589500799999,288851215.98,378,7589.67000000,113370562.72,0,2020-05-14,2020-05-14 23:59:59.999
1589500800000,14858.00,14913.00,14751.00,14900.00,3685.61000000,1589587199999,54859425.89,169,1959.78000000,29203055.67,0,2020-05-15,2020-05-15 23:59:59.999
1589587200000,14899.00,14950.00,14796.00,14900.00,3409.05000000,1589673599999,50758806.13,140,1051.03000000,15675270.37,0,2020-05-16,2020-05-16 23:59:59.999
1589673600000,14900.00,14990.00,14711.00,14842.00,5408.18000000,1589759999999,80258769.40,184,1740.15000000,25944256.58,0,2020-05-17,2020-05-17 23:59:59.999
1589760000000,14790.00,14910.00,14627.00,14720.00,4740.70000000,1589846399999,70129726.44,158,2721.08000000,40388733.13,0,2020-05-18,2020-05-18 23:59:59.999
1589846400000,14752.00,14820.00,14601.00,14702.00,2977.30000000,1589932799999,43916119.09,176,1325.82000000,19590040.07,0,2020-05-19,2020-05-19 23:59:59.999
1589932800000,14690.00,14830.00,14553.00,14798.00,5235.37000000,1590019199999,76841100.02,187,2453.83000000,36084113.99,0,2020-05-20,2020-05-20 23:59:59.999
1590019200000,14765.00,14899.00,14711.00,14847.00,4425.43000000,1590105599999,65519618.89,289,1927.49000000,28610770.38,0,2020-05-21,2020-05-21 23:59:59.999
1590105600000,14860.00,15249.00,14758.00,15009.00,10438.08000000,1590191999999,156555987.39,249,7772.84000000,116821437.30,0,2020-05-22,2020-05-22 23:59:59.999
1590192000000,15009.00,15120.00,14940.00,14984.00,2060.27000000,1590278399999,30927194.70,92,1281.80000000,19275174.50,0,2020-05-23,2020-05-23 23:59:59.999
1590278400000,14986.00,15100.00,14896.00,14896.00,7560.93000000,1590364799999,113097275.53,173,2642.19000000,39693124.84,0,2020-05-24,2020-05-24 23:59:59.999
1590364800000,14936.00,15098.00,14840.00,14911.00,5298.11000000,1590451199999,79242887.37,177,2725.14000000,40820770.50,0,2020-05-25,2020-05-25 23:59:59.999
1590451200000,14959.00,15013.00,14873.00,14906.00,5924.19000000,1590537599999,88640276.02,141,5111.39000000,76510419.21,0,2020-05-26,2020-05-26 23:59:59.999
1590537600000,14906.00,15020.00,14840.00,14850.00,29388.68000000,1590623999999,439357184.84,224,2935.85000000,43950669.72,0,2020-05-27,2020-05-27 23:59:59.999
1590624000000,14850.00,14924.00,14600.00,14723.00,24440.12000000,1590710399999,362449637.03,239,7850.20000000,116985826.70,0,2020-05-28,2020-05-28 23:59:59.999
1590710400000,14692.00,14800.00,14605.00,14800.00,4323.88000000,1590796799999,63621151.45,100,3250.12000000,47881801.68,0,2020-05-29,2020-05-29 23:59:59.999
1590796800000,14727.00,14850.00,14605.00,14605.00,8865.38000000,1590883199999,130392512.66,174,3450.36000000,50863456.69,0,2020-05-30,2020-05-30 23:59:59.999
1590883200000,14605.00,14670.00,14561.00,14667.00,4157.54000000,1590969599999,60766377.31,92,1141.98000000,16746152.44,0,2020-05-31,2020-05-31 23:59:59.999
1590969600000,14600.00,14700.00,14086.00,14500.00,17525.61000000,1591055999999,254162018.08,246,5395.15000000,78546962.33,0,2020-06-01,2020-06-01 23:59:59.999
1591056000000,14451.00,14550.00,14244.00,14449.00,10188.07000000,1591142399999,146992699.30,211,5792.35000000,83735357.58,0,2020-06-02,2020-06-02 23:59:59.999
1591142400000,14341.00,14381.00,14086.00,14187.00,10735.45000000,1591228799999,152838657.07,162,2173.19000000,31063279.83,0,2020-06-03,2020-06-03 23:59:59.999
1591228800000,14186.00,14249.00,14086.00,14105.00,3205.93000000,1591315199999,45411879.74,69,1624.13000000,23076240.96,0,2020-06-04,2020-06-04 23:59:59.999
1591315200000,14117.00,14264.00,13950.00,14027.00,18742.77000000,1591401599999,263580245.87,291,4068.15000000,57362130.33,0,2020-06-05,2020-06-05 23:59:59.999
1591401600000,14077.00,14163.00,14000.00,14085.00,9373.24000000,1591487999999,132161085.98,153,4764.78000000,67334242.76,0,2020-06-06,2020-06-06 23:59:59.999
1591488000000,14072.00,14379.00,14000.00,14290.00,38708.83000000,1591574399999,547323880.73,450,25571.04000000,361919491.41,0,2020-06-07,2020-06-07 23:59:59.999
1591574400000,14202.00,14294.00,13900.00,14063.00,45410.68000000,1591660799999,638816509.80,598,5268.88000000,74077054.22,0,2020-06-08,2020-06-08 23:59:59.999
1591660800000,14063.00,14250.00,13847.00,13852.00,33271.37000000,1591747199999,467946830.34,375,13379.94000000,188352875.00,0,2020-06-09,2020-06-09 23:59:59.999
1591747200000,13999.00,14264.00,13972.00,14200.00,35531.19000000,1591833599999,503031777.04,467,10206.41000000,144543886.49,0,2020-06-10,2020-06-10 23:59:59.999
1591833600000,14160.00,14600.00,14000.00,14600.00,61680.03000000,1591919999999,877787177.52,882,33784.04000000,482297699.38,0,2020-06-11,2020-06-11 23:59:59.999
1591920000000,14519.00,14519.00,14169.00,14317.00,69648.02000000,1592006399999,1002691112.20,617,26751.58000000,385430892.63,0,2020-06-12,2020-06-12 23:59:59.999
1592006400000,14318.00,14473.00,14317.00,14450.00,23619.75000000,1592092799999,340781562.95,560,5421.23000000,78355301.58,0,2020-06-13,2020-06-13 23:59:59.999
1592092800000,14450.00,14543.00,14351.00,14460.00,26878.91000000,1592179199999,387732072.91,600,6606.94000000,95572291.92,0,2020-06-14,2020-06-14 23:59:59.999
1592179200000,14460.00,14740.00,14200.00,14372.00,48750.67000000,1592265599999,703092411.22,772,19125.30000000,275314947.48,0,2020-06-15,2020-06-15 23:59:59.999
1592265600000,14372.00,14402.00,14150.00,14201.00,42837.53000000,1592351999999,611793660.91,483,20143.18000000,287842841.57,0,2020-06-16,2020-06-16 23:59:59.999
1592352000000,14202.00,14450.00,14180.00,14250.00,23110.04000000,1592438399999,330917548.10,241,5520.92000000,79315126.56,0,2020-06-17,2020-06-17 23:59:59.999
1592438400000,14325.00,14384.00,14150.00,14295.00,30040.80000000,1592524799999,428740392.74,440,2613.78000000,37412945.28,0,2020-06-18,2020-06-18 23:59:59.999
1592524800000,14297.00,14400.00,14157.00,14320.00,22273.75000000,1592611199999,318514847.73,350,3813.28000000,54601879.61,0,2020-06-19,2020-06-19 23:59:59.999
1592611200000,14320.00,14499.00,14308.00,14318.00,13306.68000000,1592697599999,191469066.92,151,6365.82000000,91876646.87,0,2020-06-20,2020-06-20 23:59:59.999
1592697600000,14330.00,14408.00,14157.00,14214.00,27639.51000000,1592783999999,393278694.19,162,22445.71000000,319052056.49,0,2020-06-21,2020-06-21 23:59:59.999
1592784000000,14214.00,14357.00,14162.00,14303.00,43840.30000000,1592870399999,625573754.12,275,28648.64000000,408849025.25,0,2020-06-22,2020-06-22 23:59:59.999
1592870400000,14242.00,14306.00,14206.00,14208.00,9410.54000000,1592956799999,133999396.89,134,5005.15000000,71323950.02,0,2020-06-23,2020-06-23 23:59:59.999
1592956800000,14209.00,14301.00,14173.00,14280.00,11630.01000000,1593043199999,165505463.90,141,4070.84000000,58047923.32,0,2020-06-24,2020-06-24 23:59:59.999
1593043200000,14230.00,14484.00,13945.00,14302.00,38081.70000000,1593129599999,546208617.09,410,10334.99000000,148497068.99,0,2020-06-25,2020-06-25 23:59:59.999
1593129600000,14250.00,14555.00,14250.00,14408.00,36157.16000000,1593215999999,522317596.98,285,9481.11000000,137038276.65,0,2020-06-26,2020-06-26 23:59:59.999
1593216000000,14402.00,14540.00,14353.00,14490.00,11811.45000000,1593302399999,170764313.83,138,3377.54000000,48915804.43,0,2020-06-27,2020-06-27 23:59:59.999
1593302400000,14542.00,14599.00,14291.00,14302.00,23220.73000000,1593388799999,336382460.61,228,6349.44000000,92196588.87,0,2020-06-28,2020-06-28 23:59:59.999
1593388800000,14303.00,14579.00,14300.00,14511.00,18133.02000000,1593475199999,263169456.49,180,7295.01000000,106013554.17,0,2020-06-29,2020-06-29 23:59:59.999
1593475200000,14468.00,14550.00,14376.00,14447.00,76736.38000000,1593561599999,1107843860.46,317,40315.66000000,581445374.74,0,2020-06-30,2020-06-30 23:59:59.999
1593561600000,14447.00,14820.00,14351.00,14372.00,74641.95000000,1593647999999,1081690991.63,299,56152.66000000,814258314.65,0,2020-07-01,2020-07-01 23:59:59.999
1593648000000,14393.00,14549.00,14301.00,14500.00,53086.26000000,1593734399999,766636791.25,273,42460.99000000,613270196.67,0,2020-07-02,2020-07-02 23:59:59.999
1593734400000,14496.00,14586.00,14350.00,14576.00,38081.66000000,1593820799999,552141849.18,187,35490.89000000,514680593.96,0,2020-07-03,2020-07-03 23:59:59.999
1593820800000,14575.00,14636.00,14525.00,14528.00,14967.82000000,1593907199999,218122642.81,131,10573.29000000,154130465.69,0,2020-07-04,2020-07-04 23:59:59.999
1593907200000,14528.00,14657.00,14479.00,14539.00,39329.73000000,1593993599999,573074161.24,241,23241.18000000,338942201.09,0,2020-07-05,2020-07-05 23:59:59.999
1593993600000,14534.00,14599.00,14330.00,14352.00,50069.43000000,1594079999999,723498104.86,318,31153.51000000,449437012.29,0,2020-07-06,2020-07-06 23:59:59.999
1594080000000,14352.00,14460.00,14333.00,14356.00,14258.27000000,1594166399999,205413144.30,165,5912.35000000,85349350.07,0,2020-07-07,2020-07-07 23:59:59.999
1594166400000,14419.00,14466.00,14361.00,14449.00,32741.22000000,1594252799999,471610215.56,264,5229.03000000,75445234.56,0,2020-07-08,2020-07-08 23:59:59.999
1594252800000,14389.00,14488.00,14362.00,14436.00,41216.05000000,1594339199999,594570517.60,284,12237.35000000,176888073.59,0,2020-07-09,2020-07-09 23:59:59.999
1594339200000,14436.00,14511.00,14381.00,14441.00,15333.35000000,1594425599999,221503707.76,208,6965.45000000,100808843.69,0,2020-07-10,2020-07-10 23:59:59.999
1594425600000,14400.00,14476.00,14364.00,14365.00,7537.87000000,1594511999999,108508889.58,140,886.23000000,12793958.70,0,2020-07-11,2020-07-11 23:59:59.999
1594512000000,14390.00,14476.00,14355.00,14404.00,15722.70000000,1594598399999,226401047.06,178,10099.59000000,145521335.67,0,2020-07-12,2020-07-12 23:59:59.999
1594598400000,14395.00,14554.00,14395.00,14495.00,64711.63000000,1594684799999,936554678.98,389,13807.44000000,199952150.79,0,2020-07-13,2020-07-13 23:59:59.999
1594684800000,14495.00,14674.00,14437.00,14542.00,31867.28000000,1594771199999,464120262.26,401,16295.84000000,237236999.69,0,2020-07-14,2020-07-14 23:59:59.999
1594771200000,14546.00,14649.00,14507.00,14591.00,21000.75000000,1594857599999,306385381.45,221,8176.48000000,119510910.19,0,2020-07-15,2020-07-15 23:59:59.999
1594857600000,14591.00,14754.00,14553.00,14695.00,31643.01000000,1594943999999,464524013.43,244,17248.50000000,253560342.76,0,2020-07-16,2020-07-16 23:59:59.999
1594944000000,14696.00,14830.00,14696.00,14760.00,62974.16000000,1595030399999,931667989.75,311,6984.92000000,103348107.46,0,2020-07-17,2020-07-17 23:59:59.999
1595030400000,14786.00,14820.00,14702.00,14800.00,9166.72000000,1595116799999,135431842.37,207,5325.15000000,78813229.51,0,2020-07-18,2020-07-18 23:59:59.999
1595116800000,14800.00,14817.00,14654.00,14654.00,34264.99000000,1595203199999,505523120.53,322,10223.62000000,151006878.58,0,2020-07-19,2020-07-19 23:59:59.999
1595203200000,14654.00,14914.00,14601.00,14810.00,77007.75000000,1595289599999,1139760816.31,473,20718.59000000,306470913.52,0,2020-07-20,2020-07-20 23:59:59.999
1595289600000,14810.00,14894.00,14651.00,14705.00,69524.32000000,1595375999999,1025863223.77,462,18340.66000000,271022358.81,0,2020-07-21,2020-07-21 23:59:59.999
