open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1577232000000,5.98000000,29.00000000,5.92400000,5.92700000,5509.84000000,1577318399999,32964.67844000,29,4089.67000000,24548.48028000,0,2019-12-25,2019-12-25 23:59:59.999
1577318400000,5.91500000,5.94000000,5.90900000,5.90900000,1637.04000000,1577404799999,9698.55951000,33,743.97000000,4417.41794000,0,2019-12-26,2019-12-26 23:59:59.999
1577404800000,5.90900000,5.95600000,5.90900000,5.95600000,1084.39000000,1577491199999,6431.40990000,25,573.00000000,3402.37063000,0,2019-12-27,2019-12-27 23:59:59.999
1577491200000,5.91800000,5.97100000,5.91800000,5.92300000,12964.63000000,1577577599999,77057.36719000,34,10181.92000000,60574.43561000,0,2019-12-28,2019-12-28 23:59:59.999
1577577600000,5.92400000,5.95300000,5.92400000,5.95300000,7874.02000000,1577663999999,46722.86238000,45,2201.73000000,13085.54771000,0,2019-12-29,2019-12-29 23:59:59.999
1577664000000,5.95000000,5.95000000,5.91500000,5.91500000,12696.79000000,1577750399999,75334.97499000,27,6731.74000000,39975.57750000,0,2019-12-30,2019-12-30 23:59:59.999
1577750400000,5.91500000,5.94500000,5.91100000,5.91100000,14664.98000000,1577836799999,87067.33257000,31,13900.10000000,82542.49410000,0,2019-12-31,2019-12-31 23:59:59.999
1577836800000,5.93700000,5.94500000,5.91300000,5.94000000,2811.76000000,1577923199999,16686.29464000,34,2000.74000000,11887.46909000,0,2020-01-01,2020-01-01 23:59:59.999
1577923200000,5.91900000,5.95300000,5.91500000,5.93000000,11795.35000000,1578009599999,70069.92150000,49,8718.11000000,51835.21999000,0,2020-01-02,2020-01-02 23:59:59.999
1578009600000,5.95000000,5.98300000,5.92700000,5.97200000,7169.50000000,1578095999999,42733.33525000,70,3753.33000000,22407.90054000,0,2020-01-03,2020-01-03 23:59:59.999
1578096000000,5.97200000,5.97800000,5.94800000,5.95200000,12313.46000000,1578182399999,73543.71858000,32,7462.74000000,44556.11385000,0,2020-01-04,2020-01-04 23:59:59.999
1578182400000,5.95200000,5.99000000,5.95000000,5.97500000,21061.57000000,1578268799999,125871.97070000,34,9336.16000000,55852.92854000,0,2020-01-05,2020-01-05 23:59:59.999
