open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1592956800000,26.66000000,26.66000000,5.50000000,26.55300000,33245.40000000,1593043199999,854986.53980000,128,15721.80000000,417686.26570000,0,2020-06-24,2020-06-24 23:59:59.999
1593043200000,26.59600000,26.73800000,26.51000000,26.69800000,11435.30000000,1593129599999,304859.56400000,86,9394.70000000,250635.36110000,0,2020-06-25,2020-06-25 23:59:59.999
1593129600000,26.70000000,26.70900000,26.35500000,26.66500000,7764.10000000,1593215999999,206488.95150000,103,4594.80000000,122465.61660000,0,2020-06-26,2020-06-26 23:59:59.999
1593216000000,26.40000000,26.66100000,26.40000000,26.66100000,2962.60000000,1593302399999,78787.79870000,69,1892.90000000,50439.57500000,0,2020-06-27,2020-06-27 23:59:59.999
1593302400000,26.53100000,26.67000000,26.40200000,26.60000000,5735.40000000,1593388799999,152544.01090000,100,4156.30000000,110809.45610000,0,2020-06-28,2020-06-28 23:59:59.999
1593388800000,26.67000000,26.70800000,26.46000000,26.68600000,14406.60000000,1593475199999,383784.51030000,94,11583.30000000,308964.00130000,0,2020-06-29,2020-06-29 23:59:59.999
1593475200000,26.68400000,26.76900000,26.53500000,26.64900000,18985.00000000,1593561599999,506833.34740000,91,12528.30000000,335132.63480000,0,2020-06-30,2020-06-30 23:59:59.999
1593561600000,26.75600000,26.94000000,26.61500000,26.80400000,22810.90000000,1593647999999,612413.68210000,135,15713.80000000,422151.36950000,0,2020-07-01,2020-07-01 23:59:59.999
1593648000000,26.79900000,26.99200000,26.71900000,26.88100000,18627.40000000,1593734399999,499337.57930000,169,9751.50000000,261189.16650000,0,2020-07-02,2020-07-02 23:59:59.999
1593734400000,26.89100000,27.27700000,26.89100000,27.11400000,5942.00000000,1593820799999,160727.67850000,102,4309.90000000,116504.25390000,0,2020-07-03,2020-07-03 23:59:59.999
1593820800000,27.10500000,27.11600000,26.98800000,27.10400000,5559.80000000,1593907199999,150163.03240000,61,860.20000000,23316.36960000,0,2020-07-04,2020-07-04 23:59:59.999
