open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1576195200000,0.02083000,0.02400000,0.01522000,0.01658000,59669031.30000000,1576281599999,1011063.73206400,5773,21763272.60000000,371582.23778600,0,2019-12-13,2019-12-13 23:59:59.999
1576281600000,0.01658000,0.01670000,0.01295000,0.01345000,27481942.90000000,1576367999999,412302.22827900,3016,9169474.00000000,136960.66042600,0,2019-12-14,2019-12-14 23:59:59.999
1576368000000,0.01345000,0.01497000,0.01267000,0.01350000,12741177.60000000,1576454399999,173007.87727800,1441,5349223.70000000,72643.43253900,0,2019-12-15,2019-12-15 23:59:59.999
1576454400000,0.01349000,0.01749000,0.01288000,0.01352000,38802727.90000000,1576540799999,566295.18854200,3397,14980266.80000000,221072.40078700,0,2019-12-16,2019-12-16 23:59:59.999
1576540800000,0.01345000,0.01356000,0.01121000,0.01170000,13421220.50000000,1576627199999,165688.94462500,1292,5249371.50000000,64783.65021300,0,2019-12-17,2019-12-17 23:59:59.999
1576627200000,0.01179000,0.01225000,0.01080000,0.01193000,7590800.40000000,1576713599999,87523.14019200,789,3391218.00000000,39008.81910500,0,2019-12-18,2019-12-18 23:59:59.999
1576713600000,0.01189000,0.01259000,0.01100000,0.01258000,10365136.10000000,1576799999999,122011.26221600,1020,4341383.20000000,51476.57951300,0,2019-12-19,2019-12-19 23:59:59.999
1576800000000,0.01258000,0.01267000,0.01154000,0.01160000,4814677.60000000,1576886399999,57644.96512200,801,1634033.60000000,19586.40694900,0,2019-12-20,2019-12-20 23:59:59.999
1576886400000,0.01162000,0.01195000,0.01124000,0.01161000,5420602.10000000,1576972799999,62889.94999900,594,986287.50000000,11463.75926200,0,2019-12-21,2019-12-21 23:59:59.999
1576972800000,0.01160000,0.01162000,0.01105000,0.01121000,3009607.40000000,1577059199999,33948.35372000,400,865204.70000000,9791.84083400,0,2019-12-22,2019-12-22 23:59:59.999
1577059200000,0.01129000,0.01140000,0.01018000,0.01054000,8717675.80000000,1577145599999,94209.33136100,741,3412096.50000000,36974.32160300,0,2019-12-23,2019-12-23 23:59:59.999
1577145600000,0.01053000,0.01100000,0.01024000,0.01065000,3203800.30000000,1577231999999,33782.51039400,333,1179640.50000000,12524.60824800,0,2019-12-24,2019-12-24 23:59:59.999
1577232000000,0.01037000,0.01153000,0.01034000,0.01120000,4145111.70000000,1577318399999,45855.74707600,512,1555202.00000000,17259.02038300,0,2019-12-25,2019-12-25 23:59:59.999
1577318400000,0.01120000,0.01350000,0.01120000,0.01295000,31896669.80000000,1577404799999,389661.53357300,3452,15717000.30000000,192173.49817200,0,2019-12-26,2019-12-26 23:59:59.999
1577404800000,0.01295000,0.01332000,0.01130000,0.01177000,15782826.00000000,1577491199999,192950.32418100,2460,4801167.40000000,58842.78891800,0,2019-12-27,2019-12-27 23:59:59.999
1577491200000,0.01177000,0.01245000,0.01133000,0.01147000,11165657.00000000,1577577599999,131992.52751600,1325,4334426.40000000,51319.10664400,0,2019-12-28,2019-12-28 23:59:59.999
1577577600000,0.01162000,0.01175000,0.01109000,0.01130000,5096860.90000000,1577663999999,58052.13470900,820,1681191.50000000,19233.92438500,0,2019-12-29,2019-12-29 23:59:59.999
1577664000000,0.01129000,0.01154000,0.01100000,0.01128000,4471260.80000000,1577750399999,50377.20494300,513,1526860.50000000,17216.93110300,0,2019-12-30,2019-12-30 23:59:59.999
1577750400000,0.01129000,0.01190000,0.01054000,0.01087000,5840970.70000000,1577836799999,66162.02249200,728,2579194.70000000,29220.98118900,0,2019-12-31,2019-12-31 23:59:59.999
1577836800000,0.01087000,0.01145000,0.01059000,0.01104000,1934661.00000000,1577923199999,21065.81186400,315,879648.70000000,9589.40968700,0,2020-01-01,2020-01-01 23:59:59.999
1577923200000,0.01104000,0.01106000,0.01017000,0.01042000,2676037.60000000,1578009599999,27993.97600800,265,723221.50000000,7564.14848600,0,2020-01-02,2020-01-02 23:59:59.999
1578009600000,0.01054000,0.01136000,0.01020000,0.01123000,4717078.90000000,1578095999999,51267.70815100,489,1627362.50000000,17541.42100000,0,2020-01-03,2020-01-03 23:59:59.999
1578096000000,0.01140000,0.01364000,0.01112000,0.01170000,10043186.10000000,1578182399999,119144.45612300,1393,4781242.00000000,57120.51105800,0,2020-01-04,2020-01-04 23:59:59.999
1578182400000,0.01170000,0.01205000,0.01095000,0.01109000,4147954.80000000,1578268799999,46931.73285900,719,1526395.90000000,17334.69942500,0,2020-01-05,2020-01-05 23:59:59.999
1578268800000,0.01115000,0.01145000,0.01100000,0.01144000,2635750.80000000,1578355199999,29657.03253100,485,1321712.60000000,14922.48046500,0,2020-01-06,2020-01-06 23:59:59.999
1578355200000,0.01144000,0.01226000,0.01097000,0.01122000,4383108.80000000,1578441599999,50476.88495000,818,1621808.10000000,18884.12231800,0,2020-01-07,2020-01-07 23:59:59.999
1578441600000,0.01128000,0.01161000,0.01090000,0.01118000,3220940.30000000,1578527999999,36221.92579200,596,1679266.70000000,18891.89988100,0,2020-01-08,2020-01-08 23:59:59.999
1578528000000,0.01102000,0.01129000,0.01081000,0.01081000,2394844.20000000,1578614399999,26414.76871800,301,887947.90000000,9807.11614500,0,2020-01-09,2020-01-09 23:59:59.999
1578614400000,0.01089000,0.01130000,0.01060000,0.01114000,1930820.40000000,1578700799999,21084.41848700,281,984269.90000000,10733.57862900,0,2020-01-10,2020-01-10 23:59:59.999
1578700800000,0.01113000,0.01230000,0.01071000,0.01110000,5238149.20000000,1578787199999,60674.76427500,727,2068373.20000000,23992.88196800,0,2020-01-11,2020-01-11 23:59:59.999
1578787200000,0.01111000,0.01170000,0.01107000,0.01170000,1242324.70000000,1578873599999,14178.71530400,249,613747.90000000,7033.11528800,0,2020-01-12,2020-01-12 23:59:59.999
1578873600000,0.01169000,0.01205000,0.01114000,0.01138000,2499733.20000000,1578959999999,28741.78344000,537,1174143.10000000,13547.73611300,0,2020-01-13,2020-01-13 23:59:59.999
1578960000000,0.01139000,0.01224000,0.01135000,0.01195000,1779960.90000000,1579046399999,20780.35943100,384,835180.20000000,9722.52247100,0,2020-01-14,2020-01-14 23:59:59.999
1579046400000,0.01199000,0.01208000,0.01141000,0.01180000,2480582.20000000,1579132799999,29151.28806200,427,944422.30000000,11134.00992900,0,2020-01-15,2020-01-15 23:59:59.999
1579132800000,0.01188000,0.01269000,0.01148000,0.01188000,2212297.90000000,1579219199999,25990.73963800,696,896738.60000000,10635.48827700,0,2020-01-16,2020-01-16 23:59:59.999
1579219200000,0.01174000,0.01319000,0.01160000,0.01220000,3463811.20000000,1579305599999,42340.60445500,662,1597496.80000000,19728.26052900,0,2020-01-17,2020-01-17 23:59:59.999
1579305600000,0.01219000,0.01297000,0.01197000,0.01251000,2391352.60000000,1579391999999,29359.19398300,388,1188291.20000000,14617.52037100,0,2020-01-18,2020-01-18 23:59:59.999
1579392000000,0.01265000,0.01289000,0.01172000,0.01216000,2353873.50000000,1579478399999,28685.57769400,449,716105.00000000,8707.19392600,0,2020-01-19,2020-01-19 23:59:59.999
1579478400000,0.01216000,0.01284000,0.01202000,0.01251000,1806916.70000000,1579564799999,22585.39798900,645,726723.40000000,9099.68899000,0,2020-01-20,2020-01-20 23:59:59.999
1579564800000,0.01243000,0.01323000,0.01238000,0.01280000,3095951.90000000,1579651199999,39777.33623900,660,1011048.40000000,13035.89787000,0,2020-01-21,2020-01-21 23:59:59.999
1579651200000,0.01290000,0.01350000,0.01257000,0.01268000,4137540.50000000,1579737599999,53614.24148700,928,1812186.40000000,23419.94059600,0,2020-01-22,2020-01-22 23:59:59.999
1579737600000,0.01268000,0.01295000,0.01174000,0.01196000,2209826.00000000,1579823999999,26885.85743700,459,1213878.40000000,14777.65546900,0,2020-01-23,2020-01-23 23:59:59.999
1579824000000,0.01187000,0.01202000,0.01151000,0.01196000,1400183.80000000,1579910399999,16362.58736900,178,810050.80000000,9502.29083400,0,2020-01-24,2020-01-24 23:59:59.999
1579910400000,0.01202000,0.01285000,0.01141000,0.01202000,1513574.80000000,1579996799999,18113.34554700,388,605974.20000000,7363.47302400,0,2020-01-25,2020-01-25 23:59:59.999
1579996800000,0.01214000,0.01236000,0.01186000,0.01216000,329537.90000000,1580083199999,3977.63946600,141,84058.80000000,1021.92890200,0,2020-01-26,2020-01-26 23:59:59.999
1580083200000,0.01214000,0.01246000,0.01193000,0.01238000,513915.40000000,1580169599999,6268.16534600,167,233815.70000000,2865.77867000,0,2020-01-27,2020-01-27 23:59:59.999
1580169600000,0.01245000,0.01280000,0.01187000,0.01265000,1555529.30000000,1580255999999,19275.25683100,408,903824.00000000,11224.30925100,0,2020-01-28,2020-01-28 23:59:59.999
1580256000000,0.01265000,0.01295000,0.01250000,0.01275000,724089.10000000,1580342399999,9243.09692500,222,244055.60000000,3124.48372000,0,2020-01-29,2020-01-29 23:59:59.999
1580342400000,0.01270000,0.01287000,0.01230000,0.01273000,2120839.90000000,1580428799999,26503.06099700,377,1776082.20000000,22176.57873400,0,2020-01-30,2020-01-30 23:59:59.999
1580428800000,0.01280000,0.01373000,0.01218000,0.01264000,4519694.70000000,1580515199999,58850.11299400,810,2008551.60000000,26149.47084600,0,2020-01-31,2020-01-31 23:59:59.999
1580515200000,0.01263000,0.01297000,0.01220000,0.01252000,2196573.30000000,1580601599999,27469.39869500,347,904813.80000000,11413.69332900,0,2020-02-01,2020-02-01 23:59:59.999
1580601600000,0.01251000,0.01279000,0.01221000,0.01259000,801475.10000000,1580687999999,10030.09891400,203,336877.60000000,4229.75501800,0,2020-02-02,2020-02-02 23:59:59.999
1580688000000,0.01259000,0.01280000,0.01238000,0.01251000,1700736.00000000,1580774399999,21330.80497500,243,644770.30000000,8109.42566200,0,2020-02-03,2020-02-03 23:59:59.999
1580774400000,0.01269000,0.01368000,0.01245000,0.01317000,3225478.20000000,1580860799999,41592.41840700,646,1159611.50000000,15113.09079100,0,2020-02-04,2020-02-04 23:59:59.999
1580860800000,0.01317000,0.01367000,0.01269000,0.01310000,4465323.10000000,1580947199999,57953.68504600,933,1666727.00000000,21750.89494600,0,2020-02-05,2020-02-05 23:59:59.999
1580947200000,0.01306000,0.01632000,0.01305000,0.01507000,8830513.20000000,1581033599999,128652.59761700,1797,3547876.90000000,51238.66411400,0,2020-02-06,2020-02-06 23:59:59.999
1581033600000,0.01493000,0.01649000,0.01341000,0.01588000,6900929.60000000,1581119999999,106119.17672300,1324,2792052.10000000,43329.28268600,0,2020-02-07,2020-02-07 23:59:59.999
1581120000000,0.01589000,0.01629000,0.01453000,0.01532000,3809485.00000000,1581206399999,58311.54424000,926,1401228.30000000,21424.59367800,0,2020-02-08,2020-02-08 23:59:59.999
1581206400000,0.01531000,0.01650000,0.01503000,0.01619000,2716922.10000000,1581292799999,43214.37740900,612,1322901.50000000,20817.48120400,0,2020-02-09,2020-02-09 23:59:59.999
1581292800000,0.01623000,0.01700000,0.01573000,0.01612000,4245315.90000000,1581379199999,69417.13383800,696,2096017.50000000,34034.14448700,0,2020-02-10,2020-02-10 23:59:59.999
1581379200000,0.01611000,0.01671000,0.01500000,0.01659000,2787399.90000000,1581465599999,43892.35063800,675,1170475.40000000,18431.29213100,0,2020-02-11,2020-02-11 23:59:59.999
1581465600000,0.01664000,0.03500000,0.01657000,0.02390000,195915144.40000000,1581551999999,5057693.62763600,20942,84847636.70000000,2207961.77588600,0,2020-02-12,2020-02-12 23:59:59.999
1581552000000,0.02390000,0.02540000,0.01122000,0.01956000,49576561.40000000,1581638399999,1086638.33000800,6941,21408779.40000000,473055.74467600,0,2020-02-13,2020-02-13 23:59:59.999
1581638400000,0.01956000,0.02100000,0.01875000,0.01990000,10593198.20000000,1581724799999,210158.47834200,1867,4273691.10000000,84935.49720400,0,2020-02-14,2020-02-14 23:59:59.999
1581724800000,0.01971000,0.02049000,0.01723000,0.01745000,10012859.10000000,1581811199999,191268.85179000,1586,3719101.60000000,70857.41472800,0,2020-02-15,2020-02-15 23:59:59.999
1581811200000,0.01757000,0.01875000,0.01589000,0.01729000,5163856.50000000,1581897599999,89433.22142000,861,1674867.30000000,29078.55315200,0,2020-02-16,2020-02-16 23:59:59.999
1581897600000,0.01729000,0.01844000,0.01580000,0.01693000,5035350.50000000,1581983999999,83706.15666600,1018,2677971.10000000,44947.69710000,0,2020-02-17,2020-02-17 23:59:59.999
1581984000000,0.01688000,0.01746000,0.01600000,0.01724000,3598907.40000000,1582070399999,60030.38061500,677,1711068.60000000,28535.71181100,0,2020-02-18,2020-02-18 23:59:59.999
1582070400000,0.01728000,0.01795000,0.01582000,0.01611000,4555891.30000000,1582156799999,77723.24443100,668,2045668.60000000,35229.76014200,0,2020-02-19,2020-02-19 23:59:59.999
1582156800000,0.01611000,0.01611000,0.01469000,0.01554000,6448111.80000000,1582243199999,98153.15957700,1033,3016943.60000000,45801.40782800,0,2020-02-20,2020-02-20 23:59:59.999
1582243200000,0.01531000,0.01614000,0.01518000,0.01557000,3370454.30000000,1582329599999,52758.64855600,622,2013847.80000000,31537.51610400,0,2020-02-21,2020-02-21 23:59:59.999
1582329600000,0.01559000,0.01699000,0.01523000,0.01693000,3445986.60000000,1582415999999,55490.64691700,673,1789724.60000000,28848.48026200,0,2020-02-22,2020-02-22 23:59:59.999
1582416000000,0.01693000,0.01800000,0.01633000,0.01678000,6347524.00000000,1582502399999,108907.79995100,1322,2689434.30000000,46167.24536900,0,2020-02-23,2020-02-23 23:59:59.999
1582502400000,0.01677000,0.01725000,0.01595000,0.01649000,2590339.50000000,1582588799999,42571.88297500,601,985644.90000000,16224.88623700,0,2020-02-24,2020-02-24 23:59:59.999
1582588800000,0.01635000,0.01656000,0.01510000,0.01547000,1798778.30000000,1582675199999,28262.00345700,462,809633.20000000,12749.85099300,0,2020-02-25,2020-02-25 23:59:59.999
1582675200000,0.01545000,0.01562000,0.01327000,0.01389000,3401440.40000000,1582761599999,48234.50728100,533,1362920.20000000,19352.30334400,0,2020-02-26,2020-02-26 23:59:59.999
1582761600000,0.01358000,0.01488000,0.01324000,0.01386000,2757981.90000000,1582847999999,38718.16212300,561,846718.20000000,11916.24153100,0,2020-02-27,2020-02-27 23:59:59.999
1582848000000,0.01393000,0.01647000,0.01344000,0.01514000,4219731.90000000,1582934399999,63057.73355200,1127,1847683.70000000,27462.69533800,0,2020-02-28,2020-02-28 23:59:59.999
1582934400000,0.01514000,0.01625000,0.01426000,0.01448000,5339427.40000000,1583020799999,80788.32149700,969,2077138.30000000,31631.30282300,0,2020-02-29,2020-02-29 23:59:59.999
1583020800000,0.01442000,0.01545000,0.01418000,0.01448000,4316466.20000000,1583107199999,63255.99374800,803,1896805.30000000,27928.08362400,0,2020-03-01,2020-03-01 23:59:59.999
1583107200000,0.01435000,0.01580000,0.01430000,0.01530000,2236929.70000000,1583193599999,33712.17615900,399,1030337.20000000,15550.56325100,0,2020-03-02,2020-03-02 23:59:59.999
1583193600000,0.01531000,0.01554000,0.01475000,0.01504000,2004783.00000000,1583279999999,30315.90028900,334,672283.50000000,10171.89715900,0,2020-03-03,2020-03-03 23:59:59.999
1583280000000,0.01504000,0.01569000,0.01490000,0.01550000,1584207.80000000,1583366399999,24217.04136700,341,845238.60000000,12936.25202600,0,2020-03-04,2020-03-04 23:59:59.999
1583366400000,0.01536000,0.01677000,0.01536000,0.01645000,4692047.60000000,1583452799999,76063.02744100,730,2440315.20000000,39663.06751700,0,2020-03-05,2020-03-05 23:59:59.999
1583452800000,0.01647000,0.01899000,0.01627000,0.01785000,8558483.70000000,1583539199999,148839.13758200,1609,3618004.90000000,63012.02517400,0,2020-03-06,2020-03-06 23:59:59.999
1583539200000,0.01785000,0.01859000,0.01610000,0.01657000,6280528.70000000,1583625599999,108607.47170400,1276,2149791.90000000,37410.39879000,0,2020-03-07,2020-03-07 23:59:59.999
1583625600000,0.01642000,0.01642000,0.01424000,0.01424000,5414180.00000000,1583711999999,83975.35579600,953,1553534.90000000,24294.58647800,0,2020-03-08,2020-03-08 23:59:59.999
1583712000000,0.01420000,0.01436000,0.01275000,0.01337000,5226385.50000000,1583798399999,69755.22024300,852,2125997.90000000,28419.58415000,0,2020-03-09,2020-03-09 23:59:59.999
1583798400000,0.01337000,0.01413000,0.01241000,0.01317000,2909921.50000000,1583884799999,38552.90643700,584,1097287.90000000,14586.10109500,0,2020-03-10,2020-03-10 23:59:59.999
1583884800000,0.01323000,0.01352000,0.01245000,0.01323000,1828780.80000000,1583971199999,24026.24306600,409,506709.70000000,6707.89919600,0,2020-03-11,2020-03-11 23:59:59.999
1583971200000,0.01325000,0.01325000,0.00430000,0.00653000,7826426.70000000,1584057599999,72576.12380800,1241,2555149.70000000,24183.67165200,0,2020-03-12,2020-03-12 23:59:59.999
1584057600000,0.00658000,0.00931000,0.00508000,0.00771000,5792531.20000000,1584143999999,43658.37062500,661,1833918.00000000,13711.37742400,0,2020-03-13,2020-03-13 23:59:59.999
1584144000000,0.00766000,0.00843000,0.00751000,0.00790000,2527970.10000000,1584230399999,20333.76933800,358,832622.60000000,6645.66009600,0,2020-03-14,2020-03-14 23:59:59.999
1584230400000,0.00781000,0.00803000,0.00709000,0.00735000,4311573.40000000,1584316799999,32488.94441800,633,1782391.20000000,13454.65329500,0,2020-03-15,2020-03-15 23:59:59.999
1584316800000,0.00729000,0.00759000,0.00558000,0.00653000,2701689.80000000,1584403199999,17330.31804200,386,1404035.50000000,9068.24569000,0,2020-03-16,2020-03-16 23:59:59.999
1584403200000,0.00664000,0.00716000,0.00642000,0.00675000,1684034.60000000,1584489599999,11397.68843900,201,341480.80000000,2311.79941800,0,2020-03-17,2020-03-17 23:59:59.999
1584489600000,0.00675000,0.00680000,0.00624000,0.00672000,1957552.20000000,1584575999999,12865.38814000,332,1066759.90000000,7006.88501100,0,2020-03-18,2020-03-18 23:59:59.999
1584576000000,0.00674000,0.00852000,0.00670000,0.00822000,3729567.00000000,1584662399999,28216.30400100,452,1668418.70000000,12606.01929700,0,2020-03-19,2020-03-19 23:59:59.999
1584662400000,0.00822000,0.01164000,0.00801000,0.00978000,31867698.60000000,1584748799999,318834.25395000,3362,12622015.30000000,126171.00584700,0,2020-03-20,2020-03-20 23:59:59.999
1584748800000,0.00980000,0.01050000,0.00805000,0.00890000,12224753.10000000,1584835199999,108204.14915200,1110,5293130.30000000,46995.47015200,0,2020-03-21,2020-03-21 23:59:59.999
1584835200000,0.00879000,0.00895000,0.00801000,0.00801000,6107933.80000000,1584921599999,51349.40792300,484,3435428.70000000,28843.50426400,0,2020-03-22,2020-03-22 23:59:59.999
1584921600000,0.00795000,0.01069000,0.00795000,0.01051000,7493256.30000000,1585007999999,72330.66598000,1064,3511737.60000000,34012.83270700,0,2020-03-23,2020-03-23 23:59:59.999
1585008000000,0.01035000,0.01070000,0.00944000,0.00975000,7896733.00000000,1585094399999,79550.46392900,851,3890180.60000000,39361.48232400,0,2020-03-24,2020-03-24 23:59:59.999
1585094400000,0.00963000,0.01002000,0.00919000,0.00939000,5281399.50000000,1585180799999,50132.28739700,445,2071571.30000000,19650.99845400,0,2020-03-25,2020-03-25 23:59:59.999
1585180800000,0.00946000,0.00987000,0.00921000,0.00963000,4121765.50000000,1585267199999,38772.38471600,382,956912.40000000,9046.97051500,0,2020-03-26,2020-03-26 23:59:59.999
1585267200000,0.00971000,0.00996000,0.00751000,0.00900000,4706382.50000000,1585353599999,43388.49954100,438,1625093.10000000,15393.00896200,0,2020-03-27,2020-03-27 23:59:59.999
1585353600000,0.00900000,0.00924000,0.00854000,0.00920000,1979014.30000000,1585439999999,17567.08509500,277,764096.70000000,6774.69328500,0,2020-03-28,2020-03-28 23:59:59.999
1585440000000,0.00915000,0.00915000,0.00813000,0.00822000,5061863.10000000,1585526399999,43332.23126700,383,2155973.00000000,18368.84677300,0,2020-03-29,2020-03-29 23:59:59.999
1585526400000,0.00814000,0.00912000,0.00814000,0.00885000,2232565.90000000,1585612799999,19529.78451200,294,844178.70000000,7425.94064800,0,2020-03-30,2020-03-30 23:59:59.999
1585612800000,0.00900000,0.00926000,0.00883000,0.00899000,1229913.40000000,1585699199999,11036.17715000,142,833711.30000000,7478.59891700,0,2020-03-31,2020-03-31 23:59:59.999
1585699200000,0.00901000,0.00943000,0.00876000,0.00922000,3396489.10000000,1585785599999,30917.45158900,426,1060649.00000000,9672.91699500,0,2020-04-01,2020-04-01 23:59:59.999
1585785600000,0.00934000,0.01015000,0.00915000,0.00949000,10427363.70000000,1585871999999,99814.91566000,920,5263144.30000000,50589.05670500,0,2020-04-02,2020-04-02 23:59:59.999
1585872000000,0.00947000,0.00993000,0.00923000,0.00936000,2495778.80000000,1585958399999,23893.98677400,366,1297906.70000000,12500.95632900,0,2020-04-03,2020-04-03 23:59:59.999
1585958400000,0.00936000,0.01050000,0.00909000,0.00990000,9494721.00000000,1586044799999,92924.18674000,905,3054978.50000000,29745.33376800,0,2020-04-04,2020-04-04 23:59:59.999
1586044800000,0.01006000,0.01010000,0.00916000,0.00978000,8063049.90000000,1586131199999,78503.87788600,660,4216866.30000000,41188.39174200,0,2020-04-05,2020-04-05 23:59:59.999
1586131200000,0.00972000,0.01149000,0.00972000,0.01085000,15610528.80000000,1586217599999,168788.00303700,1635,6218212.90000000,66887.62447700,0,2020-04-06,2020-04-06 23:59:59.999
1586217600000,0.01090000,0.01129000,0.01009000,0.01057000,8310810.90000000,1586303999999,89158.66314800,816,4147148.20000000,44545.40473400,0,2020-04-07,2020-04-07 23:59:59.999
1586304000000,0.01057000,0.01123000,0.01048000,0.01086000,2929256.40000000,1586390399999,31321.40944600,394,1681902.90000000,18031.92280100,0,2020-04-08,2020-04-08 23:59:59.999
1586390400000,0.01080000,0.01300000,0.01052000,0.01117000,6740854.00000000,1586476799999,75229.91461700,679,3012414.80000000,34042.06056800,0,2020-04-09,2020-04-09 23:59:59.999
1586476800000,0.01105000,0.01114000,0.00960000,0.00997000,4031735.10000000,1586563199999,41170.68609300,406,2079330.60000000,21365.84733300,0,2020-04-10,2020-04-10 23:59:59.999
1586563200000,0.01005000,0.01066000,0.00992000,0.01036000,3302383.70000000,1586649599999,33939.97836500,479,1216078.80000000,12488.46755000,0,2020-04-11,2020-04-11 23:59:59.999
1586649600000,0.01039000,0.01079000,0.00992000,0.01035000,1895902.50000000,1586735999999,19385.77893700,309,914143.70000000,9382.10531300,0,2020-04-12,2020-04-12 23:59:59.999
1586736000000,0.01028000,0.01267000,0.00983000,0.01060000,18952195.60000000,1586822399999,204864.96597800,1989,7519789.60000000,81511.35719500,0,2020-04-13,2020-04-13 23:59:59.999
1586822400000,0.01060000,0.01070000,0.00996000,0.01005000,6619675.30000000,1586908799999,67956.35356700,741,3314594.60000000,34180.82182300,0,2020-04-14,2020-04-14 23:59:59.999
1586908800000,0.01005000,0.01018000,0.00956000,0.00960000,3194710.20000000,1586995199999,31780.51511900,425,1210351.50000000,12072.66360200,0,2020-04-15,2020-04-15 23:59:59.999
