open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1594944000000,0.00099900,0.01303000,0.00099900,0.00157500,8057639169.00000000,1595030399999,14741935.48760700,55630,3528497815.00000000,6479446.62361900,0,2020-07-17,2020-07-17 23:59:59.999
1595030400000,0.00157600,0.00171700,0.00143500,0.00145900,2100131099.00000000,1595116799999,3337345.18392100,14483,880014166.00000000,1408408.06713200,0,2020-07-18,2020-07-18 23:59:59.999
1595116800000,0.00145800,0.00154000,0.00136100,0.00141000,1623568922.00000000,1595203199999,2337414.30362200,12238,724840196.00000000,1047900.32761100,0,2020-07-19,2020-07-19 23:59:59.999
1595203200000,0.00141900,0.00144100,0.00123600,0.00130600,1336596754.00000000,1595289599999,1775392.51379200,10004,575923715.00000000,767230.33836100,0,2020-07-20,2020-07-20 23:59:59.999
1595289600000,0.00130600,0.00135000,0.00125200,0.00129500,601448428.00000000,1595375999999,778411.08389000,5119,274199976.00000000,355861.62852900,0,2020-07-21,2020-07-21 23:59:59.999
1595376000000,0.00130000,0.00160000,0.00129500,0.00148500,2276175023.00000000,1595462399999,3387339.56532300,17155,1108235681.00000000,1649777.52859900,0,2020-07-22,2020-07-22 23:59:59.999
1595462400000,0.00148400,0.00189900,0.00146000,0.00181700,2984641591.00000000,1595548799999,5155854.59598100,22050,1490247275.00000000,2580277.06219100,0,2020-07-23,2020-07-23 23:59:59.999
1595548800000,0.00181800,0.00250000,0.00181700,0.00215000,8907415266.00000000,1595635199999,19641428.84235800,65252,4598397009.00000000,10151812.25396800,0,2020-07-24,2020-07-24 23:59:59.999
1595635200000,0.00215000,0.00239800,0.00198900,0.00210200,3320741065.00000000,1595721599999,7269813.79702900,26864,1548987130.00000000,3401746.80622000,0,2020-07-25,2020-07-25 23:59:59.999
1595721600000,0.00210100,0.00220000,0.00185000,0.00199400,2035264740.00000000,1595807999999,4123872.12623200,19347,911219910.00000000,1850966.97912500,0,2020-07-26,2020-07-26 23:59:59.999
1595808000000,0.00199300,0.00199400,0.00152500,0.00160200,2388052894.00000000,1595894399999,4098894.79794600,20851,993566639.00000000,1709064.95256300,0,2020-07-27,2020-07-27 23:59:59.999
1595894400000,0.00160200,0.00188000,0.00155000,0.00178500,1593847170.00000000,1595980799999,2792441.91688600,12548,811775072.00000000,1426422.77122100,0,2020-07-28,2020-07-28 23:59:59.999
1595980800000,0.00178500,0.00178500,0.00162800,0.00173800,1154164269.00000000,1596067199999,1961462.37664200,8181,479656429.00000000,817014.18269100,0,2020-07-29,2020-07-29 23:59:59.999
1596067200000,0.00173700,0.00183800,0.00161900,0.00170600,943822692.00000000,1596153599999,1628870.36263300,6737,449382678.00000000,778707.12273700,0,2020-07-30,2020-07-30 23:59:59.999
1596153600000,0.00170600,0.00182400,0.00167700,0.00171000,1042881840.00000000,1596239999999,1829677.67957200,7237,482027846.00000000,848874.99003200,0,2020-07-31,2020-07-31 23:59:59.999
1596240000000,0.00170900,0.00173100,0.00160200,0.00162300,894430077.00000000,1596326399999,1481423.66932700,5926,338056507.00000000,562023.84841100,0,2020-08-01,2020-08-01 23:59:59.999
1596326400000,0.00162300,0.00167800,0.00150400,0.00153800,850101978.00000000,1596412799999,1336737.68875200,6634,351739984.00000000,553686.44157200,0,2020-08-02,2020-08-02 23:59:59.999
1596412800000,0.00153800,0.00175000,0.00147400,0.00159800,1065753762.00000000,1596499199999,1723903.77230100,7789,525858582.00000000,858035.73803000,0,2020-08-03,2020-08-03 23:59:59.999
1596499200000,0.00159800,0.00165900,0.00157700,0.00162800,664635101.00000000,1596585599999,1074269.01161600,4695,321646295.00000000,521375.03812600,0,2020-08-04,2020-08-04 23:59:59.999
1596585600000,0.00162600,0.00166900,0.00155600,0.00158300,733503930.00000000,1596671999999,1177751.25926500,5896,301664663.00000000,487004.91825400,0,2020-08-05,2020-08-05 23:59:59.999
1596672000000,0.00158300,0.00164500,0.00157500,0.00161900,1053542771.00000000,1596758399999,1697199.06886600,11238,558685412.00000000,901544.03404600,0,2020-08-06,2020-08-06 23:59:59.999
1596758400000,0.00162000,0.00164000,0.00151700,0.00156700,736973611.00000000,1596844799999,1180130.63294400,5145,289045970.00000000,465766.71077200,0,2020-08-07,2020-08-07 23:59:59.999
1596844800000,0.00156700,0.00162500,0.00154200,0.00160900,791554065.00000000,1596931199999,1262604.32448200,5390,361863710.00000000,578613.52900800,0,2020-08-08,2020-08-08 23:59:59.999
1596931200000,0.00160100,0.00170900,0.00157700,0.00163800,1092817449.00000000,1597017599999,1797698.45258500,8099,508059115.00000000,837536.36698700,0,2020-08-09,2020-08-09 23:59:59.999
1597017600000,0.00163800,0.00165700,0.00156000,0.00161500,1048082701.00000000,1597103999999,1680840.93476500,7312,435739665.00000000,701159.22184100,0,2020-08-10,2020-08-10 23:59:59.999
