open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1566864000000,0.50000000,0.50000000,0.34320000,0.40900000,1410307.32000000,1566950399999,615940.85318300,4177,563375.73000000,247770.30978200,0,2019-08-27,2019-08-27 23:59:59.999
1566950400000,0.40820000,0.44990000,0.34230000,0.34620000,2705189.74000000,1567036799999,1046518.57569200,8111,1255909.35000000,484385.72807500,0,2019-08-28,2019-08-28 23:59:59.999
1567036800000,0.34620000,0.34650000,0.28970000,0.29550000,1509358.37000000,1567123199999,479306.56802000,5742,600719.68000000,191892.95624700,0,2019-08-29,2019-08-29 23:59:59.999
1567123200000,0.29540000,0.40560000,0.28340000,0.36560000,8446511.19000000,1567209599999,3091995.19874600,14907,3933763.85000000,1445769.49415700,0,2019-08-30,2019-08-30 23:59:59.999
1567209600000,0.36630000,0.39860000,0.33200000,0.33870000,4374296.25000000,1567295999999,1614442.03348500,10794,1824939.54000000,676086.61944200,0,2019-08-31,2019-08-31 23:59:59.999
1567296000000,0.33870000,0.45000000,0.33330000,0.41740000,5945749.67000000,1567382399999,2332596.53745300,11355,2732938.63000000,1071322.51353000,0,2019-09-01,2019-09-01 23:59:59.999
1567382400000,0.41630000,0.43300000,0.37560000,0.38240000,5050424.83000000,1567468799999,2003506.50705600,10563,2106996.90000000,838766.48354100,0,2019-09-02,2019-09-02 23:59:59.999
1567468800000,0.38390000,0.40740000,0.34290000,0.34890000,4203341.09000000,1567555199999,1561705.63510100,10126,1672811.77000000,624068.55338100,0,2019-09-03,2019-09-03 23:59:59.999
1567555200000,0.34950000,0.37380000,0.32770000,0.33380000,3569470.26000000,1567641599999,1236212.01203500,8691,1305598.11000000,456067.76430100,0,2019-09-04,2019-09-04 23:59:59.999
1567641600000,0.33230000,0.33730000,0.30030000,0.30720000,2912628.23000000,1567727999999,932147.78587400,6136,1106610.55000000,355059.43739700,0,2019-09-05,2019-09-05 23:59:59.999
