open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1547769600000,2.77000000,2.77000000,2.00000000,2.52350000,86973.39000000,1547855999999,220852.85706800,1736,44098.95000000,112251.94017100,0,2019-01-18,2019-01-18 23:59:59.999
1547856000000,2.53000000,2.64000000,2.50410000,2.57180000,99970.30000000,1547942399999,258188.76306300,1776,45625.74000000,117988.77821000,0,2019-01-19,2019-01-19 23:59:59.999
1547942400000,2.55390000,2.60850000,2.42000000,2.50710000,85585.78000000,1548028799999,214963.95475800,1272,44115.87000000,111097.37916300,0,2019-01-20,2019-01-20 23:59:59.999
1548028800000,2.50710000,2.58000000,2.45450000,2.50010000,66461.35000000,1548115199999,166317.62968900,1001,25496.45000000,63809.21965600,0,2019-01-21,2019-01-21 23:59:59.999
1548115200000,2.51000000,2.81000000,2.37470000,2.76840000,331847.14000000,1548201599999,875154.78888600,4335,151220.36000000,397181.41512600,0,2019-01-22,2019-01-22 23:59:59.999
1548201600000,2.76940000,3.21200000,2.71150000,3.02690000,1216900.00000000,1548287999999,3681805.35020400,17140,543264.86000000,1640879.55280100,0,2019-01-23,2019-01-23 23:59:59.999
1548288000000,3.02390000,3.09100000,2.59800000,2.71890000,843825.01000000,1548374399999,2411497.72503700,11497,377143.05000000,1083130.21200700,0,2019-01-24,2019-01-24 23:59:59.999
1548374400000,2.71890000,2.91990000,2.70000000,2.77920000,427197.21000000,1548460799999,1197320.13278300,7053,231690.51000000,650809.38800700,0,2019-01-25,2019-01-25 23:59:59.999
1548460800000,2.78000000,2.82370000,2.65160000,2.67700000,188896.03000000,1548547199999,514666.80233900,3134,67492.15000000,184230.65871400,0,2019-01-26,2019-01-26 23:59:59.999
1548547200000,2.67130000,2.93990000,2.60000000,2.67260000,559958.05000000,1548633599999,1547549.17724600,8377,277874.73000000,772114.83376100,0,2019-01-27,2019-01-27 23:59:59.999
1548633600000,2.67290000,2.91990000,2.48500000,2.87900000,1272020.41000000,1548719999999,3455918.64203800,19807,721880.80000000,1969231.87638800,0,2019-01-28,2019-01-28 23:59:59.999
1548720000000,2.87900000,3.04630000,2.76140000,2.94780000,1478807.29000000,1548806399999,4290526.72280500,24977,834782.90000000,2426761.11440800,0,2019-01-29,2019-01-29 23:59:59.999
1548806400000,2.94780000,3.05500000,2.70790000,2.87290000,1486687.83000000,1548892799999,4335479.56037100,23361,855821.61000000,2499754.76187800,0,2019-01-30,2019-01-30 23:59:59.999
1548892800000,2.87830000,2.90610000,2.75110000,2.77300000,365639.15000000,1548979199999,1032630.51104600,8385,167991.78000000,474348.96962900,0,2019-01-31,2019-01-31 23:59:59.999
1548979200000,2.77680000,2.77900000,2.64830000,2.71350000,277130.19000000,1549065599999,753159.06896500,5951,108891.02000000,296253.93257100,0,2019-02-01,2019-02-01 23:59:59.999
1549065600000,2.71760000,2.74500000,2.69500000,2.71380000,134925.43000000,1549151999999,366178.92717200,3546,58661.11000000,159379.83130900,0,2019-02-02,2019-02-02 23:59:59.999
1549152000000,2.71510000,2.90710000,2.65530000,2.82110000,608219.23000000,1549238399999,1704395.09387400,10009,290495.21000000,814541.23401300,0,2019-02-03,2019-02-03 23:59:59.999
1549238400000,2.81840000,2.87000000,2.70200000,2.72770000,357521.22000000,1549324799999,990812.00169600,7416,131029.04000000,363941.77459800,0,2019-02-04,2019-02-04 23:59:59.999
1549324800000,2.72530000,2.78500000,2.61910000,2.66620000,455506.99000000,1549411199999,1232220.55931900,9258,186055.38000000,503018.18256300,0,2019-02-05,2019-02-05 23:59:59.999
1549411200000,2.66610000,2.67800000,2.50000000,2.50400000,372775.15000000,1549497599999,949383.43612900,6944,126141.56000000,321883.79956200,0,2019-02-06,2019-02-06 23:59:59.999
1549497600000,2.50400000,2.61920000,2.46890000,2.48850000,307286.49000000,1549583999999,781969.60096000,5916,142062.45000000,362580.94926200,0,2019-02-07,2019-02-07 23:59:59.999
1549584000000,2.48650000,2.68760000,2.45010000,2.64650000,502060.29000000,1549670399999,1294184.41690300,7197,250115.26000000,646395.40495000,0,2019-02-08,2019-02-08 23:59:59.999
1549670400000,2.65930000,2.66500000,2.55390000,2.60000000,269215.76000000,1549756799999,700878.50348600,4480,117211.90000000,305782.75235600,0,2019-02-09,2019-02-09 23:59:59.999
1549756800000,2.60180000,2.75000000,2.57200000,2.72000000,421981.05000000,1549843199999,1122421.60674600,7681,202961.61000000,541067.11865500,0,2019-02-10,2019-02-10 23:59:59.999
1549843200000,2.72000000,2.91530000,2.63450000,2.87260000,475068.16000000,1549929599999,1308949.84024700,8616,259257.65000000,717414.21108000,0,2019-02-11,2019-02-11 23:59:59.999
1549929600000,2.87000000,2.91580000,2.72070000,2.84920000,476142.71000000,1550015999999,1342289.63898000,9261,226113.45000000,638274.15343400,0,2019-02-12,2019-02-12 23:59:59.999
1550016000000,2.84540000,2.86950000,2.72300000,2.73170000,179514.63000000,1550102399999,499196.22734700,3452,77196.33000000,215093.78513800,0,2019-02-13,2019-02-13 23:59:59.999
1550102400000,2.73160000,2.75880000,2.63120000,2.64190000,176689.80000000,1550188799999,475358.38634900,3187,70026.12000000,188527.47232600,0,2019-02-14,2019-02-14 23:59:59.999
1550188800000,2.63640000,2.70000000,2.63130000,2.65650000,123475.70000000,1550275199999,328494.55060800,2256,53695.10000000,142984.51081800,0,2019-02-15,2019-02-15 23:59:59.999
1550275200000,2.64620000,2.67990000,2.60500000,2.60810000,105260.74000000,1550361599999,276818.78312600,1798,38294.44000000,100784.97107100,0,2019-02-16,2019-02-16 23:59:59.999
1550361600000,2.60810000,2.65960000,2.55010000,2.60940000,150858.31000000,1550447999999,391914.43169500,2795,68308.70000000,177232.35351000,0,2019-02-17,2019-02-17 23:59:59.999
1550448000000,2.60950000,2.78680000,2.60940000,2.74000000,361072.29000000,1550534399999,974536.25648800,5980,178860.87000000,483928.02599200,0,2019-02-18,2019-02-18 23:59:59.999
1550534400000,2.74000000,2.93000000,2.70120000,2.78620000,455390.39000000,1550620799999,1284079.08260800,6934,223346.18000000,630860.00189100,0,2019-02-19,2019-02-19 23:59:59.999
1550620800000,2.78200000,2.82000000,2.73500000,2.78490000,173102.83000000,1550707199999,480627.67349900,3171,73348.88000000,203852.86152300,0,2019-02-20,2019-02-20 23:59:59.999
1550707200000,2.78490000,2.86710000,2.73920000,2.85090000,274491.54000000,1550793599999,769613.86793900,5048,135984.12000000,381795.91235200,0,2019-02-21,2019-02-21 23:59:59.999
1550793600000,2.85730000,2.91000000,2.80810000,2.90220000,192626.90000000,1550879999999,553188.38351400,3986,94600.91000000,272157.51430900,0,2019-02-22,2019-02-22 23:59:59.999
1550880000000,2.89610000,2.93000000,2.79040000,2.88940000,249027.40000000,1550966399999,712428.37149800,4445,102930.13000000,295726.34699700,0,2019-02-23,2019-02-23 23:59:59.999
1550966400000,2.88940000,2.93640000,2.55000000,2.63700000,402202.51000000,1551052799999,1109917.94458200,6072,142978.15000000,393656.30913700,0,2019-02-24,2019-02-24 23:59:59.999
1551052800000,2.64630000,2.75000000,2.60250000,2.67940000,180258.48000000,1551139199999,482863.95341600,3331,68751.77000000,184434.83873900,0,2019-02-25,2019-02-25 23:59:59.999
1551139200000,2.67560000,2.70030000,2.61590000,2.64350000,98978.33000000,1551225599999,261874.64673400,1561,22548.90000000,59645.36202900,0,2019-02-26,2019-02-26 23:59:59.999
1551225600000,2.64280000,2.70000000,2.55060000,2.64730000,170216.16000000,1551311999999,446376.21071700,2555,75094.15000000,197330.66306500,0,2019-02-27,2019-02-27 23:59:59.999
1551312000000,2.64500000,2.72730000,2.60860000,2.64950000,234356.11000000,1551398399999,626026.03360800,3812,107826.63000000,288992.92923500,0,2019-02-28,2019-02-28 23:59:59.999
1551398400000,2.64650000,2.74000000,2.63050000,2.68150000,102303.16000000,1551484799999,275335.56290400,2156,43043.44000000,115955.83806400,0,2019-03-01,2019-03-01 23:59:59.999
1551484800000,2.69490000,2.71230000,2.63100000,2.66060000,63182.56000000,1551571199999,168608.17012500,1344,25681.49000000,68625.95172500,0,2019-03-02,2019-03-02 23:59:59.999
1551571200000,2.65920000,2.66940000,2.61430000,2.65200000,65083.29000000,1551657599999,172443.00490100,1403,22204.63000000,58845.41127600,0,2019-03-03,2019-03-03 23:59:59.999
1551657600000,2.64830000,2.66820000,2.50500000,2.58580000,95495.86000000,1551743999999,245755.68060300,2215,34857.56000000,89762.01394400,0,2019-03-04,2019-03-04 23:59:59.999
1551744000000,2.58780000,2.65400000,2.51700000,2.62300000,117470.56000000,1551830399999,306582.79867800,2085,43453.20000000,113389.44507700,0,2019-03-05,2019-03-05 23:59:59.999
1551830400000,2.62300000,2.65030000,2.53420000,2.54890000,162047.63000000,1551916799999,418143.78258900,2785,53356.64000000,138064.74721700,0,2019-03-06,2019-03-06 23:59:59.999
1551916800000,2.55390000,2.60170000,2.52300000,2.56590000,176443.00000000,1552003199999,451297.06147800,2815,70124.79000000,179774.83761600,0,2019-03-07,2019-03-07 23:59:59.999
1552003200000,2.56450000,2.82550000,2.53190000,2.64700000,610406.53000000,1552089599999,1645415.96593800,9578,291415.17000000,787219.82811300,0,2019-03-08,2019-03-08 23:59:59.999
1552089600000,2.65610000,2.78980000,2.62510000,2.72130000,259840.33000000,1552175999999,706501.55574200,4662,104972.19000000,285525.77444800,0,2019-03-09,2019-03-09 23:59:59.999
1552176000000,2.72000000,2.79210000,2.67000000,2.73040000,167263.41000000,1552262399999,456719.09017300,2961,68680.81000000,187558.38978200,0,2019-03-10,2019-03-10 23:59:59.999
1552262400000,2.73720000,2.78550000,2.60190000,2.63380000,148813.29000000,1552348799999,397468.00888100,2344,72244.13000000,193104.61392100,0,2019-03-11,2019-03-11 23:59:59.999
1552348800000,2.63450000,2.81090000,2.59470000,2.78100000,183556.61000000,1552435199999,498469.37314300,2777,89101.44000000,242105.35828800,0,2019-03-12,2019-03-12 23:59:59.999
1552435200000,2.78830000,2.85000000,2.65210000,2.68020000,150031.62000000,1552521599999,409929.20273200,3184,60659.90000000,166186.97087400,0,2019-03-13,2019-03-13 23:59:59.999
1552521600000,2.68020000,2.76890000,2.66000000,2.72000000,125819.73000000,1552607999999,340665.11455600,2566,51113.88000000,138756.81231300,0,2019-03-14,2019-03-14 23:59:59.999
