open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1564617600000,0.00041230,0.00094800,0.00039130,0.00044310,50614143593.00000000,1564703999999,22576271.48813220,67752,19893410340.00000000,8864726.75799160,0,2019-08-01,2019-08-01 23:59:59.999
1564704000000,0.00044610,0.00044960,0.00037020,0.00039580,15637700233.00000000,1564790399999,6360491.56603040,19445,6248139819.00000000,2536278.84609160,0,2019-08-02,2019-08-02 23:59:59.999
1564790400000,0.00039590,0.00040040,0.00035560,0.00036430,11831071402.00000000,1564876799999,4418399.91421670,17546,7989462837.00000000,2982631.76722130,0,2019-08-03,2019-08-03 23:59:59.999
1564876800000,0.00036430,0.00042400,0.00036300,0.00037070,43106359845.00000000,1564963199999,16496207.70649430,30742,34224935140.00000000,13082143.14514520,0,2019-08-04,2019-08-04 23:59:59.999
1564963200000,0.00037090,0.00038590,0.00036100,0.00036810,59469736330.00000000,1565049599999,21940446.05569850,21513,53537423794.00000000,19749337.76238730,0,2019-08-05,2019-08-05 23:59:59.999
1565049600000,0.00036820,0.00037840,0.00035170,0.00036570,61844288168.00000000,1565135999999,22740384.54921480,27129,54289982532.00000000,19967011.67161400,0,2019-08-06,2019-08-06 23:59:59.999
1565136000000,0.00036590,0.00037280,0.00035820,0.00036350,53696340847.00000000,1565222399999,19596836.94993200,21161,48738577948.00000000,17788152.08001460,0,2019-08-07,2019-08-07 23:59:59.999
1565222400000,0.00036330,0.00037590,0.00034410,0.00036040,39779792990.00000000,1565308799999,14431310.54901580,21803,32840399621.00000000,11920405.60239880,0,2019-08-08,2019-08-08 23:59:59.999
1565308800000,0.00036010,0.00036870,0.00029420,0.00030050,17760899136.00000000,1565395199999,6192862.21648580,12969,12254673349.00000000,4328930.74032350,0,2019-08-09,2019-08-09 23:59:59.999
1565395200000,0.00030050,0.00034400,0.00028200,0.00031830,13060786134.00000000,1565481599999,3997945.39263040,14312,9144843443.00000000,2797178.38188220,0,2019-08-10,2019-08-10 23:59:59.999
1565481600000,0.00031830,0.00033090,0.00029710,0.00030480,13048567593.00000000,1565567999999,4032027.45807030,12755,9834363010.00000000,3040380.54332480,0,2019-08-11,2019-08-11 23:59:59.999
1565568000000,0.00030440,0.00043470,0.00030310,0.00037990,39531562774.00000000,1565654399999,15011906.42891010,47265,23622300537.00000000,8917726.71587210,0,2019-08-12,2019-08-12 23:59:59.999
1565654400000,0.00037970,0.00039700,0.00033900,0.00035220,22174537188.00000000,1565740799999,8103530.82158260,22904,13592509920.00000000,4976426.52628620,0,2019-08-13,2019-08-13 23:59:59.999
