open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1586217600000,0.26080000,0.27740000,0.24490000,0.25620000,343567.35000000,1586303999999,90493.64048200,604,76019.06000000,20116.17109000,0,2020-04-07,2020-04-07 23:59:59.999
1586304000000,0.25720000,0.27010000,0.25230000,0.26010000,191436.17000000,1586390399999,49872.47769700,687,82046.80000000,21359.69401100,0,2020-04-08,2020-04-08 23:59:59.999
1586390400000,0.25910000,0.26830000,0.25430000,0.26260000,116137.64000000,1586476799999,30123.42750200,453,55108.66000000,14340.36494300,0,2020-04-09,2020-04-09 23:59:59.999
1586476800000,0.26090000,0.26200000,0.22160000,0.23050000,175250.74000000,1586563199999,41370.76988300,456,35389.21000000,8371.54409700,0,2020-04-10,2020-04-10 23:59:59.999
1586563200000,0.22990000,0.23840000,0.22420000,0.22990000,102495.99000000,1586649599999,23680.06676000,323,47924.11000000,11059.66945600,0,2020-04-11,2020-04-11 23:59:59.999
1586649600000,0.22990000,0.24880000,0.22470000,0.23320000,96450.06000000,1586735999999,22590.71984100,355,41638.18000000,9788.82396200,0,2020-04-12,2020-04-12 23:59:59.999
1586736000000,0.22840000,0.23220000,0.21700000,0.22640000,121623.37000000,1586822399999,27192.95432700,447,60757.07000000,13559.59268300,0,2020-04-13,2020-04-13 23:59:59.999
1586822400000,0.22620000,0.23510000,0.22300000,0.22980000,193629.14000000,1586908799999,44281.71043400,730,85489.87000000,19591.27565600,0,2020-04-14,2020-04-14 23:59:59.999
1586908800000,0.22790000,0.23490000,0.22430000,0.22610000,59641.03000000,1586995199999,13669.52892300,371,22911.81000000,5285.79991900,0,2020-04-15,2020-04-15 23:59:59.999
1586995200000,0.22290000,0.36000000,0.21650000,0.26970000,4271012.70000000,1587081599999,1114968.94579600,6227,1616851.31000000,423870.05232900,0,2020-04-16,2020-04-16 23:59:59.999
1587081600000,0.27000000,0.33820000,0.25870000,0.30470000,26025754.81000000,1587167999999,7856084.69443800,29474,12356017.75000000,3728438.59049200,0,2020-04-17,2020-04-17 23:59:59.999
1587168000000,0.30470000,0.32790000,0.29780000,0.30290000,13601132.72000000,1587254399999,4235801.21999500,16024,6476729.00000000,2018383.21087700,0,2020-04-18,2020-04-18 23:59:59.999
1587254400000,0.30290000,0.30300000,0.28570000,0.28910000,7610540.34000000,1587340799999,2243305.25953000,10119,3576481.63000000,1053914.18619800,0,2020-04-19,2020-04-19 23:59:59.999
1587340800000,0.28880000,0.29320000,0.25460000,0.25930000,7227606.94000000,1587427199999,2012351.25308400,10014,3671007.71000000,1021992.55097200,0,2020-04-20,2020-04-20 23:59:59.999
1587427200000,0.25910000,0.29650000,0.25540000,0.27950000,5290086.33000000,1587513599999,1457173.24841500,11054,2568341.91000000,706558.62205800,0,2020-04-21,2020-04-21 23:59:59.999
1587513600000,0.27920000,0.29980000,0.27480000,0.28840000,6866582.83000000,1587599999999,1996096.60133400,12317,3283246.46000000,954421.28122000,0,2020-04-22,2020-04-22 23:59:59.999
1587600000000,0.28890000,0.29490000,0.27390000,0.28520000,7308250.86000000,1587686399999,2093218.98429700,13959,3604510.37000000,1032965.26149200,0,2020-04-23,2020-04-23 23:59:59.999
1587686400000,0.28580000,0.30400000,0.28510000,0.29180000,1747583.75000000,1587772799999,517849.63079300,3118,709539.02000000,209953.39171800,0,2020-04-24,2020-04-24 23:59:59.999
1587772800000,0.29190000,0.30330000,0.28840000,0.30040000,853728.86000000,1587859199999,254903.06064900,1909,397033.69000000,118566.32389400,0,2020-04-25,2020-04-25 23:59:59.999
1587859200000,0.29940000,0.30120000,0.29000000,0.29580000,482677.88000000,1587945599999,142430.17830200,984,187893.65000000,55485.54947300,0,2020-04-26,2020-04-26 23:59:59.999
1587945600000,0.29580000,0.29940000,0.27280000,0.28750000,785206.17000000,1588031999999,225482.74904200,1527,282944.44000000,81419.33582100,0,2020-04-27,2020-04-27 23:59:59.999
1588032000000,0.28570000,0.28680000,0.28000000,0.28490000,434569.95000000,1588118399999,122703.92775000,917,168124.63000000,47561.37009800,0,2020-04-28,2020-04-28 23:59:59.999
1588118400000,0.28490000,0.29750000,0.28480000,0.29700000,885716.15000000,1588204799999,258156.16219400,1852,430036.00000000,125498.46145300,0,2020-04-29,2020-04-29 23:59:59.999
1588204800000,0.29600000,0.30440000,0.28000000,0.28350000,631934.53000000,1588291199999,184583.48076400,1489,303377.30000000,88766.55478400,0,2020-04-30,2020-04-30 23:59:59.999
1588291200000,0.28320000,0.29990000,0.28260000,0.29270000,254369.86000000,1588377599999,74746.87739000,782,101665.37000000,29857.92978300,0,2020-05-01,2020-05-01 23:59:59.999
1588377600000,0.29130000,0.29940000,0.29130000,0.29910000,385714.37000000,1588463999999,113927.87514900,794,187186.70000000,55358.17759300,0,2020-05-02,2020-05-02 23:59:59.999
1588464000000,0.29690000,0.30050000,0.28700000,0.29380000,432932.05000000,1588550399999,127758.14804200,914,200120.56000000,59269.79004200,0,2020-05-03,2020-05-03 23:59:59.999
1588550400000,0.29590000,0.29630000,0.27610000,0.29250000,330927.91000000,1588636799999,94459.37746000,696,133875.96000000,38374.87505700,0,2020-05-04,2020-05-04 23:59:59.999
1588636800000,0.29150000,0.30260000,0.28580000,0.30150000,251413.86000000,1588723199999,74126.96690700,723,118357.23000000,34847.94726800,0,2020-05-05,2020-05-05 23:59:59.999
1588723200000,0.30150000,0.32240000,0.28490000,0.28690000,1378953.22000000,1588809599999,419082.09449700,2959,712659.18000000,216570.92580700,0,2020-05-06,2020-05-06 23:59:59.999
1588809600000,0.28670000,0.29580000,0.28000000,0.28950000,411401.62000000,1588895999999,119017.81859600,1018,164109.97000000,47444.06901000,0,2020-05-07,2020-05-07 23:59:59.999
1588896000000,0.29020000,0.30280000,0.28530000,0.29460000,406316.86000000,1588982399999,119681.71763500,1127,166846.69000000,49111.12486400,0,2020-05-08,2020-05-08 23:59:59.999
