open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1606176000000,0.14370000,0.20000000,0.14370000,0.16570000,5208144.17000000,1606262399999,839275.96198700,4125,2102569.31000000,340080.92555600,0,2020-11-24,2020-11-24 23:59:59.999
1606262400000,0.16570000,0.21720000,0.15000000,0.18310000,44821189.96000000,1606348799999,8523191.68797000,34867,22674155.53000000,4330634.26109200,0,2020-11-25,2020-11-25 23:59:59.999
1606348800000,0.18260000,0.20000000,0.14190000,0.15900000,26948261.94000000,1606435199999,4461310.68261700,27566,13065455.77000000,2165059.80340000,0,2020-11-26,2020-11-26 23:59:59.999
1606435200000,0.15900000,0.17450000,0.15160000,0.17450000,9945357.77000000,1606521599999,1624072.59734800,10394,4185662.32000000,684084.65682500,0,2020-11-27,2020-11-27 23:59:59.999
1606521600000,0.17370000,0.19090000,0.17010000,0.18180000,21958145.62000000,1606607999999,4020218.82687200,21213,9428402.12000000,1730095.14575500,0,2020-11-28,2020-11-28 23:59:59.999
1606608000000,0.18100000,0.18700000,0.16900000,0.17870000,9924137.05000000,1606694399999,1744513.63231900,9276,4724037.33000000,831840.29026700,0,2020-11-29,2020-11-29 23:59:59.999
1606694400000,0.17870000,0.19100000,0.17090000,0.18920000,9052585.35000000,1606780799999,1640363.62323100,10326,4339980.86000000,789444.94977300,0,2020-11-30,2020-11-30 23:59:59.999
1606780800000,0.18930000,0.19710000,0.17000000,0.18990000,11195553.75000000,1606867199999,2096889.27629900,14618,5699164.69000000,1070376.10621400,0,2020-12-01,2020-12-01 23:59:59.999
1606867200000,0.18960000,0.20800000,0.18340000,0.20140000,9352293.12000000,1606953599999,1809952.15363600,10632,4558563.99000000,885884.71850900,0,2020-12-02,2020-12-02 23:59:59.999
1606953600000,0.20170000,0.22200000,0.19950000,0.21880000,18233298.33000000,1607039999999,3841896.08553900,17361,9632601.86000000,2033332.40460100,0,2020-12-03,2020-12-03 23:59:59.999
1607040000000,0.21890000,0.27270000,0.21310000,0.24180000,105517353.70000000,1607126399999,26128709.20939400,84748,51236218.18000000,12705238.23688400,0,2020-12-04,2020-12-04 23:59:59.999
1607126400000,0.24150000,0.28000000,0.23340000,0.26090000,50169224.05000000,1607212799999,13233223.02925800,46587,23902222.76000000,6310473.20273100,0,2020-12-05,2020-12-05 23:59:59.999
1607212800000,0.26120000,0.26250000,0.23150000,0.24900000,24353633.18000000,1607299199999,5974367.98707400,24826,10247152.80000000,2515261.01978500,0,2020-12-06,2020-12-06 23:59:59.999
1607299200000,0.24880000,0.25750000,0.22420000,0.23600000,16903007.18000000,1607385599999,4009258.09898800,20872,8092663.42000000,1911894.26021200,0,2020-12-07,2020-12-07 23:59:59.999
1607385600000,0.23630000,0.23700000,0.20520000,0.22210000,31222855.44000000,1607471999999,6834950.62964400,30405,15424011.90000000,3387531.07181500,0,2020-12-08,2020-12-08 23:59:59.999
1607472000000,0.22130000,0.22200000,0.18600000,0.20990000,24741445.24000000,1607558399999,4984940.93759500,20674,13113305.38000000,2635689.52501300,0,2020-12-09,2020-12-09 23:59:59.999
