open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1552608000000,51.99000000,52.22000000,48.67000000,52.10000000,4908.53770000,1552694399999,251775.94656010,1107,2181.27524000,112177.60923710,0,2019-03-15,2019-03-15 23:59:59.999
1552694400000,52.10000000,54.89000000,52.10000000,53.35000000,8103.46093000,1552780799999,432998.05445270,1587,4551.93974000,242972.67526810,0,2019-03-16,2019-03-16 23:59:59.999
1552780800000,53.56000000,53.57000000,51.54000000,52.36000000,3314.97426000,1552867199999,173492.74467680,971,1602.92451000,83921.25702900,0,2019-03-17,2019-03-17 23:59:59.999
1552867200000,52.38000000,53.01000000,51.27000000,52.06000000,4037.80163000,1552953599999,209795.98022070,1000,1887.17823000,97968.75339990,0,2019-03-18,2019-03-18 23:59:59.999
1552953600000,51.93000000,54.00000000,51.61000000,52.90000000,6567.87086000,1553039999999,344520.65829000,1410,2524.38283000,132551.33160300,0,2019-03-19,2019-03-19 23:59:59.999
1553040000000,52.83000000,54.60000000,52.41000000,54.19000000,8340.92803000,1553126399999,447668.24858880,1798,4060.89204000,217939.20021400,0,2019-03-20,2019-03-20 23:59:59.999
1553126400000,54.29000000,54.29000000,50.00000000,52.28000000,7047.37704000,1553212799999,371805.33773180,1763,3077.27015000,163156.35872780,0,2019-03-21,2019-03-21 23:59:59.999
1553212800000,52.22000000,53.25000000,51.83000000,52.66000000,3488.38037000,1553299199999,183605.80532610,743,1791.12311000,94243.71923890,0,2019-03-22,2019-03-22 23:59:59.999
1553299200000,52.90000000,53.25000000,51.93000000,52.67000000,4902.64719000,1553385599999,257458.99241690,817,3094.56027000,162482.70131820,0,2019-03-23,2019-03-23 23:59:59.999
1553385600000,52.56000000,52.89000000,52.20000000,52.64000000,3765.42597000,1553471999999,197653.20720110,806,1094.82268000,57471.18270990,0,2019-03-24,2019-03-24 23:59:59.999
1553472000000,52.57000000,52.92000000,50.00000000,51.21000000,8674.60473000,1553558399999,447639.34624340,1456,2796.75887000,144836.84508520,0,2019-03-25,2019-03-25 23:59:59.999
1553558400000,51.28000000,52.05000000,49.76000000,51.74000000,5716.81669000,1553644799999,290559.36437960,1007,2810.22239000,143218.03123460,0,2019-03-26,2019-03-26 23:59:59.999
1553644800000,51.81000000,53.60000000,51.67000000,53.48000000,4570.70984000,1553731199999,241078.63409050,1238,2104.49351000,111012.11200560,0,2019-03-27,2019-03-27 23:59:59.999
1553731200000,53.27000000,53.35000000,52.18000000,52.80000000,8971.55712000,1553817599999,474048.24183920,1756,3340.69844000,176652.10188690,0,2019-03-28,2019-03-28 23:59:59.999
1553817600000,52.57000000,54.15000000,52.18000000,53.72000000,6652.54724000,1553903999999,354685.52343200,1770,2884.59189000,153915.78311600,0,2019-03-29,2019-03-29 23:59:59.999
1553904000000,53.58000000,54.00000000,53.01000000,53.53000000,3337.90650000,1553990399999,178789.14069830,816,1556.39968000,83435.39607840,0,2019-03-30,2019-03-30 23:59:59.999
1553990400000,53.50000000,56.83000000,50.56000000,56.07000000,12798.87428000,1554076799999,702655.95392370,2517,4366.98668000,241181.83997760,0,2019-03-31,2019-03-31 23:59:59.999
1554076800000,56.01000000,60.50000000,55.66000000,60.13000000,16485.98216000,1554163199999,959685.12527010,3647,6814.76276000,397383.75340070,0,2019-04-01,2019-04-01 23:59:59.999
1554163200000,60.05000000,70.00000000,58.87000000,68.94000000,31894.06812000,1554249599999,2024025.22622430,7583,13724.40345000,870271.45842170,0,2019-04-02,2019-04-02 23:59:59.999
