open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1596758400000,10.00000000,10.05000000,7.50000000,8.45000000,36415.98000000,1596844799999,314406.05720000,313,17931.61000000,166657.14580000,0,2020-08-07,2020-08-07 23:59:59.999
1596844800000,8.41000000,11.21000000,8.18000000,10.47000000,53715.44000000,1596931199999,534280.37030000,1572,32833.02000000,324577.91700000,0,2020-08-08,2020-08-08 23:59:59.999
1596931200000,10.46000000,13.42000000,9.72000000,12.63000000,132218.75000000,1597017599999,1561578.87400000,4123,63083.07000000,735782.24290000,0,2020-08-09,2020-08-09 23:59:59.999
1597017600000,12.64000000,17.39000000,10.09000000,16.86000000,308050.15000000,1597103999999,3854227.63400000,7346,153481.91000000,1974660.76450000,0,2020-08-10,2020-08-10 23:59:59.999
1597104000000,17.10000000,18.41000000,13.18000000,14.91000000,122157.59000000,1597190399999,1902164.20590000,4699,65789.54000000,1028979.87470000,0,2020-08-11,2020-08-11 23:59:59.999
1597190400000,14.80000000,17.95000000,12.47000000,17.15000000,147512.25000000,1597276799999,2246345.29780000,2828,80363.40000000,1224371.94880000,0,2020-08-12,2020-08-12 23:59:59.999
1597276800000,17.12000000,17.87000000,14.02000000,15.31600000,80365.62000000,1597363199999,1260778.48449000,2149,26719.51000000,420547.62628000,0,2020-08-13,2020-08-13 23:59:59.999
1597363200000,15.24700000,15.87000000,14.36000000,15.06800000,19900.77000000,1597449599999,298550.15998000,723,10267.29000000,154572.16633000,0,2020-08-14,2020-08-14 23:59:59.999
1597449600000,15.13000000,16.12900000,13.72300000,14.51300000,39180.02000000,1597535999999,591801.61091000,1225,24370.83000000,369687.29789000,0,2020-08-15,2020-08-15 23:59:59.999
1597536000000,14.64000000,16.61700000,14.10000000,15.65900000,40685.03000000,1597622399999,636287.63433000,1071,23641.01000000,370263.48593000,0,2020-08-16,2020-08-16 23:59:59.999
1597622400000,15.62100000,15.75600000,14.23300000,14.32900000,30028.77000000,1597708799999,447393.70070000,1048,11519.51000000,171662.21764000,0,2020-08-17,2020-08-17 23:59:59.999
1597708800000,14.40100000,15.13000000,12.06100000,12.88100000,29714.89000000,1597795199999,406694.90974000,1004,17003.45000000,234766.90922000,0,2020-08-18,2020-08-18 23:59:59.999
1597795200000,13.08100000,13.56200000,10.10000000,11.16600000,98974.47000000,1597881599999,1127595.56421000,1249,51170.46000000,586952.29877000,0,2020-08-19,2020-08-19 23:59:59.999
1597881600000,11.33100000,12.59600000,10.32200000,12.16000000,100804.51000000,1597967999999,1182979.47238000,999,55999.97000000,656741.62696000,0,2020-08-20,2020-08-20 23:59:59.999
1597968000000,12.17000000,12.35000000,9.29900000,9.65200000,53013.30000000,1598054399999,568267.93090000,980,24915.64000000,267439.30140000,0,2020-08-21,2020-08-21 23:59:59.999
1598054400000,9.50300000,10.57400000,8.98300000,10.49000000,44438.01000000,1598140799999,435909.50202000,1156,24298.82000000,239188.48501000,0,2020-08-22,2020-08-22 23:59:59.999
1598140800000,10.48700000,10.62000000,9.36700000,10.18600000,29033.78000000,1598227199999,289708.26392000,727,13131.41000000,132129.19268000,0,2020-08-23,2020-08-23 23:59:59.999
1598227200000,10.18600000,11.57600000,9.73700000,10.84400000,40981.57000000,1598313599999,453768.38109000,1060,29743.71000000,330410.06770000,0,2020-08-24,2020-08-24 23:59:59.999
1598313600000,10.85000000,11.00000000,8.83000000,9.62500000,42888.54000000,1598399999999,427379.65683000,952,15085.16000000,147991.11602000,0,2020-08-25,2020-08-25 23:59:59.999
1598400000000,9.55100000,9.89400000,8.82900000,9.12300000,25585.91000000,1598486399999,240169.71481000,635,11829.33000000,111621.08823000,0,2020-08-26,2020-08-26 23:59:59.999
1598486400000,9.25000000,9.35000000,7.85000000,8.39100000,24846.86000000,1598572799999,212417.05181000,670,14155.97000000,121354.75484000,0,2020-08-27,2020-08-27 23:59:59.999
1598572800000,8.40000000,8.82800000,8.02300000,8.53300000,27719.41000000,1598659199999,237084.28403000,763,16319.07000000,140387.76214000,0,2020-08-28,2020-08-28 23:59:59.999
1598659200000,8.43000000,9.28900000,8.37000000,8.94000000,91661.70000000,1598745599999,814046.95960000,1318,46386.82000000,411732.18277000,0,2020-08-29,2020-08-29 23:59:59.999
1598745600000,9.02300000,9.30000000,8.87000000,9.05300000,25804.61000000,1598831999999,231890.84546000,490,19446.35000000,174740.34498000,0,2020-08-30,2020-08-30 23:59:59.999
1598832000000,9.11600000,9.48600000,8.45800000,8.62000000,22084.69000000,1598918399999,200055.34543000,817,10488.60000000,94926.91908000,0,2020-08-31,2020-08-31 23:59:59.999
1598918400000,8.48100000,9.65200000,8.27300000,9.30900000,47928.17000000,1599004799999,440350.47465000,1294,32471.87000000,302684.69278000,0,2020-09-01,2020-09-01 23:59:59.999
1599004800000,9.21100000,9.39000000,6.81900000,7.65200000,90716.93000000,1599091199999,714260.45815000,1202,36860.77000000,295611.73978000,0,2020-09-02,2020-09-02 23:59:59.999
1599091200000,7.71000000,7.78700000,4.86400000,5.30700000,185822.90000000,1599177599999,1226950.88978000,1878,73812.34000000,501365.55730000,0,2020-09-03,2020-09-03 23:59:59.999
1599177600000,5.37600000,6.54400000,4.86500000,5.99900000,196622.70000000,1599263999999,1159207.69590000,1640,100492.90000000,596073.21467000,0,2020-09-04,2020-09-04 23:59:59.999
1599264000000,5.97600000,6.45400000,3.77000000,4.45500000,148453.07000000,1599350399999,693908.69323000,1273,81383.62000000,379465.94560000,0,2020-09-05,2020-09-05 23:59:59.999
1599350400000,4.44500000,5.21000000,3.82900000,4.87700000,105155.48000000,1599436799999,490466.11493000,852,42382.48000000,199676.62245000,0,2020-09-06,2020-09-06 23:59:59.999
1599436800000,4.95000000,5.05600000,3.92700000,4.81000000,65945.31000000,1599523199999,289646.31964000,862,33408.60000000,148486.28316000,0,2020-09-07,2020-09-07 23:59:59.999
1599523200000,4.92800000,5.30400000,4.10900000,4.61500000,69736.07000000,1599609599999,321148.14111000,746,28611.60000000,131524.28038000,0,2020-09-08,2020-09-08 23:59:59.999
1599609600000,4.61500000,5.08000000,4.17400000,4.73600000,101934.03000000,1599695999999,475123.55528000,1543,48264.77000000,226340.22736000,0,2020-09-09,2020-09-09 23:59:59.999
1599696000000,4.76000000,5.34600000,4.74500000,4.93400000,210190.77000000,1599782399999,1050650.23849000,1591,119173.82000000,595603.57125000,0,2020-09-10,2020-09-10 23:59:59.999
1599782400000,4.96900000,5.19200000,4.42400000,4.90000000,65348.25000000,1599868799999,311531.09826000,680,28902.84000000,139831.87924000,0,2020-09-11,2020-09-11 23:59:59.999
1599868800000,4.88900000,5.15100000,4.55900000,5.01700000,121521.82000000,1599955199999,584656.70424000,700,71998.87000000,347174.69287000,0,2020-09-12,2020-09-12 23:59:59.999
1599955200000,5.00200000,5.55000000,4.75500000,5.07600000,165633.53000000,1600041599999,857339.48047000,1613,88057.20000000,457006.37840000,0,2020-09-13,2020-09-13 23:59:59.999
1600041600000,5.10200000,5.35200000,4.77700000,5.07400000,69515.98000000,1600127999999,355069.28259000,653,32211.10000000,166313.01903000,0,2020-09-14,2020-09-14 23:59:59.999
1600128000000,5.06500000,5.27500000,4.64100000,4.68300000,99625.94000000,1600214399999,480434.37154000,776,29819.56000000,146314.18105000,0,2020-09-15,2020-09-15 23:59:59.999
1600214400000,4.63600000,4.75600000,4.32900000,4.52000000,33736.35000000,1600300799999,154887.79951000,560,15391.24000000,71059.24074000,0,2020-09-16,2020-09-16 23:59:59.999
1600300800000,4.52700000,4.85000000,4.39100000,4.52200000,53386.08000000,1600387199999,242867.27591000,652,28507.04000000,130301.52928000,0,2020-09-17,2020-09-17 23:59:59.999
1600387200000,4.52000000,4.68600000,3.94100000,4.16600000,70572.04000000,1600473599999,302131.65794000,687,32932.55000000,141710.66754000,0,2020-09-18,2020-09-18 23:59:59.999
1600473600000,4.16200000,4.19900000,3.66800000,3.89900000,109925.14000000,1600559999999,427018.89743000,903,69678.24000000,271336.03343000,0,2020-09-19,2020-09-19 23:59:59.999
1600560000000,3.91800000,4.16800000,3.29100000,3.48700000,80008.09000000,1600646399999,304977.09975000,964,34761.62000000,132192.63353000,0,2020-09-20,2020-09-20 23:59:59.999
1600646400000,3.46000000,3.67500000,2.44100000,2.60900000,459068.94000000,1600732799999,1276113.17176000,2310,227011.59000000,633480.84629000,0,2020-09-21,2020-09-21 23:59:59.999
1600732800000,2.63000000,3.17600000,2.57600000,2.98600000,280536.67000000,1600819199999,821959.06851000,1901,156466.79000000,461728.25624000,0,2020-09-22,2020-09-22 23:59:59.999
1600819200000,2.98600000,3.09400000,2.49000000,2.57300000,165433.75000000,1600905599999,454009.90206000,2569,73445.46000000,202149.85797000,0,2020-09-23,2020-09-23 23:59:59.999
