open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1601942400000,4.00000000,9.48200000,1.15900000,3.46000000,13988006.65000000,1602028799999,54634637.46757100,212783,6568189.91100000,26338734.15886300,0,2020-10-06,2020-10-06 23:59:59.999
1602028800000,3.46100000,3.52000000,2.44000000,2.73200000,3413753.27500000,1602115199999,9792993.91719700,67645,1695434.87600000,4910350.61693000,0,2020-10-07,2020-10-07 23:59:59.999
1602115200000,2.72000000,3.08200000,2.55000000,2.70300000,1695888.46900000,1602201599999,4698869.84482700,28117,694417.21600000,1930844.12657200,0,2020-10-08,2020-10-08 23:59:59.999
1602201600000,2.70300000,2.93000000,2.60300000,2.76500000,1271917.05500000,1602287999999,3499385.06227400,23208,574353.34900000,1584778.22368800,0,2020-10-09,2020-10-09 23:59:59.999
1602288000000,2.76500000,2.84800000,2.47500000,2.51600000,976146.28200000,1602374399999,2580499.13724600,15400,379963.76700000,1003925.63360000,0,2020-10-10,2020-10-10 23:59:59.999
1602374400000,2.52400000,2.56800000,2.27200000,2.46500000,927452.73800000,1602460799999,2225058.04928400,14670,404694.33300000,971672.57934800,0,2020-10-11,2020-10-11 23:59:59.999
1602460800000,2.46500000,2.64900000,2.35800000,2.38900000,1014956.89200000,1602547199999,2541151.60946500,13781,586088.72700000,1473773.17183600,0,2020-10-12,2020-10-12 23:59:59.999
1602547200000,2.38900000,3.35000000,2.21300000,2.72500000,1975168.96700000,1602633599999,5486541.69681700,26624,1202470.68300000,3419430.91243600,0,2020-10-13,2020-10-13 23:59:59.999
1602633600000,2.72600000,3.26200000,2.59000000,2.60600000,2824137.66400000,1602719999999,8240839.66517000,44202,1466939.67900000,4293074.29612600,0,2020-10-14,2020-10-14 23:59:59.999
1602720000000,2.60600000,2.97200000,2.54300000,2.74100000,1283909.66400000,1602806399999,3497785.60952200,23112,683938.83800000,1870215.20558600,0,2020-10-15,2020-10-15 23:59:59.999
1602806400000,2.73800000,3.30000000,2.70000000,3.15100000,1581557.22600000,1602892799999,4705425.48222000,29352,804597.52600000,2407011.49511800,0,2020-10-16,2020-10-16 23:59:59.999
1602892800000,3.16000000,4.88800000,3.08000000,4.26000000,5498566.94600000,1602979199999,22336459.79476900,100337,3106466.72200000,12536603.23837000,0,2020-10-17,2020-10-17 23:59:59.999
1602979200000,4.25100000,4.78500000,3.37300000,3.53400000,2767905.10200000,1603065599999,10753421.41260400,54046,1268974.29100000,4917878.88222100,0,2020-10-18,2020-10-18 23:59:59.999
1603065600000,3.54300000,3.73000000,3.23000000,3.23900000,1383756.78200000,1603151999999,4768669.52832000,28201,638462.96500000,2207685.82007000,0,2020-10-19,2020-10-19 23:59:59.999
1603152000000,3.25600000,3.38300000,2.75100000,2.94400000,1580536.77500000,1603238399999,4748160.09722500,30581,807440.59600000,2417311.85904300,0,2020-10-20,2020-10-20 23:59:59.999
1603238400000,2.93200000,4.10000000,2.86000000,3.85600000,3276819.75500000,1603324799999,11347392.59010700,54158,1655345.87700000,5753718.50572600,0,2020-10-21,2020-10-21 23:59:59.999
1603324800000,3.84800000,4.00000000,3.25700000,3.36500000,1441322.92600000,1603411199999,5075301.94618900,36744,613286.05500000,2172962.25432500,0,2020-10-22,2020-10-22 23:59:59.999
1603411200000,3.36700000,3.63000000,3.14000000,3.17100000,822604.80100000,1603497599999,2788410.31740000,20310,305073.98200000,1034449.41171600,0,2020-10-23,2020-10-23 23:59:59.999
1603497600000,3.17500000,3.57600000,3.10100000,3.51400000,665981.89900000,1603583999999,2198232.28733400,18255,323893.29900000,1073557.39976600,0,2020-10-24,2020-10-24 23:59:59.999
1603584000000,3.51600000,3.80000000,3.18800000,3.60700000,850882.86800000,1603670399999,2950564.16041300,22267,407880.28100000,1422222.05769100,0,2020-10-25,2020-10-25 23:59:59.999
1603670400000,3.60800000,4.05000000,3.07000000,3.22700000,2465421.89500000,1603756799999,8668738.28535900,46197,1082355.16000000,3838867.18143300,0,2020-10-26,2020-10-26 23:59:59.999
1603756800000,3.22700000,3.36000000,2.93100000,3.06000000,883797.45900000,1603843199999,2767613.31601500,21017,368969.37900000,1158929.32714400,0,2020-10-27,2020-10-27 23:59:59.999
1603843200000,3.06000000,3.25200000,2.86500000,2.88800000,613253.51800000,1603929599999,1865827.90827400,17107,258328.61300000,791533.56108800,0,2020-10-28,2020-10-28 23:59:59.999
1603929600000,2.89500000,3.47000000,2.56100000,2.95000000,1884859.77200000,1604015999999,5657095.53083300,48292,1071965.20700000,3282372.39983100,0,2020-10-29,2020-10-29 23:59:59.999
1604016000000,2.95200000,3.09800000,2.73800000,2.82600000,629851.89400000,1604102399999,1821751.08655500,17019,251930.23000000,731131.57550000,0,2020-10-30,2020-10-30 23:59:59.999
1604102400000,2.82800000,2.99700000,2.65100000,2.67000000,437359.05200000,1604188799999,1225506.42036100,9914,172783.44000000,486646.01524400,0,2020-10-31,2020-10-31 23:59:59.999
1604188800000,2.65900000,2.73800000,2.55600000,2.65500000,310881.96400000,1604275199999,818797.09987700,7083,130379.80200000,344345.51321200,0,2020-11-01,2020-11-01 23:59:59.999
1604275200000,2.66400000,3.18000000,2.35100000,2.44600000,1872334.89900000,1604361599999,5055217.79244300,21557,1104678.46200000,3030269.97903400,0,2020-11-02,2020-11-02 23:59:59.999
1604361600000,2.43900000,2.55300000,2.15000000,2.24500000,757786.62400000,1604447999999,1741823.05424700,9829,388083.96900000,893119.35078100,0,2020-11-03,2020-11-03 23:59:59.999
1604448000000,2.23800000,2.26100000,2.05800000,2.16900000,338031.41400000,1604534399999,733935.16065000,4715,151803.66300000,329407.24477000,0,2020-11-04,2020-11-04 23:59:59.999
1604534400000,2.16200000,2.59800000,2.15400000,2.42400000,787948.69900000,1604620799999,1886194.35603000,11059,395317.87900000,950255.97339700,0,2020-11-05,2020-11-05 23:59:59.999
