open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1598918400000,3088.00000000,9865.00000000,3088.00000000,8549.64000000,33455.40945700,1599004799999,250772204.00427428,312128,18008.38248900,134431220.16169088,0,2020-09-01,2020-09-01 23:59:59.999
1599004800000,8549.00000000,8550.00000000,6215.55000000,7325.00000000,22200.04893400,1599091199999,165823246.79957581,249856,10621.98746400,79462650.84054203,0,2020-09-02,2020-09-02 23:59:59.999
1599091200000,7339.34000000,7377.52000000,4416.37000000,4888.00000000,16346.07206700,1599177599999,100959656.64430399,186335,7733.65992600,47791226.20307770,0,2020-09-03,2020-09-03 23:59:59.999
1599177600000,4861.96000000,5482.75000000,3816.38000000,4296.70000000,15808.15443900,1599263999999,73268753.64994658,141922,7905.71577200,36708549.52925580,0,2020-09-04,2020-09-04 23:59:59.999
1599264000000,4296.58000000,5590.00000000,3270.00000000,3765.00000000,23181.06710200,1599350399999,95954101.87221803,195289,11677.77885300,48444378.28538143,0,2020-09-05,2020-09-05 23:59:59.999
1599350400000,3756.35000000,4241.37000000,2811.01000000,3871.57000000,18439.27049100,1599436799999,67086989.07147613,149055,9072.08422900,33156631.84010264,0,2020-09-06,2020-09-06 23:59:59.999
1599436800000,3871.57000000,4050.00000000,3111.00000000,3703.00000000,10417.07649000,1599523199999,36722654.43152914,79701,5064.05634700,17890893.27505306,0,2020-09-07,2020-09-07 23:59:59.999
1599523200000,3705.17000000,3749.00000000,3111.27000000,3214.00000000,6515.29204900,1599609599999,21865326.61961026,50442,2907.16846400,9785371.03931312,0,2020-09-08,2020-09-08 23:59:59.999
1599609600000,3214.87000000,3746.27000000,2855.01000000,3563.55000000,12206.87733000,1599695999999,41248092.64205803,89130,5984.99791100,20233045.93966141,0,2020-09-09,2020-09-09 23:59:59.999
1599696000000,3565.92000000,4241.36000000,3500.00000000,3959.22000000,14983.67482100,1599782399999,58669206.51214215,120427,7401.12444800,29001059.28175384,0,2020-09-10,2020-09-10 23:59:59.999
1599782400000,3952.31000000,4949.00000000,3655.30000000,4925.00000000,16803.92156600,1599868799999,71016946.28904463,125063,8733.66217700,36925662.72202436,0,2020-09-11,2020-09-11 23:59:59.999
1599868800000,4925.00000000,6930.00000000,4555.01000000,6471.59000000,41210.53792700,1599955199999,246351624.75893470,406001,20206.81729000,120898505.78757932,0,2020-09-12,2020-09-12 23:59:59.999
1599955200000,6471.58000000,6512.51000000,4900.00000000,5539.56000000,25317.33659800,1600041599999,139200473.96940364,252373,12011.39426000,66068021.48625117,0,2020-09-13,2020-09-13 23:59:59.999
1600041600000,5539.55000000,6550.00000000,5028.00000000,5769.46000000,27140.06563900,1600127999999,162045352.81657664,240233,13039.22653700,77931241.68685564,0,2020-09-14,2020-09-14 23:59:59.999
1600128000000,5771.81000000,6123.00000000,4832.00000000,4914.75000000,17076.19212600,1600214399999,95250548.76078387,169005,8340.47834000,46556330.44108999,0,2020-09-15,2020-09-15 23:59:59.999
1600214400000,4921.56000000,5225.26000000,4280.01000000,4659.16000000,16516.67854800,1600300799999,77804007.39581998,157614,7910.77978200,37271583.23108321,0,2020-09-16,2020-09-16 23:59:59.999
1600300800000,4648.55000000,5187.31000000,4062.00000000,4345.64000000,12250.81592100,1600387199999,55226250.07137218,137668,5916.27599300,26680628.52250774,0,2020-09-17,2020-09-17 23:59:59.999
1600387200000,4345.44000000,4655.17000000,3826.40000000,4110.44000000,12062.82032200,1600473599999,51316102.02965266,139780,5955.38058000,25325444.57092170,0,2020-09-18,2020-09-18 23:59:59.999
1600473600000,4107.12000000,4110.67000000,3700.00000000,3911.68000000,8387.19608700,1600559999999,32559028.87889781,98561,4096.07935100,15905643.99205792,0,2020-09-19,2020-09-19 23:59:59.999
1600560000000,3911.67000000,4287.68000000,3271.80000000,3538.79000000,12198.87246400,1600646399999,46126573.23486488,129752,6149.86022200,23184422.55644193,0,2020-09-20,2020-09-20 23:59:59.999
1600646400000,3540.27000000,3624.58000000,2863.00000000,3066.43000000,12726.04507100,1600732799999,40744151.72591278,115237,6042.16333100,19339514.95558840,0,2020-09-21,2020-09-21 23:59:59.999
1600732800000,3062.63000000,3350.00000000,2960.45000000,3166.00000000,7768.11751600,1600819199999,24453922.72183304,83196,3781.46386500,11918898.30072067,0,2020-09-22,2020-09-22 23:59:59.999
1600819200000,3168.45000000,3330.00000000,2881.22000000,2893.00000000,9277.95019600,1600905599999,28748002.08372283,72164,4403.61809700,13670254.77050143,0,2020-09-23,2020-09-23 23:59:59.999
1600905600000,2893.00000000,3247.92000000,2820.00000000,3245.00000000,7469.69395200,1600991999999,22720960.01887839,54524,3825.18767700,11643854.55570167,0,2020-09-24,2020-09-24 23:59:59.999
