open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1603238400000,10.00000000,11.40900000,9.05000000,9.27000000,21954.17000000,1603324799999,220559.57901000,705,10328.04000000,104954.31898000,0,2020-10-21,2020-10-21 23:59:59.999
1603324800000,9.59400000,11.04700000,9.20000000,9.80800000,43072.29000000,1603411199999,439335.92324000,692,26921.44000000,277842.58741000,0,2020-10-22,2020-10-22 23:59:59.999
1603411200000,9.99900000,11.53800000,9.90000000,11.19000000,21782.42000000,1603497599999,239994.30464000,1232,9861.88000000,107636.21785000,0,2020-10-23,2020-10-23 23:59:59.999
1603497600000,11.51400000,12.30000000,11.00500000,11.20000000,30324.00000000,1603583999999,352363.98593000,1051,12656.42000000,148405.87729000,0,2020-10-24,2020-10-24 23:59:59.999
1603584000000,11.20000000,11.35400000,10.33400000,10.45000000,29785.19000000,1603670399999,321207.82643000,916,18264.79000000,195452.86677000,0,2020-10-25,2020-10-25 23:59:59.999
1603670400000,10.40100000,10.82100000,8.75600000,9.41200000,32022.82000000,1603756799999,297362.73519000,682,11856.36000000,112521.12466000,0,2020-10-26,2020-10-26 23:59:59.999
1603756800000,9.44200000,10.29400000,9.14700000,9.29800000,25534.69000000,1603843199999,250054.99136000,707,16087.53000000,158601.80686000,0,2020-10-27,2020-10-27 23:59:59.999
1603843200000,9.20000000,9.58000000,7.66600000,8.20400000,50278.93000000,1603929599999,439637.00356000,848,27724.95000000,241575.15385000,0,2020-10-28,2020-10-28 23:59:59.999
1603929600000,8.22100000,8.55000000,5.98300000,6.25000000,89000.92000000,1604015999999,634454.85813000,1896,34399.31000000,245480.19102000,0,2020-10-29,2020-10-29 23:59:59.999
1604016000000,6.26000000,7.93000000,4.91200000,6.27300000,355773.25000000,1604102399999,2304038.43113000,4121,192325.72000000,1268405.39587000,0,2020-10-30,2020-10-30 23:59:59.999
1604102400000,6.33100000,6.93700000,5.37400000,5.67600000,216588.35000000,1604188799999,1322315.65614000,3098,95567.38000000,574419.49877000,0,2020-10-31,2020-10-31 23:59:59.999
1604188800000,5.62800000,6.20200000,5.10800000,5.85700000,236622.79000000,1604275199999,1323514.32668000,3956,130464.08000000,731098.60784000,0,2020-11-01,2020-11-01 23:59:59.999
1604275200000,5.94400000,6.43600000,5.15000000,5.19300000,250337.51000000,1604361599999,1447751.82232000,4525,148182.81000000,861701.93538000,0,2020-11-02,2020-11-02 23:59:59.999
1604361600000,5.15000000,5.35000000,4.39100000,4.47100000,371515.72000000,1604447999999,1745153.89186000,2894,170199.48000000,802807.17497000,0,2020-11-03,2020-11-03 23:59:59.999
1604448000000,4.46100000,4.78600000,3.47200000,3.67000000,773893.77000000,1604534399999,3045213.09287000,5994,414606.74000000,1636518.65761000,0,2020-11-04,2020-11-04 23:59:59.999
1604534400000,3.66900000,4.96100000,2.70100000,3.41600000,1585359.90000000,1604620799999,5836289.00865000,9818,816419.57000000,2979675.84232000,0,2020-11-05,2020-11-05 23:59:59.999
1604620800000,3.44100000,7.29500000,3.33400000,7.07000000,1338740.91000000,1604707199999,7008371.63326000,11500,635981.77000000,3364818.31633000,0,2020-11-06,2020-11-06 23:59:59.999
1604707200000,7.13900000,16.62700000,7.10000000,10.10000000,2587052.61000000,1604793599999,27069019.01865000,25789,1264126.38000000,13346825.33315000,0,2020-11-07,2020-11-07 23:59:59.999
1604793600000,10.08200000,13.20000000,8.52800000,11.20000000,993158.73000000,1604879999999,10888128.30236000,16206,455145.72000000,5028090.78552000,0,2020-11-08,2020-11-08 23:59:59.999
1604880000000,11.24800000,12.04600000,9.18100000,11.00000000,649356.57000000,1604966399999,6873701.17029000,15599,309749.48000000,3287191.11026000,0,2020-11-09,2020-11-09 23:59:59.999
1604966400000,10.90000000,19.78800000,10.40000000,18.25700000,912169.20000000,1605052799999,13972203.61602000,23884,485101.62000000,7376657.60514000,0,2020-11-10,2020-11-10 23:59:59.999
1605052800000,18.29700000,20.88000000,11.64300000,13.30400000,819240.05000000,1605139199999,13303002.89199000,23483,376811.52000000,6133353.70481000,0,2020-11-11,2020-11-11 23:59:59.999
1605139200000,13.38500000,14.24700000,10.50000000,11.28900000,706222.17000000,1605225599999,8677236.23374000,16265,303965.36000000,3743198.10270000,0,2020-11-12,2020-11-12 23:59:59.999
