,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
0,1574380800000,0.1598,0.1688,0.1158,0.1329,10442196.03,1574467199999,1440497.159857,6831,4771545.43,663566.071678,0,2019-11-22,2019-11-22 23:59:59.999
1,1574467200000,0.1329,0.1375,0.118,0.1243,5783150.13,1574553599999,722680.177776,4421,1963373.02,245201.36084,0,2019-11-23,2019-11-23 23:59:59.999
2,1574553600000,0.1243,0.1271,0.095,0.096,5312407.24,1574639999999,570551.688556,3471,1839809.37,197733.557714,0,2019-11-24,2019-11-24 23:59:59.999
3,1574640000000,0.096,0.105,0.0804,0.0889,8123967.49,1574726399999,740275.246155,4477,3382671.73,308991.419295,0,2019-11-25,2019-11-25 23:59:59.999
4,1574726400000,0.0888,0.0988,0.0875,0.0934,2601512.98,1574812799999,239316.923936,1966,1175640.05,108314.206181,0,2019-11-26,2019-11-26 23:59:59.999
5,1574812800000,0.0939,0.1087,0.0927,0.0952,6221175.43,1574899199999,618669.110209,5196,2501776.4,249564.921949,0,2019-11-27,2019-11-27 23:59:59.999
6,1574899200000,0.0952,0.1024,0.094,0.0979,2136740.49,1574985599999,209676.218897,1733,755973.41,74175.768197,0,2019-11-28,2019-11-28 23:59:59.999
7,1574985600000,0.0966,0.1036,0.0964,0.0994,1063827.77,1575071999999,105580.678578,1224,420041.14,42070.56656,0,2019-11-29,2019-11-29 23:59:59.999
8,1575072000000,0.1,0.1008,0.0956,0.0975,854200.4,1575158399999,83392.271183,872,211324.17,20761.883615,0,2019-11-30,2019-11-30 23:59:59.999
9,1575158400000,0.0976,0.0994,0.092,0.0956,1095589.45,1575244799999,104881.621732,1668,260391.76,25106.277465,0,2019-12-01,2019-12-01 23:59:59.999
10,1575244800000,0.0955,0.1049,0.0918,0.0943,474926.51,1575331199999,45299.776673,679,166098.47,16062.662466,0,2019-12-02,2019-12-02 23:59:59.999
11,1575331200000,0.0944,0.097,0.0887,0.0892,693812.38,1575417599999,64074.703353,767,229491.21,21107.219568,0,2019-12-03,2019-12-03 23:59:59.999
12,1575417600000,0.0887,0.0892,0.0812,0.0834,1850314.22,1575503999999,156177.049113,1557,769098.43,65243.575351,0,2019-12-04,2019-12-04 23:59:59.999
13,1575504000000,0.0822,0.083,0.0747,0.0781,3029123.54,1575590399999,236070.926706,2164,1137305.23,88545.351504,0,2019-12-05,2019-12-05 23:59:59.999
14,1575590400000,0.0781,0.0885,0.0774,0.0826,1652782.1,1575676799999,136175.733937,1667,660413.57,54672.630493,0,2019-12-06,2019-12-06 23:59:59.999
15,1575676800000,0.0829,0.0883,0.0794,0.0808,1277655.62,1575763199999,107182.75621,1175,714837.52,60343.562824,0,2019-12-07,2019-12-07 23:59:59.999
16,1575763200000,0.081,0.0826,0.0793,0.0819,437460.47,1575849599999,35299.249757,796,169448.6,13726.173555,0,2019-12-08,2019-12-08 23:59:59.999
17,1575849600000,0.081,0.0819,0.0771,0.0775,545153.21,1575935999999,43595.489724,589,182723.7,14687.276444,0,2019-12-09,2019-12-09 23:59:59.999
18,1575936000000,0.0779,0.0785,0.0658,0.0693,1605926.33,1576022399999,115139.089486,1053,799410.47,57886.481705,0,2019-12-10,2019-12-10 23:59:59.999
19,1576022400000,0.0695,0.0738,0.0674,0.0689,619117.21,1576108799999,43476.003101,645,219462.28,15394.98315,0,2019-12-11,2019-12-11 23:59:59.999
20,1576108800000,0.0693,0.0798,0.067,0.0756,1766119.72,1576195199999,127057.224556,1473,856579.72,61830.927988,0,2019-12-12,2019-12-12 23:59:59.999
21,1576195200000,0.0764,0.0791,0.0718,0.073,1542102.76,1576281599999,114937.775416,1371,675638.97,50494.57415,0,2019-12-13,2019-12-13 23:59:59.999
22,1576281600000,0.073,0.073,0.0676,0.0685,448336.17,1576367999999,31775.487551,387,150450.16,10767.778036,0,2019-12-14,2019-12-14 23:59:59.999
23,1576368000000,0.0682,0.0712,0.0666,0.0686,347655.23,1576454399999,23764.616095,401,120950.82,8228.057602,0,2019-12-15,2019-12-15 23:59:59.999
24,1576454400000,0.0686,0.0709,0.0644,0.0651,635919.62,1576540799999,42714.330009,579,275232.01,18714.693864,0,2019-12-16,2019-12-16 23:59:59.999
25,1576540800000,0.0651,0.0677,0.0593,0.0613,1158590.12,1576627199999,72435.724548,1257,609861.69,38230.509564,0,2019-12-17,2019-12-17 23:59:59.999
26,1576627200000,0.0613,0.0664,0.0563,0.0655,527218.65,1576713599999,33110.947463,613,271448.2,17003.044751,0,2019-12-18,2019-12-18 23:59:59.999
27,1576713600000,0.0659,0.0672,0.062,0.0642,459764.16,1576799999999,29486.511428,747,168429.97,10885.106296,0,2019-12-19,2019-12-19 23:59:59.999
28,1576800000000,0.0644,0.0676,0.0629,0.0664,393560.67,1576886399999,25686.798868,460,216441.53,14213.428597,0,2019-12-20,2019-12-20 23:59:59.999
29,1576886400000,0.0668,0.0672,0.0632,0.0641,375438.42,1576972799999,24451.232813,322,107359.97,6992.009168,0,2019-12-21,2019-12-21 23:59:59.999
30,1576972800000,0.0641,0.078,0.0631,0.0761,1387697.64,1577059199999,98304.236366,1237,560268.96,39631.114216,0,2019-12-22,2019-12-22 23:59:59.999
31,1577059200000,0.0751,0.0842,0.07,0.0712,3481122.72,1577145599999,264488.960775,2472,1199608.54,91680.917876,0,2019-12-23,2019-12-23 23:59:59.999
32,1577145600000,0.0707,0.0735,0.066,0.0662,1373513.11,1577231999999,95496.434049,836,571397.11,39883.964587,0,2019-12-24,2019-12-24 23:59:59.999
33,1577232000000,0.0668,0.0668,0.0624,0.0643,1340588.81,1577318399999,87190.514114,785,379851.82,24666.52358,0,2019-12-25,2019-12-25 23:59:59.999
34,1577318400000,0.0643,0.0655,0.0627,0.063,569564.5,1577404799999,36386.469449,462,265546.29,16987.748457,0,2019-12-26,2019-12-26 23:59:59.999
35,1577404800000,0.0636,0.0647,0.0622,0.0627,320375.69,1577491199999,20321.69759,262,87569.75,5574.287543,0,2019-12-27,2019-12-27 23:59:59.999
36,1577491200000,0.0635,0.065,0.0632,0.0639,411179.7,1577577599999,26349.948745,306,258480.82,16554.187184,0,2019-12-28,2019-12-28 23:59:59.999
37,1577577600000,0.0639,0.0647,0.0621,0.0635,623500.04,1577663999999,39542.020335,491,336963.56,21435.210891,0,2019-12-29,2019-12-29 23:59:59.999
38,1577664000000,0.0633,0.0669,0.063,0.0634,699367.06,1577750399999,45614.381385,456,319571.68,20818.754426,0,2019-12-30,2019-12-30 23:59:59.999
39,1577750400000,0.0632,0.0652,0.0614,0.0617,304773.83,1577836799999,19107.362843,231,188776.27,11840.346187,0,2019-12-31,2019-12-31 23:59:59.999
40,1577836800000,0.0628,0.0648,0.062,0.064,193963.36,1577923199999,12290.351449,171,75426.07,4779.907846,0,2020-01-01,2020-01-01 23:59:59.999
41,1577923200000,0.064,0.0648,0.0609,0.0614,332002.06,1578009599999,20944.395749,279,112843.02,7157.193615,0,2020-01-02,2020-01-02 23:59:59.999
42,1578009600000,0.0614,0.065,0.0605,0.0633,258906.95,1578095999999,16354.228523,287,170447.49,10819.766543,0,2020-01-03,2020-01-03 23:59:59.999
43,1578096000000,0.0635,0.0711,0.0635,0.0698,1307237.59,1578182399999,89431.868001,1234,677355.88,46441.961942,0,2020-01-04,2020-01-04 23:59:59.999
44,1578182400000,0.0693,0.0708,0.0656,0.0668,308848.6,1578268799999,21121.826417,421,136194.65,9401.497496,0,2020-01-05,2020-01-05 23:59:59.999
45,1578268800000,0.067,0.0687,0.0655,0.0673,292242.16,1578355199999,19581.913286,462,127836.22,8547.181293,0,2020-01-06,2020-01-06 23:59:59.999
46,1578355200000,0.0674,0.0737,0.0674,0.0706,849235.64,1578441599999,60085.935067,1068,492080.06,34748.846306,0,2020-01-07,2020-01-07 23:59:59.999
47,1578441600000,0.0711,0.0724,0.064,0.0643,684885.11,1578527999999,46584.073077,949,191321.79,13267.543362,0,2020-01-08,2020-01-08 23:59:59.999
48,1578528000000,0.0643,0.0666,0.0634,0.064,917777.97,1578614399999,59560.08182,580,374246.0,24377.590582,0,2020-01-09,2020-01-09 23:59:59.999
49,1578614400000,0.0643,0.0667,0.0633,0.0666,428551.77,1578700799999,27745.273005,330,175049.87,11410.77319,0,2020-01-10,2020-01-10 23:59:59.999
50,1578700800000,0.066,0.0684,0.0643,0.0672,187137.94,1578787199999,12393.760902,322,73371.88,4882.707102,0,2020-01-11,2020-01-11 23:59:59.999
51,1578787200000,0.0666,0.0709,0.0666,0.0701,326980.56,1578873599999,22666.229066,456,192320.44,13365.511527,0,2020-01-12,2020-01-12 23:59:59.999
52,1578873600000,0.0703,0.0707,0.0672,0.0683,287567.2,1578959999999,19709.753701,346,156652.11,10755.451875,0,2020-01-13,2020-01-13 23:59:59.999
53,1578960000000,0.0685,0.0755,0.0476,0.072,882239.75,1579046399999,62913.150836,1372,380127.23,27237.09034,0,2020-01-14,2020-01-14 23:59:59.999
