,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
0,1562284800000,0.00449,0.0046,0.00355,0.0038701,1928297660.0,1562371199999,7506289.3981729,18589,858403324.0,3336426.0115192,0,2019-07-05,2019-07-05 23:59:59.999
1,1562371200000,0.0038741,0.0039426,0.0033652,0.0035,1010744287.0,1562457599999,3692804.0887838,17250,522724122.0,1908499.5096496,0,2019-07-06,2019-07-06 23:59:59.999
2,1562457600000,0.003504,0.00365,0.0034,0.0035377,530613992.0,1562543999999,1860353.0716839,9394,275110757.0,965093.409773,0,2019-07-07,2019-07-07 23:59:59.999
3,1562544000000,0.0035378,0.0035618,0.0034,0.003458,308445688.0,1562630399999,1078072.0056618,4958,159456967.0,558024.1758627,0,2019-07-08,2019-07-08 23:59:59.999
4,1562630400000,0.003462,0.003582,0.0033564,0.0034545,253375582.0,1562716799999,878528.3337763,5690,115809520.0,402047.295067,0,2019-07-09,2019-07-09 23:59:59.999
5,1562716800000,0.0034576,0.0035294,0.003251,0.0033421,241274866.0,1562803199999,824623.2566485,4797,115599196.0,396266.6942069,0,2019-07-10,2019-07-10 23:59:59.999
6,1562803200000,0.0033358,0.0033395,0.0030909,0.003209,202811394.0,1562889599999,648510.3219133,3721,98379770.0,314616.4800941,0,2019-07-11,2019-07-11 23:59:59.999
7,1562889600000,0.0032105,0.0033598,0.0031562,0.0032622,228622573.0,1562975999999,747823.3548409,3638,116069740.0,379630.5577197,0,2019-07-12,2019-07-12 23:59:59.999
8,1562976000000,0.0032626,0.0032653,0.0031358,0.0032532,110731940.0,1563062399999,354130.9919463,2494,53400546.0,170896.9227031,0,2019-07-13,2019-07-13 23:59:59.999
9,1563062400000,0.0032474,0.0032788,0.0029008,0.0029175,216658454.0,1563148799999,671776.7078685,3994,101956045.0,315829.9500623,0,2019-07-14,2019-07-14 23:59:59.999
10,1563148800000,0.0029175,0.0031354,0.0028011,0.0030712,220027648.0,1563235199999,648584.7204098,4003,111586491.0,330128.1843474,0,2019-07-15,2019-07-15 23:59:59.999
11,1563235200000,0.0030624,0.0031009,0.0027323,0.0027994,159080438.0,1563321599999,461906.8700423,2878,75423056.0,218381.8185068,0,2019-07-16,2019-07-16 23:59:59.999
12,1563321600000,0.0027995,0.002986,0.0027063,0.0028822,320691294.0,1563407999999,919480.3057747,4607,157213703.0,450241.2393662,0,2019-07-17,2019-07-17 23:59:59.999
