,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
0,1551312000000,0.33,0.489,0.301,0.3554,153340418.22,1551398399999,58257339.670407,100546,70635427.88,27005086.770515,0,2019-02-28,2019-02-28 23:59:59.999
1,1551398400000,0.3554,0.4768,0.3502,0.4426,122476704.43,1551484799999,52399979.761457,115815,61332783.24,26267359.588836,0,2019-03-01,2019-03-01 23:59:59.999
2,1551484800000,0.443,0.4431,0.3801,0.4026,50660886.62,1551571199999,20309217.431384,52610,22505018.94,9032592.407366,0,2019-03-02,2019-03-02 23:59:59.999
3,1551571200000,0.402,0.429,0.3537,0.3639,41110679.59,1551657599999,16189125.563805,45189,18442064.83,7324005.611239,0,2019-03-03,2019-03-03 23:59:59.999
4,1551657600000,0.3639,0.3782,0.3226,0.3309,66614590.51,1551743999999,23244680.88681,48163,32961625.27,11543977.097985,0,2019-03-04,2019-03-04 23:59:59.999
5,1551744000000,0.3309,0.3456,0.305,0.3137,61152467.51,1551830399999,19898966.536538,58231,27160004.97,8833914.938741,0,2019-03-05,2019-03-05 23:59:59.999
6,1551830400000,0.3136,0.3299,0.3061,0.31,30721731.0,1551916799999,9713996.557794,48360,14154713.55,4481050.65534,0,2019-03-06,2019-03-06 23:59:59.999
7,1551916800000,0.31,0.366,0.3075,0.3478,73918772.24,1552003199999,24962259.668478,68866,36064340.7,12180264.898293,0,2019-03-07,2019-03-07 23:59:59.999
8,1552003200000,0.3476,0.3504,0.28,0.2875,46682378.21,1552089599999,14863038.674888,43305,18812707.95,5982813.077446,0,2019-03-08,2019-03-08 23:59:59.999
9,1552089600000,0.2873,0.2956,0.2675,0.2678,37817821.7,1552175999999,10639010.156263,32068,16272362.67,4581226.654844,0,2019-03-09,2019-03-09 23:59:59.999
10,1552176000000,0.2678,0.2679,0.238,0.255,42782586.81,1552262399999,10788178.055631,35875,19855065.35,5007144.219335,0,2019-03-10,2019-03-10 23:59:59.999
11,1552262400000,0.2548,0.2768,0.2138,0.2173,42628057.43,1552348799999,10418188.604543,34997,19655916.03,4804517.054811,0,2019-03-11,2019-03-11 23:59:59.999
12,1552348800000,0.2173,0.2414,0.2087,0.2202,34036963.2,1552435199999,7620178.758952,23287,14978463.52,3358771.347671,0,2019-03-12,2019-03-12 23:59:59.999
13,1552435200000,0.2206,0.2583,0.2206,0.2456,49772747.64,1552521599999,11923680.43141,37274,23399922.86,5603335.912611,0,2019-03-13,2019-03-13 23:59:59.999
14,1552521600000,0.2454,0.268,0.224,0.2293,57242839.99,1552607999999,13832030.834858,39249,30074912.81,7236095.678884,0,2019-03-14,2019-03-14 23:59:59.999
15,1552608000000,0.2295,0.2415,0.2295,0.2323,19695949.18,1552694399999,4638241.994775,21217,9450081.03,2226594.32326,0,2019-03-15,2019-03-15 23:59:59.999
16,1552694400000,0.2329,0.236,0.2211,0.2283,16714026.23,1552780799999,3837911.374537,18138,7235651.23,1662144.521537,0,2019-03-16,2019-03-16 23:59:59.999
17,1552780800000,0.2283,0.2399,0.227,0.2361,16432052.55,1552867199999,3847195.827809,18819,8636534.18,2024644.304923,0,2019-03-17,2019-03-17 23:59:59.999
18,1552867200000,0.236,0.2392,0.2253,0.2278,28554545.69,1552953599999,6536098.122335,16502,14003672.69,3206075.379112,0,2019-03-18,2019-03-18 23:59:59.999
19,1552953600000,0.2278,0.2335,0.2107,0.2174,51788431.46,1553039999999,11509551.7825,24606,25799281.04,5743669.92672,0,2019-03-19,2019-03-19 23:59:59.999
20,1553040000000,0.2175,0.2233,0.2127,0.2199,36760892.86,1553126399999,7964976.479419,15994,19053311.03,4129946.73798,0,2019-03-20,2019-03-20 23:59:59.999
21,1553126400000,0.22,0.2265,0.195,0.2022,64150250.0,1553212799999,13475146.679974,19424,32075487.75,6739071.718696,0,2019-03-21,2019-03-21 23:59:59.999
22,1553212800000,0.2021,0.2086,0.1996,0.2054,40212713.11,1553299199999,8238546.265431,15310,20886337.93,4280590.253649,0,2019-03-22,2019-03-22 23:59:59.999
23,1553299200000,0.2054,0.2084,0.1959,0.2022,38747348.04,1553385599999,7849693.305282,17264,19942156.49,4041852.794741,0,2019-03-23,2019-03-23 23:59:59.999
24,1553385600000,0.2022,0.2187,0.2014,0.2084,48190652.49,1553471999999,10106245.38749,24512,24505447.02,5142559.164305,0,2019-03-24,2019-03-24 23:59:59.999
25,1553472000000,0.2087,0.2138,0.1906,0.1977,49421470.3,1553558399999,9986852.3644,28685,24515432.64,4957602.132437,0,2019-03-25,2019-03-25 23:59:59.999
26,1553558400000,0.1976,0.201,0.1777,0.1819,46719166.24,1553644799999,8765873.50683,26464,23673750.49,4441296.694069,0,2019-03-26,2019-03-26 23:59:59.999
27,1553644800000,0.1818,0.1984,0.18,0.1942,62095512.42,1553731199999,11858514.050278,23118,33950589.94,6490999.830378,0,2019-03-27,2019-03-27 23:59:59.999
28,1553731200000,0.1942,0.2239,0.1881,0.2199,76218206.93,1553817599999,15853383.5443,28271,41475161.5,8615960.272137,0,2019-03-28,2019-03-28 23:59:59.999
29,1553817600000,0.2199,0.2201,0.2034,0.2067,63644370.74,1553903999999,13311618.085717,19307,32131059.68,6716088.293807,0,2019-03-29,2019-03-29 23:59:59.999
30,1553904000000,0.2067,0.2072,0.196,0.2052,53398632.02,1553990399999,10759261.883982,14098,27839952.98,5611299.238714,0,2019-03-30,2019-03-30 23:59:59.999
31,1553990400000,0.2051,0.2054,0.1922,0.1973,41682675.44,1554076799999,8316755.569834,12309,20914477.89,4171841.063414,0,2019-03-31,2019-03-31 23:59:59.999
32,1554076800000,0.1971,0.203,0.194,0.2015,62557950.4,1554163199999,12468137.615448,14559,33538772.89,6684975.31294,0,2019-04-01,2019-04-01 23:59:59.999
33,1554163200000,0.2014,0.2093,0.1953,0.2049,78206197.24,1554249599999,15885199.453769,30874,38812383.41,7889976.073664,0,2019-04-02,2019-04-02 23:59:59.999
34,1554249600000,0.2045,0.2231,0.188,0.1924,73783946.79,1554335999999,15299568.920342,27782,36169049.48,7506538.513054,0,2019-04-03,2019-04-03 23:59:59.999
35,1554336000000,0.1927,0.2009,0.1888,0.1953,56478444.37,1554422399999,11010967.740557,16622,30799233.71,6006882.953752,0,2019-04-04,2019-04-04 23:59:59.999
36,1554422400000,0.1952,0.2025,0.1935,0.1973,43657482.78,1554508799999,8634216.539602,12254,23821070.53,4710583.226759,0,2019-04-05,2019-04-05 23:59:59.999
37,1554508800000,0.1973,0.2099,0.1958,0.1997,46296680.86,1554595199999,9337233.284742,15489,24132017.68,4870172.283696,0,2019-04-06,2019-04-06 23:59:59.999
38,1554595200000,0.2001,0.21,0.1982,0.2027,51759586.89,1554681599999,10551874.685979,9697,28162820.26,5744837.287911,0,2019-04-07,2019-04-07 23:59:59.999
39,1554681600000,0.2024,0.2186,0.1975,0.2115,61498802.64,1554767999999,12597223.748087,13520,33920265.77,6965663.057274,0,2019-04-08,2019-04-08 23:59:59.999
40,1554768000000,0.2116,0.2127,0.1988,0.205,37173577.96,1554854399999,7600780.954628,10196,18695160.02,3824735.497614,0,2019-04-09,2019-04-09 23:59:59.999
41,1554854400000,0.2049,0.2082,0.2001,0.2018,38389629.56,1554940799999,7838827.832071,7329,19621076.07,4006714.229969,0,2019-04-10,2019-04-10 23:59:59.999
42,1554940800000,0.2018,0.2033,0.1699,0.181,40867456.61,1555027199999,7545883.338157,11713,19824392.09,3651300.811869,0,2019-04-11,2019-04-11 23:59:59.999
43,1555027200000,0.1808,0.1928,0.173,0.1893,35520308.48,1555113599999,6569802.536531,8195,19487009.93,3607951.732203,0,2019-04-12,2019-04-12 23:59:59.999
44,1555113600000,0.1893,0.1947,0.1835,0.192,30017230.26,1555199999999,5674987.987223,5957,16429817.98,3107213.654069,0,2019-04-13,2019-04-13 23:59:59.999
45,1555200000000,0.192,0.1924,0.1851,0.1906,25352798.15,1555286399999,4793469.03575,4492,14585913.81,2758301.007057,0,2019-04-14,2019-04-14 23:59:59.999
46,1555286400000,0.1905,0.1973,0.1801,0.183,37893791.12,1555372799999,7176026.041945,7310,21011269.57,3982602.846647,0,2019-04-15,2019-04-15 23:59:59.999
47,1555372800000,0.183,0.1892,0.179,0.1869,29250696.81,1555459199999,5372997.279293,5442,16201921.24,2976761.754339,0,2019-04-16,2019-04-16 23:59:59.999
48,1555459200000,0.1871,0.2009,0.1868,0.197,35592104.2,1555545599999,6926038.084845,7780,20208349.69,3932940.491194,0,2019-04-17,2019-04-17 23:59:59.999
49,1555545600000,0.1969,0.216,0.1969,0.2109,43770529.81,1555631999999,9131140.671444,12482,25120188.9,5241901.573583,0,2019-04-18,2019-04-18 23:59:59.999
50,1555632000000,0.2105,0.212,0.201,0.2042,34708544.17,1555718399999,7163239.72246,7089,19274198.14,3978331.302761,0,2019-04-19,2019-04-19 23:59:59.999
51,1555718400000,0.2043,0.2341,0.203,0.2292,45647573.57,1555804799999,9794584.743583,15376,26540823.34,5695654.806459,0,2019-04-20,2019-04-20 23:59:59.999
52,1555804800000,0.2296,0.2488,0.2036,0.2328,66159288.17,1555891199999,14915100.747677,27975,34334796.22,7758018.105546,0,2019-04-21,2019-04-21 23:59:59.999
53,1555891200000,0.2328,0.2463,0.2178,0.2293,48467021.61,1555977599999,11282239.834187,21257,24177726.65,5636852.597505,0,2019-04-22,2019-04-22 23:59:59.999
54,1555977600000,0.2293,0.2306,0.2038,0.2076,45255496.41,1556063999999,9837829.92333,12604,23682187.97,5140800.385923,0,2019-04-23,2019-04-23 23:59:59.999
55,1556064000000,0.2075,0.2077,0.1751,0.1875,43385561.66,1556150399999,8218076.505542,13783,22461044.67,4253747.665129,0,2019-04-24,2019-04-24 23:59:59.999
56,1556150400000,0.1874,0.1897,0.1585,0.1601,17425250.37,1556236799999,3108018.870055,8483,8294065.04,1483667.455796,0,2019-04-25,2019-04-25 23:59:59.999
57,1556236800000,0.1604,0.1649,0.1407,0.1461,22673386.24,1556323199999,3457247.355203,10295,10668228.48,1621428.784801,0,2019-04-26,2019-04-26 23:59:59.999
58,1556323200000,0.1463,0.1535,0.1411,0.1509,23139161.61,1556409599999,3449985.595447,6752,19188531.95,2863559.543009,0,2019-04-27,2019-04-27 23:59:59.999
59,1556409600000,0.1511,0.1579,0.144,0.1467,31556751.14,1556495999999,4735532.32137,7728,27232545.24,4084011.814703,0,2019-04-28,2019-04-28 23:59:59.999
60,1556496000000,0.1465,0.1499,0.127,0.1284,29393292.01,1556582399999,4066350.328977,8855,23122284.72,3209922.012999,0,2019-04-29,2019-04-29 23:59:59.999
61,1556582400000,0.1284,0.1399,0.1283,0.1386,34624953.27,1556668799999,4673468.6245,7503,30342797.16,4097763.109773,0,2019-04-30,2019-04-30 23:59:59.999
62,1556668800000,0.1386,0.1418,0.1327,0.1362,34828656.54,1556755199999,4760017.866178,6442,31271879.73,4273879.654205,0,2019-05-01,2019-05-01 23:59:59.999
63,1556755200000,0.136,0.1412,0.1308,0.1327,26473642.74,1556841599999,3624009.048134,7056,22543878.8,3086871.182112,0,2019-05-02,2019-05-02 23:59:59.999
64,1556841600000,0.1326,0.1359,0.1276,0.134,35630525.75,1556927999999,4738368.997899,6645,31340980.29,4169438.29501,0,2019-05-03,2019-05-03 23:59:59.999
65,1556928000000,0.1341,0.1345,0.1187,0.1241,29489810.34,1557014399999,3764284.285353,7363,24049481.8,3077693.009864,0,2019-05-04,2019-05-04 23:59:59.999
66,1557014400000,0.1239,0.1255,0.1195,0.1219,29087977.31,1557100799999,3549958.623745,7299,24908581.96,3040738.904894,0,2019-05-05,2019-05-05 23:59:59.999
67,1557100800000,0.1219,0.127,0.1174,0.1236,34562990.3,1557187199999,4224318.405279,7870,29311851.01,3585060.104048,0,2019-05-06,2019-05-06 23:59:59.999
68,1557187200000,0.124,0.126,0.11,0.1114,37075435.28,1557273599999,4479569.776138,7742,31857199.61,3852559.995626,0,2019-05-07,2019-05-07 23:59:59.999
69,1557273600000,0.1116,0.1136,0.1058,0.1068,21735885.82,1557359999999,2396148.091156,6572,17031312.95,1882337.621027,0,2019-05-08,2019-05-08 23:59:59.999
70,1557360000000,0.1061,0.1061,0.0925,0.0943,9601618.45,1557446399999,967024.305435,6280,4348085.76,438272.468968,0,2019-05-09,2019-05-09 23:59:59.999
71,1557446400000,0.0945,0.1048,0.0875,0.0998,14476137.43,1557532799999,1405669.897597,7901,6993735.35,684916.496475,0,2019-05-10,2019-05-10 23:59:59.999
72,1557532800000,0.0999,0.1132,0.0955,0.1065,35468300.41,1557619199999,3738885.965522,11581,25608131.63,2701089.964657,0,2019-05-11,2019-05-11 23:59:59.999
73,1557619200000,0.1065,0.1265,0.1043,0.1147,52739783.96,1557705599999,5993760.745941,17154,39468172.37,4472475.859758,0,2019-05-12,2019-05-12 23:59:59.999
74,1557705600000,0.1149,0.1326,0.1141,0.1201,45923125.33,1557791999999,5604818.552832,20006,31451521.57,3837839.36558,0,2019-05-13,2019-05-13 23:59:59.999
75,1557792000000,0.1201,0.145,0.1201,0.1433,57979259.36,1557878399999,7520734.967506,21850,40793158.3,5291393.604231,0,2019-05-14,2019-05-14 23:59:59.999
76,1557878400000,0.143,0.1499,0.1326,0.1471,23107049.24,1557964799999,3259372.425345,11922,13007504.33,1829062.034456,0,2019-05-15,2019-05-15 23:59:59.999
77,1557964800000,0.1467,0.157,0.1279,0.1332,33338162.86,1558051199999,4628641.714765,19518,17610282.79,2456704.131886,0,2019-05-16,2019-05-16 23:59:59.999
78,1558051200000,0.1331,0.18,0.1145,0.1709,57768580.48,1558137599999,8642165.243712,47154,28533548.83,4277019.405758,0,2019-05-17,2019-05-17 23:59:59.999
79,1558137600000,0.1711,0.193,0.1555,0.1615,43772639.46,1558223999999,7499589.761726,34813,18692142.0,3222407.727515,0,2019-05-18,2019-05-18 23:59:59.999
80,1558224000000,0.1613,0.2156,0.1551,0.2059,88020567.99,1558310399999,16774386.324676,58955,52695156.58,10098550.826187,0,2019-05-19,2019-05-19 23:59:59.999
81,1558310400000,0.2059,0.3166,0.1946,0.2709,185510226.27,1558396799999,45597607.592381,126080,104873597.81,25752479.526829,0,2019-05-20,2019-05-20 23:59:59.999
82,1558396800000,0.2715,0.3422,0.2167,0.2285,206404080.15,1558483199999,58038879.869908,129456,111448001.43,31463708.300957,0,2019-05-21,2019-05-21 23:59:59.999
83,1558483200000,0.2285,0.2404,0.1636,0.1686,116173555.21,1558569599999,22756623.803771,46093,69892057.1,13667091.683105,0,2019-05-22,2019-05-22 23:59:59.999
84,1558569600000,0.1688,0.2163,0.1585,0.1789,142239360.03,1558655999999,27139360.257267,48216,84218905.29,16054322.126617,0,2019-05-23,2019-05-23 23:59:59.999
85,1558656000000,0.1789,0.1855,0.1526,0.1585,69875445.41,1558742399999,11811338.000077,25867,46496801.47,7887617.689455,0,2019-05-24,2019-05-24 23:59:59.999
86,1558742400000,0.158,0.19,0.1478,0.1777,100283057.11,1558828799999,16905321.11768,36019,52672126.69,8853644.989598,0,2019-05-25,2019-05-25 23:59:59.999
87,1558828800000,0.1777,0.2093,0.1615,0.1741,91490186.06,1558915199999,16496646.810134,39037,41691300.41,7535680.60007,0,2019-05-26,2019-05-26 23:59:59.999
88,1558915200000,0.1738,0.1865,0.162,0.1697,51124673.08,1559001599999,8923808.958997,24492,24350480.15,4255538.27478,0,2019-05-27,2019-05-27 23:59:59.999
